date, pm25, pm10, o3, no2, so2, co
2021/11/2, 167, 109, 26, 23, 4, 10
2021/11/3, 193, 109, 32, 23, 4, 11
2021/11/4, 187, 109, 46, 22, 4, 11
2021/11/5, 190, 164, 49, 25, 6, 12
2021/11/6, 253, 126, 35, 19, 3, 11
2021/11/7, 232, 21, 24, 7, 1, 5
2021/11/8, 45, 42, 28, 14, 5, 8
2021/11/9, 51, 42, 32, 17, 8, 12
2021/11/10, 60, 51, 30, 19, 5, 8
2021/11/11, 71, 67, 21, 25, 6, 11
2021/11/12, 114, 74, 24, 22, 7, 11
2021/11/13, 126, 81, 30, 24, 5, 6
2021/11/14, 126, 83, 24, 26, 6, 12
2021/11/15, 140, 103, 22, 29, 8, 10
2021/11/16, 171, 108, 27, 25, 4, 10
2021/11/17, 160, 112, 38, 28, 7, 12
2021/11/18, 190, 124, 36, 24, 6, 11
2021/11/19, 171, 114, 21, 22, 4, 11
2021/11/20, 207, 53, 133, 17, 7, 10
2021/11/21, 103, , , , , 
2021/10/2, 143, 108, 69, 20, 4, 13
2021/10/3, 162, 97, 32, 13, 4, 13
2021/10/4, 117, 18, 21, 10, 2, 4
2021/10/5, 22, 10, 25, 12, 1, 4
2021/10/6, 23, 8, 23, 7, 1, 4
2021/10/7, 26, 29, 50, 9, 2, 6
2021/10/8, 59, 41, 28, 15, 3, 6
2021/10/9, 77, 45, 31, 10, 9, 12
2021/10/10, 89, 60, 24, 14, 8, 17
2021/10/11, 63, 61, 32, 16, 8, 15
2021/10/12, 82, 48, 43, 17, 9, 8
2021/10/13, 89, 97, 65, 23, 7, 11
2021/10/14, 127, 76, 37, 24, 5, 19
2021/10/15, 147, 58, 25, 18, 6, 19
2021/10/16, 80, 50, 27, 11, 8, 2
2021/10/17, 31, 59, 51, 21, 6, 16
2021/10/18, 80, 79, 28, 29, 11, 8
2021/10/19, 147, 72, 15, 21, 5, 7
2021/10/20, 111, 64, 13, 23, 4, 9
2021/10/21, 128, 77, 23, 23, 5, 11
2021/10/22, 145, 73, 26, 24, 4, 11
2021/10/23, 133, 92, 40, 26, 8, 13
2021/10/24, 166, 119, 54, 30, 16, 10
2021/10/25, 201, 114, 42, 29, 13, 12
2021/10/26, 197, 112, 17, 31, 11, 14
2021/10/27, 185, 85, 34, 27, 12, 17
2021/10/28, 148, 108, 33, 32, 9, 10
2021/10/29, 175, 131, 41, 32, 8, 15
2021/10/30, 208, 123, 54, 28, 7, 18
2021/10/31, 196, 122, 50, 24, 6, 17
2021/11/1, 207, 81, 37, 16, 2, 7
2021/9/2, 69, 53, 87, 10, 6, 12
2021/9/3, 96, 51, 66, 8, 3, 6
2021/9/4, 92, 16, 44, 5, 2, 8
2021/9/5, 49, 39, 43, 7, 3, 10
2021/9/6, 76, 25, 46, 4, 1, 5
2021/9/7, 50, 40, 65, 8, 3, 9
2021/9/8, 56, 66, 81, 8, 4, 6
2021/9/9, 92, 64, 89, 11, 5, 5
2021/9/10, 78, 84, 97, 12, 6, 15
2021/9/11, 159, 79, 99, 16, 6, 19
2021/9/12, 112, 89, 108, 16, 5, 12
2021/9/13, 139, 88, 86, 13, 4, 11
2021/9/14, 154, 73, 75, 7, 3, 8
2021/9/15, 121, 54, 72, 9, 4, 4
2021/9/16, 80, 73, 48, 17, 9, 6
2021/9/17, 104, 67, 39, 10, 3, 8
2021/9/18, 84, 43, 37, 11, 3, 12
2021/9/19, 74, 8, 37, 5, 1, 5
2021/9/20, 22, 28, 59, 7, 3, 9
2021/9/21, 48, 54, 71, 13, 5, 8
2021/9/22, 74, 70, 77, 17, 7, 16
2021/9/23, 107, 62, 49, 14, 5, 16
2021/9/24, 123, 39, 57, 7, 2, 7
2021/9/25, 80, 13, 37, 4, 1, 3
2021/9/26, 34, 13, 26, 6, 1, 6
2021/9/27, 36, 32, 33, 8, 2, 7
2021/9/28, 59, 41, 25, 16, 4, 18
2021/9/29, 67, 48, 49, 12, 3, 9
2021/9/30, 78, 63, 77, 13, 4, 8
2021/10/1, 89, 97, 78, 11, 3, 11
2021/8/2, 60, 38, 73, 7, 3, 6
2021/8/3, 62, 44, 74, 8, 7, 5
2021/8/4, 80, 56, 89, 6, 2, 5
2021/8/5, 100, 51, 50, 8, 4, 6
2021/8/6, 89, 67, 72, 8, 3, 6
2021/8/7, 122, 58, 67, 15, 3, 6
2021/8/8, 104, 55, 69, 9, 2, 5
2021/8/9, 102, 45, 87, 7, 3, 9
2021/8/10, 96, 54, 82, 8, 3, 7
2021/8/11, 92, 61, 87, 9, 5, 17
2021/8/12, 116, 59, 70, 7, 6, 11
2021/8/13, 118, 55, 68, 7, 3, 5
2021/8/14, 104, 61, 80, 11, 4, 7
2021/8/15, 105, 65, 87, 11, 5, 6
2021/8/16, 125, 63, 88, 10, 4, 8
2021/8/17, 113, 72, 89, 9, 5, 9
2021/8/18, 134, 64, 75, 6, 4, 6
2021/8/19, 129, 66, 62, 7, 2, 6
2021/8/20, 117, 25, 57, 5, 2, 7
2021/8/21, 54, 47, 67, 8, 2, 7
2021/8/22, 102, 48, 40, 6, 2, 7
2021/8/23, 96, 30, 59, 5, 3, 5
2021/8/24, 58, 64, 67, 13, 6, 11
2021/8/25, 87, 64, 52, 17, 8, 13
2021/8/26, 77, 71, 52, 19, 13, 12
2021/8/27, 97, 44, 58, 8, 4, 4
2021/8/28, 62, 47, 102, 6, 2, 4
2021/8/29, 83, 15, 35, 4, 2, 4
2021/8/30, 31, 29, 98, 5, 3, 6
2021/8/31, 62, 22, 146, 5, 2, 10
2021/9/1, 53, 34, 53, 7, 4, 14
2021/7/2, 64, 44, 77, 7, 1, 9
2021/7/3, 77, 45, 101, 6, 1, 13
2021/7/4, 95, 61, 111, 8, 3, 8
2021/7/5, 97, 38, 74, 5, 1, 4
