date, pm25, pm10, o3, no2, so2, co
2021/11/2, 100, 73, 27, 21, 3, 6
2021/11/3, 145, 60, 28, 20, 6, 7
2021/11/4, 137, 72, 26, 24, 4, 10
2021/11/5, 147, 73, 36, 26, 3, 9
2021/11/6, 151, 23, , 10, 1, 5
2021/11/7, 47, 25, 16, 11, 1, 5
2021/11/8, 55, 36, 18, 11, 2, 4
2021/11/9, 72, 41, 23, 17, 3, 4
2021/11/10, 75, 44, 24, 20, 7, 5
2021/11/11, 73, 60, 29, 22, 7, 5
2021/11/12, 88, 57, 24, 22, 5, 5
2021/11/13, 90, 76, 23, 25, 4, 7
2021/11/14, 118, 73, 30, 24, 6, 7
2021/11/15, 138, 76, 34, 27, 4, 8
2021/11/16, 148, 107, 24, 36, 5, 8
2021/11/17, 165, 94, 27, 34, 5, 9
2021/11/18, 162, 61, 17, 23, 6, 6
2021/11/19, 113, 53, 20, 19, 6, 6
2021/11/20, 84, 64, 33, 20, 6, 6
2021/11/21, 123, , , , , 
2021/10/2, 79, 57, 57, 15, 2, 5
2021/10/3, 91, 54, 44, 15, 2, 5
2021/10/4, 84, 40, 29, 14, 2, 4
2021/10/5, 62, 54, 39, 13, 3, 3
2021/10/6, 71, 57, 25, 16, 3, 4
2021/10/7, 78, 55, 38, 13, 3, 6
2021/10/8, 94, 48, 33, 16, 3, 5
2021/10/9, 83, 34, 33, 10, 2, 4
2021/10/10, 47, 48, 23, 12, , 4
2021/10/11, 63, 30, 23, 12, 2, 6
2021/10/12, 45, 48, 24, 17, 3, 7
2021/10/13, 73, 41, 28, 19, 3, 6
2021/10/14, 67, 31, 22, 15, 2, 5
2021/10/15, 59, 39, 25, 12, 3, 4
2021/10/16, 47, 23, 24, 8, 3, 4
2021/10/17, 30, 36, 24, 9, 3, 3
2021/10/18, 47, 39, , 17, 1, 5
2021/10/19, 63, 46, , 12, 1, 5
2021/10/20, 76, 24, , 11, 1, 4
2021/10/21, 49, 16, , 10, , 4
2021/10/22, 37, 57, , 16, 1, 7
2021/10/23, 118, 57, , 19, 1, 6
2021/10/24, 111, 50, , 23, 1, 5
2021/10/25, 80, 52, , 19, 1, 5
2021/10/26, 79, 57, 2, 19, 3, 6
2021/10/27, 87, 69, 24, 26, 3, 6
2021/10/28, 119, 75, 27, 25, 3, 7
2021/10/29, 117, 68, 34, 25, 3, 7
2021/10/30, 108, 78, 55, 27, 4, 7
2021/10/31, 144, 74, 38, 27, 3, 6
2021/11/1, 133, 52, 42, 16, 5, 5
2021/9/2, 80, 49, 47, 16, 2, 5
2021/9/3, 86, 49, 56, 14, 2, 6
2021/9/4, 88, 55, 50, 15, 2, 6
2021/9/5, 92, 54, 43, 16, 1, 5
2021/9/6, 90, 54, 41, 12, 2, 5
2021/9/7, 89, 29, 26, 9, 2, 4
2021/9/8, 60, 41, 29, 14, 1, 4
2021/9/9, 70, 43, 32, 13, 1, 5
2021/9/10, 67, 37, 38, 12, 2, 5
2021/9/11, 70, 26, 28, 9, 1, 3
2021/9/12, 51, 20, 24, 11, 2, 3
2021/9/13, 29, 17, 27, 9, 1, 3
2021/9/14, 36, 40, 21, 14, 1, 5
2021/9/15, 73, 42, 31, 13, 2, 4
2021/9/16, 71, 39, 25, 12, 1, 5
2021/9/17, 58, 49, 55, 15, 3, 7
2021/9/18, 80, 54, 74, 16, 2, 5
2021/9/19, 94, 56, 53, 15, 1, 5
2021/9/20, 86, 48, 30, 14, 2, 5
2021/9/21, 74, 32, 39, 9, 1, 4
2021/9/22, 58, 44, 36, 14, 2, 4
2021/9/23, 72, 54, 46, 19, 1, 5
2021/9/24, 86, 50, 43, 16, 2, 5
2021/9/25, 79, 46, 47, 14, 1, 4
2021/9/26, 73, 55, 70, 15, 1, 5
2021/9/27, 92, 62, 71, 16, 1, 5
2021/9/28, 100, 77, 92, 18, 1, 7
2021/9/29, 146, 56, 63, 15, 2, 6
2021/9/30, 102, 37, 44, 15, 2, 3
2021/10/1, 58, 52, 50, 12, 3, 5
2021/8/2, 66, 31, 35, 8, 1, 2
2021/8/3, 54, 20, 28, 6, 1, 2
2021/8/4, 34, 27, 36, 4, , 4
2021/8/5, 51, 29, 43, 4, 1, 4
2021/8/6, 62, 34, 39, 6, 1, 6
2021/8/7, 73, 36, 48, 10, 2, 5
2021/8/8, 67, 52, 59, 13, 2, 6
2021/8/9, 96, 57, 71, 13, 2, 6
2021/8/10, 106, 40, 29, 10, 3, 5
2021/8/11, 73, 30, 28, 10, 3, 5
2021/8/12, 65, 9, 31, 8, 3, 5
2021/8/13, 34, 15, 21, 12, 2, 5
2021/8/14, 33, 24, 31, 12, 2, 4
2021/8/15, 48, 43, 32, 13, 2, 5
2021/8/16, 72, 29, 25, 18, 2, 6
2021/8/17, 56, 20, 42, 10, 2, 5
2021/8/18, 53, 40, 67, 10, 2, 4
2021/8/19, 70, 52, 59, 13, 2, 5
2021/8/20, 89, 46, 36, 13, 2, 5
2021/8/21, 76, 24, 31, 10, 2, 4
2021/8/22, 51, 28, 42, 8, 2, 4
2021/8/23, 53, 42, 48, 9, 2, 6
2021/8/24, 80, 39, 46, 11, 2, 5
2021/8/25, 60, 36, 37, 11, 2, 4
2021/8/26, 59, 47, 56, 12, 2, 5
2021/8/27, 73, 31, 47, 7, 2, 4
2021/8/28, 63, 42, 56, 9, 2, 4
2021/8/29, 81, 44, 51, 13, 2, 5
2021/8/30, 78, 43, 41, 13, 2, 4
2021/8/31, 68, 41, 36, 15, 7, 4
2021/9/1, 63, 50, 46, 15, 2, 5
2021/7/2, 66, 20, 17, 14, 2, 6
2021/7/3, 52, 36, 33, 11, 2, 6
2021/7/4, 60, 66, 52, 11, 2, 5
2021/7/5, 101, 42, 39, 8, 2, 4
2021/7/6, 79, 20, 30, 9, 2, 2
2021/7/7, 44, 40, 33, 10, 2, 3
2021/7/8, 48, 28, 35, 8, 2, 2
2021/7/9, 43, 20, 24, 8, 2, 3
2021/7/10, 34, 37, 27, 13, 2, 4
2021/7/11, 48, 56, 48, 12, 2, 5
2021/7/12, 97, 43, 41, 12, 2, 4
2021/7/13, 74, 43, 40, 10, 2, 3
2021/7/14, 67, 43, 42, 9, 2, 2
2021/7/15, 72, 37, 36, 9, 1, 3
2021/7/16, 65, 24, 24, 7, 1, 2
2021/7/17, 31, 32, 35, 10, 2, 3
2021/7/18, 61, 37, 41, 8, 2, 2
2021/7/19, 57, 40, 45, 9, 3, 2
2021/7/20, 65, 26, 32, 8, 3, 2
2021/7/21, 42, 30, 36, 5, 3, 2
2021/7/22, 50, 25, 24, 4, 3, 2
2021/7/23, 42, 16, 23, 2, 3, 1
2021/7/24, 29, 13, 15, 3, 3, 
2021/7/25, 23, 6, 18, 1, 3, 2
2021/7/26, 12, 8, 15, 2, 3, 2
2021/7/27, 9, 14, 18, 4, 3, 4
2021/7/28, 37, 20, 29, 7, 3, 4
2021/7/29, 51, 28, 35, 9, 2, 3
2021/7/30, 57, 35, 46, 9, 2, 3
2021/7/31, 58, 25, 36, 11, 1, 3
2021/8/1, 47, 45, 49, 12, 1, 4
2021/6/2, 66, 54, , 13, 2, 5
2021/6/3, 69, 36, , 11, 2, 6
2021/6/4, 60, 20, 40, 8, 2, 4
2021/6/5, 55, 39, 45, 12, 2, 4
2021/6/6, 69, 53, 78, 18, 2, 5
2021/6/7, 85, 62, 87, 16, 2, 5
2021/6/8, 98, 65, 66, 14, 2, 6
2021/6/9, 89, 52, 44, 11, 2, 5
2021/6/10, 77, 36, 22, 15, 2, 6
2021/6/11, 68, 44, 51, 8, 2, 5
2021/6/12, 71, 40, 99, 7, 2, 5
2021/6/13, 71, 19, 32, 14, 2, 6
