date, pm25, pm10, o3, no2, so2, co
2021/11/2, 41, 20, 29, 5, 3, 5
2021/11/3, 56, 30, 27, 7, 3, 5
2021/11/4, 82, 24, 17, 10, 5, 7
2021/11/5, 64, 46, 16, 12, 8, 8
2021/11/6, 97, 39, 15, 9, 10, 6
2021/11/7, 90, 15, 20, 5, 6, 5
2021/11/8, 44, 31, 32, 4, 4, 2
2021/11/9, 27, 31, 31, 5, 4, 3
2021/11/10, 58, 36, 37, 10, 9, 4
2021/11/11, 78, 41, 38, 10, 10, 3
2021/11/12, 80, 47, 36, 9, 11, 3
2021/11/13, 102, 53, 42, 13, 11, 4
2021/11/14, 116, 59, 39, 14, 10, 5
2021/11/15, 134, 43, 34, 9, 4, 4
2021/11/16, 110, 35, 33, 11, 6, 4
2021/11/17, 86, 26, 33, 8, 4, 6
2021/11/18, 68, 50, 42, 10, 5, 6
2021/11/19, 118, 56, 24, 13, 11, 6
2021/11/20, 132, 33, 18, 12, 5, 7
2021/11/21, 84, 16, 28, 6, 5, 6
2021/11/22, 47, , , , , 
2021/10/2, 119, 58, 51, 6, 12, 6
2021/10/3, 127, 47, 39, 4, 5, 6
2021/10/4, 103, 37, 37, 7, 8, 6
2021/10/5, 77, 44, 49, 8, 18, 6
2021/10/6, 92, 53, 56, 8, 9, 7
2021/10/7, 105, 45, 41, 4, 4, 7
2021/10/8, 90, 37, 32, 4, 3, 9
2021/10/9, 92, 24, 26, 5, 2, 9
2021/10/10, 68, 13, 23, 5, 3, 9
2021/10/11, 39, 16, 23, 4, 2, 7
2021/10/12, 34, 22, 33, 4, 2, 7
2021/10/13, 53, 36, 37, 5, 2, 5
2021/10/14, 73, 21, 37, 5, 1, 5
2021/10/15, 63, 17, 31, 5, 2, 7
2021/10/16, 54, 9, 29, 4, 2, 6
2021/10/17, 25, 18, 26, 4, 3, 5
2021/10/18, 34, 47, 35, 7, 8, 5
2021/10/19, 89, 49, 27, 9, 11, 5
2021/10/20, 124, 11, 19, 7, 5, 6
2021/10/21, 51, 8, 32, 4, 2, 5
2021/10/22, 17, 23, 36, 4, 4, 4
2021/10/23, 50, 40, 39, 7, 4, 5
2021/10/24, 87, 45, 45, 7, 6, 6
2021/10/25, 91, 55, 53, 9, 9, 6
2021/10/26, 127, 52, 50, 9, 10, 5
2021/10/27, 128, 53, 47, 7, 8, 6
2021/10/28, 130, 61, 52, 8, 9, 6
2021/10/29, 147, 34, 39, 7, 4, 7
2021/10/30, 95, 43, 41, 7, 4, 7
2021/10/31, 105, 31, 36, 7, 5, 8
2021/11/1, 89, 14, 37, 6, 4, 6
2021/9/2, 68, 29, 31, 5, 6, 3
2021/9/3, 65, 32, 41, 6, 9, 4
2021/9/4, 64, 35, 38, 6, 7, 4
2021/9/5, 70, 37, 39, 7, 16, 4
2021/9/6, 76, 45, 54, 7, 15, 4
2021/9/7, 88, 40, 38, 3, 4, 5
2021/9/8, 100, 44, 44, 4, 11, 5
2021/9/9, 96, 44, 48, 6, 13, 6
2021/9/10, 96, 50, 47, 7, 10, 5
2021/9/11, 108, 52, 58, 8, 10, 6
2021/9/12, 130, 52, 58, 5, 7, 6
2021/9/13, 104, 52, 59, 4, 7, 6
2021/9/14, 126, 48, 53, 4, 6, 5
2021/9/15, 89, 36, 51, 4, 5, 5
2021/9/16, 87, 22, 35, 5, 3, 5
2021/9/17, 56, 34, 31, 5, 8, 4
2021/9/18, 70, 34, 32, 8, 8, 5
2021/9/19, 72, 38, 35, 7, 4, 5
2021/9/20, 75, 31, 40, 5, 14, 5
2021/9/21, 69, 36, 42, 5, 12, 5
2021/9/22, 81, 31, 36, 3, 9, 4
2021/9/23, 78, 26, 32, 5, 9, 4
2021/9/24, 68, 25, 29, 5, 11, 4
2021/9/25, 68, 23, 26, 6, 5, 4
2021/9/26, 53, 36, 42, 6, 15, 4
2021/9/27, 83, 47, 60, 7, 11, 6
2021/9/28, 94, 52, 55, 9, 17, 6
2021/9/29, 107, 52, 52, 8, 14, 6
2021/9/30, 103, 41, 47, 6, 8, 7
2021/10/1, 94, 54, 51, 6, 12, 7
2021/8/2, 62, 48, 67, 6, 2, 6
2021/8/3, 96, 53, 60, 8, 3, 7
2021/8/4, 110, 49, 54, 7, 2, 6
2021/8/5, 103, 39, 39, 6, 3, 6
2021/8/6, 89, 25, 35, 6, 2, 5
2021/8/7, 53, 36, 46, 6, 2, 5
2021/8/8, 66, 32, 42, 6, 2, 6
2021/8/9, 68, 22, 38, 3, 2, 5
2021/8/10, 57, 25, 26, 3, 2, 5
2021/8/11, 56, 18, 20, 3, 2, 5
2021/8/12, 37, 22, 24, 4, 3, 5
2021/8/13, 51, 24, 25, 5, 2, 5
2021/8/14, 48, 18, 43, 3, 3, 4
2021/8/15, 42, 13, 15, 3, 3, 5
2021/8/16, 29, 19, 20, 3, 2, 3
2021/8/17, 34, 25, 23, 5, 2, 3
2021/8/18, 46, 28, 28, 5, 2, 3
2021/8/19, 53, 27, 28, 4, 2, 3
2021/8/20, 64, 27, 31, 4, 2, 3
2021/8/21, 53, 28, 29, 4, 2, 3
2021/8/22, 57, 27, 24, 3, 2, 2
2021/8/23, 58, 26, 27, 3, 2, 2
2021/8/24, 58, 27, 26, 4, 2, 2
2021/8/25, 57, 35, 30, 6, 2, 2
2021/8/26, 69, 24, 19, 6, 2, 4
2021/8/27, 58, 19, 26, 5, 2, 5
2021/8/28, 46, 25, 31, 3, 2, 5
2021/8/29, 62, 26, 44, 4, 2, 5
2021/8/30, 51, 17, 27, 3, 2, 5
2021/8/31, 47, 25, 39, 4, 2, 4
2021/9/1, 53, 32, 37, 5, 2, 4
2021/7/2, 75, 32, 32, 8, 2, 6
2021/7/3, 68, 31, 26, 6, 3, 6
2021/7/4, 66, 35, 31, 7, 4, 6
2021/7/5, 81, 34, 32, 6, 4, 5
2021/7/6, 75, 45, 39, 7, 10, 5
2021/7/7, 87, 36, 34, 6, 5, 4
2021/7/8, 74, 26, 26, 4, 3, 3
2021/7/9, 57, 25, 27, 5, 3, 4
2021/7/10, 45, 35, 33, 7, 5, 6
2021/7/11, 73, 35, 30, 7, 4, 5
2021/7/12, 79, 34, 37, 6, 5, 5
2021/7/13, 69, 26, 27, 5, 4, 5
2021/7/14, 61, 28, 27, 4, 5, 4
2021/7/15, 68, 29, 33, 5, 3, 5
2021/7/16, 68, 35, 35, 8, 6, 4
2021/7/17, 77, 44, 47, 8, 6, 6
2021/7/18, 92, 35, 44, 7, 5, 6
2021/7/19, 91, 39, 43, 8, 6, 6
2021/7/20, 90, 40, 34, 10, 5, 6
2021/7/21, 90, 33, 31, 7, 5, 5
2021/7/22, 73, 33, 33, 7, 4, 6
2021/7/23, 71, 45, 40, 9, 8, 6
2021/7/24, 91, 35, 37, 6, 3, 5
2021/7/25, 80, 37, 41, 6, 3, 5
2021/7/26, 91, 48, 44, 10, 6, 5
2021/7/27, 109, 46, 47, 10, 4, 6
2021/7/28, 95, 47, 41, 10, 6, 6
2021/7/29, 98, 46, 68, 7, 2, 5
2021/7/30, 101, 36, 47, 5, 2, 5
2021/7/31, 81, 32, 49, 7, 2, 6
2021/8/1, 68, 30, 75, 5, 2, 6
2021/6/2, 91, 24, 24, 7, 3, 6
2021/6/3, 61, 29, 41, 9, 9, 7
2021/6/4, 74, 30, 45, 7, 6, 6
2021/6/5, 57, 43, 62, 10, 11, 7
2021/6/6, 73, 48, 25, 11, 19, 9
