date, pm25, pm10, o3, no2, so2, co
2021/11/2, 44, 20, 23, 10, 3, 5
2021/11/3, 41, 24, 14, 12, 4, 5
2021/11/4, 52, 23, 13, 12, 4, 6
2021/11/5, 41, 42, 16, 13, 4, 6
2021/11/6, 70, 34, 21, 7, 2, 5
2021/11/7, 61, 23, 20, 5, 3, 5
2021/11/8, 36, 44, 28, 6, 5, 3
2021/11/9, 66, 35, 26, 7, 6, 3
2021/11/10, 58, 58, 33, 12, 7, 2
2021/11/11, 91, 56, 22, 17, 8, 3
2021/11/12, 106, , , , , 
2021/10/2, 83, 42, 40, 7, 3, 4
2021/10/3, 77, 47, 37, 5, 3, 3
2021/10/4, 75, 44, 34, 7, 3, 2
2021/10/5, 65, 33, 38, 8, 2, 3
2021/10/6, 46, 39, 41, 11, 3, 4
2021/10/7, 58, 55, 36, 8, 2, 5
2021/10/8, 109, 35, 48, 5, 2, 3
2021/10/9, 62, 26, 32, 6, 2, 4
2021/10/10, 51, 12, 19, 7, 2, 4
2021/10/11, 14, 11, 21, 5, 3, 5
2021/10/12, 19, 18, 21, 6, 2, 3
2021/10/13, 31, 23, 23, 8, 2, 3
2021/10/14, 40, 16, 19, 10, 2, 4
2021/10/15, 23, 17, 21, 7, 2, 4
2021/10/16, 24, 14, 24, 5, 2, 3
2021/10/17, 18, 21, 25, 6, 1, 4
2021/10/18, 30, 35, 21, 9, 3, 5
2021/10/19, 71, 31, 14, 10, 4, 6
2021/10/20, 61, 16, 8, 8, 2, 5
2021/10/21, 28, 15, 16, 7, 3, 4
2021/10/22, 29, 18, 35, 4, 2, 3
2021/10/23, 37, 27, 37, 6, 4, 4
2021/10/24, 59, 37, 42, 8, 4, 4
2021/10/25, 70, 49, 34, 16, 5, 5
2021/10/26, 80, 46, 30, 12, 4, 5
2021/10/27, 91, 50, 27, 11, 5, 7
2021/10/28, 107, 48, 31, 10, 3, 5
2021/10/29, 100, 27, 21, 11, 4, 5
2021/10/30, 59, 37, 25, 11, 3, 4
2021/10/31, 72, 22, 19, 10, 3, 4
2021/11/1, 53, 19, 23, 9, 2, 6
2021/9/2, 34, 31, 36, 8, 3, 4
2021/9/3, 51, 31, 25, 6, 3, 3
2021/9/4, 33, 28, 31, 7, 2, 4
2021/9/5, 35, 30, 32, 7, 2, 4
2021/9/6, 36, 28, 38, 6, 2, 4
2021/9/7, 35, 25, 42, 5, 3, 4
2021/9/8, 35, 41, 39, 10, 3, 5
2021/9/9, 62, 54, 48, 15, 3, 6
2021/9/10, 79, 40, 38, 10, 2, 5
2021/9/11, 74, 41, 37, 12, 2, 5
2021/9/12, 58, 40, 35, 11, 2, 5
2021/9/13, 61, 31, 43, 7, 2, 6
2021/9/14, 53, 51, 47, 8, 2, 6
2021/9/15, 95, 30, 33, 7, 2, 4
2021/9/16, 47, 22, 23, 6, 3, 4
2021/9/17, 31, 20, 21, 7, 2, 4
2021/9/18, 26, 23, 20, 6, 2, 3
2021/9/19, 29, 21, 26, 6, 2, 4
2021/9/20, 24, 29, 43, 11, 3, 4
2021/9/21, 43, 38, 34, 11, 3, 5
2021/9/22, 57, 32, 29, 7, 3, 4
2021/9/23, 54, 28, 22, 6, 2, 3
2021/9/24, 40, 29, 23, 7, 2, 3
2021/9/25, 30, 24, 20, 5, 2, 3
2021/9/26, 22, 35, 27, 8, 3, 3
2021/9/27, 36, 38, 35, 12, 3, 3
2021/9/28, 51, 40, 35, 11, 3, 6
2021/9/29, 64, 32, 46, 12, 4, 5
2021/9/30, 52, 45, 52, 16, 3, 5
2021/10/1, 67, 50, 41, 15, 3, 5
2021/8/2, 88, 42, 59, 11, 2, 6
