date, pm25, pm10, o3, no2, so2, co
2021/11/2, 161, 82, 26, 23, 2, 
2021/11/3, 186, 86, 36, 20, 4, 
2021/11/4, 191, 81, 53, 20, 3, 
2021/11/5, 169, 127, 17, 24, 3, 
2021/11/6, 272, 136, 39, 22, 1, 
2021/11/7, 254, 18, 23, 9, 2, 
2021/11/8, 45, 40, 30, 10, 4, 
2021/11/9, 57, 27, 34, 12, 6, 
2021/11/10, 52, 43, 30, 21, 8, 
2021/11/11, 73, 52, 28, 32, 4, 
2021/11/12, 94, 65, 27, 24, 11, 
2021/11/13, 111, 70, 27, 27, 12, 
2021/11/14, 127, 68, 25, 27, 15, 
2021/11/15, 125, 86, 18, 33, 10, 
2021/11/16, 188, 74, 27, 26, 3, 
2021/11/17, 152, 100, 39, 31, 17, 
2021/11/18, 179, 91, 49, 28, 14, 
2021/11/19, 198, 103, 23, 23, 3, 
2021/11/20, 223, 55, 5, 15, 3, 
2021/11/21, 90, , , , , 
2021/10/2, 145, 88, 68, 19, 6, 
2021/10/3, 150, 89, 24, 12, 3, 
2021/10/4, 165, 28, 20, 5, 2, 
2021/10/5, 51, 12, 24, 2, 1, 
2021/10/6, 37, 10, 21, 3, 2, 
2021/10/7, 31, 22, 27, 6, 2, 
2021/10/8, 57, 42, 32, 13, 3, 
2021/10/9, 89, 39, 28, 11, 2, 
2021/10/10, 124, 54, 20, 15, 4, 
2021/10/11, 80, 50, 27, 18, 7, 
2021/10/12, 78, 50, 38, 19, 4, 
2021/10/13, 146, 61, 54, 23, 5, 
2021/10/14, 116, 72, 40, 23, 4, 
2021/10/15, 167, 60, 23, 22, 5, 
2021/10/16, 121, 32, 51, 9, 1, 
2021/10/17, 71, 48, 29, 16, 7, 
2021/10/18, 87, 71, 31, 25, 7, 
2021/10/19, 140, 61, 17, 19, 3, 
2021/10/20, 101, 65, 13, 22, 14, 
2021/10/21, 168, 68, 20, 25, 5, 
2021/10/22, 140, 52, 27, 21, 5, 
2021/10/23, 97, 74, 37, 27, 9, 
2021/10/24, 264, 87, 50, 28, 9, 
2021/10/25, 175, 104, 44, 29, 12, 
2021/10/26, 188, 96, 32, 27, 5, 
2021/10/27, 190, 75, 36, 27, 16, 
2021/10/28, 138, 80, 39, 32, 7, 
2021/10/29, 164, 106, 36, 34, 10, 
2021/10/30, 198, 107, 50, 33, 7, 
2021/10/31, 189, 104, 43, 26, 6, 
2021/11/1, 195, 70, 34, 14, 1, 
2021/9/2, 65, 33, 57, 9, 3, 
2021/9/3, 64, 53, 61, 7, 6, 
2021/9/4, 110, 25, 43, 6, 3, 
2021/9/5, 68, 34, 37, 7, 3, 
2021/9/6, 78, 27, 42, 5, 2, 
2021/9/7, 65, 21, 10, 7, 2, 
2021/9/8, 36, 1, , , , 
2021/9/9, 1, 32, 86, 5, 3, 
2021/9/10, 58, 68, 93, 9, 3, 
2021/9/11, 140, 80, 99, 17, 4, 
2021/9/12, 135, 79, 108, 15, 3, 
2021/9/13, 130, 85, 105, 14, 2, 
2021/9/14, 148, 64, 64, 8, 2, 
2021/9/15, 110, 39, 58, 7, 3, 
2021/9/16, 64, 53, 35, 19, 6, 
2021/9/17, 86, 42, 39, 12, 4, 
2021/9/18, 79, 42, 37, 15, 3, 
2021/9/19, 85, 11, 37, 4, 1, 
2021/9/20, 35, 25, 56, 5, 4, 
2021/9/21, 37, 41, 65, 11, 5, 
2021/9/22, 68, 96, 71, 16, 6, 
2021/9/23, 91, 59, 46, 17, 5, 
2021/9/24, 113, 36, 30, 6, 2, 
2021/9/25, 79, 16, 36, 3, 2, 
2021/9/26, 47, 11, 24, 4, 2, 
2021/9/27, 36, 31, 30, 7, 2, 
2021/9/28, 57, 36, 27, 13, 3, 
2021/9/29, 61, 18, 36, 5, 3, 
2021/9/30, 24, 68, 73, 15, 5, 
2021/10/1, 101, 80, 61, 11, 3, 
2021/8/2, 72, 33, 79, 6, 4, 
2021/8/3, 68, 37, 76, 6, 4, 
2021/8/4, 85, 55, 89, 7, 5, 
2021/8/5, 112, 50, 63, 7, 4, 
2021/8/6, 100, 59, 73, 6, 3, 
2021/8/7, 129, 44, 78, 11, 1, 
2021/8/8, 95, 15, 49, 1, 1, 
2021/8/9, 30, 19, 72, 1, 2, 
2021/8/10, 41, 44, 72, 7, 3, 
2021/8/11, 91, 60, 82, 12, 7, 
2021/8/12, 117, 43, 65, 7, 6, 
2021/8/13, 100, 50, 66, 10, 2, 
2021/8/14, 104, 50, 74, 11, 2, 
2021/8/15, 104, 57, 88, 8, 4, 
2021/8/16, 126, 61, 85, 9, 7, 
2021/8/17, 136, 70, 89, 9, 6, 
2021/8/18, 148, 55, 71, 4, 2, 
2021/8/19, 112, 56, 44, 6, 4, 
2021/8/20, 123, 18, 55, 2, 1, 
2021/8/21, 59, 40, 57, 6, 2, 
2021/8/22, 85, 57, 38, 7, 3, 
2021/8/23, 118, 31, 64, 6, 5, 
2021/8/24, 69, 54, 54, 11, 12, 
2021/8/25, 83, 44, 80, 13, 9, 
2021/8/26, 60, 60, 45, 18, 25, 
2021/8/27, 92, 40, 56, 8, 4, 
2021/8/28, 68, 70, 62, 4, 3, 
2021/8/29, 100, 32, 30, 5, 7, 
2021/8/30, 72, 34, 44, 5, 2, 
2021/8/31, 77, 26, 43, 2, 1, 
2021/9/1, 68, 31, 56, 6, 2, 
2021/7/2, 77, 38, 78, 5, 3, 6
2021/7/3, 79, 44, 87, 3, 3, 9
2021/7/4, 96, 57, 115, 6, 4, 5
2021/7/5, 106, 44, 75, 3, 4, 2
2021/7/6, 74, 42, 78, 2, 5, 2
2021/7/7, 77, 373, 500, 160, 173, 6
2021/7/8, 404, 881, 500, 438, 439, 11
2021/7/9, 886, 960, 500, 480, 480, 11
2021/7/10, 963, 62, 106, 10, 5, 
2021/7/11, 112, 37, 31, 5, 1, 
2021/7/12, 72, 25, 51, 3, 2, 
2021/7/13, 55, 61, 91, 7, 2, 
2021/7/14, 110, 39, 63, 8, 7, 
2021/7/15, 63, 42, 73, 5, 2, 
2021/7/16, 85, 44, 61, 6, 1, 
2021/7/17, 87, 40, 38, 4, 1, 
2021/7/18, 80, 31, 36, 4, 1, 
2021/7/19, 70, 40, 48, 5, 1, 
2021/7/20, 80, 55, 38, 8, 2, 
2021/7/21, 109, 25, 34, 3, 1, 
2021/7/22, 56, 16, 13, 2, , 
2021/7/23, 44, 40, 53, 5, 2, 
2021/7/24, 95, 48, 41, 9, 4, 
2021/7/25, 101, 41, 49, 5, 4, 
2021/7/26, 82, 46, 68, 5, 7, 
2021/7/27, 95, 46, 74, 8, 3, 
2021/7/28, 93, 22, 32, 4, 3, 
2021/7/29, 57, 13, 33, 1, 2, 
2021/7/30, 51, 36, 74, 6, 5, 
2021/7/31, 74, 52, 91, 5, 5, 
2021/8/1, 96, 33, 79, 4, 4, 
2021/6/2, 149, 76, 102, 14, 6, 8
2021/6/3, 150, 62, 46, 7, 4, 5
2021/6/4, 105, 51, 61, 15, 9, 7
2021/6/5, 75, 45, 81, 12, 4, 3
2021/6/6, 68, 65, 113, 13, 6, 5
2021/6/7, 91, 68, 103, 13, 12, 9
2021/6/8, 120, 67, 116, 10, 4, 6
2021/6/9, 118, 68, 94, 9, 3, 7
2021/6/10, 139, 42, 79, 7, 1, 4
2021/6/11, 88, 68, 93, 20, 14, 22
2021/6/12, 116, 79, 103, 20, 10, 5
2021/6/13, 126, 43, 42, 5, 4, 4
2021/6/14, 84, 50, 37, 6, 2, 3
2021/6/15, 99, 55, 72, 5, 2, 3
2021/6/16, 109, 51, 51, 4, 2, 2
2021/6/17, 96, 37, 42, 7, 2, 4
2021/6/18, 92, 52, 93, 14, 9, 13
2021/6/19, 109, 51, 60, 18, 12, 12
2021/6/20, 86, 38, 71, 12, 5, 4
2021/6/21, 61, 54, 107, 17, 7, 8
2021/6/22, 82, 58, 116, 8, 5, 5
2021/6/23, 120, 59, 119, 10, 6, 4
2021/6/24, 103, 58, 109, 7, 5, 4
2021/6/25, 100, 70, 90, 8, 4, 6
2021/6/26, 138, 62, 103, 4, 6, 5
2021/6/27, 125, 67, 118, 6, 3, 6
2021/6/28, 140, 68, 108, 9, 4, 10
2021/6/29, 143, 42, 81, 6, 7, 13
2021/6/30, 101, 61, 84, 7, 5, 12
2021/7/1, 129, 43, 52, 4, 4, 6
2021/5/2, 94, 49, 43, 9, 5, 
2021/5/3, 67, 53, 48, 9, 6, 
2021/5/4, 105, 91, 43, 13, 5, 1
2021/5/5, 156, 87, 60, 16, 8, 7
2021/5/6, 109, 116, 54, 12, 8, 7
2021/5/7, 139, 492, 44, 8, 7, 7
2021/5/8, 253, 154, 67, 15, 12, 11
2021/5/9, 185, 86, 68, 12, 9, 6
2021/5/10, 151, 83, 70, 11, 6, 5
2021/5/11, 111, 52, 63, 7, 4, 3
2021/5/12, 100, 79, 88, 17, 8, 5
2021/5/13, 143, 92, 78, 14, 11, 6
2021/5/14, 155, 79, 28, 14, 6, 8
2021/5/15, 148, 78, 25, 15, 4, 7
2021/5/16, 141, 21, 42, 5, 2, 5
2021/5/17, 47, 45, 65, 14, 8, 6
2021/5/18, 68, 59, 79, 11, 8, 6
2021/5/19, 97, 56, 54, 5, 6, 5
2021/5/20, 98, 68, 45, 7, 5, 6
2021/5/21, 141, 63, 72, 9, 7, 6
2021/5/22, 122, 65, 75, 6, 5, 6
2021/5/23, 114, 70, 46, 5, 4, 4
2021/5/24, 104, 94, 58, 15, 13, 14
2021/5/25, 132, 93, 61, 12, 8, 5
2021/5/26, 139, 76, 49, 13, 6, 6
2021/5/27, 117, 99, 74, 18, 7, 11
2021/5/28, 116, 101, 59, 9, 4, 3
2021/5/29, 123, 91, 94, 14, 9, 8
2021/5/30, 147, 41, 63, 8, 3, 3
2021/5/31, 78, 89, 99, 18, 12, 6
2021/6/1, 134, 71, 95, 9, 4, 9
2021/4/2, 153, 73, 38, 14, 4, 4
2021/4/3, 118, 48, 26, 10, 2, 5
2021/4/4, 114, 43, 13, 14, 3, 3
2021/4/5, 101, 69, 46, 21, 12, 6
2021/4/6, 113, 76, 63, 20, 7, 8
2021/4/7, 153, 97, 77, 32, 14, 15
2021/4/8, 162, 80, 80, 15, 10, 5
2021/4/9, 143, 89, 61, 13, 7, 7
2021/4/10, 153, 68, 68, 8, 6, 4
2021/4/11, 121, 73, 54, 8, 8, 4
2021/4/12, 111, 85, 70, 11, 7, 7
2021/4/13, 154, 44, 37, 6, 2, 2
2021/4/14, 69, 64, 44, 14, 6, 5
2021/4/15, 80, 174, 48, 7, 5, 3
2021/4/16, 158, 380, 33, 10, 5, 
2021/4/17, 179, 51, 41, 6, 4, 
2021/4/18, 98, 77, 54, 14, 9, 
2021/4/19, 100, 71, 56, 11, 8, 
2021/4/20, 109, 60, 57, 11, 9, 
2021/4/21, 103, 52, 41, 12, 3, 
2021/4/22, 95, 58, 57, 14, 3, 
2021/4/23, 109, 60, 51, 9, 5, 
2021/4/24, 113, 50, 45, 7, 4, 
