date, pm25, pm10, o3, no2, so2, co
2021/11/2, 110, 51, 32, 12, 5, 8
2021/11/3, 120, 60, 28, 14, 11, 10
2021/11/4, 140, 31, 23, 10, 7, 9
2021/11/5, 78, 40, 10, 10, 6, 10
2021/11/6, 95, 37, 15, 8, 7, 9
2021/11/7, 96, 18, 23, 6, 2, 5
2021/11/8, 62, 34, 30, 7, 6, 5
2021/11/9, 55, 50, 29, 13, 15, 6
2021/11/10, 86, 69, 34, 19, 10, 10
2021/11/11, 107, 64, 36, 20, 12, 7
2021/11/12, 100, 61, 32, 18, 11, 5
2021/11/13, 93, 63, 42, 19, 12, 7
2021/11/14, 89, 69, 42, 21, 15, 8
2021/11/15, 146, 79, 38, 20, 21, 10
2021/11/16, 155, 67, 21, 18, 9, 9
2021/11/17, 156, 64, 29, 14, 4, 8
2021/11/18, 156, 77, 49, 17, 8, 9
2021/11/19, 159, 58, 29, 16, 7, 8
2021/11/20, 127, , , , , 
2021/10/2, 116, 60, 61, 12, 12, 8
2021/10/3, 128, 50, 64, 6, 12, 7
2021/10/4, 102, 42, 51, 10, 9, 6
2021/10/5, 81, 50, 59, 10, 7, 5
2021/10/6, 106, 62, 51, 7, 9, 7
2021/10/7, 136, 44, 20, 8, 3, 7
2021/10/8, 110, 52, 23, 9, 4, 7
2021/10/9, 124, 40, 17, 10, 3, 8
2021/10/10, 112, 26, 18, 8, 3, 8
2021/10/11, 74, 26, 24, 7, 3, 5
2021/10/12, 62, 40, 45, 9, 4, 6
2021/10/13, 82, 48, 36, 8, 4, 5
2021/10/14, 102, 38, 32, 10, 3, 5
2021/10/15, 92, 15, 31, 10, 2, 7
2021/10/16, 53, 10, 25, 7, 3, 5
2021/10/17, 43, 26, 24, 6, 6, 5
2021/10/18, 56, 47, 30, 9, 6, 6
2021/10/19, 108, 33, 22, 10, 7, 8
2021/10/20, 85, 13, 21, 7, 4, 6
2021/10/21, 46, 15, 27, 6, 3, 5
2021/10/22, 53, 33, 25, 11, 8, 6
2021/10/23, 85, 45, 43, 13, 10, 7
2021/10/24, 124, 54, 51, 17, 14, 9
2021/10/25, 121, 62, 53, 18, 13, 9
2021/10/26, 142, 68, 39, 17, 14, 9
2021/10/27, 149, 72, 55, 15, 10, 9
2021/10/28, 165, 60, 48, 12, 7, 8
2021/10/29, 146, 64, 36, 11, 7, 10
2021/10/30, 156, 75, 50, 12, 10, 10
2021/10/31, 162, 65, 49, 11, 14, 11
2021/11/1, 157, 46, 34, 9, 11, 8
2021/9/2, 69, 47, 61, 8, 10, 8
2021/9/3, 89, 34, 47, 7, 9, 6
2021/9/4, 69, 37, 56, 7, 9, 6
2021/9/5, 71, 42, 59, 7, 7, 6
2021/9/6, 89, 57, 48, 7, 7, 8
2021/9/7, 132, 36, 41, 7, 3, 6
2021/9/8, 81, 46, 70, 9, 8, 7
2021/9/9, 88, 63, 91, 12, 13, 9
2021/9/10, 121, 61, 78, 13, 18, 9
2021/9/11, 118, 57, 84, 11, 19, 9
2021/9/12, 102, 53, 69, 10, 10, 8
2021/9/13, 106, 44, 66, 8, 10, 7
2021/9/14, 82, 48, 64, 10, 11, 7
2021/9/15, 87, 54, 65, 12, 14, 7
2021/9/16, 105, 58, 86, 11, 20, 8
2021/9/17, 116, 56, 81, 10, 8, 7
2021/9/18, 122, 51, 45, 8, 8, 7
2021/9/19, 111, 49, 45, 8, 13, 9
2021/9/20, 92, 31, 47, 8, 6, 9
2021/9/21, 55, 45, 66, 12, 9, 7
2021/9/22, 86, 56, 74, 13, 15, 11
2021/9/23, 108, 46, 67, 10, 7, 5
2021/9/24, 100, 39, 41, 9, 9, 8
2021/9/25, 71, 53, 47, 9, 17, 6
2021/9/26, 97, 50, 58, 11, 11, 7
2021/9/27, 103, 59, 67, 11, 9, 7
2021/9/28, 142, 75, 96, 11, 10, 9
2021/9/29, 158, 50, 34, 9, 7, 7
2021/9/30, 111, 39, 60, 11, 6, 8
2021/10/1, 74, 57, 77, 12, 12, 8
2021/8/2, 112, 57, 70, 11, 11, 8
2021/8/3, 118, 53, 75, 8, 10, 7
2021/8/4, 110, 44, 52, 7, 5, 7
2021/8/5, 89, 22, 35, 6, 3, 5
2021/8/6, 63, 31, 40, 7, 4, 8
2021/8/7, 66, 42, 42, 10, 6, 10
2021/8/8, 81, 46, 66, 9, 5, 11
2021/8/9, 79, 36, 51, 7, 6, 7
2021/8/10, 72, , , , , 
2021/8/21, 94, 49, 36, 7, 7, 7
2021/8/22, 98, 46, 35, 6, 10, 7
2021/8/23, 99, 45, 33, 6, 11, 6
2021/8/24, 87, 35, 35, 5, 13, 7
2021/8/25, 72, 41, 45, 7, 6, 7
2021/8/26, 86, 51, 59, 7, 6, 7
2021/8/27, 100, 35, 34, 6, 6, 6
2021/8/28, 79, 50, 73, 7, 7, 7
2021/8/29, 98, 32, 35, 6, 8, 6
2021/8/30, 59, 41, 39, 8, 13, 6
2021/8/31, 80, 44, 44, 9, 11, 6
2021/9/1, 89, 37, 44, 7, 10, 6
2021/7/2, 67, 38, 27, 6, 11, 6
2021/7/3, 69, 40, 33, 7, 16, 6
2021/7/4, 75, 33, 32, 8, 5, 7
2021/7/5, 66, 45, 45, 8, 10, 6
2021/7/6, 82, 41, 44, 9, 12, 6
2021/7/7, 71, 38, 43, 7, 15, 5
2021/7/8, 69, 30, 30, 6, 13, 5
2021/7/9, 45, 36, 29, 6, 20, 6
2021/7/10, 65, 38, 36, 7, 13, 5
2021/7/11, 65, 45, 50, 7, 24, 5
2021/7/12, 81, 36, 40, 5, 20, 6
2021/7/13, 61, 35, 35, 5, 16, 7
2021/7/14, 59, 40, 38, 7, 18, 8
2021/7/15, 71, 43, 40, 7, 16, 8
2021/7/16, 81, 44, 43, 8, 10, 7
2021/7/17, 75, 43, 59, 9, 10, 6
2021/7/18, 80, 39, 40, 8, 8, 6
2021/7/19, 74, 41, 43, 9, 5, 5
2021/7/20, 74, 41, 39, 9, 7, 6
