date, pm25, pm10, o3, no2, so2, co
2021/11/2, 152, 44, , 12, 3, 3
2021/11/3, 78, 64, , 20, 5, 5
2021/11/4, 133, 72, , 18, 5, 4
2021/11/5, 152, 35, , 11, 2, 3
2021/11/6, 78, 21, , 6, 2, 2
2021/11/7, 47, 28, , 7, 2, 3
2021/11/8, 42, 29, , 10, 3, 1
2021/11/9, 47, 43, , 13, 5, 2
2021/11/10, 73, 50, , 17, 5, 2
2021/11/11, 85, 50, , 17, 6, 2
2021/11/12, 80, 57, , 22, 7, 3
2021/11/13, 102, 75, , 20, 6, 4
2021/11/14, 120, 68, , 22, 6, 5
2021/11/15, 120, 73, , 31, 6, 7
2021/11/16, 133, 85, , 36, 5, 6
2021/11/17, 168, 77, , 22, 5, 5
2021/11/18, 163, 80, , 28, 7, 6
2021/11/19, 166, 57, , 22, 3, 3
2021/11/20, 133, 42, , 10, 2, 3
2021/11/21, 92, , , , , 
2021/10/2, 67, 53, , 11, 3, 5
2021/10/3, 101, 53, , 10, 3, 5
2021/10/4, 92, 49, , 8, 3, 4
2021/10/5, 77, 45, , 9, 2, 3
2021/10/6, 80, 37, , 5, 2, 2
2021/10/7, 53, 19, , 5, 2, 2
2021/10/8, 48, 10, , , 1, 2
2021/10/9, 50, 33, , 14, 2, 3
2021/10/10, 57, 16, , 8, 2, 7
2021/10/11, 40, 22, , 7, 3, 5
2021/10/12, 27, 25, , 8, 3, 4
2021/10/13, 39, 31, , 7, 2, 4
2021/10/14, 55, 14, , 4, 2, 4
2021/10/15, 41, 24, , 6, 2, 6
2021/10/16, 66, 30, , 5, 2, 4
2021/10/17, 32, 24, , 11, 3, 4
2021/10/18, 30, 37, , 15, 3, 5
2021/10/19, 67, 52, , 17, 4, 5
2021/10/20, 105, 38, , 13, 3, 3
2021/10/21, 61, 67, , 20, 5, 5
2021/10/22, 148, 76, , 27, 5, 5
2021/10/23, 149, 61, , 25, 4, 5
2021/10/24, 113, 45, , 18, 4, 3
2021/10/25, 91, 53, , 22, 4, 5
2021/10/26, 112, 65, , 22, 4, 5
2021/10/27, 145, 74, , 23, 4, 5
2021/10/28, 148, 36, , 15, 3, 2
2021/10/29, 52, 58, , 25, 3, 4
2021/10/30, 120, 71, , 32, 5, 5
2021/10/31, 157, 77, , 28, 6, 5
2021/11/1, 160, 68, , 18, 3, 4
2021/9/2, 81, 12, , 4, 2, 3
2021/9/3, 29, 18, , 5, 3, 3
2021/9/4, 47, 17, , 4, 3, 3
2021/9/5, 40, 16, , 5, , 4
2021/9/6, 53, 27, , 7, 3, 4
2021/9/7, 66, 24, , 7, 3, 4
2021/9/8, 45, 30, , 9, 3, 5
2021/9/9, 64, 45, , 10, 4, 5
2021/9/10, 101, 48, , 14, 3, 5
2021/9/11, 94, 35, , 8, 3, 4
2021/9/12, 82, 20, , 3, 3, 2
2021/9/13, 45, 23, , 3, 3, 2
2021/9/14, 54, 30, , 4, 1, 2
2021/9/15, 68, 41, , 7, 2, 3
2021/9/16, 74, 28, , 4, 1, 2
2021/9/17, 56, 47, , 10, 2, 3
2021/9/18, 98, 42, , 6, 2, 3
2021/9/19, 75, 38, , 4, 2, 1
2021/9/20, 78, 30, , 6, 2, 3
2021/9/21, 72, 24, , 3, 2, 3
2021/9/22, 54, 36, , 7, 2, 4
2021/9/23, 74, 52, , 8, 2, 3
2021/9/24, 123, 41, , 4, 2, 2
2021/9/25, 81, 22, , 3, 2, 3
2021/9/26, 45, 26, , 2, 1, 1
2021/9/27, 57, 46, , 15, 2, 4
2021/9/28, 93, 35, , 10, 2, 2
2021/9/29, 61, 17, , 3, 1, 1
2021/9/30, 48, 33, , 14, 2, 3
2021/10/1, 49, 35, , 10, 2, 4
2021/8/2, 97, 28, , 3, 2, 1
2021/8/3, 70, 13, , 1, 2, 3
2021/8/4, 32, 12, , 1, 1, 3
2021/8/5, 32, 14, , 2, , 3
2021/8/6, 37, 15, , 3, , 3
2021/8/7, 37, 15, , 3, , 3
2021/8/8, 46, 18, , 5, , 4
2021/8/9, 57, 38, , 11, 2, 5
2021/8/10, 77, , , , , 
2021/8/21, 119, 27, , 6, 2, 5
2021/8/22, 69, 28, , 5, 2, 4
2021/8/23, 64, 31, , 5, 2, 5
2021/8/24, 90, 32, , 4, 2, 3
2021/8/25, 79, 44, , 6, 2, 3
2021/8/26, 69, 42, , 7, 2, 4
2021/8/27, 65, 12, , 3, 2, 2
2021/8/28, 46, 10, , 3, 2, 3
2021/8/29, 38, 17, , 2, 2, 3
2021/8/30, 56, 41, , 5, 2, 3
2021/8/31, 93, 37, , 8, 2, 5
2021/9/1, 78, 34, , 5, 2, 6
2021/7/2, 57, 28, , , 2, 1
2021/7/3, 64, 17, , 3, 2, 1
2021/7/4, 53, 33, , 2, 3, 2
2021/7/5, 84, 7, , 1, 2, 1
