date, pm25, pm10, o3, no2, so2, co
2021/11/2, 102, 56, 44, 18, 3, 7
2021/11/3, 107, 44, 51, 18, 4, 5
2021/11/4, 72, 51, 41, 21, 4, 5
2021/11/5, 99, 26, 32, 11, 2, 5
2021/11/6, 62, 19, , 16, 2, 5
2021/11/7, 40, 29, 19, 16, 3, 5
2021/11/8, 52, 35, 28, 9, 3, 6
2021/11/9, 68, 45, 31, 16, 5, 7
2021/11/10, 84, 48, 34, 20, 6, 6
2021/11/11, 79, 56, 33, 23, 10, 6
2021/11/12, 96, 53, 30, 28, 5, 6
2021/11/13, 97, 69, 33, 33, 5, 7
2021/11/14, 134, 65, 43, 32, 5, 7
2021/11/15, 124, 79, 58, 33, 5, 7
2021/11/16, 139, 65, 47, 28, 4, 6
2021/11/17, 112, 63, 34, 30, 3, 7
2021/11/18, 111, 35, 33, 20, 3, 5
2021/11/19, 68, 41, 42, 23, 4, 5
2021/11/20, 73, 58, 15, 23, 3, 5
2021/11/21, 102, , , , , 
2021/10/2, 65, 33, 84, 12, 4, 6
2021/10/3, 78, 31, 61, 6, 4, 5
2021/10/4, 62, 37, 48, 7, 5, 5
2021/10/5, 62, 39, 64, 8, 3, 4
2021/10/6, 63, 32, 34, 8, 3, 3
2021/10/7, 53, 24, 36, 7, 3, 4
2021/10/8, 51, 35, 37, 12, 3, 6
2021/10/9, 72, 23, 35, 8, 3, 4
2021/10/10, 46, 29, 32, 13, 2, 5
2021/10/11, 53, 14, 27, 12, 2, 4
2021/10/12, 25, 27, 33, 14, 2, 4
2021/10/13, 36, 33, 24, 20, 2, 7
2021/10/14, 64, 27, 23, 11, 2, 5
2021/10/15, 57, 24, 28, 12, 2, 6
2021/10/16, 55, 13, 30, 13, 2, 4
2021/10/17, 29, 25, 26, 12, 3, 5
2021/10/18, 41, 31, , 20, 2, 4
2021/10/19, 46, 53, , 23, 4, 7
2021/10/20, 91, 28, , 15, 2, 4
2021/10/21, 53, 27, , 16, 3, 7
2021/10/22, 77, 61, , 22, 4, 8
2021/10/23, 149, 39, , 25, 3, 6
2021/10/24, 81, 33, , 25, 3, 4
2021/10/25, 59, 38, , 24, 2, 5
2021/10/26, 68, 41, 22, 24, 3, 5
2021/10/27, 78, 56, 61, 32, 3, 7
2021/10/28, 114, 41, 36, 22, 4, 5
2021/10/29, 70, 50, 44, 26, 4, 5
2021/10/30, 81, 64, 71, 31, 5, 8
2021/10/31, 127, 40, 39, 21, 3, 6
2021/11/1, 69, 51, 53, 24, 3, 6
2021/9/2, 105, 45, 53, 12, 2, 7
2021/9/3, 101, 29, 62, 9, 2, 8
2021/9/4, 69, 24, 56, 10, 3, 5
2021/9/5, 61, 43, 83, 11, 3, 6
2021/9/6, 95, 55, 64, 11, 2, 9
2021/9/7, 136, 30, 59, 9, 2, 7
2021/9/8, 68, 30, 39, 15, 3, 6
2021/9/9, 54, 29, 67, 10, 3, 6
2021/9/10, 66, 27, 30, 16, 3, 5
2021/9/11, 63, 21, 20, 12, 2, 4
2021/9/12, 46, 14, 19, 10, 2, 3
2021/9/13, 27, 8, 19, 5, 2, 3
2021/9/14, 24, 19, 38, 6, 2, 5
2021/9/15, 50, 43, 38, 8, 3, 6
2021/9/16, 79, 33, 55, 11, 3, 5
2021/9/17, 66, 42, 95, 16, 3, 6
2021/9/18, 84, 42, 89, 18, 3, 5
2021/9/19, 76, 40, 93, 10, 3, 6
2021/9/20, 85, 38, 56, 8, 3, 6
2021/9/21, 81, 27, 80, 10, 3, 7
2021/9/22, 65, 43, 92, 14, 3, 6
2021/9/23, 80, 47, 90, 14, 5, 6
2021/9/24, 89, 38, 66, 11, 4, 6
2021/9/25, 74, 32, 67, 8, 3, 5
2021/9/26, 64, 27, 69, 10, 4, 5
2021/9/27, 56, 38, 81, 8, 3, 5
2021/9/28, 75, 52, 115, 14, 5, 7
2021/9/29, 108, 49, 92, 13, 4, 8
2021/9/30, 103, 23, 67, 12, 3, 7
2021/10/1, 50, 28, 87, 12, 3, 6
2021/8/2, 94, 22, 36, 8, 2, 3
2021/8/3, 45, 18, 26, 7, 2, 3
2021/8/4, 39, 19, 26, 5, 2, 
2021/8/5, 41, 18, 24, 5, 2, 3
2021/8/6, 36, 22, 21, 5, 3, 2
2021/8/7, 41, 27, 45, 8, 2, 3
2021/8/8, 60, 31, 77, 8, 2, 4
2021/8/9, 66, 40, 99, 8, 2, 4
2021/8/10, 76, , , , , 
2021/8/14, 43, 14, 40, 8, 2, 4
2021/8/15, 42, 14, 32, 9, 2, 5
2021/8/16, 38, 21, 44, 8, 2, 5
2021/8/17, 56, 23, 56, 10, 2, 5
2021/8/18, 54, 27, 87, 11, 2, 5
2021/8/19, 66, 34, 93, 10, 3, 5
2021/8/20, 79, 37, 70, 10, 2, 5
2021/8/21, 80, 38, 49, 12, 2, 6
2021/8/22, 88, 39, 77, 11, 2, 6
2021/8/23, 93, 30, 81, 10, 2, 5
2021/8/24, 65, 40, 62, 11, 3, 6
2021/8/25, 86, 32, 63, 12, 2, 6
2021/8/26, 69, 48, 75, 17, 2, 7
2021/8/27, 93, 36, 64, 9, 2, 6
2021/8/28, 86, 57, 95, 13, 2, 8
2021/8/29, 137, 38, 69, 10, 3, 6
2021/8/30, 81, 29, 58, 9, 3, 5
2021/8/31, 59, 32, 62, 10, 3, 5
2021/9/1, 68, 49, 89, 13, 3, 7
2021/7/2, 62, 20, 18, 12, 3, 5
2021/7/3, 56, 27, 51, 10, 3, 6
2021/7/4, 66, 39, 22, 11, 3, 6
2021/7/5, 102, 39, 80, 9, 2, 5
2021/7/6, 75, 21, , 8, 3, 3
2021/7/7, 37, 27, , 9, 2, 3
2021/7/8, 68, 32, , 12, 3, 4
2021/7/9, 62, 23, , 11, 2, 4
2021/7/10, 53, 28, , 13, 2, 5
2021/7/11, 67, 47, , 13, 4, 5
2021/7/12, 113, 43, 78, 9, 3, 5
2021/7/13, 96, 43, 69, 8, 3, 4
2021/7/14, 84, 36, 30, 7, 3, 4
2021/7/15, 71, 31, 19, 8, 3, 4
2021/7/16, 57, 24, 44, 6, 3, 3
2021/7/17, 36, 19, 41, 5, 3, 4
2021/7/18, 37, 24, 67, 6, 3, 4
2021/7/19, 57, 22, , 8, 3, 4
2021/7/20, 47, 22, , 6, 3, 3
2021/7/21, 43, 22, , 6, 2, 3
2021/7/22, 39, 25, , 6, 2, 4
2021/7/23, 51, 24, , 5, 2, 4
2021/7/24, 41, 16, , 6, 2, 3
2021/7/25, 33, 9, , 2, 1, 
2021/7/26, 15, 4, , 4, 1, 4
2021/7/27, 14, 13, , 5, 1, 3
2021/7/28, 48, 19, , 5, 1, 3
2021/7/29, 63, 30, 49, 6, 2, 4
2021/7/30, 73, 31, 106, 9, 3, 4
2021/7/31, 86, 39, 77, 9, 3, 5
2021/8/1, 110, 37, 65, 15, 3, 5
2021/6/2, 46, 26, , 8, 3, 4
2021/6/3, 57, 50, , 13, 3, 7
2021/6/4, 106, 28, 59, 12, 3, 6
2021/6/5, 75, 39, 94, 15, 3, 7
2021/6/6, 75, 65, 40, 17, 5, 9
2021/6/7, 109, 43, 85, 17, 5, 4
2021/6/8, 75, 30, 61, 11, 4, 4
2021/6/9, 73, 32, 24, 13, 3, 4
2021/6/10, 69, 26, 31, 11, 2, 5
2021/6/11, 74, 34, 104, 12, 3, 7
2021/6/12, 90, 24, 59, 11, 3, 5
2021/6/13, 64, 24, 36, 11, 2, 6
2021/6/14, 74, 36, 59, 11, 3, 6
2021/6/15, 90, 29, 52, 11, 3, 5
2021/6/16, 59, 44, 54, 9, 2, 6
2021/6/17, 101, 39, 72, 12, 3, 5
2021/6/18, 83, 41, 34, 14, 1, 8
2021/6/19, 100, 14, 39, 13, 1, 5
2021/6/20, 36, 21, 40, 14, 3, 5
2021/6/21, 48, 29, 85, 14, 3, 5
2021/6/22, 65, 35, 50, 12, 5, 4
2021/6/23, 70, 39, 61, 15, 6, 3
2021/6/24, 76, 40, 82, 14, 4, 4
2021/6/25, 72, 35, 80, 10, 4, 4
2021/6/26, 65, 23, 36, 8, 4, 4
2021/6/27, 57, 23, 31, 12, 3, 6
2021/6/28, 69, 16, 43, 7, 3, 4
2021/6/29, 43, 21, 42, 8, 3, 9
2021/6/30, 49, 32, 43, 9, 3, 3
2021/7/1, 61, 25, 41, 8, 3, 2
2021/5/2, 73, 48, , 9, 3, 5
2021/5/3, 65, 54, , 9, 4, 4
2021/5/4, 70, 40, , 8, 3, 6
2021/5/5, 64, 61, , 12, 4, 7
2021/5/6, 96, 58, , 16, 4, 5
2021/5/7, 66, 76, , 16, 4, 7
2021/5/8, 107, 97, , 15, 4, 8
2021/5/9, 125, 68, , 16, 4, 7
2021/5/10, 113, 57, , 14, 5, 6
2021/5/11, 87, 52, , 16, 3, 7
2021/5/12, 96, 53, , 19, 3, 6
2021/5/13, 102, 34, , 8, 3, 5
2021/5/14, 71, 38, , 12, 2, 6
2021/5/15, 79, 43, , 16, 3, 7
2021/5/16, 88, 30, , 10, 2, 6
2021/5/17, 49, 28, , 8, 2, 7
2021/5/18, 85, 32, , 12, 3, 6
2021/5/19, 71, 23, , 11, 2, 4
2021/5/20, 52, 23, , 11, 2, 7
2021/5/21, 60, 43, , 16, 4, 7
2021/5/22, 86, 25, , 12, 2, 5
2021/5/23, 55, 22, , 10, 3, 5
2021/5/24, 54, 40, , 13, 4, 7
2021/5/25, 93, 66, , 18, 4, 8
2021/5/26, 116, 48, , 19, 3, 7
2021/5/27, 95, 33, , 14, 2, 7
2021/5/28, 69, 50, , 16, 3, 7
2021/5/29, 85, 48, , 14, 3, 6
2021/5/30, 77, 49, , 14, 3, 5
2021/5/31, 84, 43, , 12, 4, 6
2021/6/1, 73, 30, , 7, 3, 5
2021/4/2, 100, 56, , 17, 3, 8
2021/4/3, 98, 44, , 13, 3, 8
2021/4/4, 79, 36, , 11, 3, 5
2021/4/5, 70, 44, , 15, 4, 5
2021/4/6, 64, 43, , 14, 3, 5
2021/4/7, 81, 44, , 20, 4, 3
2021/4/8, 73, 42, , 24, 3, 3
2021/4/9, 84, 45, , 19, 4, 4
2021/4/10, 68, 49, , 16, 3, 4
2021/4/11, 71, 40, , 17, 3, 4
2021/4/12, 62, 34, , 19, 3, 7
2021/4/13, 75, 66, , 17, 5, 8
2021/4/14, 114, 34, , 16, 4, 3
2021/4/15, 55, 46, , 20, 4, 4
2021/4/16, 57, 72, , 23, 5, 7
2021/4/17, 120, 119, , 18, 5, 9
2021/4/18, 125, 62, , 15, 5, 5
2021/4/19, 59, 60, , 16, 5, 5
2021/4/20, 81, 50, , 13, 5, 5
2021/4/21, 62, 55, , 11, 4, 4
2021/4/22, 66, 60, , 16, 4, 4
2021/4/23, 87, 78, , 18, 4, 9
2021/4/24, 135, 45, , 17, 6, 8
2021/4/25, 118, 52, , 15, 6, 6
2021/4/26, 67, 43, , 12, 4, 4
2021/4/27, 63, 60, , 19, 3, 6
2021/4/28, 106, 79, , 22, 3, 9
2021/4/29, 140, 67, , 20, 4, 7
2021/4/30, 87, 68, , 16, 4, 5
2021/5/1, 76, 54, , 11, 3, 5
2021/3/2, 63, 45, , 15, 3, 6
2021/3/3, 103, 51, , 16, 3, 4
2021/3/4, 56, 54, , 20, 3, 6
2021/3/5, 101, 76, , 29, 4, 7
2021/3/6, 140, 36, , 15, 4, 4
2021/3/7, 60, 34, , 17, 4, 5
2021/3/8, 69, 43, , 15, 4, 5
2021/3/9, 74, 47, , 21, 4, 5
2021/3/10, 75, 61, , 21, 3, 6
2021/3/11, 97, 53, , 18, 3, 7
2021/3/12, 98, 47, , 16, 3, 8
2021/3/13, 89, 69, , 23, 4, 7
2021/3/14, 129, 78, , 18, 4, 7
2021/3/15, 132, 67, , 20, 4, 8
2021/3/16, 105, 56, , 18, 3, 9
2021/3/17, 88, 60, , 22, 3, 5
2021/3/18, 56, 49, , 21, 3, 4
2021/3/19, 57, 54, , 23, 4, 5
2021/3/20, 95, 36, , 18, 4, 6
2021/3/21, 81, 78, , 17, 5, 8
2021/3/22, 118, 56, , 20, 5, 7
2021/3/23, 59, 72, , 25, 6, 8
2021/3/24, 115, 49, , 20, 5, 6
2021/3/25, 88, 74, , 26, 7, 6
2021/3/26, 121, 52, , 15, 5, 5
2021/3/27, 72, 42, , 15, 6, 7
2021/3/28, 72, 73, , 18, 6, 8
2021/3/29, 109, 84, , 20, 7, 9
2021/3/30, 116, 145, , 14, 7, 6
2021/3/31, 120, 147, , 14, 5, 5
2021/4/1, 139, 56, , 20, 2, 6
2021/2/2, 134, 82, , 16, 3, 8
2021/2/3, 136, 72, , 19, 3, 6
2021/2/4, 108, 85, , 16, 4, 7
2021/2/5, 148, 64, , 17, 3, 6
2021/2/6, 139, 56, , 18, 4, 7
2021/2/7, 112, 71, , 23, 5, 8
2021/2/8, 133, 41, , 9, 3, 4
2021/2/9, 74, 28, , 10, 3, 3
2021/2/10, 52, 34, , 11, 4, 3
2021/2/11, 72, 27, , 10, 2, 3
2021/2/12, 73, 39, , 8, 3, 4
2021/2/13, 89, 45, , 9, 4, 4
2021/2/14, 76, 45, , 9, 4, 5
2021/2/15, 83, 52, , 8, 4, 7
2021/2/16, 123, 42, , 10, 4, 5
2021/2/17, 87, 40, , 7, 3, 5
2021/2/18, 75, 47, , 12, 4, 6
2021/2/19, 83, 53, , 17, 3, 6
2021/2/20, 104, 41, , 12, 3, 4
2021/2/21, 77, 47, , 20, 3, 5
2021/2/22, 86, 66, , 18, 4, 7
2021/2/23, 121, 42, , 10, 3, 3
2021/2/24, 57, 42, , 11, 3, 3
2021/2/25, 61, 46, , 14, 3, 4
2021/2/26, 97, 19, , 12, 3, 4
2021/2/27, 51, 29, , 13, 3, 4
2021/2/28, 52, 32, , 16, 3, 4
2021/3/1, 72, 30, , 16, 4, 6
2021/1/5, 95, 53, 24, 17, 3, 6
