date, pm25, pm10, o3, no2, so2, co
2021/11/2, 143, 87, 34, 29, 5, 
2021/11/3, 143, 120, 46, 27, 6, 
2021/11/4, 185, 104, 55, 28, 5, 
2021/11/5, 178, 101, 48, 31, 6, 
2021/11/6, 163, 62, 20, 28, 3, 
2021/11/7, 130, 17, 23, 12, 3, 
2021/11/8, 45, 39, 30, 16, 6, 
2021/11/9, 76, 46, 25, 24, 8, 
2021/11/10, 80, 51, 25, 24, 7, 
2021/11/11, 74, 54, 26, 23, 8, 
2021/11/12, 75, , , , , 
2021/10/2, 116, 79, 91, 23, 5, 
2021/10/3, 149, 58, 73, 12, 5, 
2021/10/4, 116, 39, 26, 9, 4, 
2021/10/5, 80, 19, 26, 8, 3, 
2021/10/6, 58, 13, 27, 10, 2, 
2021/10/7, 43, 36, 21, 15, 4, 
2021/10/8, 89, 62, 35, 23, 7, 
2021/10/9, 130, 67, 13, 24, 4, 
2021/10/10, 142, 47, 25, 15, 3, 
2021/10/11, 76, 50, 31, 22, 4, 
2021/10/12, 68, 67, 38, 27, 10, 
2021/10/13, 89, 89, 58, 38, 8, 
2021/10/14, 135, 96, 39, 36, 5, 
2021/10/15, 159, 89, 23, 28, 4, 
2021/10/16, 172, 44, 29, 13, 4, 
2021/10/17, 38, 52, 29, 20, 5, 
2021/10/18, 57, 62, 39, 21, 5, 
2021/10/19, 97, 66, 28, 24, 5, 
2021/10/20, 105, 64, 30, 23, 5, 
2021/10/21, 101, 100, 32, 26, 4, 
2021/10/22, 175, 82, 31, 25, 4, 
2021/10/23, 134, 72, 40, 29, 4, 
2021/10/24, 108, 94, 64, 35, 5, 
2021/10/25, 155, 103, 73, 27, 6, 
2021/10/26, 174, 104, 70, 31, 5, 
2021/10/27, 172, 115, 35, 35, 5, 
2021/10/28, 170, 112, 55, 40, 6, 
2021/10/29, 161, 107, 65, 29, 6, 
2021/10/30, 173, 130, 62, 31, 7, 
2021/10/31, 192, 145, 43, 36, 7, 
2021/11/1, 211, 76, 34, 22, 5, 
2021/9/2, 92, 54, 52, 17, 4, 
2021/9/3, 112, 44, 56, 13, 3, 
2021/9/4, 97, 38, 42, 15, 3, 
2021/9/5, 91, 22, 34, 8, 3, 
2021/9/6, 66, 17, 36, 8, 3, 
2021/9/7, 44, 36, 54, 13, 3, 
2021/9/8, 67, 42, 76, 10, 4, 
2021/9/9, 69, 45, 71, 9, 3, 
2021/9/10, 79, 59, 93, 14, 4, 
2021/9/11, 104, 54, 83, 10, 3, 
2021/9/12, 104, 73, 123, 18, 4, 
2021/9/13, 144, 66, 98, 15, 3, 
2021/9/14, 127, 66, 64, 18, 4, 
2021/9/15, 113, 58, 86, 18, 6, 
2021/9/16, 85, 70, 85, 21, 5, 
2021/9/17, 125, 49, 39, 11, 3, 
2021/9/18, 102, 52, 31, 24, 5, 
2021/9/19, 101, 19, 39, 16, 3, 
2021/9/20, 59, 11, 47, 9, 2, 
2021/9/21, 34, 44, 65, 11, 5, 
2021/9/22, 73, 55, 91, 24, 6, 
2021/9/23, 92, 58, 67, 26, 4, 
2021/9/24, 104, 69, 43, 28, 4, 
2021/9/25, 137, 24, 32, 13, 2, 
2021/9/26, 54, 22, 27, 17, 3, 
2021/9/27, 60, 33, 28, 16, 3, 
2021/9/28, 79, 52, 20, 24, 5, 
2021/9/29, 127, 44, 46, 23, 4, 
2021/9/30, 79, 51, 68, 16, 3, 
2021/10/1, 80, 65, 63, 14, 5, 
2021/8/2, 54, 45, , 13, 4, 
2021/8/3, 84, 58, 116, 18, 4, 
2021/8/4, 94, 55, 82, 12, 3, 
2021/8/5, 91, 46, 51, 14, 3, 
2021/8/6, 78, 54, 93, 17, 4, 
2021/8/7, 94, 76, 95, 23, 4, 
2021/8/8, 143, 78, 117, 22, 4, 
2021/8/9, 151, 84, 99, 19, 5, 
2021/8/10, 160, 47, 70, 7, 3, 
2021/8/11, 93, 62, 97, 11, 8, 
2021/8/12, 127, 59, 66, 15, 4, 
2021/8/13, 127, 71, 82, 19, 5, 
2021/8/14, 139, 60, 83, 19, 5, 
2021/8/15, 94, 63, 98, 21, 5, 
2021/8/16, 104, 68, 108, 19, 4, 
2021/8/17, 120, 69, 91, 18, 4, 
2021/8/18, 133, 54, 87, 13, 5, 
2021/8/19, 93, 64, 68, 16, 4, 
2021/8/20, 114, 44, 53, 11, 3, 
2021/8/21, 110, 52, 106, 10, 4, 
2021/8/22, 120, 62, 62, 12, 2, 
2021/8/23, 130, 45, 71, 13, 3, 
2021/8/24, 86, 63, 73, 13, 4, 
2021/8/25, 99, 60, 58, 10, 4, 
2021/8/26, 80, 57, 76, 12, 5, 
2021/8/27, 87, 37, 49, 8, 3, 
2021/8/28, 68, 67, 90, 19, 4, 
2021/8/29, 133, 22, 38, 13, 2, 
2021/8/30, 63, 58, 26, 19, 3, 
2021/8/31, 135, 17, 35, 11, 3, 
2021/9/1, 48, 42, 62, 11, 4, 
2021/7/2, 81, 64, 93, 14, 4, 
2021/7/3, 131, 39, 77, 9, 3, 
2021/7/4, 85, 57, 102, 16, 4, 
2021/7/5, 98, 54, 83, 11, 2, 
2021/7/6, 113, 67, 115, 10, 2, 
2021/7/7, 141, 72, 65, 12, 3, 
2021/7/8, 149, 55, 91, 10, 2, 
2021/7/9, 111, 42, 101, 7, 2, 
2021/7/10, 85, 40, 70, 11, 3, 
2021/7/11, 82, 45, 51, 7, 3, 
2021/7/12, 93, 27, 44, 6, 4, 
2021/7/13, 78, 32, 49, 5, 3, 
2021/7/14, 83, 36, 76, 13, 4, 
2021/7/15, 70, 28, 52, 11, 3, 
2021/7/16, 73, 40, 52, 13, 3, 
2021/7/17, 104, 27, 40, 7, 3, 
2021/7/18, 66, 31, 40, 6, 3, 
2021/7/19, 70, 38, 67, 10, 4, 
2021/7/20, 76, 34, 55, 10, 4, 
2021/7/21, 70, 34, 30, 10, 3, 
2021/7/22, 59, 42, 18, 13, 5, 
2021/7/23, 75, 53, 43, 21, 4, 
2021/7/24, 89, 48, , 18, 3, 
2021/7/25, 75, 54, , 18, 3, 
2021/7/26, 116, 33, 32, 9, 3, 
2021/7/27, 56, 27, , 10, 3, 
2021/7/28, 52, 43, , 13, 5, 
2021/7/29, 90, 6, , 5, 2, 
2021/7/30, 23, 15, , 5, 3, 
2021/7/31, 39, 42, , 5, 3, 
2021/8/1, 85, 30, 104, 10, 4, 
2021/6/2, 154, 70, 99, 13, 3, 
2021/6/3, 115, 63, 50, 13, 4, 
2021/6/4, 96, 67, 85, 12, 6, 
2021/6/5, 79, 54, 76, 21, 5, 
2021/6/6, 66, 64, 115, 20, 6, 
2021/6/7, 92, 86, 111, 13, 5, 
2021/6/8, 117, 90, 156, 19, 4, 
