date, pm25, pm10, o3, no2, so2, co
2021/11/2, 186, 130, 38, 21, 3, 9
2021/11/3, 190, 110, 29, 26, 4, 11
2021/11/4, 177, 109, 33, 26, 6, 9
2021/11/5, 169, 127, 36, 24, 4, 9
2021/11/6, 193, 115, 23, 12, 3, 8
2021/11/7, 160, 44, 29, 5, 2, 4
2021/11/8, 56, 50, 31, 10, 5, 3
2021/11/9, 65, 59, 32, 12, 5, 4
2021/11/10, 81, 61, 31, 11, 4, 3
2021/11/11, 69, 69, 28, 14, 4, 3
2021/11/12, 91, 85, 33, 14, 4, 3
2021/11/13, 111, 74, 35, 18, 3, 4
2021/11/14, 99, 86, 30, 30, 5, 8
2021/11/15, 135, 82, 26, 26, 5, 8
2021/11/16, 129, 123, 33, 32, 6, 10
2021/11/17, 183, 116, 40, 29, 4, 10
2021/11/18, 171, 99, 36, 31, 7, 11
2021/11/19, 162, 107, 36, 25, 5, 11
2021/11/20, 173, 129, 20, 17, 2, 15
2021/11/21, 209, , , , , 
2021/10/2, 116, 107, 88, 17, 3, 12
2021/10/3, 177, 95, 58, 21, 2, 11
2021/10/4, 159, 49, 25, 9, 2, 7
2021/10/5, 69, 25, 23, 7, 1, 5
2021/10/6, 49, 15, 20, 9, 1, 5
2021/10/7, 42, 24, 23, 10, 2, 6
2021/10/8, 73, 41, 19, 12, 2, 6
2021/10/9, 99, 52, 21, 10, 2, 7
2021/10/10, 124, 56, 24, 10, 2, 3
2021/10/11, 77, 50, 17, 15, 3, 4
2021/10/12, 73, 45, 34, 17, 3, 5
2021/10/13, 83, 71, 57, 25, 3, 7
2021/10/14, 113, 46, 23, 11, 3, 6
2021/10/15, 92, 51, 23, 15, 3, 6
2021/10/16, 79, 50, 25, 14, 2, 4
2021/10/17, 61, 60, 30, 16, 5, 4
2021/10/18, 85, 66, 32, 19, 4, 7
2021/10/19, 107, 88, 19, 22, 3, 8
2021/10/20, 151, 43, 21, 13, 1, 6
2021/10/21, 99, 58, 39, 18, 2, 7
2021/10/22, 116, 84, 41, 23, 5, 9
2021/10/23, 142, 100, 48, 30, 4, 9
2021/10/24, 167, 96, 47, 29, 5, 8
2021/10/25, 165, 99, 34, 26, 6, 10
2021/10/26, 162, 106, 32, 28, 4, 11
2021/10/27, 167, 82, 33, 25, 3, 8
2021/10/28, 150, 95, 44, 27, 5, 9
2021/10/29, 156, 104, 32, 28, 5, 11
2021/10/30, 159, 85, 34, 24, 5, 10
2021/10/31, 133, 107, 16, 29, 6, 12
2021/11/1, 164, 130, 44, 17, 2, 7
2021/9/2, 61, 38, 62, 12, 2, 9
2021/9/3, 79, 56, 42, 15, 4, 11
2021/9/4, 121, 16, 38, 5, , 7
2021/9/5, 49, 35, 41, 7, 2, 8
2021/9/6, 90, 31, 31, 6, 2, 9
2021/9/7, 84, 45, 57, 9, 4, 7
2021/9/8, 89, 43, 50, 8, 3, 5
2021/9/9, 68, 46, 55, 9, 3, 5
2021/9/10, 67, 71, 91, 18, 6, 8
2021/9/11, 99, 68, 88, 16, 2, 8
2021/9/12, 112, 63, 112, 18, 1, 7
2021/9/13, 114, 71, 98, 17, 2, 7
2021/9/14, 130, 83, 85, 13, 2, 8
2021/9/15, 152, 79, 86, 13, 3, 8
2021/9/16, 144, 74, 38, 15, 3, 8
2021/9/17, 141, 41, 32, 7, 1, 9
2021/9/18, 109, 22, 32, 6, , 8
2021/9/19, 86, 10, 31, 6, 1, 7
2021/9/20, 38, 34, 45, 7, 2, 5
2021/9/21, 67, 45, 47, 11, 2, 5
2021/9/22, 64, 63, 80, 14, 3, 10
2021/9/23, 95, 67, 72, 10, 4, 12
2021/9/24, 111, 59, 26, 11, 2, 10
2021/9/25, 132, 13, 31, 5, 1, 7
2021/9/26, 40, 19, 22, 9, 1, 8
2021/9/27, 57, 31, 25, 12, 2, 9
2021/9/28, 76, 20, 43, 11, , 8
2021/9/29, 59, 42, 49, 18, 1, 8
2021/9/30, 73, 58, 56, 19, 4, 9
2021/10/1, 87, 69, 76, 13, 3, 9
2021/8/2, 87, 36, 80, 6, 4, 4
2021/8/3, 51, 45, 91, 8, 3, 4
2021/8/4, 68, 57, 105, 10, 3, 7
2021/8/5, 103, 26, 39, 5, , 5
2021/8/6, 56, 49, 85, 9, 3, 6
2021/8/7, 86, 58, 85, 7, 3, 6
2021/8/8, 121, 53, 70, 8, 3, 6
2021/8/9, 96, 37, 64, 5, 2, 4
2021/8/10, 68, , , , , 
2021/8/21, 73, 50, 59, 8, 3, 8
2021/8/22, 95, 29, 38, 6, 1, 6
2021/8/23, 69, 35, 62, 6, 2, 6
2021/8/24, 72, 56, 42, 12, 3, 6
2021/8/25, 80, 55, 39, 16, 5, 5
2021/8/26, 70, 48, 21, 16, 5, 6
2021/8/27, 77, 30, 54, 6, 5, 4
2021/8/28, 58, 48, 35, 9, 1, 5
2021/8/29, 111, 10, 35, 6, 1, 5
2021/8/30, 38, 21, 29, 6, 1, 7
2021/8/31, 45, 15, 34, 6, 1, 8
2021/9/1, 45, 18, 48, 4, 1, 7
2021/7/2, 72, 35, 58, 7, 2, 6
2021/7/3, 72, 38, 87, 7, 3, 6
2021/7/4, 73, 52, 94, 11, 4, 7
2021/7/5, 80, 40, 86, 6, 5, 6
2021/7/6, 72, 47, 89, 8, 5, 6
2021/7/7, 75, 51, 90, 11, 5, 6
2021/7/8, 81, 48, 93, 9, 2, 5
2021/7/9, 72, 40, 90, 9, 3, 6
2021/7/10, 62, 54, 80, 10, 4, 6
2021/7/11, 90, 25, 22, 9, 3, 6
2021/7/12, 48, 22, 60, 6, 2, 4
2021/7/13, 40, 31, 95, 6, 2, 4
2021/7/14, 43, 46, 98, 8, 1, 5
2021/7/15, 76, 29, 80, 7, 2, 4
2021/7/16, 61, 42, 73, 8, 1, 6
2021/7/17, 77, 44, 69, 6, 1, 6
2021/7/18, 85, 25, 36, 4, 2, 5
2021/7/19, 65, 23, 33, 4, 1, 6
2021/7/20, 51, 12, 35, 3, 1, 5
2021/7/21, 45, 12, 25, 5, 1, 6
2021/7/22, 34, 29, 26, 5, 1, 5
2021/7/23, 72, 35, 27, 5, 2, 6
2021/7/24, 90, 37, 39, 10, 2, 6
2021/7/25, 82, 45, 57, 11, 3, 5
2021/7/26, 74, 53, 75, 13, 3, 5
2021/7/27, 100, 49, 81, 9, 4, 4
2021/7/28, 81, 32, 38, 6, 4, 5
2021/7/29, 59, 38, 58, 7, 4, 6
2021/7/30, 68, 41, 87, 9, 3, 6
2021/7/31, 71, 54, 87, 9, 3, 6
2021/8/1, 97, 66, 96, 6, 3, 6
2021/6/2, 136, 79, 100, 12, 4, 8
2021/6/3, 120, 68, 45, 13, 4, 6
2021/6/4, 70, 70, 63, 17, 4, 5
2021/6/5, 79, 52, 99, 12, 3, 6
2021/6/6, 46, 87, 147, 16, 6, 6
2021/6/7, 98, 74, 112, 7, 5, 7
2021/6/8, 95, 71, 127, 10, 4, 11
2021/6/9, 118, 80, 105, 10, 4, 10
2021/6/10, 126, 77, 120, 6, 2, 10
2021/6/11, 143, 77, 122, 7, 3, 7
2021/6/12, 142, 64, 63, 15, 4, 6
2021/6/13, 106, 39, 31, 9, 2, 7
2021/6/14, 97, 51, 51, 9, 4, 7
2021/6/15, 89, 46, 70, 9, 3, 9
2021/6/16, 83, 44, 49, 7, 2, 6
2021/6/17, 74, 31, 34, 6, 2, 5
2021/6/18, 44, 28, 55, 6, 2, 5
2021/6/19, 46, 53, 98, 15, 4, 6
2021/6/20, 71, 54, 120, 11, 6, 6
2021/6/21, 72, 59, 128, 11, 7, 7
2021/6/22, 87, 59, 128, 12, 6, 8
2021/6/23, 84, 58, 105, 17, 6, 7
2021/6/24, 84, 65, 127, 20, 3, 7
2021/6/25, 95, 55, 76, 17, 3, 7
2021/6/26, 93, 46, 85, 8, 6, 7
2021/6/27, 78, 48, 91, 8, 2, 9
2021/6/28, 81, 48, 103, 8, 4, 8
2021/6/29, 84, 43, 102, 6, 2, 7
2021/6/30, 64, 59, 87, 11, 2, 5
2021/7/1, 81, 40, 71, 6, 3, 6
2021/5/2, 83, 65, 42, 12, 3, 4
2021/5/3, 88, 55, 51, 9, 2, 6
2021/5/4, 106, 93, 47, 14, 3, 6
2021/5/5, 128, 70, 54, 15, 4, 4
2021/5/6, 78, 103, 49, 15, 2, 5
2021/5/7, 118, 194, 44, 12, 2, 6
2021/5/8, 163, 118, 62, 17, 4, 6
2021/5/9, 136, 112, 120, 13, 5, 9
2021/5/10, 152, 103, 96, 14, 4, 8
2021/5/11, 129, 58, 79, 12, 4, 7
2021/5/12, 80, 70, 109, 19, 4, 6
2021/5/13, 133, 76, 55, 9, 3, 8
2021/5/14, 157, 59, 38, 10, 2, 7
2021/5/15, 128, 32, 33, 7, 1, 5
2021/5/16, 74, 21, 28, 6, , 6
2021/5/17, 54, 38, 59, 12, 2, 5
2021/5/18, 72, 46, 79, 15, 3, 6
2021/5/19, 74, 69, 57, 21, 7, 8
2021/5/20, 125, 55, 68, 10, 3, 5
2021/5/21, 88, 63, 72, 11, 3, 6
2021/5/22, 118, 59, 70, 12, 5, 6
2021/5/23, 96, 83, 50, 6, 2, 5
2021/5/24, 101, 79, 53, 11, 3, 4
2021/5/25, 86, 84, 56, 17, 7, 4
2021/5/26, 86, 64, 59, 10, 3, 3
2021/5/27, 65, 89, 57, 20, 3, 4
2021/5/28, 93, 90, 71, 21, 4, 5
2021/5/29, 112, 74, 88, 17, 4, 3
2021/5/30, 79, 95, 135, 10, 6, 5
2021/5/31, 107, 73, 122, 10, 5, 7
2021/6/1, 110, 73, 107, 10, 4, 9
2021/4/2, 143, 70, 21, 17, 1, 9
2021/4/3, 157, 62, 22, 17, 1, 9
2021/4/4, 151, 51, 38, 15, 3, 5
2021/4/5, 100, 71, 43, 22, 5, 5
2021/4/6, 105, 75, 55, 23, 6, 5
2021/4/7, 142, 88, 61, 27, 6, 6
2021/4/8, 164, 91, 84, 23, 6, 7
2021/4/9, 167, 70, 56, 21, 4, 4
2021/4/10, 128, 61, 68, 17, 3, 3
2021/4/11, 113, 73, 30, 26, 6, 4
2021/4/12, 124, 73, 62, 21, 5, 4
2021/4/13, 141, 73, 35, 13, 2, 3
2021/4/14, 102, 54, 47, 9, 3, 3
2021/4/15, 91, 142, 41, 12, 3, 4
2021/4/16, 142, 378, 43, 20, 3, 3
2021/4/17, 185, 101, 43, 16, 4, 3
2021/4/18, 108, 86, 52, 18, 4, 4
2021/4/19, 116, 74, 56, 11, 4, 4
2021/4/20, 102, 42, 42, 9, 1, 5
2021/4/21, 88, 34, 39, 9, 1, 5
2021/4/22, 89, 71, 66, 11, 1, 7
2021/4/23, 154, 97, 38, 21, 2, 9
2021/4/24, 176, 50, 35, 15, 1, 7
2021/4/25, 116, 60, 53, 14, 1, 5
2021/4/26, 124, 56, 42, 11, 1, 5
2021/4/27, 120, 72, 53, 9, 3, 5
2021/4/28, 106, 67, 47, 11, 2, 4
2021/4/29, 73, 98, 48, 20, 3, 5
2021/4/30, 110, 132, 46, 12, 2, 4
2021/5/1, 112, 70, 67, 11, 4, 5
2021/3/2, 129, 56, 39, 14, 4, 7
2021/3/3, 119, 55, 29, 16, 3, 5
2021/3/4, 118, 63, 38, 15, 5, 5
2021/3/5, 125, 76, 39, 23, 3, 7
2021/3/6, 157, 67, 21, 16, 1, 5
2021/3/7, 127, 65, 19, 20, 3, 5
2021/3/8, 128, 92, 24, 27, 2, 7
2021/3/9, 172, 76, 38, 18, 2, 6
2021/3/10, 157, 62, 29, 19, 2, 5
2021/3/11, 148, 56, 40, 17, 1, 6
2021/3/12, 147, 86, 26, 23, 1, 7
2021/3/13, 175, 80, 26, 21, 1, 7
2021/3/14, 171, 88, 19, 22, 2, 7
2021/3/15, 174, 97, 39, 17, 4, 11
2021/3/16, 180, 605, 29, 14, 1, 5
2021/3/17, 183, 227, 16, 26, 4, 6
2021/3/18, 160, 84, 27, 17, 2, 5
2021/3/19, 133, 88, 22, 18, 1, 7
2021/3/20, 168, 547, 24, 16, 3, 5
2021/3/21, 188, 176, 37, 12, 3, 3
2021/3/22, 89, 76, 40, 23, 8, 5
2021/3/23, 85, 90, 38, 21, 5, 5
2021/3/24, 114, 102, 48, 22, 5, 6
2021/3/25, 141, 109, 62, 20, 5, 7
2021/3/26, 160, 72, 21, 26, 2, 7
2021/3/27, 145, 82, 44, 18, 3, 8
2021/3/28, 148, 282, 45, 20, 6, 9
2021/3/29, 180, 849, 36, 16, 3, 7
2021/3/30, 252, 274, 40, 20, 5, 7
2021/3/31, 166, 113, 42, 19, 3, 5
2021/4/1, 144, 92, 27, 20, 3, 7
2021/2/2, 117, 108, 26, 20, 6, 7
2021/2/3, 144, 107, 37, 22, 9, 7
2021/2/4, 146, 96, 37, 26, 12, 10
2021/2/5, 161, 85, 41, 20, 6, 7
2021/2/6, 135, 72, 36, 25, 4, 6
2021/2/7, 111, 110, 32, 21, 7, 8
2021/2/8, 139, 71, 28, 18, 5, 6
2021/2/9, 128, 100, 41, 27, 5, 9
2021/2/10, 176, 115, 62, 25, 9, 11
2021/2/11, 189, 107, 44, 22, 6, 11
2021/2/12, 193, 105, 58, 16, 8, 9
2021/2/13, 194, 106, 33, 11, 3, 8
2021/2/14, 195, 58, 37, 13, 2, 6
2021/2/15, 135, 82, 33, 13, 3, 8
2021/2/16, 151, 59, 40, 10, 3, 3
2021/2/17, 90, 67, 35, 10, 5, 5
2021/2/18, 122, 75, 40, 17, 5, 6
2021/2/19, 149, 74, 41, 21, 4, 6
2021/2/20, 126, 72, 37, 22, 4, 6
2021/2/21, 113, 79, 40, 20, 7, 6
2021/2/22, 120, 122, 38, 22, 5, 7
2021/2/23, 146, 73, 32, 14, 3, 4
2021/2/24, 99, 62, 17, 15, 3, 5
2021/2/25, 110, 53, 15, 18, 2, 10
2021/2/26, 138, 78, 46, 18, 10, 9
2021/2/27, 169, 90, 38, 15, 4, 7
2021/2/28, 177, 63, 15, 16, 2, 7
2021/3/1, 144, 49, 14, 15, 2, 10
2021/1/5, 216, 127, 15, 34, 9, 17
2021/1/6, 196, 105, 29, 18, 5, 8
2021/1/7, 126, 52, 26, 9, 3, 5
2021/1/8, 58, 64, 28, 12, 4, 5
2021/1/9, 84, 57, 26, 13, 5, 5
2021/1/10, 80, 57, 24, 15, 5, 6
2021/1/11, 86, 217, 31, 15, 4, 5
2021/1/12, 140, 110, 25, 23, 5, 7
2021/1/13, 136, 151, 27, 25, 5, 8
2021/1/14, 159, 179, 18, 29, 13, 11
2021/1/15, 176, 189, 14, 31, 11, 14
2021/1/16, 176, 155, 30, 21, 7, 8
2021/1/17, 154, 73, 31, 14, 4, 5
2021/1/18, 82, 88, 23, 27, 6, 9
2021/1/19, 142, 114, 19, 25, 5, 9
2021/1/20, 167, 115, 22, 31, 7, 10
2021/1/21, 189, 148, 25, 38, 8, 14
2021/1/22, 217, 182, 22, 39, 11, 21
2021/1/23, 277, 161, 37, 33, 9, 20
2021/1/24, 255, 178, 28, 32, 5, 17
2021/1/25, 274, 98, 25, 15, 3, 10
2021/1/26, 184, 81, 26, 25, 4, 9
2021/1/27, 143, 98, 34, 28, 6, 9
2021/1/28, 167, 198, 29, 16, 4, 3
2021/1/29, 141, 103, 28, 25, 7, 12
2021/1/30, 133, 88, 35, 24, 7, 7
2021/1/31, 133, 65, 33, 22, 5, 5
2021/2/1, 113, 79, 34, 20, 4, 5
2020/10/2, 155, 52, 21, 16, 3, 6
2020/10/3, 89, 30, 21, 10, 2, 5
2020/10/4, 58, 57, 22, 20, 4, 7
2020/10/5, 113, 65, 17, 23, 6, 6
2020/10/6, 105, 54, 19, 18, 7, 6
2020/10/7, 109, 46, 38, 17, 6, 6
2020/10/8, 98, 82, 37, 32, 6, 7
2020/10/9, 152, 88, 41, 30, 5, 8
2020/10/10, 162, 107, 25, 33, 6, 10
2020/10/11, 181, 103, 18, 23, 6, 9
2020/10/12, 190, 80, 16, 23, 4, 9
2020/10/13, 154, 54, 26, 19, 3, 9
2020/10/14, 145, 42, 31, 12, 1, 7
2020/10/15, 123, 36, 20, 13, 2, 6
2020/10/16, 106, 49, 32, 18, 4, 6
2020/10/17, 118, 65, 38, 21, 8, 9
2020/10/18, 136, 77, 34, 28, 7, 10
2020/10/19, 142, 90, 60, 33, 9, 12
2020/10/20, 155, 90, 37, 27, 5, 10
2020/10/21, 165, 119, 38, 24, 7, 8
2020/10/22, 157, 140, 36, 27, 9, 8
2020/10/23, 154, 127, 30, 28, 7, 6
2020/10/24, 147, 114, 22, 33, 6, 7
2020/10/25, 156, 123, 52, 35, 5, 10
2020/10/26, 169, 118, 49, 32, 7, 10
2020/10/27, 167, 105, 25, 30, 8, 9
2020/10/28, 158, 63, 17, 16, 3, 9
2020/10/29, 143, 93, 36, 25, 6, 11
2020/10/30, 165, 119, 23, 33, 7, 10
2020/10/31, 181, 96, 40, 19, 5, 8
2020/11/1, 159, 76, 31, 23, 7, 5
2020/11/2, 101, 74, 33, 25, 9, 6
2020/11/3, 98, 90, 21, 29, 10, 8
2020/11/4, 135, 105, 22, 32, 7, 9
2020/11/5, 161, 116, 22, 34, 6, 10
2020/11/6, 170, 99, 38, 25, 8, 7
2020/11/7, 149, 89, 37, 26, 7, 5
2020/11/8, 123, 105, 28, 28, 9, 7
2020/11/9, 142, 107, 30, 30, 7, 7
2020/11/10, 149, 141, 29, 40, 7, 12
2020/11/11, 189, 132, 37, 40, 5, 10
2020/11/12, 185, 138, 57, 39, 6, 13
2020/11/13, 195, 133, 61, 26, 6, 10
2020/11/14, 195, 139, 52, 35, 6, 11
2020/11/15, 212, 117, 43, 27, 3, 9
2020/11/16, 197, 114, 43, 21, 2, 9
2020/11/17, 220, 83, 13, 19, 2, 10
2020/11/18, 168, 45, 26, 13, 2, 9
2020/11/19, 98, 51, 26, 18, 3, 26
2020/11/20, 99, 59, 9, 22, 2, 7
2020/11/21, 130, 50, 17, 13, 1, 7
2020/11/22, 145, 37, 24, 11, 3, 5
2020/11/23, 182, 45, 13, 12, 2, 6
2020/11/24, 120, 56, 18, 16, 3, 7
2020/11/25, 146, 82, 7, 19, 3, 11
2020/11/26, 172, 89, 9, 21, 3, 11
2020/11/27, 175, 92, 18, 23, 5, 11
2020/11/28, 175, 97, 14, 23, 3, 10
2020/11/29, 179, 100, 33, 21, 3, 9
2020/11/30, 182, 133, 11, 26, 2, 11
2020/12/1, 218, 107, 9, 24, 2, 11
2020/12/2, 205, 87, 13, 20, 2, 11
2020/12/3, 183, 93, 12, 21, 3, 10
2020/12/4, 182, 65, 20, 20, 5, 8
2020/12/5, 139, 84, 18, 24, 5, 9
2020/12/6, 161, 95, 10, 24, 4, 10
2020/12/7, 180, 91, 22, 22, 4, 10
2020/12/8, 178, 86, 6, 26, 4, 8
2020/12/9, 167, 97, 19, 22, 6, 10
2020/12/10, 178, 80, 35, 22, 6, 9
2020/12/11, 160, 91, 23, 29, 6, 11
2020/12/12, 165, 96, 22, 30, 5, 11
2020/12/13, 170, 79, 27, 18, 3, 7
2020/12/14, 110, 59, 21, 17, 3, 6
2020/12/15, 89, 92, 21, 22, 5, 11
2020/12/16, 156, 93, 24, 27, 7, 10
2020/12/17, 165, 96, 19, 30, 8, 13
2020/12/18, 192, 86, 21, 28, 8, 10
2020/12/19, 165, 86, 19, 27, 6, 10
2020/12/20, 164, 67, 35, 22, 7, 11
2020/12/21, 144, 84, 28, 27, 9, 9
2020/12/22, 159, 92, 29, 28, 7, 10
2020/12/23, 168, 103, 35, 17, 5, 11
2020/12/24, 155, 88, 35, 21, 12, 7
2020/12/25, 136, 80, 24, 26, 21, 7
2020/12/26, 145, 101, 20, 34, 9, 12
2020/12/27, 169, 99, 29, 32, 7, 12
2020/12/28, 175, 192, 21, 40, 8, 40
2020/12/29, 295, 115, 26, 18, 3, 11
2020/12/30, 184, 54, 27, 7, 2, 6
2020/12/31, 58, 43, 27, 12, 4, 5
