date, pm25, pm10, o3, no2, so2, co
2021/11/2, 73, 35, 20, 15, 2, 6
2021/11/3, 76, 39, 18, 15, 2, 6
2021/11/4, 77, 42, 21, 15, 2, 6
2021/11/5, 90, 47, 18, 17, 3, 8
2021/11/6, 107, 51, 28, 12, 6, 7
2021/11/7, 95, 56, 28, 9, 1, 3
2021/11/8, 70, 63, 19, 15, 3, 4
2021/11/9, 106, 76, 26, 18, 3, 6
2021/11/10, 137, 83, 38, 21, 4, 8
2021/11/11, 158, 82, 20, 24, 3, 14
2021/11/12, 158, 65, 33, 17, 4, 7
2021/11/13, 140, 86, 23, 17, 4, 8
2021/11/14, 165, 88, 25, 17, 3, 9
2021/11/15, 171, 98, 9, 20, 4, 11
2021/11/16, 182, 79, 11, 16, 6, 10
2021/11/17, 163, 57, 25, 17, 5, 9
2021/11/18, 134, 49, 18, 12, 4, 7
2021/11/19, 119, 54, 14, 17, 3, 7
2021/11/20, 129, 55, 16, 19, 3, 9
2021/11/21, 116, , , , , 
2021/10/2, 126, 46, 38, 16, 6, 9
2021/10/3, 100, 46, 37, 12, 6, 7
2021/10/4, 100, 22, 29, 6, 3, 4
2021/10/5, 54, 8, 28, 7, 1, 4
2021/10/6, 21, 11, 27, 9, 1, 5
2021/10/7, 28, 33, 21, 11, 2, 6
2021/10/8, 78, 30, 18, 14, 2, 7
2021/10/9, 58, 18, 14, 11, 2, 7
2021/10/10, 43, 9, 25, 8, 1, 4
2021/10/11, 18, 13, 24, 10, 1, 3
2021/10/12, 35, 14, 14, 10, 2, 4
2021/10/13, 53, 19, 15, 12, 4, 5
2021/10/14, 40, 30, 25, 13, 3, 4
2021/10/15, 51, 42, 31, 14, 2, 3
2021/10/16, 68, 23, 31, 7, 2, 2
2021/10/17, 54, 18, 27, 9, 2, 5
2021/10/18, 40, 18, 14, 10, 2, 5
2021/10/19, 49, 33, 14, 13, 3, 7
2021/10/20, 83, 25, 23, 13, 2, 6
2021/10/21, 60, 42, 11, 18, 4, 8
2021/10/22, 80, 46, 25, 16, 3, 7
2021/10/23, 113, 46, 42, 15, 4, 6
2021/10/24, 117, 46, 32, 17, 4, 7
2021/10/25, 103, 54, 22, 18, 4, 7
2021/10/26, 129, 35, 28, 15, 4, 7
2021/10/27, 77, 34, 26, 16, 4, 6
2021/10/28, 71, 37, 11, 15, 4, 7
2021/10/29, 80, 42, 30, 18, 4, 8
2021/10/30, 89, 58, 27, 18, 6, 8
2021/10/31, 135, 46, 21, 16, 3, 7
2021/11/1, 106, 33, 20, 13, 2, 5
2021/9/2, 59, 28, 20, 12, 4, 7
2021/9/3, 64, 28, 28, 12, 5, 8
2021/9/4, 63, 27, 35, 9, 5, 5
2021/9/5, 56, 19, 30, 8, 5, 5
2021/9/6, 53, 31, 47, 16, 4, 5
2021/9/7, 55, 37, 43, 16, 5, 4
2021/9/8, 62, 34, 50, 10, 4, 6
2021/9/9, 69, 48, 84, 11, 6, 6
2021/9/10, 99, 51, 64, 14, 6, 7
2021/9/11, 99, 43, 53, 19, 5, 7
2021/9/12, 101, 50, 35, 19, 4, 7
2021/9/13, 106, 36, 25, 11, 3, 6
2021/9/14, 84, 27, 38, 11, 3, 6
2021/9/15, 76, 18, 34, 7, 2, 5
2021/9/16, 62, 17, 27, 12, 3, 6
2021/9/17, 36, 37, 22, 15, 4, 7
2021/9/18, 75, 17, 25, 12, 3, 6
2021/9/19, 40, 30, 71, 15, 3, 6
2021/9/20, 61, 32, 67, 16, 3, 5
2021/9/21, 63, 46, 58, 19, 4, 7
2021/9/22, 89, 50, 55, 17, 5, 7
2021/9/23, 96, 30, 27, 10, 7, 6
2021/9/24, 77, 31, 15, 10, 6, 6
2021/9/25, 71, 32, 17, 10, 6, 6
2021/9/26, 82, 12, 29, 8, 4, 5
2021/9/27, 36, 29, 30, 12, 5, 6
2021/9/28, 65, 26, 74, 15, 7, 9
2021/9/29, 56, 54, 53, 21, 9, 10
2021/9/30, 96, 52, 60, 21, 7, 10
2021/10/1, 117, 56, 39, 18, 5, 10
2021/8/2, 100, 49, 106, 16, 6, 9
2021/8/3, 91, 58, 99, 16, 5, 8
2021/8/4, 117, 43, 56, 7, 5, 7
2021/8/5, 91, 38, 45, 9, 5, 7
