date, pm25, pm10, o3, no2, so2, co
2021/11/2, 109, 55, 45, 33, 6, 7
2021/11/3, 121, 57, 26, 29, 15, 8
2021/11/4, 113, 49, 39, 23, 6, 7
2021/11/5, 89, 35, 29, 26, 5, 6
2021/11/6, 76, 18, 33, 16, 3, 5
2021/11/7, 42, 25, 25, 22, 4, 5
2021/11/8, 56, 23, 29, 12, 5, 6
2021/11/9, 36, 51, 31, 19, 7, 6
2021/11/10, 73, 56, 37, 26, 10, 6
2021/11/11, 101, 68, 34, 28, 10, 7
2021/11/12, 128, 63, 33, 30, 9, 6
2021/11/13, 106, 67, 28, 31, 10, 7
2021/11/14, 132, 73, 41, 30, 9, 7
2021/11/15, 136, 67, 69, 29, 11, 6
2021/11/16, 121, 74, 49, 44, 13, 8
2021/11/17, 137, 80, 24, 43, 8, 8
2021/11/18, 140, 33, 27, 25, 4, 4
2021/11/19, 63, 53, 43, 25, 8, 6
2021/11/20, 90, 52, 22, 37, 8, 9
2021/11/21, 87, , , , , 
2021/10/2, 68, 35, 64, 10, 7, 4
2021/10/3, 66, 25, 49, 6, 4, 3
2021/10/4, 47, 35, 39, 6, 4, 4
2021/10/5, 66, 38, 42, 10, 4, 4
2021/10/6, 53, 37, 28, 15, 7, 6
2021/10/7, 60, 25, 28, 13, 6, 5
2021/10/8, 46, 27, 25, 16, 5, 6
2021/10/9, 53, 25, 30, 12, 5, 5
2021/10/10, 54, 30, 25, 18, 5, 5
2021/10/11, 60, 31, 32, 7, 3, 4
2021/10/12, 35, 15, 34, 8, 3, 4
2021/10/13, 26, 27, 28, 21, 4, 8
2021/10/14, 66, 33, 20, 21, 7, 7
2021/10/15, 74, 34, 25, 18, 5, 6
2021/10/16, 70, 13, 34, 8, 4, 5
2021/10/17, 29, 27, 31, 10, 4, 4
2021/10/18, 35, 38, 20, 20, 6, 5
2021/10/19, 65, 46, 39, 20, 7, 6
2021/10/20, 88, 29, 37, 19, 4, 4
2021/10/21, 64, 26, 30, 20, 5, 7
2021/10/22, 60, 58, 44, 24, 7, 9
2021/10/23, 122, 36, 49, 20, 6, 6
2021/10/24, 71, 35, 45, 21, 6, 5
2021/10/25, 72, 35, 39, 23, 6, 5
2021/10/26, 65, 45, 58, 25, 9, 6
2021/10/27, 86, 59, 57, 28, 9, 11
2021/10/28, 110, 43, 42, 23, 7, 5
2021/10/29, 89, 45, 46, 22, 7, 5
2021/10/30, 82, 67, 67, 30, 10, 8
2021/10/31, 127, 55, 39, 27, 10, 7
2021/11/1, 106, 59, 58, 26, 8, 6
2021/9/2, 70, 42, 82, 15, 6, 5
2021/9/3, 83, 50, 66, 17, 7, 7
2021/9/4, 112, 28, 37, 10, 6, 5
2021/9/5, 65, 25, 29, 8, 5, 3
2021/9/6, 57, 37, 87, 13, 6, 5
2021/9/7, 78, 36, 47, 14, 3, 7
2021/9/8, 73, 28, 32, 20, 4, 7
