date, pm25, pm10, o3, no2, so2, co
2021/11/2, 54, 36, 47, 5, 3, 4
2021/11/3, 75, 48, 43, 5, 2, 4
2021/11/4, 99, 30, 36, 6, 3, 3
2021/11/5, 56, 41, 70, 11, 4, 5
2021/11/6, 88, 62, 49, 14, 4, 6
2021/11/7, 131, 29, 35, 8, 3, 3
2021/11/8, 56, 15, 24, 4, 2, 4
2021/11/9, 29, 26, 29, 6, 3, 3
2021/11/10, 52, 34, 38, 8, 3, 3
2021/11/11, 65, 39, 47, 11, 3, 3
2021/11/12, 78, 38, 60, 7, 3, 3
2021/11/13, 75, 34, 40, 7, 3, 4
2021/11/14, 80, 35, 44, 7, 2, 4
2021/11/15, 67, 33, 52, 5, 2, 3
2021/11/16, 67, 38, 47, 5, 2, 4
2021/11/17, 77, 17, 35, 5, 2, 5
2021/11/18, 46, 29, 17, 11, 2, 6
2021/11/19, 65, 38, 37, 11, 2, 6
2021/11/20, 70, 37, 37, 5, 2, 4
2021/11/21, 60, , , , , 
2021/10/2, 65, 30, 55, 2, 3, 4
2021/10/3, 67, 27, 50, 2, 2, 3
2021/10/4, 54, 33, 33, 1, 3, 3
2021/10/5, 48, 33, 39, 1, 2, 2
2021/10/6, 56, 27, 28, 1, 2, 2
2021/10/7, 48, 19, 24, 1, 3, 3
2021/10/8, 41, 16, 18, 1, 3, 3
2021/10/9, 28, 32, 28, , 3, 3
2021/10/10, 48, 23, 28, 1, 2, 3
2021/10/11, 42, 25, 28, 1, 2, 3
2021/10/12, 36, 15, 21, 1, 2, 3
2021/10/13, 31, 16, 19, 1, 3, 3
2021/10/14, 34, 16, 18, 1, 2, 3
2021/10/15, 31, 25, 29, 2, 3, 3
2021/10/16, 49, 26, 34, 4, 2, 3
2021/10/17, 40, 20, 39, 4, 3, 3
2021/10/18, 29, 27, 33, 5, 3, 4
2021/10/19, 54, 32, 44, 7, 3, 4
2021/10/20, 61, 35, 29, 9, 3, 5
2021/10/21, 88, 23, 17, 9, 4, 5
2021/10/22, 76, 17, 35, 4, 3, 4
2021/10/23, 35, 29, 35, 6, 2, 5
2021/10/24, 71, 21, 36, 5, 1, 4
2021/10/25, 49, 23, 45, 5, 2, 3
2021/10/26, 48, 29, 39, 5, , 3
2021/10/27, 54, 33, 39, 6, 1, 3
2021/10/28, 63, 39, 51, 6, 3, 3
2021/10/29, 74, 45, 50, 7, 3, 4
2021/10/30, 88, 39, 47, 7, 2, 4
2021/10/31, 75, 49, 67, 7, 2, 4
2021/11/1, 104, 24, 41, 5, 2, 3
2021/9/2, 37, 33, 43, 4, 3, 2
2021/9/3, 49, 52, 74, 9, 3, 4
2021/9/4, 89, 46, 60, 7, 3, 3
2021/9/5, 82, 26, 28, 3, 2, 4
2021/9/6, 50, 22, 28, 4, 2, 3
2021/9/7, 34, 30, 46, 4, 2, 4
2021/9/8, 52, 29, 32, 3, 2, 3
2021/9/9, 52, 20, 27, 3, 2, 3
2021/9/10, 53, 18, 25, 2, 2, 3
2021/9/11, 37, 21, 18, 2, 2, 3
2021/9/12, 34, 16, 21, 2, 2, 3
2021/9/13, 37, 33, 45, 5, 3, 4
2021/9/14, 62, 41, 66, 5, 2, 5
2021/9/15, 80, 34, 52, 3, 2, 4
2021/9/16, 74, 24, 49, 3, 2, 4
2021/9/17, 62, 26, 54, 2, 2, 5
2021/9/18, 60, 27, 47, 2, 2, 4
2021/9/19, 64, 28, 54, 2, 2, 3
2021/9/20, 64, 32, 51, 4, 3, 4
2021/9/21, 61, 38, 42, 3, 3, 3
2021/9/22, 54, 23, 42, 2, 3, 4
2021/9/23, 53, 23, 29, 3, 2, 3
2021/9/24, 50, 24, 39, 2, 2, 3
2021/9/25, 54, 32, 46, 2, 2, 3
2021/9/26, 64, 33, 58, 3, 3, 3
2021/9/27, 69, 33, 52, 4, 3, 4
2021/9/28, 71, 32, 44, 3, 3, 4
2021/9/29, 71, 42, 70, 5, 3, 4
2021/9/30, 85, 42, 71, 4, 4, 5
2021/10/1, 88, 29, 57, 4, 3, 5
2021/8/2, 63, 22, 31, 6, 1, 5
2021/8/3, 39, 32, 34, 5, 2, 4
2021/8/4, 48, 26, 28, 4, 1, 4
2021/8/5, 38, 17, 37, 3, 1, 4
2021/8/6, 35, 9, 34, 2, 1, 4
2021/8/7, 15, 19, 27, 5, 2, 5
2021/8/8, 28, 41, 51, 6, 2, 5
2021/8/9, 62, 49, 44, 5, 2, 4
2021/8/10, 72, , , , , 
2021/8/21, 69, 46, 50, 8, 2, 5
2021/8/22, 72, 42, 49, 6, 2, 5
2021/8/23, 73, 38, 42, 6, 3, 4
2021/8/24, 61, 29, 39, 5, 2, 4
2021/8/25, 50, 34, 41, 6, 2, 4
2021/8/26, 61, 37, 57, 6, 2, 5
2021/8/27, 84, 35, 35, 4, 2, 5
2021/8/28, 67, 30, 35, 3, 2, 4
2021/8/29, 54, 21, 22, 2, 2, 4
2021/8/30, 34, 21, 20, 2, 2, 4
2021/8/31, 28, 21, 16, 2, 1, 2
2021/9/1, 35, 27, 23, 3, 2, 3
