date, pm25, pm10, o3, no2, so2, co
2021/11/2, 81, 49, 40, 18, 3, 
2021/11/3, 67, 85, 39, 23, 3, 
2021/11/4, 134, 133, 76, 21, 5, 
2021/11/5, 180, 60, 76, 8, 3, 
2021/11/6, 102, 42, 61, 9, 3, 
2021/11/7, 70, 26, 46, 8, 3, 
2021/11/8, 44, 23, 34, 8, 3, 
2021/11/9, 50, 28, 32, 11, 4, 
2021/11/10, 53, 30, 29, 13, 4, 
2021/11/11, 52, 35, 30, 14, 4, 
2021/11/12, 48, 42, 30, 23, 5, 
2021/11/13, 66, 80, 34, 36, 7, 
2021/11/14, 128, 109, 13, 37, 9, 
2021/11/15, 158, , , , , 
2021/11/17, 148, 91, 71, 29, 5, 
2021/11/18, 145, 120, 67, 22, 7, 
2021/11/19, 177, 113, 63, 27, 5, 
2021/11/20, 171, , , , , 
2021/10/2, 101, 54, 99, 10, 3, 
2021/10/3, 101, 43, 76, 5, 2, 
2021/10/4, 71, 49, 45, 14, 3, 
2021/10/5, 80, 26, 23, 12, 2, 
2021/10/6, 49, 48, 30, 15, 3, 
2021/10/7, 73, 26, 27, 12, 2, 
2021/10/8, 49, 28, 31, 21, 2, 
2021/10/9, 71, 29, 41, 8, 1, 
2021/10/10, 54, 35, 30, 11, 2, 
2021/10/11, 71, 31, 38, 15, 3, 
2021/10/12, 42, 39, 44, 20, 4, 
2021/10/13, 59, 44, 45, 20, 4, 
2021/10/14, 77, 63, 80, 23, 4, 
2021/10/15, 105, 72, 34, 23, 4, 
2021/10/16, 131, 49, 32, 10, 3, 
2021/10/17, 39, 32, 36, 15, 4, 
2021/10/18, 52, 50, 37, 21, 5, 
2021/10/19, 75, 51, 32, 18, 3, 
2021/10/20, 69, 41, 27, 22, 3, 
2021/10/21, 67, 77, 46, 28, 5, 
2021/10/22, 127, 76, 39, 25, 4, 
2021/10/23, 133, 45, 43, 21, 3, 
2021/10/24, 69, 67, 55, 31, 4, 
2021/10/25, 117, 90, 84, 25, 6, 
2021/10/26, 157, 88, 66, 26, 6, 
2021/10/27, 154, 96, 44, 36, 5, 
2021/10/28, 139, 67, 67, 35, 5, 
2021/10/29, 96, 81, 80, 28, 5, 
2021/10/30, 126, 103, 73, 21, 6, 
2021/10/31, 151, 118, 48, 28, 7, 
2021/11/1, 163, 55, 36, 19, 2, 
2021/9/2, 59, 42, 64, 15, 3, 
2021/9/3, 73, 53, 88, 15, 3, 
2021/9/4, 87, 19, 53, 9, 1, 
2021/9/5, 45, 8, 50, 2, 1, 
2021/9/6, 10, 9, 37, 7, 1, 
2021/9/7, 32, 24, 43, 9, 2, 
2021/9/8, 37, 40, 86, 15, 3, 
2021/9/9, 72, 30, 59, 5, 2, 
2021/9/10, 61, 33, 53, 5, 2, 
2021/9/11, 66, 24, 53, 4, 2, 
2021/9/12, 58, 19, 52, 4, 2, 
2021/9/13, 46, 33, 51, 8, 2, 
2021/9/14, 58, 51, 65, 12, 3, 
2021/9/15, 70, 49, 71, 13, 3, 
2021/9/16, 74, 38, 56, 8, 2, 
2021/9/17, 54, 44, 56, 12, 2, 
2021/9/18, 66, 45, 55, 14, 3, 
2021/9/19, 63, 32, 49, 6, 1, 
2021/9/20, 44, 32, 43, 4, 2, 
2021/9/21, 49, 38, 69, 9, 3, 
2021/9/22, 71, 39, 78, 18, 4, 
2021/9/23, 71, 22, 67, 10, 2, 
2021/9/24, 58, 17, 60, 3, 2, 
2021/9/25, 34, 17, 46, 4, 2, 
2021/9/26, 31, 16, 38, 6, 2, 
2021/9/27, 34, 21, 37, 7, 2, 
2021/9/28, 43, 23, 28, 13, 2, 
2021/9/29, 45, 39, 47, 17, 2, 
2021/9/30, 67, 63, 99, 20, 4, 
2021/10/1, 104, 64, 86, 16, 5, 
2021/8/4, 44, 14, 27, 4, 2, 
2021/8/5, 31, 17, 22, 3, 2, 
2021/8/6, 29, 9, 29, 6, 2, 
2021/8/7, 19, 11, 26, 6, 2, 
2021/8/8, 19, 39, 75, 9, 3, 
2021/8/9, 68, 57, 93, 14, 3, 
2021/8/10, 104, 63, 86, 11, 3, 
2021/8/11, 113, 41, 52, 13, 2, 
2021/8/12, 83, 46, 42, 20, 3, 
2021/8/13, 87, 45, 50, 15, 3, 
2021/8/14, 77, 46, 77, 12, 3, 
2021/8/15, 74, 41, 64, 14, 3, 
2021/8/16, 71, 17, 52, 4, 2, 
2021/8/17, 36, 32, 69, 14, 2, 
2021/8/18, 50, 35, 91, 11, 3, 
2021/8/19, 68, 22, 61, 6, 3, 
2021/8/20, 51, 23, 65, 8, 2, 
2021/8/21, 60, 37, 70, 11, 3, 
2021/8/22, 81, 43, 70, 11, 3, 
2021/8/23, 78, 14, 49, 4, 2, 
2021/8/24, 28, 31, 63, 8, 2, 
2021/8/25, 65, 64, 94, 14, 3, 
2021/8/26, 102, 60, 75, 17, 4, 
2021/8/27, 80, 20, 58, 13, 2, 
2021/8/28, 39, 20, 58, 11, 2, 
2021/8/29, 42, 20, 49, 10, 2, 
2021/8/30, 47, 13, 46, 4, 2, 
2021/8/31, 26, 13, 37, 6, 2, 
2021/9/1, 22, 32, 48, 21, 3, 
2021/7/2, 56, 23, 42, 4, 2, 
2021/7/3, 59, 19, 40, 5, 2, 
2021/7/4, 39, 29, 47, 9, 3, 
2021/7/5, 63, 39, 46, 7, 2, 
2021/7/6, 64, 16, 41, 7, 2, 
2021/7/7, 41, 13, 35, 9, 3, 
2021/7/8, 27, 43, 59, 10, 2, 
2021/7/9, 73, 49, 63, 12, 2, 
2021/7/10, 72, 53, 78, 11, 2, 
2021/7/11, 83, 63, 57, 9, 2, 
2021/7/12, 94, 62, 78, 6, 2, 
2021/7/13, 108, 36, 62, 6, 2, 
2021/7/14, 66, 48, 51, 9, 2, 
2021/7/15, 76, 19, 44, 5, 1, 
2021/7/16, 32, 10, 33, 3, 1, 
2021/7/17, 16, 13, 34, 2, 1, 
2021/7/18, 27, 15, 35, 2, 1, 
2021/7/19, 41, 9, 31, 2, 2, 
2021/7/20, 20, 13, 28, 3, 2, 
2021/7/21, 20, 14, 39, 2, 2, 
2021/7/22, 27, 19, 35, 2, 2, 
2021/7/23, 45, 16, 29, , 2, 
2021/7/24, 55, , , , , 
2021/6/2, 65, 41, 46, 6, 1, 
2021/6/3, 59, 33, 43, 16, 1, 
2021/6/4, 68, 69, 101, 23, 4, 
2021/6/5, 93, 74, 98, 28, 5, 
2021/6/6, 108, 74, 105, 19, 5, 
2021/6/7, 120, 69, 119, 12, 3, 
2021/6/8, 109, 34, 51, 7, 2, 
2021/6/9, 42, 8, 28, 7, 1, 
