date, pm25, pm10, o3, no2, so2, co
2021/3/2, 104, , , , , 
2021/2/2, 153, 75, 31, 14, 2, 7
2021/2/3, 131, 98, 39, 14, 2, 10
2021/2/4, 177, 92, 41, 19, 6, 10
2021/2/5, 172, 78, 43, 13, 3, 8
2021/2/6, 158, 67, 36, 12, 2, 6
2021/2/7, 141, 99, 30, 12, 5, 7
2021/2/8, 150, 46, 33, 9, 2, 5
2021/2/9, 88, 50, 37, 8, 1, 4
2021/2/10, 134, 62, 41, 11, 2, 7
2021/2/11, 149, 71, 46, 8, 2, 7
2021/2/12, 167, 54, 34, 3, 2, 4
2021/2/13, 138, 44, 31, 4, 1, 5
2021/2/14, 130, 66, 30, 5, 1, 8
2021/2/15, 169, 61, 27, 4, , 5
2021/2/16, 131, 63, 37, 5, 2, 5
2021/2/17, 131, 53, 37, 6, 2, 4
2021/2/18, 95, 62, 43, 8, 2, 5
2021/2/19, 139, 65, 44, 8, 2, 5
2021/2/20, 131, 61, 39, 11, 2, 3
2021/2/21, 102, 59, 26, 10, 2, 4
2021/2/22, 121, , , , , 
2021/1/5, 284, 91, 5, 24, 5, 11
2021/1/6, 176, 97, 20, 14, 3, 7
2021/1/7, 136, 69, 22, 8, 3, 2
2021/1/8, 66, 68, 24, 18, 3, 4
2021/1/9, 93, 65, 24, 22, 5, 7
2021/1/10, 99, 76, 18, 28, 7, 8
2021/1/11, 146, 112, 25, 20, 4, 5
2021/1/12, 119, 137, 24, 15, 2, 4
2021/1/13, 128, 123, 21, 22, 4, 8
2021/1/14, 155, 96, 41, 22, 4, 7
2021/1/15, 160, 179, 12, 29, 8, 11
2021/1/16, 180, 121, 22, 19, 4, 6
2021/1/17, 155, 85, 26, 18, 2, 5
2021/1/18, 115, 77, 23, 19, 3, 6
2021/1/19, 132, 87, 31, 19, 3, 7
2021/1/20, 161, 79, 23, 19, 2, 6
2021/1/21, 162, 128, 12, 30, 5, 12
2021/1/22, 227, 189, 19, 35, 5, 16
2021/1/23, 340, 168, 35, 32, 5, 18
2021/1/24, 300, 129, 27, 25, 3, 13
2021/1/25, 234, 128, 18, 25, 3, 14
2021/1/26, 266, 103, 36, 21, 6, 13
2021/1/27, 202, 87, 27, 22, 2, 12
2021/1/28, 186, 120, 29, 13, 2, 6
2021/1/29, 142, 122, 35, 11, 2, 5
2021/1/30, 147, 86, 30, 19, 3, 8
2021/1/31, 139, 77, 36, 17, 3, 8
2021/2/1, 147, 97, 32, 16, 4, 8
2020/10/2, 109, 62, 24, 15, 3, 4
2020/10/3, 113, 68, 11, 23, 8, 6
2020/10/4, 142, 69, 23, 15, 3, 3
2020/10/5, 77, 62, 15, 21, 7, 3
2020/10/6, 97, 56, 15, 22, 4, 4
2020/10/7, 115, 52, 38, 20, 4, 4
2020/10/8, 102, 59, 45, 25, 5, 5
2020/10/9, 121, 72, 27, 30, 5, 5
2020/10/10, 154, 75, 29, 29, 4, 5
2020/10/11, 150, 73, 35, 26, 4, 4
2020/10/12, 139, 67, 27, 22, 3, 4
2020/10/13, 135, 62, 17, 26, 4, 5
2020/10/14, 150, 39, 22, 12, 2, 5
2020/10/15, 130, 38, 19, 14, 3, 5
2020/10/16, 111, 54, 27, 15, 2, 5
2020/10/17, 115, 66, 36, 21, 4, 6
2020/10/18, 132, 69, 48, 23, 3, 4
2020/10/19, 155, 80, 56, 29, 4, 6
2020/10/20, 169, 81, 54, 27, 4, 5
2020/10/21, 173, 120, 40, 16, 5, 3
2020/10/22, 160, 140, 33, 20, 5, 4
2020/10/23, 146, 90, 31, 22, 6, 4
2020/10/24, 119, 72, 39, 22, 6, 4
2020/10/25, 135, 73, 51, 22, 5, 5
2020/10/26, 153, 87, 52, 26, 4, 6
2020/10/27, 162, 105, 33, 29, 7, 7
2020/10/28, 189, 85, 13, 25, 9, 6
2020/10/29, 122, 91, 37, 26, 6, 8
2020/10/30, 168, 89, 39, 24, 4, 6
2020/10/31, 162, 74, 39, 14, 3, 4
2020/11/1, 167, 108, 44, 22, 5, 6
2020/11/2, 169, 108, 30, 20, 6, 4
2020/11/3, 122, 67, 24, 18, 7, 4
2020/11/4, 90, 59, 31, 13, 4, 2
2020/11/5, 84, 66, 37, 19, 6, 6
2020/11/6, 129, 99, 40, 29, 7, 11
2020/11/7, 167, 83, 36, 19, 5, 6
2020/11/8, 87, 98, 28, 24, 9, 6
2020/11/9, 135, 93, 35, 26, 8, 7
2020/11/10, 133, 95, 50, 22, 7, 7
2020/11/11, 161, 81, 56, 14, 6, 6
2020/11/12, 152, 66, 45, 15, 4, 6
2020/11/13, 154, 89, 47, 24, 7, 8
2020/11/14, 184, 77, 36, 19, 3, 7
2020/11/15, 164, 81, 42, 18, 2, 6
2020/11/16, 179, 76, 34, 17, 2, 5
2020/11/17, 161, 45, 19, 11, 2, 6
2020/11/18, 115, 20, 19, 13, 1, 10
2020/11/19, 46, 42, 24, 11, 3, 6
2020/11/20, 91, 41, 28, 12, 3, 6
2020/11/21, 88, 42, 16, 10, 1, 6
2020/11/22, 143, 39, 16, 12, 2, 8
2020/11/23, 131, 45, 15, 13, 3, 7
2020/11/24, 108, 56, 18, 18, 2, 6
2020/11/25, 135, 68, 15, 17, 3, 7
2020/11/26, 169, 89, 8, 20, 6, 9
2020/11/27, 191, 77, 18, 21, 6, 9
2020/11/28, 167, 68, 9, 19, 6, 6
2020/11/29, 153, 82, 16, 17, 4, 8
2020/11/30, 187, 110, 23, 20, 7, 9
2020/12/1, 222, 91, 13, 20, 8, 8
2020/12/2, 191, 83, 16, 15, 4, 7
2020/12/3, 198, 76, 19, 14, 4, 7
2020/12/4, 174, 79, 24, 30, 5, 7
2020/12/5, 175, 63, 31, 17, 2, 6
