date, pm25, pm10, o3, no2, so2, co
2021/11/2, 82, 74, 14, 29, 16, 10
2021/11/3, 154, 80, 25, 22, 9, 9
2021/11/4, 163, 108, 31, 22, 11, 10
2021/11/5, 183, 98, 42, 24, 13, 8
2021/11/6, 171, 44, 12, 14, 10, 5
2021/11/7, 80, 26, 12, 11, 3, 3
2021/11/8, 71, 37, 24, 13, 6, 2
2021/11/9, 58, 23, 21, 13, 5, 2
2021/11/10, 44, 30, 13, 24, 8, 5
2021/11/11, 88, 30, 14, 23, 7, 4
2021/11/12, 82, , , , , 
2021/10/2, 61, 46, 24, 16, 8, 7
2021/10/3, 77, 45, 42, 7, 5, 5
2021/10/4, 77, 23, 19, 9, 2, 3
2021/10/5, 50, 32, 20, 14, 3, 4
2021/10/6, 61, 36, 18, 19, 3, 5
2021/10/7, 70, 33, 25, 17, 3, 7
2021/10/8, 73, 50, 23, 22, 5, 11
2021/10/9, 96, 25, 17, 16, 7, 7
2021/10/10, 56, 31, 24, 15, 2, 4
2021/10/11, 43, 39, 18, 23, 3, 6
2021/10/12, 58, 58, 13, 29, 6, 14
2021/10/13, 96, 54, 28, 19, 5, 9
2021/10/14, 100, 53, 15, 24, 7, 8
2021/10/15, 102, 49, 20, 20, 5, 7
2021/10/16, 78, 28, 20, 10, 3, 2
2021/10/17, 40, 34, 19, 15, 8, 4
2021/10/18, 57, 43, 18, 14, 10, 5
2021/10/19, 75, 34, 17, 18, 4, 4
2021/10/20, 72, 57, 17, 27, 12, 11
2021/10/21, 110, 75, 16, 34, 10, 16
2021/10/22, 142, 84, 15, 36, 6, 13
2021/10/23, 146, 69, 22, 29, 9, 11
2021/10/24, 129, 64, 36, 25, 13, 10
2021/10/25, 134, 77, 49, 18, 12, 8
2021/10/26, 153, 71, 49, 22, 10, 8
2021/10/27, 130, 37, 21, 22, 5, 5
2021/10/28, 59, 62, 26, 30, 9, 14
2021/10/29, 119, 75, 22, 31, 13, 11
2021/10/30, 156, 65, 32, 25, 11, 9
2021/10/31, 127, 35, 8, 14, 4, 5
2021/11/1, 72, 37, 11, 18, 7, 6
2021/9/2, 80, 52, 82, 15, 8, 9
2021/9/3, 91, 52, 35, 23, 6, 9
2021/9/4, 97, 43, 39, 16, 6, 8
2021/9/5, 82, 34, 40, 14, 4, 5
2021/9/6, 58, 40, 20, 19, 8, 7
2021/9/7, 66, 21, 23, 14, 2, 4
2021/9/8, 50, 45, 54, 15, 4, 7
2021/9/9, 82, 33, 51, 13, 3, 6
2021/9/10, 72, 25, 52, 16, 2, 6
2021/9/11, 60, 32, 34, 16, 2, 5
2021/9/12, 67, 27, 23, 14, 4, 7
2021/9/13, 44, 40, 34, 16, 5, 8
2021/9/14, 77, 28, 28, 15, 2, 5
2021/9/15, 55, 34, 45, 16, 4, 6
2021/9/16, 62, 37, 20, 13, 4, 5
2021/9/17, 77, 31, 30, 16, 2, 6
2021/9/18, 65, 50, 36, 25, 4, 11
2021/9/19, 97, 62, 39, 21, 12, 13
2021/9/20, 114, 29, 25, 11, 3, 7
2021/9/21, 66, 14, 18, 6, 2, 4
2021/9/22, 31, 14, 19, 13, 2, 4
2021/9/23, 26, 19, 17, 11, 2, 4
2021/9/24, 41, 41, 21, 17, 3, 9
2021/9/25, 82, 36, 17, 20, 6, 9
2021/9/26, 74, 41, 33, 23, 8, 12
2021/9/27, 76, 44, 17, 20, 7, 9
2021/9/28, 78, 43, 25, 15, 9, 10
2021/9/29, 73, 33, 15, 14, 5, 5
2021/9/30, 65, 46, 14, 20, 4, 9
2021/10/1, 87, 32, 23, 14, 3, 4
2021/8/2, 83, 16, 7, 8, 1, 4
2021/8/3, 43, 25, 22, 12, 1, 5
2021/8/4, 53, 44, 49, 12, 4, 9
2021/8/5, 76, 42, 40, 12, 6, 8
2021/8/6, 78, 42, 46, 11, 4, 9
2021/8/7, 80, 39, 80, 17, 3, 8
2021/8/8, 79, 53, 61, 18, 2, 10
2021/8/9, 101, 57, 64, 18, 6, 14
2021/8/10, 119, 41, 50, 16, 4, 9
2021/8/11, 91, 30, 19, 11, 6, 9
2021/8/12, 58, 14, 17, 7, 2, 3
2021/8/13, 39, 25, 27, 12, 1, 4
2021/8/14, 57, 27, 32, 11, 1, 5
2021/8/15, 61, 52, 58, 21, 4, 8
2021/8/16, 98, 41, 23, 19, 6, 11
2021/8/17, 80, 29, 31, 12, 1, 7
2021/8/18, 72, 47, 57, 20, 1, 8
2021/8/19, 91, 47, 40, 12, 7, 8
2021/8/20, 73, 31, 19, 12, 3, 6
2021/8/21, 63, 26, 42, 13, 1, 6
2021/8/22, 63, 48, 66, 10, 3, 9
2021/8/23, 98, 43, 54, 6, 4, 6
