date, pm25, pm10, o3, no2, so2, co
2021/11/2, 161, 84, 28, 25, 10, 
2021/11/3, 168, 88, 39, 25, 8, 
2021/11/4, 147, 95, 41, 27, 10, 
2021/11/5, 176, 118, 16, 25, 2, 
2021/11/6, 206, 126, 25, 20, 3, 
2021/11/7, 227, 28, 29, 7, 2, 
2021/11/8, 86, 34, 29, 10, 4, 
2021/11/9, 79, 32, 31, 13, 4, 
2021/11/10, 82, 34, 78, 13, 8, 
2021/11/11, 73, 38, 30, 17, 3, 
2021/11/12, 85, , , , , 
2021/10/2, 151, 76, 62, 16, 5, 
2021/10/3, 153, 93, 19, 23, 5, 
2021/10/4, 166, 29, 29, 7, 3, 
2021/10/5, 79, 22, 27, 6, 3, 
2021/10/6, 72, 18, 26, 7, 3, 
2021/10/7, 65, 31, 32, 15, 3, 
2021/10/8, 81, 51, 54, 20, 4, 
2021/10/9, 110, 47, 39, 15, 2, 
2021/10/10, 123, 60, 26, 21, 2, 
2021/10/11, 95, 47, 34, 26, 4, 
2021/10/12, 86, 54, 47, 26, 9, 
2021/10/13, 96, 68, 55, 31, 5, 
2021/10/14, 127, 75, 29, 28, 5, 
2021/10/15, 153, 57, 33, 21, 3, 
2021/10/16, 99, 38, 27, 13, 1, 
2021/10/17, 70, 55, 25, 21, 4, 
2021/10/18, 89, 73, 240, 30, 12, 
2021/10/19, 120, 53, 22, 20, 5, 
2021/10/20, 101, 59, 7, 26, 6, 
2021/10/21, 100, 58, 32, 22, 3, 
2021/10/22, 106, 45, 33, 23, 3, 
2021/10/23, 83, 69, 167, 26, 6, 
2021/10/24, 125, 95, 38, 34, 9, 
2021/10/25, 169, 104, 40, 29, 6, 
2021/10/26, 177, 85, 40, 30, 6, 
2021/10/27, 156, 63, 29, 27, 6, 
2021/10/28, 108, 83, 35, 47, 6, 
2021/10/29, 142, 97, 35, 39, 8, 
2021/10/30, 166, 95, 39, 32, 8, 
2021/10/31, 154, 97, 34, 22, 8, 
2021/11/1, 158, 81, 34, 15, 2, 
2021/9/2, 80, 29, 70, 13, 2, 
2021/9/3, 58, 67, 71, 18, 9, 
2021/9/4, 140, 30, 46, 7, 1, 
2021/9/5, 93, 39, 46, 9, 2, 
2021/9/6, 93, 25, 38, 7, 1, 
2021/9/7, 70, 16, 7, 11, 1, 
2021/9/8, 36, 1, , , , 
2021/9/9, 1, 41, 92, 6, 2, 
2021/9/10, 70, 79, 104, 16, 2, 
2021/9/11, 161, 86, 119, 21, 4, 
2021/9/12, 163, 82, 100, 8, 2, 
2021/9/13, 163, 71, 68, 7, 2, 
2021/9/14, 140, 57, 69, 6, 1, 
2021/9/15, 122, 44, 67, 9, 2, 
2021/9/16, 85, 37, 32, 17, 1, 
2021/9/17, 75, 45, 54, 15, 1, 
2021/9/18, 94, 48, 31, 21, 2, 
2021/9/19, 98, 18, 37, 7, 1, 
2021/9/20, 67, 22, 55, 10, 2, 
2021/9/21, 62, 38, 61, 13, 4, 
2021/9/22, 75, 48, 71, 16, 4, 
2021/9/23, 91, 52, 35, 26, 2, 
2021/9/24, 98, 42, 27, 8, 1, 
2021/9/25, 102, 28, 39, 6, 1, 
2021/9/26, 76, 19, 29, 8, 1, 
2021/9/27, 61, 30, 34, 15, 2, 
2021/9/28, 71, 47, 31, 20, 7, 
2021/9/29, 75, 21, 43, 12, 4, 
2021/9/30, 35, 87, 50, 25, 5, 
2021/10/1, 147, 73, 44, 19, 3, 
2021/8/2, 102, 35, 61, 14, 2, 
2021/8/3, 57, 43, 66, 14, 6, 
2021/8/4, 78, 55, 104, 14, 2, 
2021/8/5, 116, 72, 112, 15, 2, 
2021/8/6, 139, 46, 99, 10, 1, 
2021/8/7, 87, 57, 84, 17, 2, 
2021/8/8, 105, 20, 60, 3, 2, 
2021/8/9, 37, 17, 76, 4, 7, 
2021/8/10, 36, 41, 81, 8, 1, 
2021/8/11, 86, 62, 92, 19, 1, 
2021/8/12, 120, 37, 91, 11, 5, 
2021/8/13, 90, 53, 83, 14, 1, 
2021/8/14, 103, 52, 93, 12, 2, 
2021/8/15, 118, 58, 90, 13, 3, 
2021/8/16, 120, 69, 107, 16, 3, 
2021/8/17, 149, 56, 57, 13, 7, 
2021/8/18, 121, 55, 72, 11, 2, 
2021/8/19, 102, 38, 95, 8, 2, 
2021/8/20, 95, 23, 66, 7, 7, 
2021/8/21, 70, 45, 105, 15, 1, 
2021/8/22, 92, 63, 62, 15, 6, 
2021/8/23, 119, 43, 70, 14, 4, 
2021/8/24, 81, 50, 41, 17, 3, 
2021/8/25, 79, 35, 39, 18, 2, 
2021/8/26, 74, 42, 50, 17, 8, 
2021/8/27, 75, 54, 109, 14, 7, 
2021/8/28, 95, 55, 63, 11, 4, 
2021/8/29, 109, 40, 57, 10, 6, 
2021/8/30, 98, 42, 52, 12, 2, 
2021/8/31, 97, 35, 42, 11, 1, 
2021/9/1, 93, 40, 76, 19, 3, 
2021/7/2, 81, 39, 87, 8, 3, 6
2021/7/3, 83, 26, 93, 8, 3, 6
2021/7/4, 72, 49, 114, 12, 5, 7
2021/7/5, 98, 68, 122, 12, 6, 8
2021/7/6, 129, 44, 102, 8, 5, 6
2021/7/7, 89, 377, 500, 178, 169, 7
2021/7/8, 416, 880, 500, 440, 438, 7
2021/7/9, 884, 960, 500, 479, 417, 8
2021/7/10, 963, 73, 133, 12, 2, 
2021/7/11, 142, 47, 62, 9, 2, 
2021/7/12, 95, 15, 47, 5, 2, 
2021/7/13, 49, 48, 112, 10, 2, 
2021/7/14, 95, 50, 83, 8, 1, 
2021/7/15, 106, 44, 79, 8, 2, 
2021/7/16, 94, 50, 72, 7, 2, 
2021/7/17, 110, 40, 43, 7, 1, 
2021/7/18, 87, 21, 37, 8, 2, 
2021/7/19, 64, 31, 54, 16, 2, 
2021/7/20, 80, 42, 54, 16, 2, 
2021/7/21, 94, 24, 30, 12, 1, 
2021/7/22, 71, 12, 15, 4, 1, 
2021/7/23, 43, 31, 58, 11, 1, 
2021/7/24, 77, 51, 65, 15, 2, 
2021/7/25, 111, 43, 71, 12, 3, 
2021/7/26, 85, 53, 94, 12, 3, 
2021/7/27, 114, 56, 79, 15, 2, 
2021/7/28, 120, 25, 28, 7, 1, 
2021/7/29, 71, 28, 123, 9, 13, 
2021/7/30, 61, 29, 89, 16, 2, 
2021/7/31, 97, 67, 114, 17, 3, 
2021/8/1, 147, 46, 67, 7, 2, 
2021/6/2, 162, 70, 91, 12, 4, 9
2021/6/3, 141, 70, 43, 14, 4, 4
2021/6/4, 98, 53, 55, 14, 6, 3
2021/6/5, 80, 50, 75, 15, 7, 4
2021/6/6, 78, 64, 118, 20, 8, 6
