date, pm25, pm10, o3, no2, so2, co
2016/10/2, 54, 10, , 7, 2, 5
2016/10/3, 27, 37, , 11, 3, 7
2016/10/4, 87, 46, , 7, 3, 7
2016/10/5, 105, 72, , 9, 6, 9
2016/10/6, 152, 46, , 8, 3, 5
2016/10/7, 79, 42, , 10, 2, 5
2016/10/8, 78, 51, , 11, 3, 6
2016/10/9, 108, 38, , 8, 5, 4
2016/10/10, 69, 43, , 11, 3, 4
2016/10/11, 90, 49, , 13, 4, 6
2016/10/12, 97, 81, , 21, 12, 15
2016/10/13, 164, 74, , 19, 3, 12
2016/10/14, 145, 57, , 15, 4, 7
2016/10/15, 110, 43, , 7, 2, 5
2016/10/16, 93, 28, , 8, 4, 6
2016/10/17, 99, 59, , 17, 3, 8
2016/10/18, 148, 49, , 10, 7, 7
2016/10/19, 113, 48, , 3, 2, 6
2016/10/20, 97, 34, , 10, 5, 4
2016/10/21, 76, 25, , 10, 3, 4
2016/10/22, 64, 36, , 10, 3, 6
2016/10/23, 91, 31, , 7, 3, 3
2016/10/24, 82, 17, , 12, 2, 5
2016/10/25, 64, 48, , 16, 4, 10
2016/10/26, 123, 37, , 12, 3, 7
2016/10/27, 102, 31, , 9, 3, 5
2016/10/28, 66, 41, , 11, 4, 6
2016/10/29, 99, 39, , 13, 8, 6
2016/10/30, 74, 54, , 13, 5, 8
2016/10/31, 111, 43, , 11, 2, 4
2016/11/1, 110, 34, , 11, 3, 4
2016/11/2, 71, 53, , 16, 5, 7
2016/11/3, 127, 61, , 15, 6, 11
2016/11/4, 142, 54, , 15, 5, 9
2016/11/5, 119, 69, , 23, 7, 13
2016/11/6, 152, 99, , 16, 5, 17
2016/11/7, 196, 62, , 14, 6, 10
2016/11/8, 147, , , , , 
2016/7/2, 54, 40, , 3, 7, 6
2016/7/3, 84, 46, , 2, 2, 5
2016/7/4, 87, 23, , 2, 1, 4
2016/7/5, 63, 40, , 4, 2, 5
2016/7/6, 96, 52, , 5, 2, 6
2016/7/7, 107, 41, , 4, 2, 5
2016/7/8, 87, 23, , 3, 2, 4
2016/7/9, 55, 24, , 5, 5, 3
2016/7/10, 60, 42, , 3, 3, 4
2016/7/11, 74, 33, , 5, 5, 4
2016/7/12, 54, 41, , 6, 7, 6
2016/7/13, 94, 39, , 4, 2, 5
2016/7/14, 84, 32, , 4, 3, 5
2016/7/15, 78, 34, , 4, 1, 6
2016/7/16, 70, 47, , 4, 2, 7
2016/7/17, 116, 52, , 5, 2, 8
2016/7/18, 111, 74, , 4, 3, 10
2016/7/19, 151, 42, , 4, 3, 6
2016/7/20, 89, 37, , 9, 5, 6
2016/7/21, 69, 24, , 3, 3, 5
2016/7/22, 58, 40, , 3, 3, 6
2016/7/23, 80, 46, , 5, 3, 7
2016/7/24, 94, 50, , 4, 3, 7
2016/7/25, 114, 54, , 5, 3, 8
2016/7/26, 125, 53, , 5, 6, 8
2016/7/27, 117, 58, , 6, 8, 9
2016/7/28, 127, 51, , 4, 4, 7
2016/7/29, 113, 55, , 4, 5, 8
2016/7/30, 127, 57, , 3, 4, 8
2016/7/31, 121, 48, , 3, 5, 7
2016/8/1, 113, 40, , 3, 5, 6
2016/8/2, 85, 35, , 3, 8, 7
2016/8/3, 76, 29, , 5, 3, 5
2016/8/4, 71, 24, , 6, 3, 6
2016/8/5, 55, 25, , 6, 2, 5
2016/8/6, 65, 27, , 4, 2, 5
2016/8/7, 71, 37, , 7, 2, 7
2016/8/8, 91, 32, , 6, 7, 6
2016/8/9, 71, 24, , 4, 1, 5
2016/8/10, 59, 35, , 3, 2, 5
2016/8/11, 88, 28, , 3, 1, 5
2016/8/12, 74, 37, , 4, 2, 6
2016/8/13, 84, 36, , 4, 3, 6
2016/8/14, 82, 35, , 4, 3, 6
2016/8/15, 81, 50, , 4, 2, 7
2016/8/16, 114, 35, , 6, 2, 5
2016/8/17, 85, 29, , 3, 2, 6
2016/8/18, 63, 39, , 6, 5, 6
2016/8/19, 87, 56, , 9, 5, 8
2016/8/20, 118, 41, , 6, 2, 10
2016/8/21, 98, 41, , 6, 2, 8
2016/8/22, 100, 25, , 5, 7, 7
2016/8/23, 61, 36, , 6, 3, 7
2016/8/24, 83, 37, , 6, 3, 6
2016/8/25, 81, 47, , 7, 5, 6
2016/8/26, 94, 34, , 7, 4, 5
2016/8/27, 64, 40, , 8, 6, 6
2016/8/28, 74, 58, , 11, 11, 9
2016/8/29, 124, 49, , 10, 10, 7
2016/8/30, 100, 44, , 9, 9, 6
2016/8/31, 85, 58, , 7, 7, 7
2016/9/1, 121, 63, , 8, 8, 8
2016/9/2, 138, 59, , 13, 14, 8
2016/9/3, 107, 66, , 17, 10, 9
2016/9/4, 133, 83, , 21, 11, 12
2016/9/5, 164, 73, , 14, 11, 11
2016/9/6, 146, 66, , 13, 4, 10
2016/9/7, 145, 35, , 6, 3, 6
2016/9/8, 81, 56, , 7, 3, 8
2016/9/9, 130, 67, , 10, 6, 9
2016/9/10, 145, 68, , 9, 11, 9
2016/9/11, 147, 71, , 27, 9, 10
2016/9/12, 140, 51, , 22, 11, 6
2016/9/13, 109, 64, , 13, 8, 7
2016/9/14, 153, 61, , 10, 7, 7
2016/9/15, 142, 45, , 8, 5, 4
2016/9/16, 108, 21, , 6, 3, 3
2016/9/17, 54, 37, , 8, 6, 5
2016/9/18, 87, 48, , 11, 8, 5
2016/9/19, 105, 41, , 7, 8, 3
2016/9/20, 59, 41, , 9, 10, 4
2016/9/21, 79, 51, , 14, 8, 5
2016/9/22, 112, 51, , 13, 6, 6
2016/9/23, 113, 50, , 11, 8, 5
2016/9/24, 112, 57, , 11, 8, 6
2016/9/25, 137, 52, , 9, 7, 5
2016/9/26, 116, 50, , 8, 4, 4
2016/9/27, 92, 45, , 9, 5, 7
2016/9/28, 106, 21, , 7, 2, 4
2016/9/29, 59, 35, , 10, 8, 7
2016/9/30, 72, 44, , 15, 5, 7
2016/10/1, 111, 20, , 8, 3, 5
2016/4/2, 119, 107, , 18, 13, 23
2016/4/3, 165, 58, , 9, 3, 16
2016/4/4, 73, 54, , 16, 6, 17
2016/4/5, 93, 68, , 20, 13, 18
2016/4/6, 130, 18, , 9, 2, 16
2016/4/7, 43, 47, , 12, 8, 18
2016/4/8, 95, 91, , 20, 13, 20
2016/4/9, 142, 88, , 17, 16, 17
2016/4/10, 123, 89, , 22, 18, 16
2016/4/11, 126, 64, , 10, 14, 16
2016/4/12, 136, 67, , 17, 17, 14
2016/4/13, 97, 95, , 34, 28, 18
2016/4/14, 160, 99, , 30, 30, 18
2016/4/15, 169, 86, , 17, 19, 15
2016/4/16, 136, 57, , 18, 16, 16
2016/4/17, 122, 82, , 13, 15, 14
2016/4/18, 108, 48, , 14, 12, 13
2016/4/19, 84, 67, , 21, 18, 14
2016/4/20, 116, 59, , 24, 18, 15
2016/4/21, 122, 89, , 20, 20, 19
2016/4/22, 157, 75, , 18, 21, 15
2016/4/23, 128, 107, , 20, 19, 19
2016/4/24, 167, 87, , 19, 14, 17
2016/4/25, 131, 92, , 16, 14, 12
2016/4/26, 104, 71, , 11, 18, 4
2016/4/27, 100, 66, , 19, 27, 9
2016/4/28, 125, 69, , 16, 30, 9
2016/4/29, 128, 92, , 16, 30, 9
2016/4/30, 135, 67, , 12, 22, 7
2016/5/1, 135, 63, , 12, 20, 6
2016/5/2, 122, 63, , 13, 21, 7
2016/5/3, 127, 84, , 6, 18, 3
2016/5/4, 72, 62, , 15, 25, 5
2016/5/5, 90, 55, , 14, 23, 7
2016/5/6, 116, 92, , 10, 20, 7
2016/5/7, 127, 108, , 11, 24, 5
2016/5/8, 119, 57, , 11, 21, 4
2016/5/9, 91, 53, , 13, 21, 6
2016/5/10, 107, 55, , 12, 25, 8
2016/5/11, 129, 64, , 12, 19, 8
2016/5/12, 142, 50, , 9, 9, 7
2016/5/13, 88, 30, , 7, 5, 4
2016/5/14, 53, 50, , 9, 5, 6
2016/5/15, 119, 42, , 15, 5, 9
2016/5/16, 96, 49, , 13, 6, 7
2016/5/17, 81, 45, , 13, 7, 7
2016/5/18, 94, 47, , 15, 10, 6
2016/5/19, 99, 39, , 10, 8, 5
2016/5/20, 95, 45, , 9, 6, 6
2016/5/21, 91, 42, , 13, 3, 5
2016/5/22, 100, 44, , 16, 6, 8
2016/5/23, 87, 51, , 15, 4, 5
2016/5/24, 107, 64, , 14, 6, 7
2016/5/25, 123, 55, , 14, 13, 7
2016/5/26, 110, 71, , 22, 19, 10
2016/5/27, 126, 56, , 17, 14, 9
2016/5/28, 112, 20, , 10, 2, 6
2016/5/29, 66, 52, , 14, 6, 11
2016/5/30, 117, 48, , 14, 7, 8
2016/5/31, 69, 83, , 18, 9, 11
2016/6/1, 155, 42, , 9, 4, 6
2016/6/2, 73, 48, , 15, 6, 5
2016/6/3, 89, 43, , 10, 8, 5
2016/6/4, 84, 24, , 8, 3, 4
2016/6/5, 52, 45, , 12, 5, 5
2016/6/6, 104, 43, , 10, 4, 4
2016/6/7, 70, 49, , 12, 9, 6
2016/6/8, 101, 66, , 13, 6, 6
2016/6/9, 126, 53, , 11, 5, 6
2016/6/10, 110, 59, , 10, 6, 7
2016/6/11, 139, 83, , 16, 8, 9
2016/6/12, 152, 65, , 15, 6, 8
2016/6/13, 134, 57, , 14, 5, 7
2016/6/14, 129, 43, , 8, 7, 6
2016/6/15, 66, 55, , 10, 2, 8
2016/6/16, 124, 53, , 12, 2, 9
2016/6/17, 103, 50, , 11, 3, 7
2016/6/18, 97, 60, , 12, 4, 8
2016/6/19, 119, 61, , 17, 3, 8
2016/6/20, 120, 36, , 10, 3, 6
2016/6/21, 70, 22, , 10, 2, 6
2016/6/22, 50, 45, , 9, 1, 8
2016/6/23, 99, 55, , 5, 5, 6
2016/6/24, 93, 37, , 4, 3, 8
2016/6/25, 88, 56, , 6, 3, 7
2016/6/26, 120, 51, , 6, 2, 6
2016/6/27, 102, 33, , 4, 2, 5
2016/6/28, 38, 22, , 3, 2, 5
2016/6/29, 64, 41, , 7, 3, 6
2016/6/30, 73, 41, , 7, 3, 6
2016/7/1, 82, 23, , 3, 3, 4
2016/1/5, 264, 43, , 11, 7, 5
2016/1/6, 83, 61, , 20, 10, 8
2016/1/7, 134, 67, , 19, 17, 10
2016/1/8, 150, 160, , 36, 27, 20
2016/1/9, 279, 172, , 30, 21, 18
2016/1/10, 276, 184, , 32, 24, 16
2016/1/11, 296, 93, , 18, 11, 12
2016/1/12, 156, 63, , 15, 13, 8
2016/1/13, 131, 95, , 24, 23, 11
2016/1/14, 171, 116, , 23, 20, 11
2016/1/15, 160, 111, , 23, 26, 10
2016/1/16, 169, 98, , 23, 20, 8
2016/1/17, 168, 131, , 15, 16, 10
2016/1/18, 207, 78, , 5, 17, 6
2016/1/19, 165, 90, , 16, 27, 8
2016/1/20, 172, 70, , 10, 12, 5
2016/1/21, 136, 56, , 16, 4, 3
2016/1/22, 118, 81, , 27, 13, 9
2016/1/23, 169, 54, , 5, 11, 3
2016/1/24, 104, 55, , 4, 5, 2
2016/1/25, 86, 70, , 16, 13, 7
