date, pm25, pm10, o3, no2, so2, co
2021/11/2, 131, 90, 30, 25, 6, 9
2021/11/3, 151, 70, 27, 28, 9, 9
2021/11/4, 118, 82, 32, 29, 7, 9
2021/11/5, 130, 95, 21, 32, 5, 11
2021/11/6, 161, 64, 16, 16, 3, 8
2021/11/7, 107, 24, 25, 6, 3, 6
2021/11/8, 43, 35, 27, 6, 3, 5
2021/11/9, 48, 29, 29, 7, 3, 5
2021/11/10, 48, 44, 25, 12, 6, 6
2021/11/11, 63, 49, 24, 17, 4, 6
2021/11/12, 70, , , , , 
2021/10/2, 102, 78, 55, 28, 6, 9
2021/10/3, 125, 86, 15, 25, 3, 11
2021/10/4, 145, 11, 19, 9, 2, 8
2021/10/5, 30, 6, 20, 9, 3, 11
2021/10/6, 23, 13, 21, 10, 2, 6
2021/10/7, 28, 39, 17, 18, 3, 9
2021/10/8, 86, 28, 27, 14, 4, 8
2021/10/9, 62, 42, 20, 12, 2, 5
2021/10/10, 81, 46, 22, 11, 2, 3
2021/10/11, 64, 42, 30, 17, 5, 6
2021/10/12, 59, 50, 19, 23, 3, 7
2021/10/13, 76, 80, 41, 26, 8, 12
2021/10/14, 147, 38, 20, 16, 2, 7
2021/10/15, 85, 33, 27, 16, 4, 7
2021/10/16, 60, 36, 22, 16, 6, 9
2021/10/17, 53, 69, 22, 23, 8, 8
2021/10/18, 100, 87, 20, 28, 6, 11
2021/10/19, 150, 72, 16, 23, 4, 7
2021/10/20, 130, 95, 4, 24, 4, 11
2021/10/21, 172, 38, 25, 19, 5, 9
2021/10/22, 85, 50, 27, 22, 6, 8
2021/10/23, 79, 78, 38, 25, 4, 9
2021/10/24, 128, 102, 33, 34, 10, 12
2021/10/25, 174, 84, 31, 28, 6, 11
2021/10/26, 152, 60, 29, 25, 5, 9
2021/10/27, 101, 72, 19, 28, 10, 10
2021/10/28, 112, 97, 29, 30, 8, 11
2021/10/29, 159, 74, 28, 25, 4, 8
2021/10/30, 149, 67, 27, 26, 4, 7
2021/10/31, 108, 58, 22, 22, 8, 8
2021/11/1, 81, 80, 27, 26, 9, 8
2021/9/2, 74, 56, 100, 18, 3, 8
2021/9/3, 108, 82, 39, 28, 5, 14
2021/9/4, 143, 22, 41, 9, 1, 7
2021/9/5, 53, 30, 33, 15, 2, 7
2021/9/6, 63, 24, 30, 11, 2, 6
2021/9/7, 53, 49, 76, 20, 6, 7
2021/9/8, 75, 72, 94, 26, 8, 9
2021/9/9, 117, 68, 54, 23, 4, 8
2021/9/10, 97, 63, 86, 22, 6, 9
2021/9/11, 89, 74, 93, 22, 5, 10
2021/9/12, 116, 65, 88, 17, 3, 8
2021/9/13, 106, 62, 80, 13, 3, 8
2021/9/14, 114, 61, 77, 10, 2, 8
2021/9/15, 125, 64, 98, 9, 3, 8
2021/9/16, 137, 24, 30, 13, 2, 8
