date, pm25, pm10, o3, no2, so2, co
2021/11/2, 159, 46, , 9, 4, 4
2021/11/3, 92, 64, , 15, 5, 6
2021/11/4, 127, 78, , 22, 5, 7
2021/11/5, 135, 30, , 6, 3, 5
2021/11/6, 74, 24, , 6, 3, 5
2021/11/7, 52, 28, , 5, 3, 5
2021/11/8, 47, 30, , 6, 8, 7
2021/11/9, 66, 46, , 11, 5, 5
2021/11/10, 85, 52, , 14, 9, 7
2021/11/11, 88, 63, , 19, 8, 7
2021/11/12, 107, 56, , 19, 8, 7
2021/11/13, 100, 83, , 26, 8, 8
2021/11/14, 130, 87, , 28, 6, 9
2021/11/15, 134, 92, , 29, 8, 9
2021/11/16, 144, 119, , 27, 7, 8
2021/11/17, 166, 109, , 14, 5, 9
2021/11/18, 154, 73, 44, 22, 5, 9
2021/11/19, 146, 64, 36, 19, 5, 9
2021/11/20, 134, 59, 32, 8, 4, 6
2021/11/21, 108, , , , , 
2021/10/2, 94, 65, , 12, 5, 9
2021/10/3, 136, 49, , 8, 3, 6
2021/10/4, 95, 44, , 8, 4, 4
2021/10/5, 78, 45, , 7, 3, 5
2021/10/6, 84, 39, , 6, 3, 5
2021/10/7, 81, 30, , 5, 3, 5
2021/10/8, 74, 33, , 7, 4, 6
2021/10/9, 85, 28, , 6, 3, 6
2021/10/10, 72, 32, , 7, 3, 7
2021/10/11, 60, 21, , 4, 4, 3
2021/10/12, 33, 24, , 5, 4, 3
2021/10/13, 42, 25, , 7, 3, 5
2021/10/14, 61, 22, , 7, 3, 5
2021/10/15, 60, 10, , 5, 3, 6
2021/10/16, 30, 24, , 6, 5, 4
2021/10/17, 42, 25, , 6, 6, 6
2021/10/18, 47, 36, , 12, 4, 6
2021/10/19, 67, 53, , 13, 6, 4
2021/10/20, 95, 34, , 9, 6, 4
2021/10/21, 62, 52, , 10, 5, 5
2021/10/22, 105, 78, , 14, 6, 7
2021/10/23, 162, 66, , 13, 6, 5
2021/10/24, 128, 40, , 9, 4, 3
2021/10/25, 79, 50, , 11, 4, 4
2021/10/26, 96, 57, , 11, 4, 5
2021/10/27, 118, 66, , 10, 5, 5
2021/10/28, 137, 35, , 9, 4, 3
2021/10/29, 63, 56, , 13, 5, 4
2021/10/30, 100, 64, , 12, 6, 5
2021/10/31, 125, 66, , 12, 5, 5
2021/11/1, 138, 78, , 10, 5, 7
2021/9/2, 104, 17, , 3, 4, 6
2021/9/3, 50, 21, , 4, 3, 6
2021/9/4, 54, 23, , 5, 3, 6
2021/9/5, 57, 33, , 7, 5, 7
2021/9/6, 84, 23, , 4, 6, 6
2021/9/7, 62, 19, , 5, 2, 4
2021/9/8, 53, 35, , 8, 3, 4
2021/9/9, 73, 51, , 12, 3, 6
2021/9/10, 103, 53, , 11, 4, 8
2021/9/11, 114, 32, , 9, 3, 6
2021/9/12, 73, 23, , 4, 3, 3
2021/9/13, 57, 21, , 4, 2, 3
2021/9/14, 50, 31, , 5, 6, 3
2021/9/15, 70, 32, , 5, 5, 4
2021/9/16, 70, 25, , 6, 6, 4
2021/9/17, 55, 33, , 8, 3, 4
2021/9/18, 70, 36, , 6, 3, 5
2021/9/19, 83, 52, , 8, 3, 7
2021/9/20, 114, 32, , 8, 3, 6
2021/9/21, 72, 35, , 13, 4, 7
2021/9/22, 74, 49, , 16, 5, 8
2021/9/23, 98, 77, , 13, 4, 9
2021/9/24, 148, 48, , 5, 3, 4
2021/9/25, 98, 34, , 8, 3, 5
2021/9/26, 70, 37, , 9, 5, 6
2021/9/27, 76, 51, , 12, 3, 6
2021/9/28, 110, 54, , 8, 5, 8
2021/9/29, 117, 26, , 8, 3, 7
2021/9/30, 69, 29, , 12, 4, 5
2021/10/1, 68, 42, , 11, 4, 6
2021/8/2, 105, 31, , 5, 2, 4
2021/8/3, 74, 18, , 2, 2, 5
2021/8/4, 54, 26, , 2, 2, 5
2021/8/5, 61, 25, , 2, 2, 4
2021/8/6, 60, 27, , 3, 3, 3
2021/8/7, 65, 23, , 2, 3, 1
2021/8/8, 64, 30, , 3, 3, 2
2021/8/9, 72, 53, , 8, 5, 9
2021/8/10, 116, , , , , 
2021/8/21, 104, 20, , 4, 3, 6
2021/8/22, 58, 35, , 4, 2, 6
2021/8/23, 86, 36, , 8, 3, 5
2021/8/24, 72, 27, , 4, 3, 5
2021/8/25, 69, 43, , 10, 3, 7
2021/8/26, 90, 61, , 9, 5, 8
2021/8/27, 111, 40, , 6, 4, 5
2021/8/28, 71, 49, , 5, 4, 7
2021/8/29, 102, 39, , 5, 3, 7
2021/8/30, 85, 43, , 9, 3, 7
2021/8/31, 91, 50, , 17, 4, 9
2021/9/1, 89, 49, , 6, 4, 8
2021/7/2, 75, 29, , 1, , 3
2021/7/3, 71, 30, , 5, 1, 5
2021/7/4, 61, 33, , 5, 1, 6
2021/7/5, 80, 24, , 4, , 6
2021/7/6, 63, 51, , 6, , 7
2021/7/7, 95, 61, , 9, 1, 8
2021/7/8, 116, 25, , 10, , 6
2021/7/9, 64, 27, , 5, 1, 6
2021/7/10, 63, 30, , 6, 1, 5
2021/7/11, 61, 51, , 13, 1, 8
2021/7/12, 98, 54, , 9, 2, 6
2021/7/13, 105, 41, , 12, 3, 5
2021/7/14, 76, 49, , 11, 2, 5
2021/7/15, 92, 48, , 11, 2, 2
2021/7/16, 91, 32, , 7, 1, 4
2021/7/17, 59, 28, , 8, 1, 3
2021/7/18, 59, 28, , 9, 1, 2
2021/7/19, 66, 27, , 3, 1, 3
2021/7/20, 64, 21, , 3, 2, 4
2021/7/21, 48, 16, , 2, 2, 2
2021/7/22, 44, 26, , 2, 2, 4
2021/7/23, 62, 19, , 1, 2, 3
2021/7/24, 53, 27, , 2, 2, 3
2021/7/25, 57, 18, , 1, 1, 4
2021/7/26, 47, 7, , 1, 1, 3
2021/7/27, 38, 7, , 2, 2, 4
2021/7/28, 41, 19, , 3, 1, 5
2021/7/29, 53, 19, , 4, 2, 3
2021/7/30, 45, 29, , 6, 2, 5
2021/7/31, 67, 48, , 7, 2, 8
2021/8/1, 113, 44, , 6, 2, 5
2021/6/2, 86, 32, , 6, 1, 9
