date, pm25, pm10, o3, no2, so2, co
2021/11/2, 70, 58, 26, 21, 3, 
2021/11/3, 99, 88, 40, 25, 3, 
2021/11/4, 161, 100, 44, 22, 3, 
2021/11/5, 171, 97, 44, 20, 3, 
2021/11/6, 163, 57, 37, 20, 2, 
2021/11/7, 122, 37, 19, 12, 2, 
2021/11/8, 82, 34, 29, 11, 4, 
2021/11/9, 69, 44, 28, 16, 7, 
2021/11/10, 71, 46, 27, 17, 6, 
2021/11/11, 67, 47, 26, 17, 8, 
2021/11/12, 58, 65, 28, 26, 11, 
2021/11/13, 105, 80, 30, 29, 8, 
2021/11/14, 137, 97, 4, 34, 13, 
2021/11/15, 160, , , , , 
2021/11/17, 160, 108, 48, 24, 4, 
2021/11/18, 180, 105, 46, 21, 4, 
2021/11/19, 172, 111, 31, 27, 4, 
2021/11/20, 180, , , , , 
2021/10/2, 119, 63, 79, 10, 3, 
2021/10/3, 121, 65, 51, 10, 3, 
2021/10/4, 141, 31, 30, 6, 2, 
2021/10/5, 56, 18, 31, 6, 2, 
2021/10/6, 31, 35, 29, 10, 2, 
2021/10/7, 62, 29, 27, 10, 2, 
2021/10/8, 61, 53, 30, 18, 4, 
2021/10/9, 116, 51, 23, 15, 2, 
2021/10/10, 114, 46, 28, 10, 4, 
2021/10/11, 82, 42, 36, 18, 7, 
2021/10/12, 54, 44, 42, 19, 4, 
2021/10/13, 63, 69, 52, 26, 4, 
2021/10/14, 108, 82, 65, 23, 6, 
2021/10/15, 154, 72, 29, 18, 5, 
2021/10/16, 137, 46, 31, 10, 2, 
2021/10/17, 44, 46, 27, 20, 5, 
2021/10/18, 70, 58, 33, 22, 4, 
2021/10/19, 98, 48, 29, 17, 3, 
2021/10/20, 77, 46, 29, 21, 4, 
2021/10/21, 71, 93, 33, 28, 5, 
2021/10/22, 158, 69, 35, 23, 5, 
2021/10/23, 110, 54, 34, 24, 4, 
2021/10/24, 87, 81, 42, 33, 5, 
2021/10/25, 151, 95, 66, 29, 6, 
2021/10/26, 169, 111, 57, 35, 6, 
2021/10/27, 180, 114, 42, 36, 6, 
2021/10/28, 180, 82, 46, 36, 4, 
2021/10/29, 140, 115, 56, 33, 4, 
2021/10/30, 177, 129, 61, 30, 5, 
2021/10/31, 187, 130, 42, 28, 6, 
2021/11/1, 199, 42, 34, 14, 2, 
2021/9/2, 63, 49, 80, 17, 3, 
2021/9/3, 87, 55, 73, 14, 3, 
2021/9/4, 103, 33, 48, 8, 2, 
2021/9/5, 73, 9, 41, 5, 1, 
2021/9/6, 25, 4, 31, 1, 1, 
2021/9/7, 9, 35, 52, 9, 3, 
2021/9/8, 69, 48, 64, 14, 2, 
2021/9/9, 86, 57, 70, 9, 2, 
2021/9/10, 103, 61, 77, 9, 2, 
2021/9/11, 132, 57, 73, 6, 2, 
2021/9/12, 116, 52, 81, 5, 2, 
2021/9/13, 100, 45, 55, 7, 2, 
2021/9/14, 80, 48, 48, 10, 2, 
2021/9/15, 78, 49, 79, 14, 3, 
2021/9/16, 75, 57, 74, 11, 3, 
2021/9/17, 103, 33, 39, 8, 2, 
2021/9/18, 64, 34, 44, 14, 2, 
