date, pm25, pm10, o3, no2, so2, co
2021/11/2, 70, 39, 34, 10, 2, 
2021/11/3, 63, 69, 51, 15, 3, 
2021/11/4, 136, 80, 66, 15, 3, 
2021/11/5, 165, 62, 61, 14, 1, 
2021/11/6, 129, 60, 54, 20, 2, 
2021/11/7, 125, 49, 44, 15, 2, 
2021/11/8, 109, 13, 29, 3, 1, 
2021/11/9, 34, 23, 32, 5, 2, 
2021/11/10, 43, 20, 31, 3, 2, 
2021/11/11, 43, 19, 29, 2, 1, 
2021/11/12, 42, 27, 29, 8, 2, 
2021/11/13, 51, 48, 32, 15, 5, 
2021/11/14, 93, 71, 23, 20, 5, 
2021/11/15, 145, 45, , 17, 2, 
2021/11/16, 86, 45, 32, 16, 2, 
2021/11/17, 72, 63, 79, 12, 2, 
2021/11/18, 116, 95, 93, 20, 4, 
2021/11/19, 176, 63, 76, 13, 2, 
2021/11/20, 119, 40, 65, 19, 2, 
2021/11/21, 88, , , , , 
2021/10/2, 76, 44, 85, 6, 2, 
2021/10/3, 88, 47, 86, 3, 1, 
2021/10/4, 92, 24, 37, 6, 1, 
2021/10/5, 55, 15, 34, 5, 1, 
2021/10/6, 52, 24, 30, 9, 1, 
2021/10/7, 53, 18, 46, 7, 1, 
2021/10/8, 53, 27, 32, 13, 2, 
2021/10/9, 64, 24, 38, 5, 1, 
2021/10/10, 70, 30, 33, 5, 2, 
2021/10/11, 54, 37, 35, 4, 2, 
2021/10/12, 42, 30, 38, 10, 2, 
2021/10/13, 56, 25, 37, 10, 1, 
2021/10/14, 57, 36, 66, 7, 2, 
2021/10/15, 77, 37, 37, 9, 2, 
2021/10/16, 76, 47, 28, 2, 1, 
2021/10/17, 42, 27, 28, 4, 1, 
2021/10/18, 48, 42, 43, 13, 3, 
2021/10/19, 81, 38, 32, 5, 2, 
2021/10/20, 60, 28, 35, 7, 2, 
2021/10/21, 54, 40, 45, 11, 2, 
2021/10/22, 83, 37, 40, 8, 2, 
2021/10/23, 71, 35, 40, 15, 2, 
2021/10/24, 73, 42, 48, 17, 2, 
2021/10/25, 86, 66, 79, 19, 4, 
2021/10/26, 137, 81, 91, 15, 4, 
2021/10/27, 164, 36, 36, 10, 2, 
2021/10/28, 55, 65, 49, 21, 4, 
2021/10/29, 124, 60, 60, 18, 3, 
2021/10/30, 117, 56, 63, 17, 2, 
2021/10/31, 115, 67, 56, 15, 2, 
2021/11/1, 146, 31, 32, 7, 1, 
2021/9/2, 68, 37, 49, 7, 2, 
2021/9/3, 84, 29, 47, 9, 2, 
2021/9/4, 57, 28, 55, 8, 1, 
2021/9/5, 65, 16, 46, 5, 1, 
2021/9/6, 43, 10, 41, 4, 1, 
2021/9/7, 34, 19, 46, 3, 1, 
2021/9/8, 42, 28, 70, 6, 2, 
2021/9/9, 61, 36, 70, 3, 1, 
2021/9/10, 78, 34, 68, 4, 1, 
2021/9/11, 78, 28, 59, 3, 1, 
2021/9/12, 63, 36, 48, 6, 1, 
2021/9/13, 84, 31, 47, 8, 2, 
2021/9/14, 67, 35, 52, 5, 1, 
2021/9/15, 79, 32, 46, 7, 2, 
2021/9/16, 67, 29, 48, 8, 2, 
2021/9/17, 56, 26, 59, 4, 1, 
2021/9/18, 63, 36, 55, 6, 2, 
2021/9/19, 80, 27, 38, 9, 2, 
2021/9/20, 60, 20, 37, 3, 1, 
2021/9/21, 51, 22, 63, 3, 2, 
2021/9/22, 65, 18, 48, 8, 2, 
2021/9/23, 42, 20, 52, 12, 2, 
2021/9/24, 53, 30, 52, 10, 2, 
2021/9/25, 66, 20, 45, 9, 2, 
2021/9/26, 57, 19, 30, 10, 2, 
2021/9/27, 53, 9, 36, 3, 1, 
2021/9/28, 39, 5, 34, 4, 1, 
2021/9/29, 31, 24, 63, 6, 1, 
2021/9/30, 54, 50, 86, 9, 2, 
2021/10/1, 101, 37, 60, 9, 2, 
2021/8/2, 76, 23, , 3, 1, 
2021/8/3, 56, 30, 53, 6, 1, 
2021/8/4, 73, 23, 41, 5, 1, 
2021/8/5, 59, 21, 28, 4, 1, 
2021/8/6, 52, 22, 43, 6, 1, 
2021/8/7, 56, 24, 40, 7, 2, 
2021/8/8, 55, 43, 71, 5, 2, 
2021/8/9, 93, 54, 64, 7, 2, 
2021/8/10, 120, 46, 73, 7, 2, 
2021/8/11, 106, 44, 82, 6, 2, 
2021/8/12, 97, 44, 62, 5, 1, 
2021/8/13, 92, 29, 45, 5, 1, 
2021/8/14, 65, 41, 76, 3, 2, 
2021/8/15, 81, 35, 66, 7, 2, 
2021/8/16, 82, 24, 50, 7, 1, 
2021/8/17, 62, 31, 65, 5, 1, 
2021/8/18, 75, 24, 63, 4, 1, 
2021/8/19, 56, 20, 54, 5, 2, 
2021/8/20, 53, 24, 44, 8, 1, 
