date, pm25, pm10, o3, no2, so2, co
2021/11/2, 108, 69, 49, 24, 2, 6
2021/11/3, 116, 47, 39, 24, 3, 4
2021/11/4, 80, 69, 22, 35, 3, 6
2021/11/5, 124, 37, 25, 31, 2, 6
2021/11/6, 80, 36, , 19, 2, 4
2021/11/7, 72, 41, 12, 25, 2, 4
2021/11/8, 63, 27, 35, 13, 2, 3
2021/11/9, 49, 42, 38, 20, 3, 3
2021/11/10, 87, 61, 42, 29, 3, 4
2021/11/11, 98, 64, 44, 29, 3, 4
2021/11/12, 101, 70, 58, 26, 4, 4
2021/11/13, 119, 69, 29, 36, 3, 7
2021/11/14, 142, 61, 48, 26, 4, 5
2021/11/15, 112, 68, 55, 33, 4, 6
2021/11/16, 123, 82, 33, 40, 3, 8
2021/11/17, 152, 65, 26, 37, 2, 7
2021/11/18, 121, 32, 26, 30, 2, 5
2021/11/19, 68, 40, 36, 26, 4, 6
2021/11/20, 78, , , , , 
2021/10/2, 63, 38, 64, 13, 2, 4
2021/10/3, 67, 36, 57, 14, 2, 5
2021/10/4, 63, 49, 30, 12, 2, 4
2021/10/5, 67, 45, 40, 11, 2, 4
2021/10/6, 60, 44, 30, 13, 2, 4
2021/10/7, 66, 31, 14, 22, 2, 5
2021/10/8, 57, 36, 20, 20, 2, 5
2021/10/9, 62, 35, 29, 15, 3, 5
2021/10/10, 55, 45, 28, 18, 3, 4
2021/10/11, 74, 29, 32, 12, 1, 4
2021/10/12, 49, 17, 24, 19, 1, 4
2021/10/13, 25, 26, 13, 26, 2, 7
2021/10/14, 55, 31, 23, 17, 2, 6
2021/10/15, 61, 45, 26, 17, 2, 5
2021/10/16, 77, 33, 31, 11, 2, 5
2021/10/17, 50, 22, 35, 8, 2, 3
2021/10/18, 38, 46, , 19, 2, 3
2021/10/19, 80, 48, , 17, 3, 3
2021/10/20, 80, 30, , 21, 2, 4
2021/10/21, 61, 11, , 17, 2, 2
2021/10/22, 25, 56, , 17, 2, 3
2021/10/23, 110, 73, , 31, 3, 5
2021/10/24, 137, 55, , 27, 3, 4
2021/10/25, 99, 44, , 20, 2, 3
2021/10/26, 71, 58, 13, 30, 3, 4
2021/10/27, 97, 64, 34, 31, 2, 7
2021/10/28, 117, 54, 56, 24, 3, 6
2021/10/29, 95, 49, 49, 22, 3, 4
2021/10/30, 85, 70, 64, 29, 3, 6
2021/10/31, 120, 77, 58, 33, 3, 8
2021/11/1, 139, 55, 30, 28, 2, 7
2021/9/2, 55, 44, 46, 10, 2, 5
2021/9/3, 69, 46, 52, 12, 2, 5
2021/9/4, 79, 49, 55, 14, 3, 5
2021/9/5, 93, 38, 40, 12, 2, 5
2021/9/6, 66, 26, 34, 9, 1, 4
2021/9/7, 40, 36, 45, 10, 2, 5
2021/9/8, 67, 38, 56, 12, 2, 7
2021/9/9, 78, 25, 36, 10, 2, 5
2021/9/10, 60, 37, 38, 11, 2, 5
2021/9/11, 64, 23, 17, 9, 1, 5
2021/9/12, 47, 11, 20, 8, 1, 4
2021/9/13, 17, 15, 19, 6, 1, 3
2021/9/14, 29, 24, 27, 9, 1, 4
2021/9/15, 53, 34, 34, 12, 2, 5
2021/9/16, 67, 40, 45, 14, 2, 6
2021/9/17, 76, 47, 56, 15, 2, 5
2021/9/18, 83, 50, 84, 10, 2, 5
2021/9/19, 86, 46, 57, 14, 2, 4
2021/9/20, 84, 46, 67, 15, 2, 4
2021/9/21, 81, 35, 64, 9, 2, 4
2021/9/22, 60, 46, 63, 11, 2, 5
2021/9/23, 85, 43, 41, 18, 2, 5
2021/9/24, 79, 41, 55, 15, 2, 5
2021/9/25, 80, 48, 62, 15, 1, 5
2021/9/26, 80, 50, 76, 17, 2, 4
2021/9/27, 84, 46, 51, 14, 2, 4
2021/9/28, 76, 54, 70, 14, 3, 4
2021/9/29, 95, 61, 86, 19, 2, 5
2021/9/30, 117, 56, 62, 21, 3, 5
2021/10/1, 107, 31, 73, 11, 2, 3
2021/8/2, 72, 48, 35, 16, 2, 5
2021/8/3, 66, 32, 20, 13, 2, 4
2021/8/4, 51, 22, 20, 12, 2, 5
2021/8/5, 43, 29, 12, 11, 1, 4
2021/8/6, 56, 21, 17, 14, 2, 4
2021/8/7, 45, 38, 24, 13, 2, 4
2021/8/8, 76, 48, 47, 18, 2, 3
2021/8/9, 81, 59, 50, 15, 3, 4
2021/8/10, 98, 26, 33, 14, 2, 5
2021/8/11, 54, 37, 36, 17, 2, 6
2021/8/12, 63, 31, 49, 16, 1, 6
2021/8/13, 64, 36, 53, 14, 1, 5
2021/8/14, 65, 49, 49, 20, 2, 6
2021/8/15, 93, 43, 35, 19, 1, 5
2021/8/16, 80, 40, 56, 17, 1, 5
2021/8/17, 75, 30, 37, 19, 1, 5
2021/8/18, 57, 31, 47, 18, 4, 6
2021/8/19, 65, 44, 50, 15, 1, 5
2021/8/20, 71, 50, 48, 15, 1, 4
2021/8/21, 75, 46, 52, 15, 2, 4
2021/8/22, 80, 42, 59, 15, 3, 5
2021/8/23, 75, 50, 54, 18, 2, 5
2021/8/24, 91, 50, 59, 17, 2, 6
2021/8/25, 94, 50, 61, 15, 2, 5
2021/8/26, 87, 41, 32, 12, 1, 4
2021/8/27, 65, 38, 35, 14, 3, 3
2021/8/28, 66, 44, 27, 12, 2, 4
2021/8/29, 63, 39, 29, 10, 2, 4
2021/8/30, 55, 35, 28, 10, 2, 3
2021/8/31, 53, 32, 20, 9, 2, 4
2021/9/1, 49, 36, 31, 9, 2, 4
2021/7/2, 120, 55, 49, 19, 1, 6
2021/7/3, 109, 50, 43, 12, 1, 3
2021/7/4, 83, 52, 35, 10, 2, 3
2021/7/5, 78, 28, 22, 7, 2, 2
2021/7/6, 48, 32, 15, 8, 2, 3
2021/7/7, 42, 53, 51, 12, 1, 3
2021/7/8, 76, 59, 64, 16, 1, 4
2021/7/9, 87, 58, 65, 14, 2, 5
2021/7/10, 89, 49, 41, 11, 1, 3
2021/7/11, 83, 53, 52, 13, 2, 4
2021/7/12, 82, 44, 58, 9, 2, 4
2021/7/13, 73, 43, 41, 9, 1, 3
2021/7/14, 59, 25, 31, 7, 1, 2
2021/7/15, 48, 35, 24, 8, 2, 2
2021/7/16, 49, 25, 24, 7, 1, 2
2021/7/17, 39, 29, 26, 7, 2, 2
2021/7/18, 41, 39, 33, 10, 2, 3
2021/7/19, 58, 35, 31, 9, 2, 3
2021/7/20, 65, 30, 16, 9, 2, 3
2021/7/21, 43, 40, 23, 7, 2, 2
2021/7/22, 62, 24, 17, 8, 1, 3
2021/7/23, 56, 17, 15, 8, 1, 3
2021/7/24, 37, 18, 16, 5, 1, 3
2021/7/25, 31, 15, 18, 4, 1, 2
2021/7/26, 22, 41, 28, 21, 2, 6
2021/7/27, 72, 51, 46, 16, 1, 5
2021/7/28, 86, 47, 41, 15, 1, 5
2021/7/29, 87, 49, 52, 15, 1, 5
2021/7/30, 85, 59, 60, 21, 2, 6
2021/7/31, 100, 45, 71, 19, 1, 6
2021/8/1, 88, 44, 25, 21, 2, 6
2021/6/2, 76, 55, , 24, 1, 6
2021/6/3, 110, 56, , 22, 1, 6
2021/6/4, 108, 19, 31, 18, 1, 4
2021/6/5, 44, 34, 29, 26, 2, 6
2021/6/6, 74, 49, 91, 18, 2, 5
2021/6/7, 85, 31, 46, 13, 2, 3
2021/6/8, 61, 36, 50, 15, 2, 3
2021/6/9, 71, 34, 32, 14, 1, 3
2021/6/10, 60, 37, 25, 15, 2, 3
2021/6/11, 57, 43, 44, 20, 1, 4
2021/6/12, 72, 26, 29, 16, 2, 4
2021/6/13, 63, 46, 68, 17, 1, 5
2021/6/14, 93, 39, 42, 17, 1, 5
2021/6/15, 83, 55, 57, 18, 2, 5
2021/6/16, 95, 60, 37, 20, 2, 5
2021/6/17, 94, 73, 56, 15, 1, 6
2021/6/18, 122, 56, 52, 23, 2, 5
2021/6/19, 106, 48, 39, 18, 1, 4
2021/6/20, 77, 25, 27, 15, 1, 3
2021/6/21, 49, 19, 34, 14, 1, 3
2021/6/22, 37, 42, 33, 23, 1, 5
2021/6/23, 76, 53, 50, 13, 1, 3
2021/6/24, 87, 50, 38, 14, 2, 3
2021/6/25, 80, 43, 43, 13, 1, 3
2021/6/26, 73, 49, 46, 13, 1, 3
2021/6/27, 74, 47, 46, 18, 1, 4
2021/6/28, 95, 49, 56, 20, 1, 5
2021/6/29, 96, 16, 27, 13, 1, 4
2021/6/30, 43, 30, 18, 21, 1, 5
2021/7/1, 59, 52, 39, 23, 2, 8
2021/5/2, 105, 56, , 15, 3, 3
2021/5/3, 73, 66, , 17, 3, 3
2021/5/4, 89, 88, , 23, 2, 9
2021/5/5, 131, 47, , 17, 3, 4
2021/5/6, 65, 66, , 26, 4, 4
2021/5/7, 89, 75, , 30, 3, 6
2021/5/8, 140, 65, , 29, 2, 7
2021/5/9, 138, 48, , 16, 3, 5
2021/5/10, 95, 62, , 17, 3, 6
2021/5/11, 121, 49, , 22, 2, 5
2021/5/12, 96, 65, , 24, 3, 6
2021/5/13, 117, 51, , 17, 2, 5
2021/5/14, 104, 46, , 18, 2, 5
2021/5/15, 93, 45, , 12, 2, 3
2021/5/16, 78, 63, , 20, 3, 4
2021/5/17, 89, 49, , 15, 2, 6
2021/5/18, 87, 20, , 15, 1, 7
2021/5/19, 49, 31, , 20, 2, 7
2021/5/20, 70, 35, , 27, 2, 9
2021/5/21, 76, 22, , 15, 2, 7
2021/5/22, 55, 24, , 20, 2, 5
2021/5/23, 54, 51, , 30, 2, 5
2021/5/24, 93, 41, , 25, 3, 8
2021/5/25, 82, 50, , 25, 3, 5
2021/5/26, 93, 63, , 24, 3, 6
2021/5/27, 110, 53, , 25, 1, 6
2021/5/28, 96, 42, , 27, 2, 5
2021/5/29, 68, 49, , 26, 2, 4
2021/5/30, 79, 44, , 19, 2, 4
2021/5/31, 84, 39, , 15, 2, 3
2021/6/1, 67, 39, , 26, 1, 6
2021/4/2, 121, 58, , 26, 2, 8
2021/4/3, 123, 74, , 24, 2, 8
2021/4/4, 146, 31, , 16, 2, 6
2021/4/5, 63, 42, , 16, 3, 3
2021/4/6, 69, 62, , 18, 3, 3
2021/4/7, 91, 52, , 21, 4, 2
2021/4/8, 75, 42, , 19, 2, 3
2021/4/9, 79, 47, , 18, 3, 2
2021/4/10, 83, 60, , 20, 3, 2
2021/4/11, 86, 51, , 28, 2, 5
2021/4/12, 109, 55, , 29, 2, 7
2021/4/13, 122, 48, , 22, 2, 7
2021/4/14, 96, 44, , 16, 2, 4
2021/4/15, 88, 45, , 24, 2, 4
2021/4/16, 93, 66, , 26, 3, 5
2021/4/17, 122, 77, , 22, 3, 5
2021/4/18, 116, 68, , 12, 3, 2
2021/4/19, 64, 62, , 18, 4, 2
2021/4/20, 83, 58, , 20, 3, 2
2021/4/21, 89, 62, , 19, 3, 3
2021/4/22, 86, 59, , 21, 2, 4
2021/4/23, 89, 64, , 22, 3, 5
2021/4/24, 106, 57, , 21, 3, 5
