date, pm25, pm10, o3, no2, so2, co
2021/4/2, 89, 49, 49, 15, 1, 4
2021/4/3, 90, 38, 37, 17, 1, 4
2021/4/4, 82, 47, 37, 13, 1, 7
2021/4/5, 103, 54, 46, 12, 1, 5
2021/4/6, 99, 60, 78, 14, 2, 4
2021/4/7, 103, 62, 79, 15, 2, 4
2021/4/8, 114, 56, 50, 18, 1, 3
2021/4/9, 107, 58, 60, 14, 1, 4
2021/4/10, 132, 55, 70, 17, 1, 3
2021/4/11, 90, 56, , 18, 2, 3
2021/4/12, 92, , , , , 
2021/3/2, 112, 41, 35, 10, 1, 6
2021/3/3, 85, 40, 26, 10, 1, 4
2021/3/4, 68, 61, 18, 16, 2, 7
2021/3/5, 135, 51, 10, 15, 1, 7
2021/3/6, 131, 49, 28, 13, 1, 7
2021/3/7, 115, 31, 24, 11, 1, 5
2021/3/8, 73, 44, 48, 7, 1, 6
2021/3/9, 93, 58, 51, 10, 1, 7
2021/3/10, 113, 50, 61, 8, 1, 4
2021/3/11, 90, 50, 77, 8, 1, 3
2021/3/12, 91, 62, 69, 10, 1, 4
2021/3/13, 120, 48, 64, 7, 1, 4
2021/3/14, 98, 52, 77, 7, 1, 3
2021/3/15, 101, 53, 66, 11, 1, 3
2021/3/16, 105, 57, 55, 16, 2, 2
2021/3/17, 118, 55, 47, 20, 1, 6
2021/3/18, 109, 54, 50, 17, 1, 3
2021/3/19, 92, 59, 56, 23, 1, 4
2021/3/20, 115, 68, 59, 22, 2, 4
2021/3/21, 149, 40, 32, 20, 1, 5
2021/3/22, 87, 69, 34, 15, 1, 5
2021/3/23, 110, 81, 32, 22, 2, 5
2021/3/24, 139, 50, 48, 15, 1, 4
2021/3/25, 98, 61, 72, 15, 1, 4
2021/3/26, 111, 45, 72, 15, 1, 3
2021/3/27, 76, 58, 69, 18, 1, 4
2021/3/28, 111, 70, 83, 20, 2, 5
2021/3/29, 139, 57, 66, 18, 1, 5
2021/3/30, 107, 56, 53, 22, 2, 5
2021/3/31, 113, 35, 55, 19, 1, 4
2021/4/1, 65, 39, 29, 14, 1, 4
2021/2/2, 109, 66, 78, 13, 1, 5
2021/2/3, 128, 52, 56, 3, 1, 4
2021/2/4, 92, 58, 61, 6, 1, 4
2021/2/5, 99, 53, 53, 7, 1, 4
2021/2/6, 89, 65, 63, 8, 1, 5
2021/2/7, 127, 67, 72, 6, 1, 6
2021/2/8, 141, 65, 55, 3, 1, 5
2021/2/9, 102, 42, 52, 1, 1, 3
2021/2/10, 84, 19, 38, 1, 1, 3
2021/2/11, 51, 10, 25, 1, 1, 4
2021/2/12, 29, 25, 31, 1, 1, 3
