date, pm25, pm10, o3, no2, so2, co
2021/11/2, 105, 38, , 17, 3, 6
2021/11/3, 82, 55, , 22, 5, 5
2021/11/4, 100, 40, , 11, 3, 3
2021/11/5, 78, 32, , 12, 4, 5
2021/11/6, 72, 24, , 14, 3, 4
2021/11/7, 55, 26, , 13, 4, 4
2021/11/8, 57, 22, , 10, 3, 4
2021/11/9, 41, 37, , 15, 4, 4
2021/11/10, 52, 39, , 24, 4, 3
2021/11/11, 63, 52, , 29, 4, 4
2021/11/12, 87, 56, , 29, 6, 5
2021/11/13, 97, 52, , 21, 5, 3
2021/11/14, 81, 51, , 22, 4, 4
2021/11/15, 90, 65, , 26, 3, 5
2021/11/16, 115, 67, , 28, 4, 5
2021/11/17, 131, 70, , 30, 5, 6
2021/11/18, 133, 50, , 18, 4, 5
2021/11/19, 89, 67, , 28, 5, 7
2021/11/20, 137, 72, , 30, 3, 7
2021/11/21, 132, , , , , 
2021/10/2, 102, 28, , 5, 2, 4
2021/10/3, 67, 15, , 6, 2, 4
2021/10/4, 53, 29, , 8, 2, 4
2021/10/5, 58, 30, , 8, 2, 4
2021/10/6, 59, 38, , 9, 3, 4
2021/10/7, 59, 31, , 9, 2, 3
2021/10/8, 66, 11, , 9, 2, 4
2021/10/9, 39, 15, , 4, 2, 3
2021/10/10, 26, 17, , 10, 2, 5
2021/10/11, 33, 34, , 16, 3, 7
2021/10/12, 71, 27, , 8, 2, 6
2021/10/13, 47, 24, , 6, 2, 4
2021/10/14, 74, 28, , 13, 2, 5
2021/10/15, 95, 31, , 23, 3, 8
2021/10/16, 91, 23, , 13, 2, 7
2021/10/17, 60, 18, , 9, 3, 6
2021/10/18, 34, 42, , 13, 3, 6
2021/10/19, 76, 49, , 19, 3, 7
2021/10/20, 102, 31, , 9, 3, 5
2021/10/21, 81, 26, , 14, 2, 5
2021/10/22, 61, 12, , 13, 2, 6
2021/10/23, 40, 32, , 16, 3, 6
2021/10/24, 75, 35, , 11, 2, 8
2021/10/25, 70, 36, , 14, 3, 5
2021/10/26, 69, 73, , 20, 4, 6
2021/10/27, 100, 67, , 28, 4, 7
2021/10/28, 129, 60, , 18, 3, 6
2021/10/29, 124, 58, , 19, 3, 7
2021/10/30, 125, 49, , 18, 2, 5
2021/10/31, 99, 44, , 17, 3, 5
2021/11/1, 88, 51, , 17, 3, 5
2021/9/2, 43, 12, , 8, 3, 3
2021/9/3, 33, 8, , 5, 2, 3
2021/9/4, 21, 8, , 4, 2, 3
2021/9/5, 27, 10, , 7, 2, 3
2021/9/6, 27, 17, , 16, 3, 4
2021/9/7, 47, 20, , 12, 3, 4
2021/9/8, 53, 16, , 10, 2, 3
2021/9/9, 39, 31, , 13, 3, 4
2021/9/10, 70, 22, , 11, 3, 3
2021/9/11, 61, 25, , 9, 3, 5
2021/9/12, 64, 30, , 6, 3, 5
2021/9/13, 66, 25, , 7, 3, 4
2021/9/14, 57, 13, , 9, 2, 5
2021/9/15, 25, 25, , 11, 3, 5
2021/9/16, 50, 22, , 11, 3, 4
2021/9/17, 51, 30, , 19, 3, 5
2021/9/18, 77, 35, , 14, 3, 6
2021/9/19, 71, 13, , 6, 2, 3
2021/9/20, 36, 15, , 7, 2, 5
2021/9/21, 25, 16, , 9, 3, 4
