date, pm25, pm10, o3, no2, so2, co
2021/11/2, 149, 51, 42, 19, 3, 6
2021/11/3, 128, 56, 41, 20, 4, 7
2021/11/4, 134, 46, 23, 17, 4, 9
2021/11/5, 128, 37, 7, 16, 2, 8
2021/11/6, 100, 39, 10, 15, 3, 9
2021/11/7, 102, 25, 25, 9, 2, 4
2021/11/8, 50, 35, 34, 11, 4, 4
2021/11/9, 58, 52, 33, 23, 7, 5
2021/11/10, 98, 64, 35, 24, 5, 10
2021/11/11, 126, 54, 38, 22, 5, 7
2021/11/12, 122, 52, 40, 22, 6, 6
2021/11/13, 97, 60, 40, 25, 5, 7
2021/11/14, 115, 65, 51, 29, 7, 10
2021/11/15, 149, 67, 39, 24, 11, 9
2021/11/16, 134, 91, 24, 37, 7, 11
2021/11/17, 176, 96, 31, 22, 4, 9
2021/11/18, 200, 102, 59, 24, 5, 12
2021/11/19, 189, 68, 44, 19, 6, 9
2021/11/20, 157, 53, 29, 18, 3, 7
2021/11/21, 143, , , , , 
2021/10/2, 116, 51, 69, 12, 6, 8
2021/10/3, 118, 50, 79, 9, 6, 6
2021/10/4, 121, 37, 54, 8, 4, 5
2021/10/5, 93, 42, 65, 9, 5, 5
2021/10/6, 95, 53, 26, 11, 6, 6
2021/10/7, 112, 55, 18, 11, 3, 5
2021/10/8, 130, 47, 19, 13, 4, 6
2021/10/9, 122, 45, 11, 17, 4, 8
2021/10/10, 137, 39, 17, 12, 3, 8
2021/10/11, 108, 39, 22, 11, 2, 4
2021/10/12, 77, 46, 51, 11, 3, 5
2021/10/13, 89, 50, 40, 12, 4, 4
2021/10/14, 95, 58, 35, 15, 7, 6
2021/10/15, 153, 20, 34, 10, 3, 6
2021/10/16, 86, 9, 27, 8, 2, 4
2021/10/17, 42, 28, 29, 9, 3, 4
2021/10/18, 73, 34, 28, 15, 3, 5
2021/10/19, 80, 31, 21, 14, 2, 6
2021/10/20, 90, 9, 20, 10, 2, 5
2021/10/21, 47, 20, 26, 11, 2, 4
2021/10/22, 61, 40, 27, 16, 4, 7
2021/10/23, 92, 43, 47, 13, 4, 6
2021/10/24, 103, 66, 56, 25, 6, 9
2021/10/25, 151, 76, 56, 29, 5, 10
2021/10/26, 151, 66, 45, 27, 6, 8
2021/10/27, 140, 86, 66, 20, 6, 8
2021/10/28, 177, 87, 40, 31, 5, 9
2021/10/29, 180, 98, 28, 22, 4, 9
2021/10/30, 214, 91, 51, 24, 3, 10
2021/10/31, 182, 74, 31, 28, 4, 8
2021/11/1, 167, 55, 40, 19, 4, 8
2021/9/2, 99, 48, 84, 9, 5, 7
2021/9/3, 108, 39, 54, 9, 6, 7
2021/9/4, 85, 41, 54, 8, 6, 7
2021/9/5, 96, 44, 78, 10, 8, 8
2021/9/6, 95, 49, 44, 9, 5, 7
2021/9/7, 100, 33, 54, 7, 4, 6
2021/9/8, 62, 49, 81, 13, 5, 7
2021/9/9, 99, 60, 111, 16, 7, 10
2021/9/10, 122, 49, 96, 16, 5, 7
2021/9/11, 97, 49, 88, 14, 5, 6
2021/9/12, 95, 51, 85, 12, 6, 6
2021/9/13, 100, 40, 77, 12, 4, 5
2021/9/14, 76, 38, 76, 12, 5, 5
2021/9/15, 79, 34, 68, 11, 4, 5
2021/9/16, 79, 48, 97, 12, 5, 6
2021/9/17, 98, 46, 80, 8, 6, 6
2021/9/18, 100, 49, 78, 9, 6, 7
2021/9/19, 111, 46, 54, 7, 7, 7
2021/9/20, 110, 27, 63, 8, 6, 9
2021/9/21, 60, 29, 63, 12, 4, 7
2021/9/22, 71, 33, 68, 14, 5, 7
2021/9/23, 78, 36, 55, 12, 6, 6
2021/9/24, 86, 34, 39, 10, 6, 6
2021/9/25, 83, 31, 59, 11, 5, 6
2021/9/26, 82, 44, 66, 14, 7, 7
2021/9/27, 99, 54, 60, 10, 4, 7
2021/9/28, 126, 66, 97, 15, 5, 10
2021/9/29, 156, 35, 29, 13, 4, 7
2021/9/30, 80, 43, 95, 19, 6, 10
2021/10/1, 95, 50, 89, 17, 6, 9
2021/8/2, 93, 33, 75, 9, 6, 7
2021/8/3, 81, 39, 81, 6, 5, 9
2021/8/4, 98, 39, 63, 7, 4, 8
2021/8/5, 90, 17, 36, 7, 4, 7
