date, pm25, pm10, o3, no2, so2, co
2021/11/2, 116, 78, 17, 24, 4, 9
2021/11/3, 148, 83, 22, 24, 4, 8
2021/11/4, 154, 115, 25, 32, 4, 13
2021/11/5, 174, 113, 39, 35, 4, 11
2021/11/6, 179, 65, 14, 19, 2, 3
2021/11/7, 57, 59, 12, 17, 5, 3
2021/11/8, 68, 27, 19, 11, 3, 5
2021/11/9, 66, 43, 16, 17, 4, 4
2021/11/10, 69, 30, 18, 16, 4, 4
2021/11/11, 58, 27, 21, 18, 6, 4
2021/11/12, 72, , , , , 
2021/10/2, 78, 76, 23, 14, 2, 5
2021/10/3, 70, 52, 40, 8, 3, 3
2021/10/4, 67, 53, 23, 13, 3, 2
2021/10/5, 59, 52, 23, 20, 3, 3
2021/10/6, 66, 55, 20, 21, 3, 3
2021/10/7, 66, 63, 27, 25, 3, 6
2021/10/8, 88, 78, 26, 27, 3, 8
2021/10/9, 88, 42, 17, 19, 3, 6
2021/10/10, 53, 61, 25, 12, 2, 3
2021/10/11, 53, 60, 23, 25, 3, 7
2021/10/12, 71, 123, 20, 35, 3, 17
2021/10/13, 113, 98, 30, 26, 3, 7
2021/10/14, 95, 70, 21, 31, 3, 4
2021/10/15, 85, 92, 23, 25, 4, 4
2021/10/16, 70, 68, 20, 18, 5, 3
2021/10/17, 54, 64, 19, 17, 7, 4
2021/10/18, 60, 56, 14, 16, 5, 5
2021/10/19, 76, 66, 19, 21, 7, 7
2021/10/20, 95, 65, 20, 23, 6, 6
2021/10/21, 95, 81, 17, 28, 6, 10
2021/10/22, 125, 85, 23, 32, 6, 11
2021/10/23, 113, 82, 24, 32, 5, 5
2021/10/24, 106, 83, 32, 37, 7, 5
2021/10/25, 136, 75, 43, 31, 6, 6
2021/10/26, 158, 87, 26, 34, 6, 5
2021/10/27, 143, 75, 21, 27, 5, 3
2021/10/28, 64, 83, 19, 27, 5, 8
2021/10/29, 95, 82, 18, 27, 5, 7
2021/10/30, 91, 96, 37, 30, 5, 9
2021/10/31, 154, 52, 9, 22, 3, 5
2021/11/1, 81, 72, 7, 22, 4, 6
2021/9/2, 86, 59, 41, 19, 2, 7
2021/9/3, 72, 62, 43, 22, 2, 6
2021/9/4, 77, 67, 44, 25, 2, 8
2021/9/5, 85, 56, 37, 21, 2, 5
2021/9/6, 55, 55, 21, 19, 2, 7
2021/9/7, 61, 23, 28, 15, , 5
2021/9/8, 48, 29, 31, 13, 2, 4
2021/9/9, 46, 26, 41, 15, 2, 5
2021/9/10, 48, 31, 39, 15, 2, 5
2021/9/11, 64, 35, 25, 15, 2, 4
2021/9/12, 49, 46, 24, 19, 2, 4
2021/9/13, 57, 36, 25, 16, 2, 4
2021/9/14, 51, 46, 21, 19, 2, 6
2021/9/15, 76, 49, 30, 20, 2, 4
2021/9/16, 61, 34, 21, 18, 2, 5
2021/9/17, 60, 55, 28, 20, 3, 9
2021/9/18, 85, 76, 37, 28, 2, 6
2021/9/19, 83, 74, 48, 22, 2, 5
2021/9/20, 80, 55, 19, 14, 3, 4
2021/9/21, 68, 15, 22, 8, 2, 3
2021/9/22, 35, 8, 14, 8, 2, 3
2021/9/23, 22, 25, 24, 12, 2, 3
2021/9/24, 46, 48, 27, 17, 2, 7
2021/9/25, 66, 28, 21, 18, 2, 7
2021/9/26, 55, 36, 23, 19, 2, 9
2021/9/27, 81, 38, 22, 19, 2, 7
2021/9/28, 72, 41, 30, 16, 2, 6
2021/9/29, 62, 52, 25, 16, 3, 5
2021/9/30, 56, 68, 19, 22, 2, 6
2021/10/1, 68, 81, 24, 20, 2, 7
2021/8/2, 35, 11, 9, 7, 1, 3
2021/8/3, 28, 26, 29, 12, 1, 4
2021/8/4, 30, 41, 44, 13, , 6
2021/8/5, 63, 49, 48, 12, 1, 6
2021/8/6, 75, 63, 37, 20, 1, 7
2021/8/7, 102, 64, 53, 22, 2, 6
2021/8/8, 86, 74, 58, 23, 2, 8
2021/8/9, 142, 68, 48, 15, 2, 7
2021/8/10, 127, , , , , 
2021/8/21, 60, 27, 29, 16, 2, 6
2021/8/22, 55, 36, 37, 14, 2, 5
2021/8/23, 48, 55, 57, 15, 2, 8
2021/8/24, 121, 45, 45, 13, 2, 6
2021/8/25, 60, 27, 36, 9, 2, 5
2021/8/26, 47, 35, 43, 10, 2, 5
2021/8/27, 57, 42, 28, 10, 2, 5
2021/8/28, 46, 37, 22, 9, 2, 4
2021/8/29, 31, 35, 20, 13, 2, 5
2021/8/30, 49, 35, 23, 13, 2, 4
2021/8/31, 52, 53, 32, 18, 2, 4
2021/9/1, 65, 68, 41, 21, 2, 7
2021/7/2, 68, 50, 60, 17, 2, 6
2021/7/3, 71, 51, 46, 17, 2, 5
2021/7/4, 75, 29, 24, 16, 2, 5
2021/7/5, 47, 37, 38, 22, 2, 6
2021/7/6, 55, 54, 40, 19, 2, 7
2021/7/7, 75, 30, 35, 17, 2, 7
2021/7/8, 66, 35, 37, 19, 2, 6
2021/7/9, 62, 43, 38, 15, 2, 6
2021/7/10, 71, 43, 40, 17, 2, 6
2021/7/11, 74, 60, 63, 22, 2, 8
2021/7/12, 108, 52, 48, 14, 2, 7
2021/7/13, 80, 44, 44, 8, 2, 4
2021/7/14, 64, 40, 25, 8, 1, 3
2021/7/15, 53, 34, 26, 9, 1, 3
2021/7/16, 38, 33, 23, 13, 2, 4
2021/7/17, 35, 50, 37, 17, 1, 5
2021/7/18, 59, 52, 40, 16, 2, 5
2021/7/19, 68, 48, 40, 15, 2, 6
2021/7/20, 68, 47, 34, 15, , 5
2021/7/21, 60, 48, 40, 16, 2, 5
2021/7/22, 66, 57, 40, 18, 1, 5
2021/7/23, 78, 55, 41, 12, 2, 5
2021/7/24, 86, 55, 55, 15, 2, 7
2021/7/25, 70, 54, 48, 12, 2, 6
2021/7/26, 73, 57, 48, 15, 2, 5
2021/7/27, 70, 50, 46, 19, 2, 5
2021/7/28, 66, 52, 43, 21, 2, 5
2021/7/29, 73, 54, 35, 20, 1, 5
2021/7/30, 87, 54, 23, 19, 1, 6
2021/7/31, 74, 27, 29, 10, 1, 5
2021/8/1, 47, 21, 27, 8, 1, 4
2021/6/2, 68, 33, 31, 17, 2, 5
2021/6/3, 61, 27, 32, 12, 2, 4
2021/6/4, 54, 29, 34, 16, 2, 4
2021/6/5, 41, 22, 30, 13, 2, 4
2021/6/6, 40, 27, 28, 14, 2, 3
2021/6/7, 49, 35, 49, 20, 2, 5
2021/6/8, 60, 48, 68, 19, 2, 6
2021/6/9, 72, 55, 60, 19, 3, 6
2021/6/10, 73, 45, 31, 17, 3, 7
2021/6/11, 75, 37, 45, 16, 2, 6
2021/6/12, 66, 60, 108, 18, 3, 8
2021/6/13, 78, 56, 54, 23, 3, 8
2021/6/14, 87, 39, 50, 12, 2, 5
2021/6/15, 63, 40, 41, 18, 2, 6
2021/6/16, 58, 49, 66, 20, 2, 6
2021/6/17, 74, 27, 33, 11, 2, 4
2021/6/18, 40, 29, 28, 10, 2, 3
2021/6/19, 35, 29, 32, 11, 2, 4
2021/6/20, 38, 24, 35, 12, 2, 4
2021/6/21, 47, 38, 28, 17, 2, 4
2021/6/22, 58, 40, 38, 15, 6, 4
2021/6/23, 49, 67, 45, 21, 3, 5
2021/6/24, 76, 75, 55, 33, 3, 5
2021/6/25, 81, 73, 85, 34, 3, 5
2021/6/26, 100, 43, 39, 19, 3, 4
2021/6/27, 64, 28, 39, 11, 2, 4
2021/6/28, 60, 46, 46, 17, 2, 4
2021/6/29, 76, 33, 49, 15, 2, 4
2021/6/30, 51, 41, 43, 18, 2, 5
2021/7/1, 69, 44, 58, 14, 2, 6
2021/5/2, 111, 59, 47, 22, 3, 5
2021/5/3, 111, 71, 50, 16, 4, 5
2021/5/4, 97, 52, 35, 11, 3, 4
2021/5/5, 73, 70, 31, 13, 3, 6
2021/5/6, 59, 105, 57, 18, 4, 6
2021/5/7, 98, 141, 39, 13, 3, 4
2021/5/8, 126, 25, 27, 8, 3, 3
2021/5/9, 32, 29, 33, 13, 2, 5
2021/5/10, 43, 65, 41, 24, 3, 6
2021/5/11, 82, 63, 50, 18, 3, 5
2021/5/12, 93, 55, 39, 14, 4, 4
2021/5/13, 67, 62, 53, 19, 5, 7
2021/5/14, 111, 63, 55, 19, 4, 6
2021/5/15, 90, 37, 28, 17, 3, 4
2021/5/16, 59, 61, 38, 24, 4, 7
2021/5/17, 81, 65, 46, 23, 4, 5
2021/5/18, 79, 65, 64, 17, 5, 5
2021/5/19, 71, 83, 97, 26, 6, 8
2021/5/20, 125, 74, 98, 24, 5, 8
2021/5/21, 131, 69, 86, 26, 5, 8
2021/5/22, 124, 85, 98, 18, 3, 8
2021/5/23, 135, 103, 57, 14, 2, 4
2021/5/24, 131, 97, 30, 19, 3, 4
2021/5/25, 118, 62, 32, 24, 2, 4
2021/5/26, 94, 61, 35, 16, 3, 5
2021/5/27, 78, 46, 45, 14, 2, 3
2021/5/28, 67, 51, 34, 18, 3, 4
2021/5/29, 75, 55, 37, 22, 2, 5
2021/5/30, 74, 79, 35, 28, 3, 6
2021/5/31, 114, 64, 58, 19, 3, 5
2021/6/1, 105, 43, 38, 15, 2, 4
2021/4/2, 100, 103, 44, 25, 7, 7
2021/4/3, 146, 57, 36, 15, 3, 3
2021/4/4, 57, 71, 42, 27, 4, 5
2021/4/5, 119, 88, 38, 21, 5, 5
2021/4/6, 124, 68, 38, 22, 4, 6
2021/4/7, 101, 89, 36, 27, 4, 7
2021/4/8, 140, 111, 50, 29, 5, 8
2021/4/9, 190, 147, 72, 39, 4, 10
2021/4/10, 212, 134, 68, 27, 5, 8
2021/4/11, 183, 130, 57, 17, 4, 5
2021/4/12, 132, 66, 48, 10, 2, 3
2021/4/13, 78, 25, 32, 10, 2, 3
2021/4/14, 44, 47, 36, 16, 3, 4
2021/4/15, 77, 86, 56, 18, 3, 6
2021/4/16, 131, 129, 39, 8, 2, 3
2021/4/17, 71, 84, 25, 12, 3, 5
2021/4/18, 115, 52, 38, 18, 3, 5
2021/4/19, 99, 106, 67, 21, 5, 7
2021/4/20, 135, 90, 51, 26, 6, 6
2021/4/21, 161, 119, 88, 30, 5, 8
2021/4/22, 164, 66, 52, 19, 4, 5
2021/4/23, 103, 52, 29, 23, 5, 6
2021/4/24, 121, 49, 32, 19, 3, 5
2021/4/25, 104, 76, 45, 26, 4, 6
2021/4/26, 124, 84, 52, 24, 4, 5
2021/4/27, 132, 97, 35, 15, 4, 5
2021/4/28, 130, 79, 35, 17, 3, 3
2021/4/29, 70, 62, 37, 17, 4, 4
2021/4/30, 87, 31, 29, 13, 2, 4
2021/5/1, 64, 56, 37, 16, 3, 4
2021/3/2, 77, 49, 30, 25, 10, 7
2021/3/3, 103, 75, 31, 17, 12, 8
2021/3/4, 143, 67, 35, 10, 5, 5
2021/3/5, 99, 40, 30, 12, 6, 4
2021/3/6, 73, 53, 24, 25, 10, 6
2021/3/7, 97, 66, 30, 26, 9, 8
2021/3/8, 113, 94, 40, 31, 10, 11
2021/3/9, 168, 82, 29, 24, 8, 10
2021/3/10, 123, 96, 38, 24, 6, 9
2021/3/11, 126, 114, 33, 30, 9, 9
2021/3/12, 187, 89, 39, 32, 10, 9
2021/3/13, 171, 101, 38, 39, 5, 10
2021/3/14, 149, 106, 49, 28, 6, 10
2021/3/15, 176, 207, 37, 20, 4, 6
2021/3/16, 120, 185, 31, 27, 4, 5
2021/3/17, 89, 69, 30, 30, 5, 9
2021/3/18, 105, 85, 33, 30, 6, 9
2021/3/19, 127, 73, 37, 25, 6, 8
2021/3/20, 133, 59, 18, 25, 5, 7
2021/3/21, 131, 40, 29, 18, 3, 5
2021/3/22, 83, 49, 28, 21, 5, 6
2021/3/23, 81, 156, 19, 28, 6, 10
2021/3/24, 147, 93, 36, 33, 5, 9
2021/3/25, 127, 81, 37, 25, 6, 6
2021/3/26, 119, 78, 60, 21, 4, 6
2021/3/27, 141, 93, 54, 26, 5, 8
2021/3/28, 161, 286, 32, 26, 3, 7
2021/3/29, 154, 107, 27, 16, 4, 3
2021/3/30, 65, 70, 42, 29, 3, 6
2021/3/31, 104, 86, 46, 23, 4, 7
2021/4/1, 131, 73, 34, 23, 4, 6
2021/2/2, 147, 34, 24, 16, 11, 6
2021/2/3, 84, 34, 27, 17, 10, 5
2021/2/4, 74, 37, 25, 16, 12, 5
2021/2/5, 91, 76, 22, 26, 14, 11
2021/2/6, 150, 98, 38, 28, 14, 12
2021/2/7, 189, 70, 25, 27, 10, 8
2021/2/8, 148, 76, 20, 25, 9, 10
2021/2/9, 175, 70, 25, 22, 11, 9
2021/2/10, 142, 108, 22, 28, 8, 15
2021/2/11, 210, 72, 48, 14, 10, 9
2021/2/12, 150, 97, 41, 15, 12, 9
2021/2/13, 177, 95, 21, 19, 7, 10
2021/2/14, 194, 40, 26, 10, 10, 4
2021/2/15, 86, 32, 28, 9, 11, 4
2021/2/16, 72, 40, 26, 9, 9, 5
2021/2/17, 78, 42, 23, 8, 7, 4
2021/2/18, 61, 51, 25, 11, 11, 4
2021/2/19, 72, 112, 33, 16, 10, 7
2021/2/20, 98, 48, 27, 15, 9, 5
2021/2/21, 67, 45, 30, 15, 13, 7
2021/2/22, 100, 41, 28, 10, 7, 6
2021/2/23, 71, 36, 27, 13, 8, 5
2021/2/24, 69, 63, 31, 22, 9, 7
2021/2/25, 105, 49, 28, 17, 9, 6
2021/2/26, 104, 83, 29, 24, 10, 7
2021/2/27, 134, 130, 42, 18, 10, 7
2021/2/28, 161, 56, 28, 17, 8, 5
2021/3/1, 99, 35, 32, 15, 10, 5
2021/1/5, 87, 51, 16, 20, 13, 6
2021/1/6, 92, 54, 15, 15, 11, 7
2021/1/7, 102, 32, 16, 14, 11, 5
2021/1/8, 69, 43, 15, 19, 15, 7
2021/1/9, 95, 50, 15, 20, 13, 8
2021/1/10, 105, 65, 13, 24, 13, 10
2021/1/11, 144, 58, 17, 22, 14, 10
2021/1/12, 110, 66, 18, 21, 11, 11
2021/1/13, 131, 71, 21, 21, 11, 8
2021/1/14, 137, 44, 21, 16, 13, 5
2021/1/15, 76, 55, 23, 20, 17, 6
2021/1/16, 124, 63, 17, 23, 15, 9
2021/1/17, 148, 50, 21, 21, 14, 7
2021/1/18, 108, 34, 20, 13, 8, 5
2021/1/19, 76, 46, 23, 18, 12, 7
2021/1/20, 104, 54, 22, 15, 12, 6
2021/1/21, 104, 87, 13, 25, 9, 11
2021/1/22, 180, 69, 20, 25, 21, 7
2021/1/23, 154, 74, 32, 33, 11, 12
2021/1/24, 167, 91, 28, 37, 8, 19
2021/1/25, 190, 142, 14, 46, 10, 28
2021/1/26, 275, 91, 27, 25, 11, 10
2021/1/27, 166, 46, 26, 19, 9, 5
2021/1/28, 72, 45, 25, 16, 8, 5
2021/1/29, 102, 45, 24, 14, 12, 5
2021/1/30, 80, 70, 22, 22, 11, 8
2021/1/31, 146, 71, 21, 23, 11, 10
2021/2/1, 163, 63, 27, 17, 9, 7
2020/10/2, 99, 37, 25, 10, 1, 4
2020/10/3, 45, 38, 27, 15, 2, 3
2020/10/4, 42, 25, 26, 9, 1, 2
2020/10/5, 29, 21, 18, 9, 1, 3
2020/10/6, 32, 61, 25, 18, 2, 8
2020/10/7, 83, 72, 38, 25, 3, 9
2020/10/8, 108, 88, 64, 20, 3, 10
2020/10/9, 152, 60, 45, 25, 2, 7
2020/10/10, 88, 67, 57, 23, 3, 7
2020/10/11, 118, 47, 57, 18, 2, 6
2020/10/12, 86, 34, 28, 17, 2, 4
2020/10/13, 43, 54, 19, 13, 2, 3
2020/10/14, 51, 29, 21, 11, 2, 4
2020/10/15, 41, 45, 28, 18, 3, 5
2020/10/16, 62, 43, 27, 18, 3, 6
2020/10/17, 77, 53, 26, 18, 4, 6
2020/10/18, 65, 41, 28, 20, 4, 5
2020/10/19, 56, 73, 29, 24, 11, 10
2020/10/20, 94, 80, 50, 22, 7, 18
2020/10/21, 165, 108, 53, 15, 3, 5
2020/10/22, 104, 36, 43, 15, 4, 4
2020/10/23, 39, 44, 23, 17, 6, 5
2020/10/24, 63, 49, 25, 19, 7, 6
2020/10/25, 68, 55, 23, 28, 9, 8
2020/10/26, 94, 83, 26, 33, 7, 13
2020/10/27, 147, 44, 23, 16, 5, 6
2020/10/28, 48, 43, 17, 17, 6, 6
2020/10/29, 58, 65, 15, 20, 8, 7
2020/10/30, 93, 70, 18, 22, 9, 9
2020/10/31, 122, 98, 26, 20, 19, 9
2020/11/1, 148, 46, 19, 14, 5, 4
2020/11/2, 38, 43, 19, 12, 5, 5
2020/11/3, 44, 40, 19, 13, 7, 5
2020/11/4, 48, 57, 19, 23, 10, 8
2020/11/5, 75, 86, 20, 30, 7, 12
2020/11/6, 153, 80, 24, 22, 9, 8
2020/11/7, 111, 84, 19, 20, 6, 5
2020/11/8, 70, 39, 15, 11, 5, 4
2020/11/9, 44, 40, 17, 13, 5, 5
2020/11/10, 53, 65, 14, 23, 8, 8
2020/11/11, 93, 72, 28, 26, 7, 10
2020/11/12, 159, 69, 31, 20, 5, 6
2020/11/13, 117, 54, 14, 20, 6, 6
2020/11/14, 70, 89, 20, 26, 6, 9
2020/11/15, 147, 81, 21, 20, 7, 8
2020/11/16, 157, 67, 18, 20, 8, 7
2020/11/17, 123, 110, 28, 28, 6, 10
2020/11/18, 197, 60, 13, 12, 2, 7
2020/11/19, 154, 31, 18, 8, 4, 2
2020/11/20, 46, 30, 15, 18, 9, 4
2020/11/21, 68, 57, 12, 25, 9, 7
2020/11/22, 130, 45, 15, 19, 10, 6
2020/11/23, 95, 39, 18, 21, 8, 6
2020/11/24, 82, 54, 13, 27, 8, 8
2020/11/25, 120, 62, 14, 25, 9, 9
2020/11/26, 144, 65, 10, 25, 11, 10
2020/11/27, 145, 58, 15, 23, 9, 8
2020/11/28, 121, 57, 11, 24, 14, 8
2020/11/29, 111, 67, 11, 25, 10, 10
2020/11/30, 149, 49, 16, 22, 11, 6
2020/12/1, 91, 54, 14, 22, 13, 7
2020/12/2, 101, 58, 17, 23, 13, 6
2020/12/3, 115, 46, 18, 21, 10, 4
2020/12/4, 79, 55, 18, 21, 11, 5
2020/12/5, 87, 65, 17, 24, 14, 7
2020/12/6, 114, 66, 19, 24, 11, 7
2020/12/7, 132, 49, 16, 18, 10, 5
2020/12/8, 77, 55, 18, 19, 13, 6
2020/12/9, 87, 72, 15, 23, 11, 8
2020/12/10, 120, 63, 19, 22, 11, 6
2020/12/11, 108, 65, 12, 22, 12, 6
2020/12/12, 105, 68, 13, 23, 12, 8
2020/12/13, 132, 63, 14, 18, 10, 7
2020/12/14, 118, 53, 14, 14, 9, 6
2020/12/15, 85, 49, 12, 16, 13, 7
2020/12/16, 86, 67, 10, 19, 17, 9
2020/12/17, 129, 62, 13, 20, 16, 8
2020/12/18, 117, 53, 16, 13, 8, 4
2020/12/19, 69, 50, 12, 18, 12, 6
2020/12/20, 89, 63, 15, 20, 12, 8
2020/12/21, 124, 67, 17, 21, 16, 9
2020/12/22, 114, 69, 15, 23, 14, 12
2020/12/23, 143, 129, 19, 21, 9, 10
2020/12/24, 149, 61, 13, 19, 10, 7
2020/12/25, 124, 56, 14, 18, 11, 6
2020/12/26, 94, 62, 13, 24, 11, 8
2020/12/27, 101, 86, 9, 27, 16, 12
2020/12/28, 156, 65, 12, 21, 23, 9
2020/12/29, 143, 60, 15, 17, 11, 8
2020/12/30, 116, 56, 15, 14, 10, 7
2020/12/31, 77, 46, 19, 16, 10, 5
2021/1/1, 69, 52, 21, 17, 13, 6
2021/1/2, 99, 59, 17, 19, 9, 8
2021/1/3, 122, 47, 19, 16, 11, 5
2021/1/4, 78, 45, 19, 17, 11, 5
2020/7/2, 51, 60, 56, 22, 2, 5
2020/7/3, 76, 53, 74, 21, 2, 6
2020/7/4, 72, 62, 70, 18, 1, 6
2020/7/5, 102, 78, 48, 12, 1, 5
2020/7/6, 74, 51, 43, 15, 1, 5
2020/7/7, 54, 39, 36, 17, 1, 5
2020/7/8, 78, 48, 49, 23, 1, 6
2020/7/9, 69, 56, 68, 23, 1, 6
2020/7/10, 83, 57, 70, 20, 2, 5
2020/7/11, 80, 54, 63, 20, 1, 5
2020/7/12, 72, 61, 75, 24, 1, 5
2020/7/13, 79, 52, 64, 18, 2, 4
2020/7/14, 59, 42, 46, 13, 2, 4
2020/7/15, 48, 57, 38, 31, 2, 7
2020/7/16, 74, 61, 85, 24, 1, 7
2020/7/17, 94, 69, 101, 15, 1, 8
2020/7/18, 118, 54, 101, 14, 2, 6
2020/7/19, 83, 59, 57, 16, 1, 5
2020/7/20, 72, 30, 35, 15, 1, 4
2020/7/21, 40, 38, 41, 20, 1, 4
2020/7/22, 52, 65, 101, 21, 1, 7
2020/7/23, 91, 62, 96, 19, 1, 7
2020/7/24, 87, 53, 81, 14, 2, 5
2020/7/25, 68, 41, 61, 13, 1, 4
2020/7/26, 48, 48, 69, 12, 1, 4
2020/7/27, 51, 49, 57, 18, 1, 5
2020/7/28, 61, 31, 35, 11, 1, 5
2020/7/29, 53, 30, 43, 10, 1, 5
2020/7/30, 45, 34, 63, 10, 1, 5
2020/7/31, 64, 63, 81, 13, 1, 8
2020/8/1, 108, 34, 60, 10, 1, 4
2020/8/2, 44, 32, 44, 7, 1, 3
2020/8/3, 34, 41, 57, 12, 1, 5
2020/8/4, 58, 30, 51, 11, 1, 5
2020/8/5, 40, 28, 42, 13, 1, 6
2020/8/6, 42, 37, 37, 16, 1, 5
2020/8/7, 49, 29, 35, 12, 1, 5
2020/8/8, 36, 46, 72, 16, 1, 7
2020/8/9, 59, 38, 38, 11, 1, 7
2020/8/10, 61, 41, 68, 12, 1, 8
2020/8/11, 74, 50, 72, 15, 1, 7
2020/8/12, 77, 38, 59, 11, 1, 5
2020/8/13, 69, 31, 39, 10, 1, 5
2020/8/14, 42, 25, 35, 9, 1, 5
2020/8/15, 26, 26, 36, 14, 1, 5
2020/8/16, 30, 56, 55, 19, 1, 5
2020/8/17, 58, 50, 32, 17, 1, 7
2020/8/18, 66, 38, 46, 12, , 6
2020/8/19, 68, 18, 37, 10, 1, 4
2020/8/20, 33, 28, 26, 12, 1, 3
2020/8/21, 47, 36, 38, 14, 1, 4
2020/8/22, 43, 52, 47, 23, 1, 7
2020/8/23, 67, 62, 51, 24, 1, 9
2020/8/24, 87, 28, 47, 12, 1, 6
2020/8/25, 48, 36, 45, 16, 1, 6
2020/8/26, 60, 47, 45, 17, 1, 6
2020/8/27, 64, 19, 24, 7, 1, 4
2020/8/28, 36, 23, 20, 12, , 6
2020/8/29, 41, 19, 18, 9, 1, 5
