date, pm25, pm10, o3, no2, so2, co
2021/11/2, 165, 53, 37, 16, 2, 7
2021/11/3, 151, 54, 40, 20, 2, 7
2021/11/4, 136, 53, 24, 19, 2, 8
2021/11/5, 137, 34, 8, 15, 2, 8
2021/11/6, 107, 47, 10, 12, 2, 9
2021/11/7, 146, 18, 25, 9, 2, 6
2021/11/8, 42, 34, 32, 10, 2, 3
2021/11/9, 53, 45, 33, 17, 3, 5
2021/11/10, 73, 65, 28, 20, 4, 8
2021/11/11, 102, 53, 33, 20, 3, 5
2021/11/12, 112, , , , , 
2021/10/2, 93, 59, 81, 14, 4, 5
2021/10/3, 114, 55, 78, 7, 4, 5
2021/10/4, 111, 43, 62, 9, 3, 5
2021/10/5, 83, 57, 83, 9, 3, 4
2021/10/6, 101, 41, 23, 6, 3, 4
2021/10/7, 111, 36, 21, 6, 2, 4
2021/10/8, 107, 35, 19, 8, 2, 5
2021/10/9, 129, 43, 15, 11, 2, 7
2021/10/10, 144, 24, 19, 7, 2, 7
2021/10/11, 100, 33, 25, 8, 2, 4
2021/10/12, 75, 42, 53, 8, 3, 5
2021/10/13, 97, 52, 42, 9, 3, 6
2021/10/14, 122, 63, 46, 9, 3, 6
2021/10/15, 155, 11, 34, 7, 2, 7
2021/10/16, 89, 8, 30, 7, 2, 5
2021/10/17, 43, 29, 22, 9, 2, 5
2021/10/18, 86, 37, 26, 13, 4, 6
2021/10/19, 99, 26, 22, 12, 2, 5
2021/10/20, 78, 8, 23, 8, 2, 5
2021/10/21, 41, 17, 30, 8, 2, 5
2021/10/22, 60, 35, 31, 14, 3, 5
2021/10/23, 107, 41, 49, 15, 2, 5
2021/10/24, 115, 58, 64, 17, 3, 6
2021/10/25, 149, 64, 60, 22, 3, 7
2021/10/26, 150, 71, 47, 23, 4, 7
2021/10/27, 157, 60, 59, 13, 4, 7
2021/10/28, 174, 70, 46, 18, 4, 8
2021/10/29, 187, , 39, 12, 3, 9
2021/10/30, 203, , 57, 15, 3, 9
2021/10/31, 194, 78, 25, 23, 2, 9
2021/11/1, 181, 60, 37, 13, 2, 7
2021/9/2, 92, 51, 57, 6, 3, 7
2021/9/3, 110, 51, 74, 12, 3, 6
2021/9/4, 108, 45, 50, 8, 4, 5
2021/9/5, 96, 57, 60, 8, 4, 6
2021/9/6, 105, 42, 36, 5, 2, 6
2021/9/7, 88, 27, 52, 5, 2, 5
2021/9/8, 67, 44, 64, 7, 3, 6
2021/9/9, 94, 59, 108, 15, 4, 7
2021/9/10, 117, 54, 85, 14, 3, 6
2021/9/11, 98, 52, 76, 11, 3, 6
2021/9/12, 99, 60, 85, 11, 4, 6
2021/9/13, 122, 40, 71, 6, 3, 4
2021/9/14, 77, 49, 63, 9, 4, 4
2021/9/15, 90, 51, 73, 11, 3, 4
2021/9/16, 87, 52, 97, 9, 4, 4
2021/9/17, 92, 56, 94, 8, 4, 4
2021/9/18, 107, 58, 81, 6, 4, 4
2021/9/19, 108, 49, 45, 5, 4, 4
2021/9/20, 100, 16, 52, 5, 2, 5
2021/9/21, 45, 37, 64, 9, 3, 6
2021/9/22, 77, 39, 82, 13, 3, 5
2021/9/23, 78, 44, 65, 11, 3, 3
2021/9/24, 105, 36, 49, 10, 3, 3
2021/9/25, 83, 42, 59, 12, 3, 3
2021/9/26, 80, 56, 72, 15, 3, 4
2021/9/27, 93, 54, 40, 8, 2, 4
2021/9/28, 124, 65, 95, 9, 3, 7
2021/9/29, 155, 22, 36, 6, 2, 5
2021/9/30, 65, 33, 80, 13, 2, 6
2021/10/1, 79, 52, 94, 16, 3, 6
2021/8/2, 101, 54, 80, 7, 2, 5
2021/8/3, 100, 53, 88, 4, 3, 6
2021/8/4, 108, 47, 61, 5, 3, 5
2021/8/5, 81, 29, 36, 5, 3, 4
2021/8/6, 56, 25, 44, 4, 2, 4
2021/8/7, 55, 42, 50, 5, 2, 4
2021/8/8, 77, 49, 67, 7, 2, 5
2021/8/9, 85, 44, 68, 6, 2, 5
2021/8/10, 84, , , , , 
2021/8/21, 163, 35, 58, 6, 3, 5
2021/8/22, 95, 39, 51, 5, 4, 7
2021/8/23, 84, 38, 39, 5, 4, 6
2021/8/24, 80, 30, 32, 5, 2, 6
2021/8/25, 68, 20, 39, 5, 2, 5
2021/8/26, 60, 28, 25, 5, 2, 5
2021/8/27, 75, 23, 29, 4, 2, 3
2021/8/28, 70, 41, 62, 10, 3, 7
2021/8/29, 106, 49, 52, 13, 4, 6
2021/8/30, 92, 43, 49, 9, 4, 4
2021/8/31, 74, 45, 66, 8, 4, 5
2021/9/1, 88, 48, 85, 8, 5, 6
2021/7/2, 50, 30, 24, 6, 3, 6
2021/7/3, 64, 20, 34, 5, 2, 7
2021/7/4, 65, 29, 38, 6, 2, 8
2021/7/5, 73, 38, 46, 7, 3, 7
2021/7/6, 77, 38, 48, 8, 4, 7
2021/7/7, 81, 45, 55, 8, 3, 5
2021/7/8, 85, 22, 35, 5, 4, 4
2021/7/9, 53, 25, 35, 6, 3, 4
2021/7/10, 63, 29, 41, 6, 4, 5
2021/7/11, 60, 43, 54, 6, 5, 4
2021/7/12, 89, 34, 47, 5, 5, 6
2021/7/13, 69, 31, 41, 5, 6, 5
2021/7/14, 61, 34, 45, 5, 6, 6
2021/7/15, 71, 40, 45, 6, 5, 6
2021/7/16, 82, 38, 59, 6, 4, 5
2021/7/17, 87, 50, 60, 6, 4, 5
2021/7/18, 105, 29, 30, 6, 2, 5
2021/7/19, 68, 38, 83, 5, 2, 6
2021/7/20, 77, 32, 50, 9, 2, 5
2021/7/21, 69, 30, 42, 6, 2, 4
2021/7/22, 54, 33, 53, 6, 3, 3
2021/7/23, 69, 33, 53, 5, 3, 5
2021/7/24, 70, 35, 52, 4, 3, 4
2021/7/25, 76, 31, 44, 3, 4, 3
2021/7/26, 61, 29, 37, 3, 4, 3
2021/7/27, 57, 37, 45, 4, 4, 3
2021/7/28, 82, 30, 37, 4, 3, 3
2021/7/29, 71, 30, 54, 4, 4, 3
2021/7/30, 58, 44, 74, 8, 3, 6
2021/7/31, 94, 38, 97, 6, 6, 7
