date, pm25, pm10, o3, no2, so2, co
2021/11/2, 47, 21, 31, 8, 2, 1
2021/11/3, 43, 20, 36, 8, 3, 1
2021/11/4, 41, 25, 27, 7, 3, 2
2021/11/5, 45, 20, 32, 5, 2, 3
2021/11/6, 40, 18, 37, 7, 2, 2
2021/11/7, 36, 30, 40, 13, 3, 3
2021/11/8, 61, 35, 25, 9, 3, 2
2021/11/9, 75, 38, 19, 12, 3, 3
2021/11/10, 81, 26, 17, 8, 3, 2
2021/11/11, 65, 19, 27, 7, 2, 2
2021/11/12, 40, , 5, , 2, 
2021/11/13, 61, , , , , 
2021/10/2, 57, 34, 36, 8, 2, 3
2021/10/3, 74, 20, 33, 5, 3, 2
2021/10/4, 44, 14, 25, 4, 2, 2
2021/10/5, 21, 18, 30, 4, 3, 2
2021/10/6, 46, 25, 39, 8, 3, 2
2021/10/7, 58, 30, 36, 7, 2, 2
2021/10/8, 76, 31, 38, 5, 3, 2
2021/10/9, 81, 30, 48, 3, 2, 2
2021/10/10, 75, 17, 25, 5, 1, 2
2021/10/11, 39, 10, 22, 3, 1, 3
2021/10/12, 24, 22, 27, 4, 2, 3
2021/10/13, 57, 18, 23, 4, 2, 1
2021/10/14, 46, 13, 19, 4, 2, 2
2021/10/15, 30, 11, 19, 4, 2, 3
2021/10/16, 20, 11, 19, 3, 1, 2
2021/10/17, 28, 16, 22, 5, 3, 2
2021/10/18, 46, 21, 29, 6, 3, 3
2021/10/19, 44, 16, 22, 5, 2, 2
2021/10/20, 40, 17, 19, 6, 2, 3
2021/10/21, 31, 14, 15, 6, 2, 3
2021/10/22, 31, 9, 17, 4, 2, 1
2021/10/23, 30, 18, 16, 6, 2, 5
2021/10/24, 37, 16, 11, 6, 3, 4
2021/10/25, 35, 15, 15, 7, 3, 4
2021/10/26, 34, 17, 27, 5, 3, 3
2021/10/27, 43, 21, 23, 6, 2, 2
2021/10/28, 47, 23, 15, 6, 2, 2
2021/10/29, 54, 16, 28, 7, 3, 3
2021/10/30, 39, 23, 21, 8, 3, 3
2021/10/31, 51, 17, 27, 7, 3, 2
2021/11/1, 40, 24, 30, 9, 3, 2
2021/9/2, 61, 27, 40, 7, 3, 3
2021/9/3, 61, 26, 38, 6, 2, 3
2021/9/4, 60, 26, 34, 7, 3, 3
2021/9/5, 55, 22, 34, 6, 3, 3
2021/9/6, 56, 20, 39, 6, 2, 3
2021/9/7, 33, 14, 37, 4, 3, 3
2021/9/8, 34, 24, 40, 6, 2, 3
2021/9/9, 64, 20, 26, 5, 2, 3
2021/9/10, 53, 26, 40, 9, 2, 3
2021/9/11, 56, 36, 59, 13, 3, 4
2021/9/12, 68, 31, 56, 12, 2, 3
2021/9/13, 60, 40, 38, 14, 2, 4
2021/9/14, 71, 30, 41, 6, 2, 4
2021/9/15, 70, 33, 23, 6, 2, 3
2021/9/16, 59, 27, 25, 8, 3, 4
2021/9/17, 50, 21, 19, 7, 2, 4
2021/9/18, 33, 21, 22, 7, 2, 3
2021/9/19, 26, 19, 24, 5, 2, 3
2021/9/20, 30, 20, 44, 6, 3, 3
2021/9/21, 49, 24, 32, 5, 2, 2
2021/9/22, 55, 23, 28, 6, 2, 2
2021/9/23, 54, 27, 37, 10, 2, 2
2021/9/24, 61, 24, 29, 7, 2, 2
2021/9/25, 60, 22, 19, 7, 1, 1
2021/9/26, 34, 19, 29, 6, 1, 1
2021/9/27, 39, 25, 39, 10, 2, 2
2021/9/28, 49, 27, 39, 10, 3, 2
2021/9/29, 52, 28, 45, 10, 2, 2
2021/9/30, 52, 37, 40, 12, 3, 3
2021/10/1, 67, 30, 41, 9, 2, 2
2021/8/2, 59, 55, 90, 17, 6, 5
2021/8/3, 95, 33, 79, 9, 4, 3
2021/8/4, 80, 40, 74, 15, 5, 3
2021/8/5, 78, 51, 83, 17, 6, 4
2021/8/6, 97, 32, 61, 9, 4, 3
2021/8/7, 66, 22, 37, 6, 5, 2
2021/8/8, 35, 22, 36, 6, 6, 3
2021/8/9, 43, 30, 27, 8, 7, 4
2021/8/10, 55, 27, 35, 8, 5, 4
2021/8/11, 61, 22, 39, 6, 4, 3
2021/8/12, 54, 21, 25, 7, 4, 3
2021/8/13, 41, 20, 24, 5, 5, 3
2021/8/14, 42, 14, 33, 4, 4, 3
2021/8/15, 25, 13, 31, 4, 5, 3
2021/8/16, 22, 18, 15, 5, 5, 2
2021/8/17, 28, 14, 12, 5, 6, 3
2021/8/18, 26, 15, 17, 5, 6, 3
2021/8/19, 17, 20, 22, 6, 6, 4
2021/8/20, 28, 17, 28, 5, 3, 3
2021/8/21, 29, 23, 24, 5, 3, 4
2021/8/22, 40, 21, 18, 4, 3, 4
2021/8/23, 35, 23, 22, 6, 3, 4
2021/8/24, 37, 22, 37, 6, 3, 4
2021/8/25, 44, 16, 30, 5, 3, 3
2021/8/26, 42, 19, 24, 6, 2, 3
2021/8/27, 44, 24, 28, 7, 2, 3
2021/8/28, 50, 25, 27, 6, 2, 3
2021/8/29, 57, 19, 21, 5, 2, 3
2021/8/30, 41, 23, 22, 6, 2, 3
2021/8/31, 29, 23, 29, 8, 2, 3
2021/9/1, 42, 33, 33, 8, 3, 4
2021/7/2, 38, 13, 17, 4, 3, 3
2021/7/3, 25, 17, 29, 5, 2, 3
2021/7/4, 34, 18, 32, 5, 3, 4
2021/7/5, 38, 25, 29, 6, 3, 3
2021/7/6, 48, 20, 22, 5, 2, 3
2021/7/7, 30, 18, 37, 5, 2, 2
2021/7/8, 27, 22, 29, 4, 3, 2
2021/7/9, 49, 13, 27, 4, 2, 2
2021/7/10, 30, 17, 29, 5, 3, 2
2021/7/11, 35, 16, 24, 5, 2, 2
2021/7/12, 28, 17, 25, 3, 2, 2
2021/7/13, 30, 20, 24, 4, 2, 3
2021/7/14, 36, 16, 31, 5, 3, 3
2021/7/15, 25, 19, 26, 5, 3, 3
2021/7/16, 36, 18, 29, 5, 3, 2
2021/7/17, 38, 25, 30, 8, 5, 4
2021/7/18, 53, 24, 34, 10, 3, 3
2021/7/19, 46, 18, 28, 5, 4, 2
2021/7/20, 38, 19, 26, 5, 3, 2
2021/7/21, 38, 19, 39, 6, 3, 3
2021/7/22, 50, 29, 46, 9, 3, 3
2021/7/23, 64, 28, 32, 11, 3, 3
2021/7/24, 55, 26, 24, 12, 3, 3
2021/7/25, 54, 17, 35, 6, 4, 2
2021/7/26, 37, 31, 43, 12, 3, 3
2021/7/27, 55, 35, 44, 11, 4, 3
2021/7/28, 69, 30, 41, 13, 4, 4
2021/7/29, 64, 32, 48, 10, 4, 4
2021/7/30, 63, 42, 58, 15, 5, 5
2021/7/31, 79, 41, 41, 13, 4, 4
2021/8/1, 74, 27, 67, 6, 5, 3
2021/6/2, 48, 20, 44, 5, 5, 5
2021/6/3, 39, 24, 50, 5, 5, 5
2021/6/4, 54, 26, 62, 7, 5, 5
2021/6/5, 55, 41, 67, 12, 6, 5
2021/6/6, 76, 26, 61, 4, 4, 5
2021/6/7, 57, 15, 36, 4, 3, 5
2021/6/8, 50, 23, 38, 4, 4, 5
2021/6/9, 60, 27, 39, 5, 3, 4
2021/6/10, 66, 18, 34, 7, 4, 4
2021/6/11, 42, 21, 23, 7, 4, 5
2021/6/12, 47, 15, 30, 8, 3, 3
2021/6/13, 35, 18, 34, 4, 4, 3
2021/6/14, 40, 21, 36, 5, 4, 3
2021/6/15, 50, 22, 30, 4, 4, 3
2021/6/16, 36, 25, 29, 4, 4, 3
2021/6/17, 29, 20, 29, 4, 5, 3
2021/6/18, 27, 20, 26, 4, 5, 3
2021/6/19, 31, 20, 28, 4, 5, 4
2021/6/20, 39, 20, 33, 4, 5, 3
2021/6/21, 32, 28, 42, 7, 6, 5
2021/6/22, 52, 26, 35, 10, 6, 5
2021/6/23, 64, 25, 23, 8, 8, 5
2021/6/24, 55, 25, 33, 6, 6, 5
2021/6/25, 58, 25, 33, 6, 5, 3
2021/6/26, 54, 22, 30, 5, 4, 3
2021/6/27, 41, 20, 30, 4, 5, 3
2021/6/28, 39, 23, 33, 8, 5, 4
2021/6/29, 49, 17, 27, 5, 4, 3
2021/6/30, 34, 19, 43, 5, 6, 3
2021/7/1, 40, 15, 26, 5, 3, 3
2021/5/2, 72, 23, 54, 5, 4, 4
2021/5/3, 68, 25, 60, 5, 4, 4
2021/5/4, 62, 29, 68, 7, 5, 4
2021/5/5, 69, 37, 56, 5, 5, 4
2021/5/6, 79, 21, 44, 6, 5, 3
2021/5/7, 53, 23, 41, 6, 5, 4
2021/5/8, 56, 28, 57, 11, 5, 4
2021/5/9, 64, 32, 49, 8, 5, 5
2021/5/10, 73, 30, 42, 5, 5, 4
2021/5/11, 70, 26, 52, 5, 5, 4
2021/5/12, 61, 25, 48, 6, 5, 4
2021/5/13, 60, 19, 44, 5, 5, 4
2021/5/14, 52, 21, 43, 4, 5, 4
2021/5/15, 55, 23, 43, 5, 5, 4
2021/5/16, 49, 25, 56, 6, 5, 4
2021/5/17, 62, 29, 58, 5, 5, 5
2021/5/18, 55, 41, 57, 6, 6, 6
2021/5/19, 78, 38, 44, 5, 6, 5
2021/5/20, 80, 34, 42, 6, 6, 7
2021/5/21, 69, 27, 41, 5, 5, 5
2021/5/22, 54, 25, 42, 5, 3, 3
2021/5/23, 52, 31, 55, 6, 4, 4
2021/5/24, 64, 16, 25, 4, 4, 4
2021/5/25, 48, 19, 38, 5, 4, 4
2021/5/26, 42, 18, 39, 6, 4, 4
2021/5/27, 45, 23, 30, 9, 5, 4
2021/5/28, 56, 22, 31, 9, 5, 4
2021/5/29, 49, 24, 42, 5, 4, 4
2021/5/30, 56, 34, 49, 8, 5, 5
2021/5/31, 70, 30, 43, 5, 5, 5
2021/6/1, 62, 25, 42, 6, 5, 5
2021/4/2, 147, 63, 58, 9, 8, 4
2021/4/3, 119, 67, 4, 38, 7, 9
2021/4/4, 155, 57, 50, 17, 7, 7
2021/4/5, 122, 42, 42, 12, 6, 6
2021/4/6, 108, 28, 37, 13, 1, 7
2021/4/7, 77, 32, 54, 6, 4, 6
2021/4/8, 86, 52, 62, 12, 4, 9
2021/4/9, 137, 43, 61, 7, 4, 6
2021/4/10, 98, 54, 61, 8, 5, 6
2021/4/11, 121, 55, 62, 6, 5, 6
2021/4/12, 118, 47, 62, 7, 5, 5
2021/4/13, 95, 49, 69, 10, 5, 4
2021/4/14, 109, 54, 69, 8, 6, 5
2021/4/15, 121, 57, 75, 9, 5, 5
2021/4/16, 135, 64, 73, 17, 7, 7
2021/4/17, 131, 21, 20, 7, 5, 6
2021/4/18, 56, 25, 54, 6, 5, 6
2021/4/19, 68, 43, 53, 7, 5, 5
2021/4/20, 99, 33, 55, 6, 5, 4
2021/4/21, 75, 38, 63, 9, 6, 4
2021/4/22, 76, 47, 63, 12, 5, 4
2021/4/23, 94, 46, 70, 7, 4, 4
2021/4/24, 94, 41, 60, 6, 4, 3
2021/4/25, 89, 53, 66, 17, 4, 5
2021/4/26, 112, 62, 69, 14, 4, 7
2021/4/27, 140, 48, 57, 7, 3, 7
