date, pm25, pm10, o3, no2, so2, co
2021/11/2, 81, 52, 32, 19, 6, 7
2021/11/3, 89, 58, 26, 28, 6, 11
2021/11/4, 95, 61, 21, 30, 7, 11
2021/11/5, 117, 125, 26, 25, 7, 10
2021/11/6, 126, 75, 29, 7, 3, 2
2021/11/7, 85, 68, 24, 19, 7, 7
2021/11/8, 89, 62, 27, 27, 7, 8
2021/11/9, 106, 61, 22, 36, 8, 10
2021/11/10, 107, 63, 31, 28, 9, 8
2021/11/11, 110, 56, 35, 27, 7, 6
2021/11/12, 76, , , , , 
2021/10/2, 97, 56, 34, 26, 7, 10
2021/10/3, 77, 57, 32, 16, 4, 7
2021/10/4, 88, 45, 28, 13, 5, 5
2021/10/5, 77, 45, 30, 12, 5, 6
2021/10/6, 90, 49, 26, 18, 4, 8
2021/10/7, 98, 59, 37, 25, 7, 10
2021/10/8, 108, 44, 34, 16, 3, 11
2021/10/9, 74, 76, 27, 9, 3, 3
2021/10/10, 105, 45, 31, 14, 2, 8
2021/10/11, 81, 38, 31, 16, 5, 9
2021/10/12, 72, 41, 18, 13, 3, 7
2021/10/13, 73, 92, 33, 20, 4, 4
2021/10/14, 114, 73, 32, 24, 4, 5
2021/10/15, 110, 56, 26, 22, 3, 6
2021/10/16, 102, 60, 24, 25, 3, 5
2021/10/17, 109, 61, 30, 26, 5, 8
2021/10/18, 93, 62, 37, 23, 5, 6
2021/10/19, 93, 64, 12, 29, 3, 7
2021/10/20, 106, 51, 34, 20, 5, 5
2021/10/21, 108, 56, 33, 23, 5, 5
2021/10/22, 101, 60, 32, 24, 4, 5
2021/10/23, 100, 51, 30, 17, 4, 5
2021/10/24, 103, 54, 27, 18, 6, 6
2021/10/25, 109, 47, 36, 16, 3, 4
2021/10/26, 90, 57, 32, 13, 5, 5
2021/10/27, 92, 60, 26, 22, 7, 8
2021/10/28, 121, 61, 32, 24, 5, 9
2021/10/29, 113, 64, 35, 30, 7, 9
2021/10/30, 113, 60, 27, 27, 6, 11
2021/10/31, 109, 55, 38, 23, 7, 6
2021/11/1, 89, 45, 19, 23, 4, 10
2021/9/2, 67, 38, 43, 15, 3, 5
2021/9/3, 56, 38, 37, 17, 6, 5
2021/9/4, 63, 58, 42, 22, 5, 5
2021/9/5, 80, 46, 35, 22, 5, 5
2021/9/6, 72, 39, 50, 23, 7, 6
2021/9/7, 69, 57, 55, 30, 7, 8
2021/9/8, 77, 61, 65, 29, 7, 9
2021/9/9, 83, 53, 71, 26, 5, 6
2021/9/10, 77, 61, 63, 31, 8, 7
2021/9/11, 73, 45, 55, 16, 3, 3
2021/9/12, 71, 39, 47, 11, 3, 3
2021/9/13, 61, 39, 38, 12, 2, 5
2021/9/14, 60, 32, 28, 16, 2, 5
2021/9/15, 54, 26, 28, 15, 2, 4
2021/9/16, 46, 34, 42, 21, 3, 4
2021/9/17, 59, 45, 43, 21, 4, 6
2021/9/18, 69, 33, 30, 18, 3, 4
2021/9/19, 62, 39, 35, 20, 3, 3
2021/9/20, 62, 65, 49, 28, 8, 10
2021/9/21, 85, 69, 47, 36, 10, 13
2021/9/22, 100, 45, 47, 21, 4, 4
2021/9/23, 74, 48, 47, 22, 7, 8
2021/9/24, 68, 43, 35, 17, 8, 4
2021/9/25, 71, 42, 32, 21, 4, 6
2021/9/26, 67, 58, 32, 22, 4, 4
2021/9/27, 75, 65, 28, 28, 7, 12
2021/9/28, 98, 69, 38, 33, 9, 14
2021/9/29, 94, 74, 36, 39, 8, 12
2021/9/30, 99, 70, 47, 32, 8, 13
2021/10/1, 95, 68, 44, 36, 9, 11
2021/8/2, 76, 68, 60, 19, 5, 5
2021/8/3, 82, 44, 39, 11, 1, 2
2021/8/4, 87, 42, 72, 23, 5, 7
2021/8/5, 61, 52, 87, 28, 5, 5
2021/8/6, 77, 53, 58, 25, 6, 6
2021/8/7, 74, 48, 77, 23, 8, 6
2021/8/8, 68, 71, 59, 11, 3, 3
2021/8/9, 102, 43, 70, 16, 8, 4
2021/8/10, 75, , , , , 
2021/8/21, 63, 37, 37, 19, 3, 4
2021/8/22, 60, 46, 59, 24, 3, 5
2021/8/23, 68, 60, 42, 20, 5, 4
2021/8/24, 83, 51, 55, 20, 5, 4
2021/8/25, 75, 64, 29, 22, 9, 7
2021/8/26, 84, 56, 58, 26, 6, 6
2021/8/27, 75, 53, 48, 23, 4, 4
2021/8/28, 64, 44, 58, 15, 5, 4
2021/8/29, 72, 51, 55, 22, 6, 5
2021/8/30, 70, 34, 37, 14, 2, 5
2021/8/31, 58, 46, 57, 23, 3, 5
2021/9/1, 71, 47, 60, 21, 6, 6
2021/7/2, 75, 31, 65, 16, 3, 3
2021/7/3, 67, 56, 55, 29, 7, 8
2021/7/4, 69, 51, 69, 24, 4, 4
2021/7/5, 70, 66, 56, 26, 6, 8
2021/7/6, 84, 37, 60, 18, 5, 3
