date, pm25, pm10, o3, no2, so2, co
2021/11/2, 42, 23, 36, 8, 1, 4
2021/11/3, 38, 25, 45, 10, 1, 4
2021/11/4, 43, 19, 41, 6, 1, 4
2021/11/5, 41, 29, 35, 12, 2, 5
2021/11/6, 50, 24, 35, 10, 2, 5
2021/11/7, 41, 29, 32, 14, 4, 6
2021/11/8, 54, 38, 35, 14, 3, 7
2021/11/9, 57, 27, 35, 11, 3, 5
2021/11/10, 48, 31, 33, 13, 3, 6
2021/11/11, 57, 41, 36, 17, 4, 9
2021/11/12, 68, , , , , 
2021/10/2, 39, 24, 32, 10, 3, 3
2021/10/3, 38, 13, 28, 5, 3, 3
2021/10/4, 21, 16, 37, 8, 2, 3
2021/10/5, 25, 18, 39, 8, 2, 3
2021/10/6, 29, 26, 38, 11, 2, 4
2021/10/7, 41, 28, 40, 12, 2, 4
2021/10/8, 43, 26, 33, 11, 3, 4
2021/10/9, 40, 22, 34, 9, 3, 3
2021/10/10, 34, 21, 43, 10, 2, 3
2021/10/11, 32, 25, 39, 13, 2, 3
2021/10/12, 39, 28, 44, 17, 2, 4
2021/10/13, 44, 30, 46, 15, 2, 3
2021/10/14, 50, 29, 47, 15, 2, 4
2021/10/15, 47, 28, 43, 14, 2, 4
2021/10/16, 45, 27, 41, 13, 3, 3
2021/10/17, 42, 28, 35, 13, 3, 3
2021/10/18, 45, 25, 26, 8, 3, 4
2021/10/19, 35, 16, 21, 5, 2, 3
2021/10/20, 24, 14, 22, 5, 2, 2
2021/10/21, 35, 14, 38, 5, 3, 2
2021/10/22, 24, 12, 37, 6, 3, 2
2021/10/23, 22, 17, 49, 11, 3, 3
2021/10/24, 34, 24, 44, 12, 3, 4
2021/10/25, 39, 15, 42, 8, 2, 4
2021/10/26, 25, 16, 38, 7, 2, 3
2021/10/27, 27, 26, 37, 8, 2, 4
2021/10/28, 49, 15, 38, 5, 2, 3
2021/10/29, 23, 24, 35, 10, 3, 4
2021/10/30, 34, 27, 39, 13, 3, 4
2021/10/31, 45, 29, 37, 13, 3, 4
2021/11/1, 47, 27, 37, 14, 1, 5
2021/9/2, 33, 14, 34, 7, 3, 3
2021/9/3, 27, 13, 30, 7, 3, 2
2021/9/4, 24, 23, 35, 9, 3, 3
2021/9/5, 37, 20, 29, 8, 3, 2
2021/9/6, 33, 13, 37, 5, 3, 2
2021/9/7, 28, 17, 48, 7, 3, 2
2021/9/8, 33, 29, 41, 8, 4, 2
2021/9/9, 43, 13, 46, 5, 3, 2
2021/9/10, 23, 12, 37, 5, 3, 2
2021/9/11, 23, 15, 34, 8, 3, 2
2021/9/12, 27, 24, 31, 10, 3, 2
2021/9/13, 39, 13, 27, 5, 3, 3
2021/9/14, 24, 12, 31, 5, 3, 2
2021/9/15, 21, 11, 28, 4, 2, 1
2021/9/16, 23, 13, 27, 6, 3, 1
2021/9/17, 21, 18, 34, 5, 3, 1
2021/9/18, 25, 15, 44, 7, 4, 2
2021/9/19, 33, 19, 46, 8, 4, 2
2021/9/20, 36, 21, 49, 9, 4, 2
2021/9/21, 41, 19, 44, 8, 4, 2
2021/9/22, 40, 20, 37, 8, 4, 3
2021/9/23, 36, 17, 35, 7, 4, 2
2021/9/24, 29, 19, 34, 8, 3, 2
2021/9/25, 29, 19, 39, 5, 4, 2
2021/9/26, 27, 10, 38, 4, 3, 3
2021/9/27, 21, 15, 41, 7, 3, 3
2021/9/28, 26, 25, 46, 10, 3, 4
2021/9/29, 42, 26, 42, 10, 2, 3
2021/9/30, 44, 25, 42, 12, 3, 3
2021/10/1, 39, 24, 47, 11, 3, 3
2021/8/2, 35, 20, 40, 8, 3, 2
2021/8/3, 34, 20, 37, 6, 3, 4
2021/8/4, 27, 13, 34, 4, 3, 3
2021/8/5, 26, 18, 40, 7, 3, 3
2021/8/6, 34, 16, 41, 6, 3, 3
2021/8/7, 33, 21, 41, 6, 3, 3
2021/8/8, 36, 19, 29, 6, 3, 3
2021/8/9, 32, 13, 30, 6, 3, 3
2021/8/10, 22, , , , , 
2021/8/21, 21, 9, 27, 4, 3, 2
2021/8/22, 23, 11, 29, 7, 3, 2
2021/8/23, 29, 12, 36, 6, 3, 2
2021/8/24, 27, 14, 33, 6, 3, 3
2021/8/25, 33, 20, 28, 10, 4, 2
2021/8/26, 42, 14, 42, 7, 2, 2
2021/8/27, 30, 22, 31, 9, 3, 3
2021/8/28, 36, 10, 43, 6, 3, 2
2021/8/29, 25, 9, 41, 4, 3, 2
2021/8/30, 20, 9, 35, 4, 3, 2
2021/8/31, 20, 13, 32, 5, 3, 4
2021/9/1, 24, 14, 37, 5, 3, 3
2021/7/2, 40, 13, 63, 6, 3, 4
2021/7/3, 29, 13, 47, 6, 3, 3
2021/7/4, 30, 19, 48, 5, 3, 3
2021/7/5, 33, 10, 44, 5, 3, 2
2021/7/6, 23, 16, 54, 7, 3, 2
2021/7/7, 36, 19, 54, 8, 4, 2
2021/7/8, 38, 15, 36, 5, 3, 2
2021/7/9, 29, 17, 33, 5, 3, 2
2021/7/10, 44, 10, 47, 5, 3, 2
2021/7/11, 25, 17, 78, 7, 3, 3
2021/7/12, 41, 26, 59, 11, 3, 2
2021/7/13, 58, 15, 49, 6, 3, 1
2021/7/14, 29, 14, 42, 5, 3, 3
2021/7/15, 32, 10, 50, 5, 3, 3
2021/7/16, 28, 10, 57, 5, 3, 4
2021/7/17, 23, 14, 44, 5, 4, 2
2021/7/18, 27, 11, 45, 4, 5, 3
2021/7/19, 23, 13, 36, 5, 4, 3
2021/7/20, 30, 13, 27, 5, 4, 3
2021/7/21, 27, 12, 38, 6, 4, 2
2021/7/22, 32, 10, 36, 4, 2, 1
2021/7/23, 25, 15, 40, 4, 2, 3
2021/7/24, 31, 15, 40, 4, 3, 2
2021/7/25, 34, 21, 42, 8, 3, 3
2021/7/26, 35, 11, 46, 9, 3, 3
2021/7/27, 26, 15, 42, 6, 3, 3
2021/7/28, 30, 18, 45, 4, 3, 2
2021/7/29, 31, 14, 54, 5, 3, 2
2021/7/30, 23, 19, 51, 8, 3, 3
2021/7/31, 34, 25, 62, 5, 2, 2
2021/8/1, 33, 21, 46, 6, 3, 3
2021/6/2, 41, 17, 56, 4, 3, 4
2021/6/3, 40, 23, 59, 7, 3, 3
2021/6/4, 38, 29, 51, 4, 3, 2
2021/6/5, 46, 26, 47, 4, 4, 2
2021/6/6, 43, 16, 45, 5, 4, 2
2021/6/7, 36, 12, 48, 5, 4, 3
2021/6/8, 39, 14, 55, 6, 3, 3
2021/6/9, 27, 24, 46, 7, 3, 3
2021/6/10, 47, 32, 60, 8, 4, 3
2021/6/11, 62, 27, 50, 6, 3, 5
2021/6/12, 53, 22, 41, 6, 3, 2
2021/6/13, 45, 26, 30, 7, 3, 4
2021/6/14, 53, 17, 68, 4, 3, 2
2021/6/15, 31, 13, 61, 4, 3, 2
2021/6/16, 25, 18, 41, 5, 3, 2
2021/6/17, 38, 27, 34, 7, 4, 3
2021/6/18, 51, 28, 35, 5, 4, 2
2021/6/19, 51, 16, 33, 4, 4, 2
2021/6/20, 28, 16, 32, 3, 4, 1
2021/6/21, 26, 15, 36, 4, 4, 2
2021/6/22, 28, 18, 45, 5, 4, 2
2021/6/23, 45, 23, 40, 6, 3, 2
2021/6/24, 40, 19, 39, 5, 3, 3
2021/6/25, 39, 19, 41, 3, 2, 1
2021/6/26, 34, 16, 36, 3, 3, 2
2021/6/27, 37, 15, 42, 4, 2, 2
2021/6/28, 30, 26, 48, 4, 4, 2
2021/6/29, 47, 14, 58, 5, 2, 1
2021/6/30, 34, 23, 52, 5, 2, 2
2021/7/1, 57, 18, 49, 4, 3, 3
2021/5/2, 55, 17, 57, 6, 2, 5
2021/5/3, 45, 20, 55, 6, 2, 4
2021/5/4, 40, 17, 48, 5, 2, 4
2021/5/5, 50, 24, 53, 6, 2, 5
2021/5/6, 43, 23, 61, 6, 2, 5
2021/5/7, 34, 21, 56, 6, 2, 5
2021/5/8, 28, 26, 50, 6, 2, 5
2021/5/9, 35, 18, 54, 5, 2, 5
2021/5/10, 31, 17, 58, 6, 2, 5
2021/5/11, 28, 16, 60, 7, 2, 5
2021/5/12, 32, 12, 53, 6, 2, 5
2021/5/13, 37, 24, 60, 8, 2, 4
2021/5/14, 70, 29, 64, 6, 2, 4
2021/5/15, 47, 30, 62, 6, 2, 4
2021/5/16, 61, 30, 72, 8, 3, 4
2021/5/17, 55, 35, 51, 9, 3, 4
2021/5/18, 57, 45, 38, 10, 3, 4
2021/5/19, 72, 17, 37, 4, 3, 3
2021/5/20, 37, 24, 33, 6, 3, 5
2021/5/21, 42, 27, 36, 5, 3, 4
2021/5/22, 38, 26, 43, 6, 3, 5
2021/5/23, 47, 31, 43, 7, 3, 4
2021/5/24, 55, 34, 42, 4, 3, 4
2021/5/25, 50, 24, 41, 4, 3, 3
