date, pm25, pm10, o3, no2, so2, co
2021/11/2, 45, 21, 18, 15, 6, 10
2021/11/3, 51, 37, 11, 14, 5, 9
2021/11/4, 84, 42, 15, 17, 3, 9
2021/11/5, 85, 25, 22, 8, 3, 6
2021/11/6, 51, 28, 22, 8, 3, 6
2021/11/7, 58, 30, 30, 9, 3, 7
2021/11/8, 73, 24, 25, 7, 4, 4
2021/11/9, 44, 29, 32, 11, 7, 3
2021/11/10, 54, 28, 33, 13, 7, 4
2021/11/11, 64, 53, 46, 20, 8, 5
2021/11/12, 104, , , , , 
2021/10/2, 119, 39, 50, 8, 4, 6
2021/10/3, 86, 33, 34, 5, 4, 7
2021/10/4, 86, 35, 37, 10, 5, 7
2021/10/5, 79, 41, 57, 10, 5, 7
2021/10/6, 83, 52, 59, 17, 5, 7
2021/10/7, 107, 50, 53, 14, 9, 6
2021/10/8, 104, 38, 37, 8, 6, 5
2021/10/9, 89, 17, 27, 8, 4, 5
2021/10/10, 59, 12, 20, 6, 4, 6
2021/10/11, 34, 20, 27, 8, 4, 7
2021/10/12, 52, 18, 29, 8, 5, 4
2021/10/13, 48, 23, 26, 10, 5, 4
2021/10/14, 59, 25, 24, 15, 4, 6
2021/10/15, 62, 28, 26, 16, 3, 6
2021/10/16, 73, 8, 24, 8, 3, 6
2021/10/17, 34, 15, 23, 10, 6, 6
2021/10/18, 29, 30, 22, 12, 6, 6
2021/10/19, 69, 51, 23, 18, 6, 8
2021/10/20, 109, 45, 26, 17, 4, 8
2021/10/21, 98, 12, 23, 7, 4, 5
2021/10/22, 32, 16, 25, 11, 5, 4
2021/10/23, 48, 28, 33, 12, 7, 4
2021/10/24, 78, 45, 39, 20, 9, 5
2021/10/25, 86, 54, 55, 23, 8, 7
2021/10/26, 108, 57, 60, 24, 10, 7
2021/10/27, 126, 62, 53, 25, 9, 8
2021/10/28, 136, 59, 36, 15, 8, 8
2021/10/29, 144, 57, 31, 15, 8, 9
2021/10/30, 140, 13, 20, 12, 5, 9
2021/10/31, 54, 15, 13, 15, 6, 9
2021/11/1, 53, 18, 12, 14, 4, 10
2021/9/2, 60, 24, 31, 8, 3, 4
2021/9/3, 63, 23, 34, 7, 3, 4
2021/9/4, 53, 23, 33, 6, 3, 4
2021/9/5, 105, 23, 34, 6, 3, 4
2021/9/6, 56, 28, 45, 12, 4, 4
2021/9/7, 60, 35, 28, 16, 5, 6
2021/9/8, 68, 28, 36, 10, 4, 6
2021/9/9, 66, 35, 51, 15, 4, 6
2021/9/10, 73, 44, 57, 17, 4, 7
2021/9/11, 90, 49, 72, 17, 5, 7
