date, pm25, pm10, o3, no2, so2, co
2021/11/2, 144, 70, 30, 22, 3, 8
2021/11/3, 116, 80, 20, 33, 3, 8
2021/11/4, 139, 101, 33, 27, 5, 10
2021/11/5, 163, 107, 32, 25, 3, 10
2021/11/6, 166, 131, 17, 8, 3, 3
2021/11/7, 98, 46, 28, 9, 3, 3
2021/11/8, 44, 62, 17, 27, 3, 6
2021/11/9, 85, 61, 25, 24, 4, 7
2021/11/10, 108, 58, 26, 23, 4, 6
2021/11/11, 101, 67, 25, 23, 4, 6
2021/11/12, 113, , , , , 
2021/10/2, 99, 60, 52, 18, 3, 7
2021/10/3, 96, 70, 34, 22, 2, 9
2021/10/4, 140, 17, 22, 6, 1, 3
2021/10/5, 44, 12, 14, 7, 2, 4
2021/10/6, 34, 7, 10, 12, 2, 6
2021/10/7, 20, 26, 23, 12, 1, 8
2021/10/8, 65, 31, 22, 12, 2, 8
2021/10/9, 76, 31, 18, 11, 2, 6
2021/10/10, 68, 25, 19, 7, 1, 3
2021/10/11, 49, 25, 14, 14, 2, 4
2021/10/12, 51, 33, 20, 13, 2, 5
2021/10/13, 71, 47, 25, 13, 2, 6
2021/10/14, 88, 41, 15, 15, 2, 6
2021/10/15, 72, 48, 20, 15, 2, 4
2021/10/16, 76, 46, 27, 18, 2, 4
2021/10/17, 61, 53, 18, 18, 2, 5
2021/10/18, 76, 63, 27, 19, 2, 8
2021/10/19, 106, 66, 15, 20, 3, 9
2021/10/20, 122, 29, 15, 13, 2, 7
2021/10/21, 69, 40, 27, 17, 3, 8
2021/10/22, 61, 51, 25, 23, 3, 6
2021/10/23, 77, 66, 26, 23, 3, 7
2021/10/24, 129, 72, 34, 27, 3, 8
2021/10/25, 138, 84, 15, 29, 3, 9
2021/10/26, 153, 43, 24, 13, 3, 5
2021/10/27, 94, 47, 9, 22, 3, 5
2021/10/28, 86, 59, 26, 22, 3, 7
2021/10/29, 108, 66, 22, 24, 3, 8
2021/10/30, 108, 77, 22, 34, 3, 8
2021/10/31, 139, 63, 23, 27, 2, 6
2021/11/1, 100, 80, 23, 22, 3, 8
2021/9/2, 73, 32, 41, 11, 2, 7
2021/9/3, 81, 51, 23, 14, 2, 8
2021/9/4, 118, 26, 33, 12, 1, 7
2021/9/5, 73, 32, 31, 14, 1, 6
2021/9/6, 107, 28, 27, 11, 1, 6
2021/9/7, 50, 34, 55, 16, 2, 5
2021/9/8, 53, 45, 68, 22, 2, 6
2021/9/9, 73, 55, 62, 24, 2, 7
2021/9/10, 83, 57, 90, 25, 1, 7
2021/9/11, 87, 59, 69, 20, 1, 7
2021/9/12, 101, 43, 56, 11, 2, 5
2021/9/13, 66, 45, 63, 9, 2, 5
2021/9/14, 70, 41, 60, 5, 2, 5
2021/9/15, 62, 51, 63, 8, 2, 5
2021/9/16, 97, 15, 22, 6, 2, 4
2021/9/17, 46, 13, 21, 11, 2, 4
2021/9/18, 31, 8, 24, 10, 2, 7
2021/9/19, 27, 12, 36, 7, 1, 6
2021/9/20, 27, 30, 43, 7, 1, 4
2021/9/21, 45, 45, 55, 21, 1, 6
2021/9/22, 60, 57, 61, 19, 3, 9
2021/9/23, 105, 33, 26, 12, 2, 8
2021/9/24, 80, 35, 15, 12, 1, 11
2021/9/25, 76, 15, 22, 10, 2, 9
2021/9/26, 42, 9, 24, 10, 2, 6
2021/9/27, 29, 11, 22, 15, 2, 7
2021/9/28, 38, 13, 28, 12, 2, 7
2021/9/29, 30, 27, 46, 15, 2, 7
2021/9/30, 54, 48, 50, 23, 2, 8
2021/10/1, 91, 58, 83, 24, 1, 8
2021/8/2, 90, 61, 82, 13, 1, 5
2021/8/3, 106, 57, 111, 9, 1, 4
2021/8/4, 93, 39, 88, 9, 1, 4
2021/8/5, 69, 48, 74, 13, 1, 4
2021/8/6, 74, 49, 90, 15, 1, 3
2021/8/7, 72, 29, 59, 7, 1, 2
2021/8/8, 46, 30, 27, 13, 1, 3
2021/8/9, 58, 30, 71, 7, 1, 4
2021/8/10, 63, 48, 58, 15, , 4
2021/8/11, 84, 50, 72, 17, 2, 4
2021/8/12, 91, 50, 38, 14, 2, 4
2021/8/13, 116, 25, 39, 7, 2, 4
2021/8/14, 67, 40, 60, 15, 2, 5
2021/8/15, 76, 33, 45, 6, 2, 5
2021/8/16, 82, 32, 32, 8, 2, 5
2021/8/17, 71, 24, 34, 9, 2, 4
2021/8/18, 48, 27, 38, 9, 2, 4
2021/8/19, 54, 34, 53, 9, 2, 4
2021/8/20, 54, 27, 72, 8, 1, 3
2021/8/21, 37, 52, 59, 16, 2, 4
2021/8/22, 85, 22, 27, 7, 1, 3
2021/8/23, 47, 31, 47, 12, , 3
2021/8/24, 56, 60, 41, 14, 2, 3
2021/8/25, 66, 72, 30, 23, 2, 4
2021/8/26, 77, 43, 33, 13, 2, 4
2021/8/27, 56, 50, 58, 18, 3, 2
2021/8/28, 73, 38, 38, 12, 2, 5
2021/8/29, 58, 35, 28, 10, 2, 4
2021/8/30, 81, 25, 21, 12, 2, 6
2021/8/31, 51, 9, 18, 10, 1, 8
2021/9/1, 31, 26, 31, 9, 1, 7
2021/7/2, 56, 34, 31, 13, 1, 4
2021/7/3, 68, 33, 72, 16, 1, 3
2021/7/4, 61, 50, 72, 19, 2, 3
2021/7/5, 86, 42, 78, 14, 2, 3
2021/7/6, 73, 61, 108, 21, 2, 4
2021/7/7, 96, 50, 119, 14, 1, 3
2021/7/8, 71, 62, 114, 20, 2, 4
2021/7/9, 96, 61, 116, 18, 1, 5
