date, pm25, pm10, o3, no2, so2, co
2020/10/2, 68, 49, 35, 6, 4, 4
2020/10/3, 79, 39, 37, 8, 4, 3
2020/10/4, 68, 42, 30, 10, 6, 4
2020/10/5, 71, 53, 40, 10, 7, 6
2020/10/6, 92, 42, 33, 14, 5, 6
2020/10/7, 83, 58, 39, 18, 5, 11
2020/10/8, 123, 50, 33, 18, 6, 7
2020/10/9, 99, 55, 38, 16, 5, 6
2020/10/10, 90, 57, 43, 19, 5, 7
2020/10/11, 110, 83, 40, 9, 4, 3
2020/10/12, 110, 58, 33, 11, 6, 5
2020/10/13, 97, 52, 31, 10, 5, 4
2020/10/14, 86, 40, 34, 14, 5, 6
2020/10/15, 83, 56, 38, 19, 5, 12
2020/10/16, 101, 50, 37, 14, 5, 6
2020/10/17, 82, 62, 36, 23, 8, 14
2020/10/18, 117, 47, 40, 13, 5, 5
2020/10/19, 82, 60, 34, 26, 7, 16
2020/10/20, 130, 61, 31, 30, 7, 15
2020/10/21, 125, 68, 29, 30, 10, 19
2020/10/22, 124, 73, 31, 35, 11, 24
2020/10/23, 135, 80, 36, 38, 11, 27
2020/10/24, 147, 66, 43, 33, 12, 15
2020/10/25, 142, 60, 36, 22, 11, 9
2020/10/26, 128, 58, 30, 21, 7, 12
2020/10/27, 104, 39, 26, 18, 6, 8
2020/10/28, 86, 44, 28, 20, 5, 12
2020/10/29, 100, 66, 26, 27, 13, 25
2020/10/30, 120, 78, 32, 30, 7, 18
2020/10/31, 153, 73, 35, 14, 6, 7
2020/11/1, 114, 65, 35, 12, 7, 7
2020/11/2, 105, 61, 28, 20, 8, 14
2020/11/3, 107, 78, 30, 27, 11, 19
2020/11/4, 144, 74, 28, 27, 12, 15
2020/11/5, 149, 61, 31, 20, 10, 11
2020/11/6, 128, 87, 30, 18, 6, 11
2020/11/7, 123, 78, 27, 23, 11, 13
2020/11/8, 123, 88, 21, 32, 15, 21
2020/11/9, 151, 78, 21, 32, 13, 28
2020/11/10, 148, 80, 23, 35, 14, 27
2020/11/11, 143, 78, 32, 34, 15, 22
2020/11/12, 146, 80, 29, 39, 13, 24
2020/11/13, 154, 95, 24, 45, 15, 34
2020/11/14, 169, 89, 23, 43, 17, 27
2020/11/15, 157, 100, 29, 46, 17, 26
2020/11/16, 173, 103, 21, 42, 21, 34
2020/11/17, 175, 71, 27, 19, 5, 6
2020/11/18, 151, 79, 24, 24, 7, 17
2020/11/19, 146, 98, 25, 28, 10, 21
2020/11/20, 170, 90, 21, 33, 10, 23
2020/11/21, 167, 36, 23, 10, 4, 7
2020/11/22, 92, 45, 20, 16, 9, 12
2020/11/23, 113, 77, 25, 26, 14, 22
2020/11/24, 159, 85, 25, 28, 15, 29
2020/11/25, 173, 59, 20, 22, 7, 11
2020/11/26, 152, 75, 23, 27, 11, 20
2020/11/27, 166, 75, 20, 26, 9, 12
2020/11/28, 166, 73, 23, 27, 13, 20
2020/11/29, 153, 59, 26, 21, 10, 15
2020/11/30, 129, 66, 24, 26, 15, 18
2020/12/1, 145, 62, 24, 22, 12, 11
2020/12/2, 152, 56, 28, 12, 6, 8
2020/12/3, 137, 53, 25, 13, 9, 10
2020/12/4, 129, 61, 22, 19, 9, 15
2020/12/5, 147, 73, 23, 22, 12, 19
2020/12/6, 159, 65, 25, 19, 7, 19
2020/12/7, 145, 65, 25, 17, 8, 16
2020/12/8, 150, 91, 26, 29, 17, 27
2020/12/9, 179, 60, 25, 16, 8, 10
2020/12/10, 145, 56, 22, 18, 6, 11
2020/12/11, 137, 64, 26, 19, 8, 10
2020/12/12, 152, 59, 32, 14, 9, 11
2020/12/13, 124, 40, 27, 12, 5, 8
2020/12/14, 92, 53, 21, 17, 7, 14
2020/12/15, 121, 45, 26, 15, 7, 12
2020/12/16, 105, 53, 20, 19, 9, 10
2020/12/17, 121, 56, 19, 15, 8, 8
2020/12/18, 131, 46, 17, 16, 5, 9
2020/12/19, 124, 70, 19, 19, 10, 17
2020/12/20, 160, 64, 20, 19, 12, 13
2020/12/21, 137, 45, 15, 20, 15, 11
2020/12/22, 90, 53, 19, 23, 16, 19
2020/12/23, 126, 65, 22, 17, 12, 13
2020/12/24, 139, 52, 17, 19, 12, 19
2020/12/25, 123, 57, 12, 24, 16, 26
2020/12/26, 143, 56, 13, 25, 15, 19
2020/12/27, 146, 47, 15, 28, 16, 28
2020/12/28, 117, 47, 21, 16, 10, 15
2020/12/29, 119, 36, 22, 11, 7, 13
2020/12/30, 93, 43, 15, 17, 8, 18
2020/12/31, 108, 61, 15, 24, 14, 22
2021/1/1, 154, 66, 15, 16, 16, 21
2021/1/2, 157, , , , , 
2020/7/2, 89, 62, 68, 21, 7, 13
2020/7/3, 100, 40, 46, 14, 7, 6
2020/7/4, 81, 41, 71, 16, 5, 9
2020/7/5, 84, 54, 69, 17, 9, 9
2020/7/6, 91, 43, 72, 17, 9, 7
2020/7/7, 80, 46, 98, 21, 9, 7
2020/7/8, 100, 42, 63, 23, 6, 8
2020/7/9, 80, 32, 35, 17, 4, 9
2020/7/10, 72, 36, 68, 19, 6, 10
2020/7/11, 79, 27, 49, 14, 6, 5
2020/7/12, 62, 31, 68, 13, 3, 7
2020/7/13, 73, 37, 38, 20, 6, 8
2020/7/14, 83, 28, 65, 13, 5, 7
2020/7/15, 69, 34, 52, 13, 9, 6
2020/7/16, 75, 26, 40, 12, 12, 7
2020/7/17, 69, 34, 57, 14, 4, 7
2020/7/18, 75, 16, 46, 9, 3, 4
2020/7/19, 40, 31, 59, 13, 5, 10
2020/7/20, 64, 41, 57, 18, 11, 19
2020/7/21, 77, 50, 54, 19, 15, 13
2020/7/22, 83, 43, 60, 19, 8, 11
2020/7/23, 80, 38, 39, 13, 4, 7
2020/7/24, 89, 32, 36, 13, 3, 5
2020/7/25, 72, 28, 49, 9, 3, 4
2020/7/26, 55, 50, 63, 13, 5, 14
2020/7/27, 78, 49, 55, 17, 10, 14
2020/7/28, 79, 43, 63, 13, 11, 8
2020/7/29, 77, 45, 62, 13, 15, 8
2020/7/30, 69, 40, 61, 12, 6, 8
2020/7/31, 86, 54, 54, 21, 18, 19
2020/8/1, 91, 41, 80, 14, 9, 12
2020/8/2, 75, 46, 57, 16, 8, 10
2020/8/3, 78, 53, 43, 22, 7, 8
2020/8/4, 91, 37, 50, 17, 4, 7
2020/8/5, 73, 30, 47, 13, 7, 7
2020/8/6, 69, 28, 42, 13, 5, 8
2020/8/7, 61, 31, 38, 15, 6, 8
2020/8/8, 66, 37, 57, 14, 6, 9
2020/8/9, 65, 42, 53, 19, 7, 13
2020/8/10, 71, 56, 20, 25, 10, 21
2020/8/11, 90, 45, 47, 17, 6, 14
2020/8/12, 87, 51, 50, 12, 3, 6
2020/8/13, 87, 47, 59, 15, 9, 8
2020/8/14, 81, 30, 38, 10, 3, 7
2020/8/15, 62, 37, 41, 14, 5, 11
2020/8/16, 68, 43, 39, 10, 6, 5
