date, pm25, pm10, o3, no2, so2, co
2021/11/2, 167, 82, 24, 28, 4, 
2021/11/3, 166, 102, 18, 27, 3, 
2021/11/4, 184, 92, 26, 28, 2, 
2021/11/5, 174, 99, 26, 26, 8, 
2021/11/6, 194, 121, 20, 26, 12, 
2021/11/7, 231, 39, 66, 10, 3, 
2021/11/8, 63, 53, 128, 10, 5, 
2021/11/9, 56, 35, 32, 15, 3, 
2021/11/10, 101, 40, 34, 15, 3, 
2021/11/11, 146, 42, 30, 21, 3, 
2021/11/12, 62, 55, 25, 25, 4, 
2021/11/13, 85, 77, 20, 29, 4, 
2021/11/14, 130, 84, 13, 33, 5, 
2021/11/15, 143, 74, 14, 27, 6, 
2021/11/16, 126, 76, 24, 25, 4, 
2021/11/17, 143, 104, 13, 31, 6, 
2021/11/18, 178, 120, 11, 40, 7, 
2021/11/19, 213, 71, 17, 27, 3, 
2021/11/20, 133, 48, 6, 23, 4, 
2021/11/21, 71, , , , , 
2021/10/2, 119, 75, 27, 24, 4, 
2021/10/3, 138, 78, 19, 23, 5, 
2021/10/4, 154, 26, 26, 9, 3, 
2021/10/5, 64, 21, 25, 9, 9, 
2021/10/6, 57, 66, 79, 7, 4, 
2021/10/7, 63, 33, 175, 16, 4, 
2021/10/8, 65, 50, 51, 22, 3, 
2021/10/9, 85, 47, 33, 14, 2, 
2021/10/10, 116, 43, 30, 16, 3, 
2021/10/11, 85, 54, 34, 21, 4, 
2021/10/12, 82, 70, 38, 27, 5, 
2021/10/13, 105, 84, 52, 36, 5, 
2021/10/14, 122, 94, 23, 38, 6, 
2021/10/15, 162, 58, 30, 19, 2, 
2021/10/16, 106, 38, 36, 13, 4, 
2021/10/17, 66, 64, 28, 22, 5, 
2021/10/18, 94, 84, 16, 31, 4, 
2021/10/19, 143, 48, 27, 19, 2, 
2021/10/20, 79, 74, 37, 27, 4, 
2021/10/21, 123, 68, 30, 22, 4, 
2021/10/22, 119, 55, 31, 22, 3, 
2021/10/23, 89, 75, 36, 28, 6, 
2021/10/24, 137, 105, 33, 37, 6, 
2021/10/25, 171, 129, 31, 40, 6, 
2021/10/26, 190, 119, 40, 36, 4, 
2021/10/27, 181, 76, 31, 28, 3, 
2021/10/28, 119, 88, 16, 36, 6, 
2021/10/29, 147, 93, 9, 40, 4, 
2021/10/30, 157, 122, 30, 44, 6, 
2021/10/31, 189, 94, 32, 26, 10, 
2021/11/1, 157, 84, 27, 27, 4, 
2021/9/2, 79, 32, 63, 10, 2, 
2021/9/3, 56, 63, 65, 13, 4, 
2021/9/4, 124, 35, 60, 8, 5, 
2021/9/5, 83, 35, 44, 9, 6, 
2021/9/6, 88, 26, 40, 8, 3, 
2021/9/7, 61, 20, 18, 8, 1, 
2021/9/8, 35, 1, , , , 
2021/9/9, 1, 45, 78, 6, 14, 
