date, pm25, pm10, o3, no2, so2, co
2021/11/2, 125, 66, , 27, 4, 8
2021/11/3, 131, 60, , 27, 3, 7
2021/11/4, 104, 63, , 27, 3, 6
2021/11/5, 107, 46, , 20, 2, 6
2021/11/6, 67, 26, , 21, 2, 5
2021/11/7, 47, 33, , 18, 3, 6
2021/11/8, 50, 27, , 10, 2, 3
2021/11/9, 52, 45, , 19, 4, 4
2021/11/10, 69, 46, , 18, 3, 4
2021/11/11, 68, 52, , 25, 4, 5
2021/11/12, 80, 50, , 28, 5, 5
2021/11/13, 84, 66, , 35, 6, 7
2021/11/14, 120, 67, , 35, 5, 8
2021/11/15, 117, 79, , 40, 4, 8
2021/11/16, 141, 82, , 49, 4, 8
2021/11/17, 142, 86, , 39, 4, 9
2021/11/18, 143, 81, , 29, 3, 7
2021/11/19, 135, 58, , 31, 3, 7
2021/11/20, 108, 82, , 30, 3, 10
2021/11/21, 142, , , , , 
2021/10/2, 72, 49, , 16, 4, 6
2021/10/3, 92, 40, , 8, 4, 2
2021/10/4, 61, 37, , 10, 3, 3
2021/10/5, 51, 45, , 12, 3, 2
2021/10/6, 57, 40, , 13, 3, 3
2021/10/7, 51, 47, , 16, 3, 5
2021/10/8, 70, 43, , 16, 3, 6
2021/10/9, 77, 25, , 18, 4, 5
2021/10/10, 47, 43, , 16, 4, 6
2021/10/11, 58, 20, , 8, 3, 2
2021/10/12, 21, 28, , 9, 4, 
2021/10/13, 25, 28, , 11, 3, 2
2021/10/14, 41, 32, , 21, 3, 6
2021/10/15, 55, 16, , 15, 3, 4
2021/10/16, 33, 15, , 10, 3, 2
2021/10/17, 30, 22, , 11, 3, 1
2021/10/18, 23, 38, , 22, 7, 3
2021/10/19, 47, 55, , 24, 5, 5
2021/10/20, 83, 28, , 17, 4, 2
2021/10/21, 42, 45, , 18, 4, 4
2021/10/22, 81, 77, , 26, 5, 6
2021/10/23, 155, 61, , 37, 6, 7
2021/10/24, 128, 40, , 25, 5, 5
2021/10/25, 66, 51, , 28, 5, 5
2021/10/26, 79, 54, , 32, 5, 6
2021/10/27, 86, 72, , 36, 6, 6
2021/10/28, 127, 48, , 26, 6, 5
2021/10/29, 76, 57, , 32, 6, 6
2021/10/30, 77, 73, , 37, 5, 7
2021/10/31, 120, 59, , 33, 4, 8
2021/11/1, 118, 72, , 26, 4, 7
2021/9/2, 81, 41, , 10, 3, 6
2021/9/3, 69, 15, , 7, 3, 4
2021/9/4, 44, 33, , 12, 3, 4
2021/9/5, 48, 49, , 10, 4, 3
2021/9/6, 80, 37, , 5, 3, 5
2021/9/7, 68, 23, , 4, 3, 3
2021/9/8, 45, 42, , 12, 4, 5
2021/9/9, 62, 37, , 9, 3, 4
2021/9/10, 66, 47, , 10, 4, 5
2021/9/11, 97, 26, , 12, 3, 4
2021/9/12, 53, 24, , 6, 3, 3
2021/9/13, 37, 15, , 3, 2, 1
2021/9/14, 16, 29, , 6, 3, 2
2021/9/15, 48, 31, , 8, 3, 2
2021/9/16, 54, 21, , 8, 3, 1
2021/9/17, 31, 38, , 13, 3, 3
2021/9/18, 63, 51, , 22, 4, 7
