date, pm25, pm10, o3, no2, so2, co
2021/11/2, 101, 76, 12, 24, 9, 
2021/11/3, 141, 98, 29, 21, 7, 
2021/11/4, 172, 117, 54, 17, 6, 
2021/11/5, 185, 111, 49, 23, 5, 
2021/11/6, 176, 54, 38, 11, 3, 
2021/11/7, 116, 11, 28, 6, 1, 
2021/11/8, 29, 32, 30, 9, 3, 
2021/11/9, 50, 33, 29, 11, 3, 
2021/11/10, 44, 34, 30, 12, 3, 
2021/11/11, 32, 39, 31, 16, 3, 
2021/11/12, 45, 58, 28, 22, 5, 
2021/11/13, 74, 84, 26, 30, 12, 
2021/11/14, 137, 98, 5, 36, 12, 
2021/11/15, 150, 88, , 31, 10, 
2021/11/16, 133, 61, 26, 23, 5, 
2021/11/17, 90, 107, 37, 26, 6, 
2021/11/18, 172, 126, 39, 21, 7, 
2021/11/19, 189, 91, 27, 22, 4, 
2021/11/20, 140, 39, 11, 20, 3, 
2021/11/21, 56, , , , , 
2021/10/2, 114, 70, 87, 11, 5, 
2021/10/3, 130, 58, 48, 7, 6, 
2021/10/4, 111, 13, 25, 6, 2, 
2021/10/5, 27, 12, 23, 7, 1, 
2021/10/6, 25, 5, 18, 7, 1, 
2021/10/7, 17, 22, 32, 8, 8, 
2021/10/8, 55, 49, 33, 15, 4, 
2021/10/9, 80, 53, 24, 12, 2, 
2021/10/10, 127, 40, 22, 13, , 
2021/10/11, 66, 38, 35, 16, 2, 
2021/10/12, 49, 43, 41, 17, 7, 
2021/10/13, 59, 57, 61, 19, 9, 
2021/10/14, 93, 69, 32, 22, 7, 
2021/10/15, 147, 77, 28, 14, 4, 
2021/10/16, 134, 35, 32, 9, 2, 
2021/10/17, 21, 44, 32, 17, 3, 
2021/10/18, 47, 70, 39, 19, 5, 
2021/10/19, 108, 50, 28, 16, 4, 
2021/10/20, 60, 57, 28, 18, 6, 
2021/10/21, 85, 74, 34, 20, 5, 
2021/10/22, 126, 50, 35, 23, 5, 
2021/10/23, 74, 54, 35, 24, 7, 
2021/10/24, 71, 87, 63, 26, 9, 
2021/10/25, 150, 112, 66, 21, 10, 
2021/10/26, 175, 115, 40, 25, 10, 
2021/10/27, 179, 83, 30, 33, 6, 
2021/10/28, 122, 82, 31, 33, 9, 
2021/10/29, 135, 128, 37, 29, 8, 
2021/10/30, 185, 165, 53, 34, 10, 
2021/10/31, 236, 110, 27, 22, 5, 
2021/11/1, 169, 55, 32, 16, 5, 
2021/9/2, 46, 43, 75, 10, 2, 
2021/9/3, 77, 48, 54, 6, 2, 
2021/9/4, 92, 22, 54, 3, 1, 
2021/9/5, 55, 17, 41, 4, 1, 
2021/9/6, 41, 14, 41, 3, 1, 
2021/9/7, 30, 25, 51, 6, 2, 
2021/9/8, 39, 45, 74, 5, 3, 
2021/9/9, 70, 44, 73, 4, 3, 
2021/9/10, 65, 52, 80, 5, 3, 
2021/9/11, 86, 56, 80, 7, 3, 
2021/9/12, 93, 61, 98, 9, 2, 
2021/9/13, 109, 63, 87, 6, 2, 
2021/9/14, 123, 44, 58, 5, 2, 
2021/9/15, 75, 33, 62, 9, 3, 
2021/9/16, 38, 43, 50, 10, 4, 
2021/9/17, 75, 41, 56, 9, 3, 
2021/9/18, 81, 37, 36, 11, 4, 
2021/9/19, 58, 12, 39, 5, 1, 
2021/9/20, 33, 9, 43, 4, 4, 
2021/9/21, 13, 38, 63, 9, 7, 
2021/9/22, 65, 48, 58, 10, 5, 
2021/9/23, 73, 48, 40, 9, 4, 
2021/9/24, 81, 55, 43, 9, 3, 
2021/9/25, 112, 19, 37, 6, 2, 
2021/9/26, 45, 26, 31, 7, 2, 
2021/9/27, 41, 24, 42, 7, 2, 
2021/9/28, 46, 38, 34, 12, 4, 
2021/9/29, 67, 42, 63, 10, 5, 
2021/9/30, 55, 59, 65, 9, 5, 
2021/10/1, 71, 67, 45, 10, 4, 
2021/8/2, 27, 33, , 6, 4, 
2021/8/3, 56, 29, 65, 4, 3, 
2021/8/4, 60, 54, 78, 6, 3, 
2021/8/5, 101, 49, 53, 6, 4, 
2021/8/6, 91, 46, 61, 6, 3, 
2021/8/7, 87, 54, 76, 12, 3, 
2021/8/8, 94, 56, 90, 10, 3, 
2021/8/9, 113, 40, 82, 4, 2, 
2021/8/10, 88, 51, 79, 7, 3, 
2021/8/11, 101, 59, 87, 7, 3, 
2021/8/12, 120, 35, 68, 4, 2, 
2021/8/13, 83, 35, 56, 5, 4, 
2021/8/14, 68, 34, 53, 5, 3, 
2021/8/15, 63, 48, 97, 6, 5, 
2021/8/16, 86, 54, 97, 8, 5, 
2021/8/17, 95, 51, 79, 6, 3, 
2021/8/18, 97, 31, 65, 5, 4, 
2021/8/19, 60, 50, 60, 8, 4, 
2021/8/20, 96, 29, 54, 4, 2, 
2021/8/21, 77, 42, 89, 8, 3, 
2021/8/22, 87, 51, 53, 5, 3, 
2021/8/23, 99, 41, 72, 5, 3, 
2021/8/24, 83, 48, 57, 7, 4, 
2021/8/25, 67, 44, 49, 8, 4, 
2021/8/26, 43, 37, 42, 10, 4, 
2021/8/27, 46, 36, 61, 5, 2, 
2021/8/28, 39, 33, 70, 5, 2, 
2021/8/29, 66, 17, 46, 4, 1, 
2021/8/30, 42, 31, 36, 5, 1, 
2021/8/31, 67, 15, 45, 4, 1, 
2021/9/1, 42, 26, 57, 7, 2, 
2021/7/2, 64, 42, 89, 5, 2, 
2021/7/3, 70, 27, 86, 4, 1, 
2021/7/4, 59, 51, 109, 5, 3, 
2021/7/5, 87, 56, 100, 4, 2, 
2021/7/6, 91, 57, 96, 4, 2, 
2021/7/7, 102, 59, 92, 4, 2, 
2021/7/8, 116, 44, 101, 5, 2, 
2021/7/9, 81, 47, 111, 5, 3, 
2021/7/10, 72, 44, 93, 5, 2, 
2021/7/11, 65, 43, 58, 4, 2, 
2021/7/12, 73, 15, 43, 1, 2, 
2021/7/13, 32, 29, 53, 3, 2, 
2021/7/14, 60, 16, 63, 3, 1, 
2021/7/15, 27, 29, 58, 5, 2, 
2021/7/16, 63, 44, 56, 6, 1, 
2021/7/17, 99, 30, 58, 4, 2, 
2021/7/18, 65, 32, 55, 5, 2, 
2021/7/19, 60, 36, 63, 5, 2, 
2021/7/20, 67, 41, 69, 5, 2, 
2021/7/21, 79, 40, 43, 7, 3, 
2021/7/22, 74, 37, 22, 7, 3, 
2021/7/23, 73, 51, , 7, 2, 
2021/7/24, 96, 50, , 8, 2, 
2021/7/25, 100, 54, , 7, 2, 
2021/7/26, 104, 46, , 6, 4, 
2021/7/27, 78, 24, , 5, 4, 
2021/7/28, 36, 27, , 4, 4, 
2021/7/29, 51, 8, , 1, 3, 
2021/7/30, 21, 13, 46, 2, 3, 
2021/7/31, 25, 49, , 4, 3, 
2021/8/1, 88, 19, , 4, 3, 
2021/6/2, 120, 65, 93, 7, 4, 
2021/6/3, 112, 53, 46, 7, 2, 
2021/6/4, 69, 56, 74, 7, 4, 
2021/6/5, 45, 35, 79, 8, 5, 
2021/6/6, 35, 60, 144, 9, 8, 
2021/6/7, 72, 87, 113, 10, 9, 
2021/6/8, 111, 65, 112, 6, 3, 
2021/6/9, 100, 73, 98, 8, 5, 
2021/6/10, 124, 44, 62, 6, 2, 
2021/6/11, 96, 52, 96, 8, 3, 
2021/6/12, 90, 89, 120, 8, 4, 
2021/6/13, 122, 71, 74, 6, 4, 
