date, pm25, pm10, o3, no2, so2, co
2021/11/2, 128, 59, , 19, 4, 6
2021/11/3, 115, 55, , 15, 4, 6
2021/11/4, 120, 54, , 18, 3, 5
2021/11/5, 106, 40, , 14, 4, 4
2021/11/6, 72, 51, , 20, 4, 5
2021/11/7, 103, 61, , 23, 4, 5
2021/11/8, 112, 11, , 7, 3, 4
2021/11/9, 20, 25, , 14, 4, 3
2021/11/10, 44, 35, , 19, 4, 3
2021/11/11, 63, 48, , 27, 6, 5
2021/11/12, 89, 44, , 23, 5, 4
2021/11/13, 77, 40, , 18, 5, 4
2021/11/14, 77, 47, , 23, 5, 5
2021/11/15, 91, 62, , 28, 6, 6
2021/11/16, 115, 58, , 24, 6, 5
2021/11/17, 108, 54, , 19, 5, 5
2021/11/18, 113, 30, , 15, 4, 4
2021/11/19, 65, 48, , 20, 5, 5
2021/11/20, 92, , , , , 
2021/10/2, 100, 43, , 11, 3, 6
2021/10/3, 95, 26, , 8, 3, 4
2021/10/4, 59, 42, , 8, 3, 5
2021/10/5, 78, 50, , 14, 4, 5
2021/10/6, 85, 48, , 10, 4, 5
2021/10/7, 67, 44, , 11, 4, 4
2021/10/8, 72, 13, , 9, 3, 3
2021/10/9, 32, 12, , 9, 3, 5
2021/10/10, 34, 34, , 13, 3, 5
2021/10/11, 74, 35, , 13, 4, 7
2021/10/12, 72, 22, , 8, 4, 5
2021/10/13, 46, 20, , 8, 4, 4
2021/10/14, 55, 30, , 10, 4, 5
2021/10/15, 74, 29, , 14, 4, 7
2021/10/16, 69, 18, , 10, 3, 7
2021/10/17, 44, 13, , 7, 4, 4
2021/10/18, 29, 29, , 11, 4, 5
2021/10/19, 67, 51, , 20, 5, 6
2021/10/20, 103, 47, , 20, 4, 6
2021/10/21, 92, 23, , 14, 3, 5
2021/10/22, 40, 15, , 10, 3, 5
2021/10/23, 35, 30, , 11, 3, 5
2021/10/24, 72, 20, , 8, 3, 6
2021/10/25, 53, 24, , 13, 4, 5
2021/10/26, 61, 46, , 22, 4, 6
2021/10/27, 98, 53, , 21, 5, 6
2021/10/28, 107, 55, , 24, 5, 6
2021/10/29, 114, 59, , 18, 5, 5
2021/10/30, 123, 39, , 16, 3, 6
2021/10/31, 104, 45, , 14, 4, 6
2021/11/1, 114, 55, , 17, 4, 6
2021/9/2, 66, 28, , 12, 4, 5
2021/9/3, 54, 34, , 15, 4, 5
2021/9/4, 58, 25, , 15, 4, 4
2021/9/5, 47, 32, , 12, 3, 5
2021/9/6, 56, 44, , 16, 4, 6
2021/9/7, 79, 29, , 11, 4, 5
2021/9/8, 63, 28, , 10, 4, 4
2021/9/9, 50, 44, , 16, 4, 6
2021/9/10, 90, 39, , 12, 4, 5
2021/9/11, 79, 42, , 16, 4, 5
2021/9/12, 86, 54, , 17, 4, 7
2021/9/13, 116, 48, , 11, 3, 6
2021/9/14, 103, 22, , 12, 3, 4
2021/9/15, 48, 50, , 20, 5, 6
2021/9/16, 101, 43, , 18, 5, 6
2021/9/17, 89, 44, , 25, 4, 6
2021/9/18, 90, 47, , 20, 4, 6
2021/9/19, 99, 20, , 11, 2, 4
2021/9/20, 45, 32, , 15, 3, 4
2021/9/21, 60, 33, , 13, 4, 5
