date, pm25, pm10, o3, no2, so2, co
2021/11/2, 67, 51, 25, 23, 4, 
2021/11/3, 100, 100, 45, 28, 8, 
2021/11/4, 173, 99, 61, 28, 8, 
2021/11/5, 164, 91, 69, 16, 8, 
2021/11/6, 167, 46, 45, 9, 2, 
2021/11/7, 93, 19, 27, 7, 3, 
2021/11/8, 46, 26, 35, 10, 7, 
2021/11/9, 60, 33, 33, 11, 6, 
2021/11/10, 57, 28, 31, 8, 7, 
2021/11/11, 37, 29, 30, 7, 3, 
2021/11/12, 20, 41, 31, 17, 8, 
2021/11/13, 63, 74, 27, 23, 7, 
2021/11/14, 129, 89, 7, 31, 10, 
2021/11/15, 150, 62, , 15, 3, 
2021/11/16, 117, 32, 30, 11, 3, 
2021/11/17, 53, 123, 37, 41, 9, 
2021/11/18, 181, 119, 47, 37, 10, 
2021/11/19, 194, 64, 27, 14, 4, 
2021/11/20, 105, 108, 21, 15, 5, 
2021/11/21, 186, , , , , 
2021/10/2, 88, 63, 99, 9, 12, 
2021/10/3, 129, 66, 49, 9, 13, 
2021/10/4, 149, 24, 34, 4, 1, 
2021/10/5, 44, 14, 33, 5, 1, 
2021/10/6, 30, 11, 33, 5, 1, 
2021/10/7, 25, 27, 33, 8, 2, 
2021/10/8, 60, 38, 48, 12, 2, 
2021/10/9, 64, 36, 35, 11, 3, 
2021/10/10, 100, 34, 28, 12, 4, 
2021/10/11, 64, 33, 35, 14, 5, 
2021/10/12, 44, 36, 41, 16, 4, 
2021/10/13, 54, 46, 70, 16, 3, 
2021/10/14, 75, 59, 43, 20, 6, 
2021/10/15, 118, 62, 33, 17, 5, 
2021/10/16, 113, 42, 32, 7, 2, 
2021/10/17, 32, 44, 31, 21, 9, 
2021/10/18, 67, 67, 40, 26, 8, 
2021/10/19, 112, 33, 31, 9, 2, 
2021/10/20, 51, 37, 40, 19, 5, 
2021/10/21, 64, 76, 39, 25, 8, 
2021/10/22, 143, 43, 36, 20, 4, 
2021/10/23, 74, 33, 44, 18, 4, 
2021/10/24, 66, 66, 60, 24, 7, 
2021/10/25, 125, 105, 80, 33, 8, 
2021/10/26, 175, 113, 57, 38, 11, 
2021/10/27, 180, 107, 46, 31, 7, 
2021/10/28, 172, 93, 56, 39, 12, 
