date, pm25, pm10, o3, no2, so2, co
2021/11/2, 93, 41, 38, 14, 8, 5
2021/11/3, 93, 57, 41, 16, 5, 5
2021/11/4, 92, 59, 38, 21, 8, 6
2021/11/5, 101, 63, 43, 20, 8, 8
2021/11/6, 132, 58, 26, 5, 3, 4
2021/11/7, 67, 34, 28, 5, 3, 4
2021/11/8, 61, 29, 31, 6, 4, 8
2021/11/9, 63, 50, 32, 7, 4, 3
2021/11/10, 71, 49, 32, 8, 4, 4
2021/11/11, 74, 68, 34, 8, 4, 4
2021/11/12, 95, 79, 36, 14, 5, 5
2021/11/13, 105, 66, 34, 14, 4, 5
2021/11/14, 93, 88, 35, 18, 6, 6
2021/11/15, 124, 102, 32, 22, 11, 8
2021/11/16, 143, 83, 38, 27, 9, 9
2021/11/17, 129, 69, 37, 16, 5, 6
2021/11/18, 101, 83, 22, 27, 14, 8
2021/11/19, 132, 77, 29, 26, 10, 10
2021/11/20, 130, 68, 24, 15, 15, 5
2021/11/21, 92, , , , , 
2021/10/2, 78, 68, 49, 22, 8, 7
2021/10/3, 101, 71, 39, 19, 20, 6
2021/10/4, 95, 41, 27, 8, 7, 3
2021/10/5, 57, 28, 24, 10, 4, 5
2021/10/6, 58, 30, 18, 12, 5, 6
2021/10/7, 73, 61, 36, 16, 5, 9
2021/10/8, 132, 46, 31, 11, 4, 6
2021/10/9, 93, 116, 34, 6, 4, 5
2021/10/10, 112, 59, 33, 11, 5, 5
2021/10/11, 83, 58, 35, 19, 8, 6
2021/10/12, 86, 53, 25, 17, 8, 9
2021/10/13, 106, 48, 36, 9, 8, 16
2021/10/14, 82, 46, 39, 9, 6, 11
2021/10/15, 77, 39, 34, 14, 13, 7
2021/10/16, 74, 41, 31, 17, 8, 6
2021/10/17, 68, 69, 44, 20, 12, 19
2021/10/18, 98, 56, 47, 17, 11, 7
2021/10/19, 91, 60, 30, 20, 9, 7
2021/10/20, 86, 55, 40, 15, 6, 6
2021/10/21, 93, 39, 35, 18, 8, 7
2021/10/22, 71, 51, 32, 22, 12, 8
2021/10/23, 84, 56, 40, 21, 13, 8
2021/10/24, 100, 54, 45, 23, 10, 9
2021/10/25, 111, 56, 50, 20, 12, 7
2021/10/26, 97, 47, 36, 16, 10, 9
2021/10/27, 75, 52, 37, 21, 9, 9
2021/10/28, 88, 53, 41, 21, 8, 6
2021/10/29, 90, 61, 43, 14, 16, 6
2021/10/30, 96, 57, 38, 15, 7, 5
2021/10/31, 80, 50, 30, 15, 13, 7
2021/11/1, 77, 57, 38, 19, 7, 7
2021/9/2, 76, 51, 67, 12, 6, 8
2021/9/3, 77, 59, 46, 15, 6, 8
2021/9/4, 85, 42, 60, 12, 10, 6
2021/9/5, 75, 50, 31, 16, 21, 9
2021/9/6, 88, 24, 39, 10, 5, 6
2021/9/7, 56, 39, 53, 10, 4, 6
2021/9/8, 70, 33, 53, 8, 4, 4
2021/9/9, 55, 41, 47, 11, 3, 6
2021/9/10, 66, 50, 57, 22, 6, 7
2021/9/11, 78, 56, 73, 19, 6, 7
2021/9/12, 86, 55, 61, 11, 8, 5
2021/9/13, 82, 58, 74, 11, 6, 5
2021/9/14, 82, 60, 66, 9, 5, 6
2021/9/15, 97, 28, 39, 9, 5, 6
2021/9/16, 76, 32, 45, 10, 8, 6
2021/9/17, 74, 44, 55, 17, 7, 6
2021/9/18, 81, 53, 45, 17, 6, 6
2021/9/19, 94, 32, 45, 9, 3, 4
2021/9/20, 65, 38, 48, 10, 4, 4
2021/9/21, 69, 40, 48, 15, 5, 6
2021/9/22, 74, 46, 57, 14, 4, 3
2021/9/23, 73, 51, 59, 13, 5, 4
2021/9/24, 76, 46, 40, 11, 3, 5
2021/9/25, 91, 46, 54, 13, 5, 6
2021/9/26, 84, 47, 39, 16, 6, 6
2021/9/27, 85, 50, 51, 16, 5, 6
