date, pm25, pm10, o3, no2, so2, co
2021/11/2, 111, 53, , 23, 4, 7
2021/11/3, 87, 49, , 23, 4, 7
2021/11/4, 86, 63, , 23, 5, 8
2021/11/5, 109, 50, , 16, 3, 5
2021/11/6, 79, 47, , 15, 3, 5
2021/11/7, 79, 50, , 17, 3, 6
2021/11/8, 77, 19, , 11, 3, 4
2021/11/9, 32, 31, , 15, 3, 3
2021/11/10, 37, 38, , 21, 4, 3
2021/11/11, 66, 51, , 33, 3, 4
2021/11/12, 76, 51, , 28, 4, 4
2021/11/13, 80, 47, , 21, 5, 4
2021/11/14, 80, 52, , 31, 4, 4
2021/11/15, 88, 68, , 38, 4, 7
2021/11/16, 117, 64, , 32, 4, 6
2021/11/17, 108, 52, , 20, 4, 4
2021/11/18, 91, 33, , 18, 4, 5
2021/11/19, 69, 55, , 27, 4, 6
2021/11/20, 91, 51, , 33, 3, 6
2021/11/21, 77, , , , , 
2021/10/2, 111, 49, , 18, 4, 7
2021/10/3, 96, 28, , 7, 3, 5
2021/10/4, 53, 45, , 10, 4, 5
2021/10/5, 76, 51, , 18, 5, 5
2021/10/6, 84, 49, , 14, 5, 4
2021/10/7, 68, 46, , 15, 5, 4
2021/10/8, 67, 19, , 8, 4, 3
2021/10/9, 41, 12, , 7, 4, 3
2021/10/10, 20, 35, , 21, 4, 7
2021/10/11, 71, 38, , 12, 5, 7
2021/10/12, 66, 28, , 10, 5, 4
2021/10/13, 37, 28, , 9, 4, 4
2021/10/14, 59, 36, , 11, 3, 5
2021/10/15, 74, 31, , 15, 3, 6
2021/10/16, 68, 21, , 12, 2, 7
2021/10/17, 40, 20, , 9, 2, 5
2021/10/18, 39, 33, , 14, 2, 5
2021/10/19, 57, 48, , 20, 3, 6
2021/10/20, 92, 51, , 18, 2, 6
2021/10/21, 86, 24, , 11, 2, 5
2021/10/22, 39, 17, , 10, 2, 9
2021/10/23, 58, 36, , 14, 3, 5
2021/10/24, 122, 33, , 11, 3, 5
2021/10/25, 69, 30, , 14, 3, 5
2021/10/26, 59, 53, , 24, 4, 6
2021/10/27, 92, 60, , 27, 5, 7
2021/10/28, 102, 58, , 20, 4, 6
2021/10/29, 108, 61, , 19, 5, 6
2021/10/30, 125, 29, , 19, 3, 6
2021/10/31, 74, 49, , 23, 3, 6
2021/11/1, 98, 59, , 23, 3, 7
2021/9/2, 64, 31, , 14, 4, 4
2021/9/3, 50, 27, , 12, 4, 3
2021/9/4, 39, 24, , 9, 4, 3
2021/9/5, 34, 25, , 11, 3, 4
2021/9/6, 42, 49, , 20, 4, 7
2021/9/7, 94, 34, , 16, 3, 5
2021/9/8, 62, 39, , 16, 4, 5
2021/9/9, 66, 45, , 17, 4, 6
2021/9/10, 82, 48, , 15, 4, 6
2021/9/11, 94, 54, , 16, 7, 6
2021/9/12, 106, 58, , 18, 9, 7
2021/9/13, 121, 65, , 23, 7, 8
2021/9/14, 128, 37, , 15, 3, 5
2021/9/15, 63, 45, , 20, 7, 6
2021/9/16, 88, 40, , 16, 7, 5
2021/9/17, 72, 50, , 24, 5, 6
2021/9/18, 97, 52, , 20, 4, 7
2021/9/19, 102, 26, , 8, 4, 4
2021/9/20, 38, 29, , 11, 4, 5
2021/9/21, 47, 36, , 14, 4, 5
2021/9/22, 63, 39, , 16, 6, 4
2021/9/23, 73, 26, , 15, 3, 3
2021/9/24, 43, 34, , 18, 4, 5
2021/9/25, 57, 40, , 18, 5, 5
2021/9/26, 71, 44, , 11, 4, 4
2021/9/27, 74, 49, , 11, 4, 4
2021/9/28, 90, 58, , 9, 4, 5
2021/9/29, 112, 56, , 9, 5, 6
2021/9/30, 105, 56, , 12, 6, 5
2021/10/1, 110, 50, , 12, 5, 6
2021/8/2, 63, 41, , 14, 8, 4
2021/8/3, 79, 30, , 13, 5, 4
2021/8/4, 61, 35, , 19, 7, 5
2021/8/5, 71, 38, , 21, 8, 6
2021/8/6, 78, 43, , 20, 7, 7
2021/8/7, 78, 37, , 15, 6, 5
2021/8/8, 67, 42, , 18, 5, 6
2021/8/9, 84, 34, , 10, 4, 4
2021/8/10, 58, , , , , 
2021/8/21, 63, 29, , 7, 4, 3
2021/8/22, 52, 27, , 4, 4, 3
2021/8/23, 47, 23, , 4, 3, 2
2021/8/24, 44, 25, , 7, 4, 3
2021/8/25, 43, 25, , 9, 4, 3
2021/8/26, 50, 22, , 9, 3, 3
2021/8/27, 40, 27, , 14, 3, 3
2021/8/28, 45, 33, , 17, 4, 4
2021/8/29, 48, 38, , 17, 4, 4
2021/8/30, 67, 40, , 16, 4, 4
2021/8/31, 66, 40, , 18, 4, 4
2021/9/1, 70, 39, , 20, 3, 4
2021/7/2, 59, 30, , 5, 3, 3
2021/7/3, 55, 34, , 7, 3, 3
2021/7/4, 61, 33, , 6, 3, 3
2021/7/5, 58, 25, , 9, 3, 2
2021/7/6, 43, 28, , 10, 3, 2
2021/7/7, 45, 28, , 10, 3, 3
2021/7/8, 43, 21, , 9, 2, 3
2021/7/9, 37, 31, , 8, 3, 3
2021/7/10, 60, 31, , 8, 3, 3
2021/7/11, 58, 25, , 6, 2, 2
2021/7/12, 46, 25, , 8, 2, 3
2021/7/13, 48, 25, , 6, 3, 3
2021/7/14, 51, 25, , 4, 2, 2
2021/7/15, 49, 27, , 8, 2, 3
2021/7/16, 50, 26, , 7, 4, 3
2021/7/17, 46, 37, , 16, 3, 4
2021/7/18, 70, 30, , 11, 4, 3
2021/7/19, 44, 27, , 10, 3, 3
2021/7/20, 47, 21, , 11, 3, 3
2021/7/21, 36, 25, , 14, 4, 3
2021/7/22, 44, 42, , 15, 6, 4
2021/7/23, 63, 47, , 16, 9, 4
2021/7/24, 81, 50, , 19, 10, 4
2021/7/25, 97, 45, , 14, 9, 4
2021/7/26, 82, 46, , 11, 7, 5
2021/7/27, 100, 47, , 11, 8, 4
2021/7/28, 89, 41, , 10, 8, 4
2021/7/29, 82, 38, , 12, 7, 4
2021/7/30, 75, 36, , 13, 6, 5
2021/7/31, 67, 32, , 6, 6, 4
2021/8/1, 65, 34, , 8, 7, 4
2021/6/2, 50, 27, , 15, 3, 4
2021/6/3, 47, 34, , 14, 3, 5
2021/6/4, 58, 22, , 12, 3, 4
2021/6/5, 49, 34, , 13, 5, 5
2021/6/6, 66, 57, , 22, 9, 7
2021/6/7, 114, 49, , 10, 3, 5
2021/6/8, 97, 40, , 10, 2, 4
2021/6/9, 69, 28, , 11, 2, 3
2021/6/10, 52, 29, , 15, 2, 3
2021/6/11, 53, 32, , 15, 3, 4
2021/6/12, 51, 22, , 9, 2, 2
2021/6/13, 37, 25, , 14, 2, 4
2021/6/14, 41, 22, , 9, 2, 3
2021/6/15, 40, 26, , 7, 3, 3
2021/6/16, 56, 28, , 8, 2, 3
2021/6/17, 56, 29, , 8, 2, 3
2021/6/18, 54, 29, , 5, 2, 3
2021/6/19, 52, 33, , 5, 3, 3
2021/6/20, 58, 35, , 5, 3, 3
2021/6/21, 61, 36, , 6, 3, 3
2021/6/22, 64, 28, , 17, 2, 4
2021/6/23, 64, 25, , 18, 3, 4
2021/6/24, 55, 36, , 18, 4, 4
2021/6/25, 70, 37, , 14, 4, 4
2021/6/26, 73, 39, , 17, 3, 4
2021/6/27, 68, 39, , 9, 3, 3
2021/6/28, 64, 38, , 10, 4, 3
2021/6/29, 66, 35, , 7, 3, 3
2021/6/30, 58, 35, , 6, 3, 3
2021/7/1, 60, 32, , 5, 2, 3
2021/5/2, 115, 43, , 9, 2, 6
2021/5/3, 89, 32, , 13, 2, 5
2021/5/4, 63, 35, , 14, 3, 4
2021/5/5, 62, 41, , 19, 4, 6
2021/5/6, 70, 53, , 15, 2, 6
2021/5/7, 82, 51, , 10, 3, 6
2021/5/8, 80, 46, , 10, 4, 5
2021/5/9, 77, 42, , 10, 4, 5
2021/5/10, 71, 30, , 7, 3, 4
2021/5/11, 50, 29, , 7, 2, 4
2021/5/12, 49, 28, , 8, 3, 3
2021/5/13, 43, 30, , 7, 4, 5
2021/5/14, 51, 31, , 7, 4, 3
2021/5/15, 57, 30, , 6, 4, 3
2021/5/16, 54, 28, , 6, 3, 3
2021/5/17, 56, 26, , 6, 2, 2
2021/5/18, 47, 25, , 6, 2, 4
