date, pm25, pm10, o3, no2, so2, co
2021/11/2, 83, 77, 25, 19, 7, 7
2021/11/3, 148, 78, 31, 22, 8, 7
2021/11/4, 125, 76, 29, 28, 8, 8
2021/11/5, 129, 60, 29, 27, 6, 9
2021/11/6, 112, 54, 23, 5, 4, 2
2021/11/7, 30, 14, 25, 5, 3, 2
2021/11/8, 32, 41, 24, 14, 5, 7
2021/11/9, 88, 42, 25, 15, 5, 6
2021/11/10, 86, 29, 30, 10, 4, 4
2021/11/11, 45, 44, 27, 15, 5, 5
2021/11/12, 70, 72, 19, 21, 7, 7
2021/11/13, 114, 85, 16, 25, 8, 9
2021/11/14, 147, 92, 18, 26, 8, 9
2021/11/15, 146, 95, 20, 28, 8, 10
2021/11/16, 140, 93, 18, 30, 9, 11
2021/11/17, 150, 103, 17, 29, 10, 12
2021/11/18, 160, 73, 23, 27, 8, 8
2021/11/19, 120, 59, 20, 28, 9, 9
2021/11/20, 95, 69, 24, 18, 7, 6
2021/11/21, 97, , , , , 
2021/10/2, 50, 57, 52, 24, 5, 6
2021/10/3, 86, 59, 34, 12, 2, 3
2021/10/4, 90, 16, , 7, 3, 2
2021/10/5, 31, 13, , 6, 2, 2
2021/10/6, 24, 22, , 10, 2, 4
2021/10/7, 49, 43, , 16, 2, 5
2021/10/8, 94, 45, , 19, 4, 6
2021/10/9, 84, 56, , 13, 4, 5
2021/10/10, 92, 28, , 12, 3, 3
2021/10/11, 40, 33, , 20, 3, 4
2021/10/12, 55, 38, , 19, 4, 5
2021/10/13, 67, 41, , 13, 4, 7
2021/10/14, 89, 39, , 12, 7, 5
2021/10/15, 78, 14, , 6, 1, 2
2021/10/16, 22, 21, , 10, 2, 3
2021/10/17, 29, 38, , 17, 6, 5
2021/10/18, 67, 39, , 14, 4, 7
2021/10/19, 81, 18, , 10, 3, 4
2021/10/20, 35, 24, , 14, 4, 5
2021/10/21, 39, 29, , 17, 3, 4
2021/10/22, 46, 28, , 18, 5, 4
2021/10/23, 52, 48, , 27, 6, 7
2021/10/24, 90, 61, , 29, 7, 8
2021/10/25, 130, 64, , 25, 6, 7
2021/10/26, 131, 23, , 12, 2, 4
2021/10/27, 41, 35, , 19, 6, 5
2021/10/28, 58, 58, , 26, 7, 7
2021/10/29, 104, 66, , 24, 6, 7
2021/10/30, 131, 55, 26, 14, 4, 3
2021/10/31, 76, 34, 27, 13, 5, 4
2021/11/1, 51, 52, 30, 21, 6, 5
2021/9/2, 63, 44, 55, 18, 3, 6
2021/9/3, 75, 36, 44, 17, 4, 5
2021/9/4, 61, 23, , 12, 3, 5
2021/9/5, 54, 15, 25, 10, 2, 3
2021/9/6, 30, 12, 37, 9, 2, 3
2021/9/7, 25, 37, 53, 14, 4, 3
2021/9/8, 56, 33, 61, 14, 4, 3
2021/9/9, 54, 24, 40, 15, 3, 3
2021/9/10, 43, 34, 53, 21, 4, 3
2021/9/11, 56, 39, 81, 19, 4, 4
2021/9/12, 70, 47, 69, 19, 4, 5
2021/9/13, 71, 24, 54, 9, 3, 3
2021/9/14, 53, 50, 53, 15, 3, 5
2021/9/15, 83, 28, 37, 12, 2, 5
2021/9/16, 59, 20, 37, 10, 2, 3
2021/9/17, 37, 24, 45, 15, 2, 3
2021/9/18, 43, 37, 42, 21, 3, 4
2021/9/19, 62, 41, 29, 17, 2, 5
2021/9/20, 73, 26, 42, 12, 3, 4
2021/9/21, 51, 29, 38, 12, 3, 3
2021/9/22, 55, 36, 51, 15, 4, 4
2021/9/23, 65, 46, 58, 15, 3, 4
2021/9/24, 69, 22, 39, 10, 2, 4
2021/9/25, 46, 29, 49, 13, 2, 5
2021/9/26, 59, 35, 37, 16, 3, 5
2021/9/27, 61, 53, 42, 17, 3, 5
2021/9/28, 92, 52, 50, 17, 3, 4
2021/9/29, 74, 38, 44, 19, 4, 3
2021/9/30, 57, 39, 37, 11, 2, 2
2021/10/1, 49, 40, 34, 14, 3, 3
2021/8/2, 34, 20, 60, 9, 2, 3
2021/8/3, 37, 32, 42, 13, 2, 4
2021/8/4, 59, 42, 55, 8, 3, 5
2021/8/5, 78, 45, 44, 11, 2, 5
2021/8/6, 97, 86, 73, 19, 2, 8
2021/8/7, 172, 67, 93, 15, 3, 6
2021/8/8, 138, 45, 72, 15, 3, 5
2021/8/9, 82, 29, 58, 7, 3, 3
2021/8/10, 58, , , , , 
2021/8/21, 15, 23, 53, 12, 3, 3
2021/8/22, 41, 73, 52, 10, 5, 4
2021/8/23, 98, 42, 35, 10, 2, 3
2021/8/24, 63, 20, 31, 9, 2, 2
2021/8/25, 27, 13, 27, 6, 2, 3
2021/8/26, 26, 20, 32, 7, 2, 3
2021/8/27, 34, 14, 30, 8, 2, 3
2021/8/28, 22, 13, 45, 7, 2, 3
2021/8/29, 32, 19, 63, 8, 3, 3
2021/8/30, 49, 37, 68, 13, 3, 5
2021/8/31, 69, 42, 72, 17, 3, 4
2021/9/1, 77, 36, 65, 13, 4, 4
2021/7/2, 54, 28, 42, 9, 3, 3
2021/7/3, 58, 23, 44, 9, 3, 3
2021/7/4, 50, 22, 56, 10, 2, 2
2021/7/5, 36, 20, 46, 9, 2, 3
2021/7/6, 43, 11, 48, 9, , 3
2021/7/7, 26, 17, 45, 11, 2, 3
2021/7/8, 32, 28, 54, 14, 2, 3
2021/7/9, 42, 29, 82, 17, 2, 4
2021/7/10, 48, 43, 116, 16, 4, 4
2021/7/11, 79, 40, 83, 12, 3, 4
2021/7/12, 68, 18, 32, 7, 2, 4
2021/7/13, 39, 23, 67, 10, 4, 4
2021/7/14, 46, 35, 77, 11, 3, 3
2021/7/15, 56, 29, 70, 7, 2, 4
2021/7/16, 61, 23, 69, 9, 2, 5
2021/7/17, 53, 33, 62, 10, 3, 5
2021/7/18, 66, 30, 77, 10, 3, 3
2021/7/19, 59, 21, 65, 8, 3, 3
2021/7/20, 46, 26, 58, 8, 3, 3
2021/7/21, 47, 26, 32, 5, 2, 2
2021/7/22, 53, 16, 39, 4, 2, 3
2021/7/23, 34, 28, 48, 9, 3, 4
2021/7/24, 55, 37, 60, 12, 3, 4
2021/7/25, 64, 38, 36, 10, 3, 5
2021/7/26, 67, 29, 40, 8, 3, 5
2021/7/27, 66, 12, 46, 5, 2, 4
2021/7/28, 28, 26, 47, 13, 3, 6
2021/7/29, 57, 34, 83, 15, 3, 5
2021/7/30, 65, 31, 65, 12, 2, 4
2021/7/31, 50, 19, 45, 6, 2, 2
2021/8/1, 29, 15, 37, 2, 2, 2
2021/6/2, 62, 106, 30, 3, , 1
2021/6/3, 84, 18, 33, 4, 2, 3
2021/6/4, 36, 31, 38, 11, 3, 3
2021/6/5, 58, 36, 37, 15, 4, 3
2021/6/6, 53, 54, 44, 15, 5, 4
2021/6/7, 85, 77, 50, 12, 4, 3
2021/6/8, 139, 55, 48, 10, 3, 3
2021/6/9, 95, 35, 38, 11, 2, 3
2021/6/10, 59, 39, 51, 14, 3, 4
2021/6/11, 62, 49, 71, 17, 4, 4
2021/6/12, 73, 45, 75, 13, 4, 5
2021/6/13, 82, 36, 51, 11, 3, 5
2021/6/14, 60, 35, 52, 14, 3, 5
2021/6/15, 64, 29, 52, 16, 2, 4
2021/6/16, 54, 26, 41, 7, 3, 3
2021/6/17, 54, 14, 47, 5, 3, 2
2021/6/18, 27, 17, 35, 8, 2, 2
2021/6/19, 25, 28, 40, 13, 3, 2
2021/6/20, 52, 44, 48, 16, 6, 3
2021/6/21, 59, 29, 51, 11, 3, 3
2021/6/22, 50, 35, 74, 19, 3, 3
2021/6/23, 59, 51, 97, 17, 4, 5
2021/6/24, 81, 23, 50, 10, 2, 5
2021/6/25, 62, 49, 83, 11, 5, 7
2021/6/26, 96, 45, 69, 15, 3, 4
2021/6/27, 74, 28, 68, 14, 2, 4
2021/6/28, 53, 39, 67, 14, 3, 4
