date, pm25, pm10, o3, no2, so2, co
2021/11/2, 119, 54, , 9, 5, 6
2021/11/3, 103, 52, , 10, 5, 6
2021/11/4, 104, 52, , 8, 4, 5
2021/11/5, 94, 44, , 7, 4, 5
2021/11/6, 83, 57, , 15, 4, 6
2021/11/7, 95, 51, , 12, 5, 5
2021/11/8, 90, 25, , 5, 4, 3
2021/11/9, 28, 30, , 7, 6, 3
2021/11/10, 47, 35, , 10, 6, 3
2021/11/11, 62, 42, , 15, 9, 3
2021/11/12, 74, 44, , 12, 9, 3
2021/11/13, 75, 44, , 9, 8, 3
2021/11/14, 74, 43, , 13, 7, 3
2021/11/15, 75, 60, , 18, 12, 4
2021/11/16, 107, 56, , 15, 10, 4
2021/11/17, 103, 49, , 10, 7, 4
2021/11/18, 104, 29, , 7, 4, 3
2021/11/19, 66, 44, , 10, 5, 4
2021/11/20, 87, 41, , 8, 5, 5
2021/11/21, 116, , , , , 
2021/10/2, 106, 41, , 6, 5, 4
2021/10/3, 67, 37, , 5, 5, 4
2021/10/4, 59, 48, , 7, 4, 4
2021/10/5, 71, 49, , 9, 5, 5
2021/10/6, 75, 47, , 7, 4, 4
2021/10/7, 65, 44, , 6, 5, 4
2021/10/8, 67, 8, , 4, 3, 4
2021/10/9, 31, 12, , 5, 3, 4
2021/10/10, 34, 32, , 7, 4, 6
2021/10/11, 55, 37, , 6, 4, 6
2021/10/12, 75, 27, , 5, 3, 5
2021/10/13, 44, 21, , 6, 3, 4
2021/10/14, 60, 31, , 7, 3, 5
2021/10/15, 80, 21, , 7, 3, 5
2021/10/16, 62, 20, , 5, 3, 6
2021/10/17, 41, 16, , 6, 3, 5
2021/10/18, 23, 30, , 7, 4, 4
2021/10/19, 65, 44, , 10, 5, 5
2021/10/20, 87, 41, , 9, 4, 4
2021/10/21, 82, 29, , 8, 4, 4
2021/10/22, 41, 14, , 5, 3, 4
2021/10/23, 43, 28, , 7, 3, 4
2021/10/24, 73, 22, , 6, 3, 4
2021/10/25, 50, 26, , 6, 4, 4
2021/10/26, 62, 46, , 12, 5, 5
2021/10/27, 90, 55, , 13, 7, 5
2021/10/28, 106, 52, , 9, 5, 5
2021/10/29, 102, 53, , 8, 5, 5
2021/10/30, 108, 37, , 8, 4, 5
2021/10/31, 96, 49, , 9, 5, 7
2021/11/1, 125, 54, , 10, 6, 7
2021/9/2, 54, 31, , 8, 4, 4
2021/9/3, 50, 33, , 8, 3, 4
2021/9/4, 47, 28, , 8, 4, 3
2021/9/5, 38, 31, , 8, 4, 4
2021/9/6, 44, 31, , 9, 4, 5
2021/9/7, 55, 34, , 7, 3, 4
2021/9/8, 55, 34, , 8, 5, 4
2021/9/9, 47, 39, , 7, 4, 4
2021/9/10, 63, 40, , 6, 4, 4
2021/9/11, 69, 49, , 9, 5, 5
2021/9/12, 97, 61, , 12, 5, 6
2021/9/13, 105, 65, , 13, 5, 6
2021/9/14, 109, 36, , 7, 3, 5
2021/9/15, 57, 48, , 12, 4, 5
2021/9/16, 78, 54, , 13, 4, 5
2021/9/17, 99, 50, , 15, 4, 7
2021/9/18, 89, 45, , 8, 4, 5
2021/9/19, 74, 26, , 5, 3, 4
2021/9/20, 45, 32, , 8, 4, 5
2021/9/21, 49, 38, , 9, 5, 4
2021/9/22, 58, 25, , 5, 4, 4
2021/9/23, 39, 24, , 5, 3, 3
2021/9/24, 34, 31, , 7, 4, 3
2021/9/25, 53, 37, , 8, 5, 3
2021/9/26, 57, 47, , 7, 4, 4
2021/9/27, 70, 54, , 8, 4, 5
2021/9/28, 92, 54, , 8, 4, 5
2021/9/29, 100, 61, , 8, 3, 5
2021/9/30, 121, 64, , 10, 5, 6
2021/10/1, 130, 55, , 9, 5, 5
2021/8/2, 81, 47, , 12, 2, 4
2021/8/3, 81, 29, , 7, 2, 4
2021/8/4, 51, 25, , 6, 2, 4
2021/8/5, 51, 18, , 7, 2, 5
2021/8/6, 48, 32, , 12, 2, 6
2021/8/7, 64, 41, , 11, 3, 6
2021/8/8, 75, 45, , 13, 3, 6
2021/8/9, 76, 29, , 9, 3, 5
2021/8/10, 46, , , , , 
2021/8/21, 49, 34, , 9, 3, 4
2021/8/22, 51, 38, , 7, 3, 3
2021/8/23, 57, 26, , 8, 3, 3
2021/8/24, 51, 24, , 8, 3, 3
2021/8/25, 48, 28, , 8, 4, 3
2021/8/26, 47, 25, , 6, 3, 3
2021/8/27, 37, 25, , 6, 3, 3
2021/8/28, 37, 30, , 9, 3, 3
2021/8/29, 50, 36, , 8, 3, 4
2021/8/30, 58, 45, , 9, 4, 4
2021/8/31, 74, 32, , 8, 3, 4
2021/9/1, 56, 31, , 8, 4, 4
2021/7/2, 54, 32, , 5, 2, 4
2021/7/3, 56, 34, , 5, 2, 4
2021/7/4, 61, 30, , 5, 2, 4
2021/7/5, 49, 22, , 4, 3, 3
2021/7/6, 32, 25, , 5, 3, 4
2021/7/7, 38, 21, , 4, 2, 4
2021/7/8, 37, 20, , 5, 2, 4
2021/7/9, 33, 30, , 7, 3, 4
2021/7/10, 55, 25, , 6, 4, 3
2021/7/11, 42, 24, , 5, 3, 4
2021/7/12, 40, 23, , 5, 3, 3
2021/7/13, 36, 28, , 6, 2, 4
