date, pm25, pm10, o3, no2, so2, co
2021/11/2, 77, 57, 42, 15, 1, 6
2021/11/3, 106, 49, 33, 24, 6, 4
2021/11/4, 73, 52, 34, 24, 5, 5
2021/11/5, 83, 43, 27, 17, 4, 5
2021/11/6, 81, 19, , 13, 1, 3
2021/11/7, 27, 37, 15, 13, 2, 4
2021/11/8, 40, 38, 29, 15, 3, 2
2021/11/9, 59, 44, 29, 22, 6, 3
2021/11/10, 71, 48, 34, 29, 6, 2
2021/11/11, 73, 51, 32, 31, 8, 3
2021/11/12, 79, 56, 24, 35, 9, 5
2021/11/13, 88, 67, 19, 40, 4, 5
2021/11/14, 109, 62, 41, 36, 4, 4
2021/11/15, 87, 67, 37, 40, 4, 6
2021/11/16, 121, 69, 35, 45, 4, 6
2021/11/17, 116, 63, 29, 39, 4, 6
2021/11/18, 103, 52, 25, 28, 2, 6
2021/11/19, 89, 55, 35, 27, 4, 5
2021/11/20, 77, 48, 12, 28, 1, 4
2021/11/21, 74, , , , , 
2021/10/2, 79, 53, 101, 17, 10, 6
2021/10/3, 93, 47, 92, 13, 7, 5
2021/10/4, 74, 46, 59, 11, 5, 4
2021/10/5, 58, 47, 69, 11, 5, 3
2021/10/6, 61, 35, 34, 14, 3, 3
2021/10/7, 55, 47, 24, 15, 3, 6
2021/10/8, 103, 40, 45, 17, 3, 7
2021/10/9, 70, 39, 35, 12, 2, 5
2021/10/10, 54, 34, 32, 13, 2, 6
2021/10/11, 68, 23, 32, 8, 1, 5
2021/10/12, 32, 30, 39, 10, 3, 5
2021/10/13, 31, 19, 24, 19, 2, 7
2021/10/14, 48, 35, 20, 23, 3, 7
2021/10/15, 61, 17, 26, 18, 2, 6
2021/10/16, 40, 15, 33, 8, 1, 3
2021/10/17, 22, 29, 35, 13, 3, 4
2021/10/18, 33, 35, , 23, 4, 3
2021/10/19, 57, 49, , 27, 6, 6
2021/10/20, 84, 18, , 10, 3, 4
2021/10/21, 27, 24, , 19, 4, 4
2021/10/22, 58, 56, , 29, 5, 5
