date, pm25, pm10, o3, no2, so2, co
2021/11/2, 123, 60, , 30, 5, 8
2021/11/3, 101, 59, , 24, 4, 8
2021/11/4, 106, 49, , 10, 3, 5
2021/11/5, 76, 43, , 10, 3, 5
2021/11/6, 70, 42, , 10, 3, 4
2021/11/7, 71, 38, , 12, 3, 4
2021/11/8, 63, 23, , 11, 2, 3
2021/11/9, 29, 34, , 14, 3, 3
2021/11/10, 40, 40, , 19, 4, 4
2021/11/11, 75, 55, , 33, 4, 5
2021/11/12, 94, 54, , 26, 5, 4
2021/11/13, 90, 50, , 19, 5, 4
2021/11/14, 87, 56, , 28, 6, 5
2021/11/15, 109, 67, , 33, 5, 7
2021/11/16, 136, 66, , 36, 6, 6
2021/11/17, 121, 59, , 25, 5, 5
2021/11/18, 109, 41, , 16, 4, 5
2021/11/19, 77, 57, , 30, 6, 7
2021/11/20, 110, 54, , 33, 4, 6
2021/11/21, 84, , , , , 
2021/10/2, 104, 43, , 7, 3, 5
2021/10/3, 79, 27, , 7, 2, 3
2021/10/4, 53, 45, , 9, 3, 4
2021/10/5, 73, 46, , 12, 3, 4
2021/10/6, 73, 50, , 10, 3, 3
2021/10/7, 70, 47, , 10, 3, 3
2021/10/8, 70, 12, , 9, 2, 3
2021/10/9, 22, 11, , 8, 3, 2
2021/10/10, 26, 30, , 19, 2, 5
2021/10/11, 77, 37, , 14, 3, 6
2021/10/12, 67, 29, , 9, 3, 4
2021/10/13, 41, 26, , 10, 2, 4
2021/10/14, 57, 40, , 15, 3, 6
2021/10/15, 82, 34, , 16, 3, 6
2021/10/16, 68, 23, , 11, 2, 6
2021/10/17, 47, 22, , 10, 2, 4
2021/10/18, 39, 37, , 15, 3, 5
2021/10/19, 75, 55, , 22, 4, 6
2021/10/20, 101, 47, , 11, 2, 5
2021/10/21, 74, 27, , 13, 2, 5
2021/10/22, 43, 19, , 12, 2, 4
2021/10/23, 29, 41, , 16, 2, 5
2021/10/24, 78, 35, , 12, 3, 5
2021/10/25, 73, 35, , 14, 3, 4
2021/10/26, 66, 56, , 25, 4, 7
2021/10/27, 105, 66, , 29, 6, 8
2021/10/28, 130, 64, , 25, 4, 8
2021/10/29, 133, 68, , 24, 5, 8
2021/10/30, 144, 39, , 19, 3, 6
2021/10/31, 81, 49, , 22, 3, 6
2021/11/1, 103, 63, , 25, 4, 8
2021/9/2, 47, 21, , 11, 3, 4
2021/9/3, 41, 19, , 6, 2, 3
2021/9/4, 35, 18, , 6, 2, 3
2021/9/5, 33, 22, , 8, 3, 4
2021/9/6, 38, 37, , 14, 3, 6
2021/9/7, 68, 36, , 14, 3, 5
2021/9/8, 66, 35, , 10, 3, 5
2021/9/9, 56, 46, , 12, 3, 6
2021/9/10, 87, 39, , 9, 2, 5
2021/9/11, 68, 47, , 10, 4, 6
2021/9/12, 103, 46, , 9, 3, 6
2021/9/13, 105, 51, , 10, 2, 7
2021/9/14, 109, 28, , 11, 2, 5
2021/9/15, 49, 28, , 9, 3, 3
2021/9/16, 51, 28, , 9, 3, 4
2021/9/17, 59, 37, , 13, 3, 5
2021/9/18, 67, 52, , 16, 2, 6
2021/9/19, 87, 20, , 7, 2, 3
2021/9/20, 33, 22, , 8, 2, 4
2021/9/21, 36, 24, , 8, 2, 4
2021/9/22, 49, 30, , 8, 3, 4
