date, pm25, pm10, o3, no2, so2, co
2021/11/2, 134, 75, 40, 25, 3, 6
2021/11/3, 159, 33, 31, 18, 2, 4
2021/11/4, 73, 51, 3, 30, 3, 5
2021/11/5, 104, 40, 10, 25, 2, 7
2021/11/6, 87, 39, , 16, 2, 6
2021/11/7, 78, 27, 7, 14, 2, 4
2021/11/8, 60, 34, 28, 11, 2, 3
2021/11/9, 29, 50, 30, 17, 7, 5
2021/11/10, 79, 54, 38, 19, 8, 6
2021/11/11, 90, 56, 36, 22, 8, 6
2021/11/12, 97, 62, 40, 27, 5, 6
2021/11/13, 124, 62, 24, 26, 3, 6
2021/11/14, 142, 52, 37, 21, 3, 5
2021/11/15, 95, 64, 47, 28, 3, 6
2021/11/16, 130, 76, 41, 32, 5, 6
2021/11/17, 153, 72, 19, 31, 4, 6
2021/11/18, 141, 43, 17, 19, 2, 4
2021/11/19, 91, 53, 21, 22, 3, 6
2021/11/20, 94, , , , , 
2021/10/2, 105, 51, 52, 12, 2, 4
2021/10/3, 97, 33, 52, 5, 1, 3
2021/10/4, 67, 41, 41, 9, 2, 4
2021/10/5, 72, 47, 48, 11, 2, 4
2021/10/6, 78, 45, 34, 14, 2, 5
2021/10/7, 97, 41, 38, 12, 2, 3
2021/10/8, 99, 43, 35, 13, 2, 4
2021/10/9, 85, 37, 37, 11, 2, 3
2021/10/10, 61, 33, 41, 9, 2, 2
2021/10/11, 58, 18, 25, 8, 1, 5
2021/10/12, 39, 30, 23, 12, 1, 4
2021/10/13, 65, 35, 14, 18, 2, 6
2021/10/14, 76, 39, 17, 20, 2, 7
2021/10/15, 80, 41, 33, 13, 2, 5
2021/10/16, 88, 14, 26, 8, 1, 5
2021/10/17, 32, 31, 30, 9, 1, 3
2021/10/18, 32, 46, , 17, 3, 4
2021/10/19, 99, 54, , 19, 5, 7
2021/10/20, 108, 34, , 18, 2, 6
2021/10/21, 80, 16, , 14, 1, 4
2021/10/22, 43, 44, , 16, 2, 6
2021/10/23, 84, 62, , 20, 4, 6
2021/10/24, 133, 54, , 20, 3, 5
2021/10/25, 110, 49, , 20, 3, 4
2021/10/26, 87, 57, 12, 25, 4, 6
2021/10/27, 110, 70, 29, 33, 4, 7
2021/10/28, 143, 63, 34, 23, 3, 5
2021/10/29, 120, 64, 50, 29, 3, 5
2021/10/30, 132, 71, 73, 29, 4, 6
2021/10/31, 145, 76, 72, 28, 4, 7
2021/11/1, 148, 67, 42, 26, 3, 6
2021/9/2, 82, 50, 76, 9, 2, 5
2021/9/3, 93, 54, 86, 12, 2, 6
2021/9/4, 109, 46, 58, 12, 1, 7
2021/9/5, 92, 49, 62, 8, 1, 7
2021/9/6, 96, 46, 56, 11, 1, 6
2021/9/7, 95, 49, 44, 8, 1, 8
2021/9/8, 97, 44, 45, 11, 1, 7
2021/9/9, 90, 43, 41, 14, 2, 5
2021/9/10, 79, 33, 50, 8, 1, 3
2021/9/11, 64, 29, 40, 8, 1, 2
2021/9/12, 69, 22, 30, 7, 1, 2
2021/9/13, 45, 21, 13, 8, 2, 2
