date, pm25, pm10, o3, no2, so2, co
2021/11/2, 186, 67, 30, 20, 9, 
2021/11/3, 152, 96, 44, 26, 7, 
2021/11/4, 175, 109, 54, 23, 8, 
2021/11/5, 210, 79, 38, 17, 7, 
2021/11/6, 146, 24, 23, 16, 4, 
2021/11/7, 72, 21, 24, 11, 4, 
2021/11/8, 49, 36, 29, 16, 9, 
2021/11/9, 70, 47, 26, 20, 11, 
2021/11/10, 83, 53, 27, 23, 10, 
2021/11/11, 107, 46, 28, 21, 9, 
2021/11/12, 86, 60, 25, 28, 8, 
2021/11/13, 130, 87, 27, 32, 10, 
2021/11/14, 172, 94, 7, 26, 9, 
2021/11/15, 165, 92, , 32, 10, 
2021/11/16, 173, 124, 28, 37, 11, 
2021/11/17, 199, 110, 63, 24, 10, 
2021/11/18, 196, 109, 67, 19, 9, 
2021/11/19, 196, 97, 57, 26, 9, 
2021/11/20, 183, 146, 2, 26, 8, 
2021/11/21, 227, , , , , 
2021/10/2, 105, 74, 85, 12, 8, 
2021/10/3, 126, 61, 85, 8, 8, 
2021/10/4, 126, 47, 27, 10, 6, 
2021/10/5, 66, 23, 18, 10, 4, 
2021/10/6, 44, 31, 19, 10, 5, 
2021/10/7, 59, 21, 14, 11, 4, 
2021/10/8, 53, 42, 16, 14, 4, 
2021/10/9, 107, 56, 26, 12, 5, 
2021/10/10, 128, 42, 25, 14, 5, 
2021/10/11, 78, 38, 33, 16, 5, 
2021/10/12, 50, 48, 44, 19, 8, 
2021/10/13, 73, 70, 69, 28, 7, 
2021/10/14, 138, 74, 60, 25, 7, 
2021/10/15, 159, 57, 23, 15, 4, 
2021/10/16, 158, 39, 26, 11, 4, 
2021/10/17, 55, 40, 32, 17, 7, 
2021/10/18, 62, 48, 39, 18, 6, 
2021/10/19, 97, 65, 27, 24, 5, 
2021/10/20, 123, 58, 18, 20, 7, 
2021/10/21, 116, 75, 24, 18, 4, 
2021/10/22, 167, 82, 33, 23, 7, 
2021/10/23, 147, 60, 45, 25, 6, 
2021/10/24, 117, 79, 60, 29, 8, 
2021/10/25, 162, 81, 71, 22, 6, 
2021/10/26, 170, 90, 62, 28, 8, 
2021/10/27, 175, 99, 51, 33, 7, 
2021/10/28, 174, 84, 58, 28, 7, 
2021/10/29, 167, 79, 51, 23, 7, 
2021/10/30, 166, 91, 64, 24, 7, 
2021/10/31, 187, 110, 43, 25, 8, 
2021/11/1, 209, 86, 40, 16, 4, 
2021/9/2, 55, 29, 36, 7, 3, 
2021/9/3, 68, 39, 51, 12, 3, 
2021/9/4, 90, 36, 35, 9, 5, 
2021/9/5, 78, 25, 30, 7, 3, 
2021/9/6, 53, 27, 34, 7, 4, 
2021/9/7, 52, 38, 47, 11, 5, 
2021/9/8, 63, 39, 64, 11, 5, 
2021/9/9, 65, 49, 59, 10, 5, 
2021/9/10, 80, 55, 76, 9, 6, 
2021/9/11, 95, 58, 84, 9, 6, 
2021/9/12, 109, 70, 89, 11, 6, 
2021/9/13, 116, 49, 75, 12, 2, 
2021/9/14, 77, 60, 78, 18, 5, 
2021/9/15, 97, 55, 68, 14, 6, 
2021/9/16, 91, 67, 96, 17, 5, 
2021/9/17, 105, 64, 60, 11, 6, 
2021/9/18, 109, 49, 22, 16, 4, 
2021/9/19, 85, 40, 31, 10, 4, 
2021/9/20, 75, 21, 39, 8, 5, 
2021/9/21, 28, 47, 65, 10, 6, 
2021/9/22, 69, 64, 89, 16, 7, 
2021/9/23, 109, 62, 81, 10, 5, 
2021/9/24, 114, 53, 61, 10, 4, 
2021/9/25, 91, 22, 35, 7, 4, 
2021/9/26, 46, 23, 29, 8, 4, 
2021/9/27, 46, 35, 27, 9, 4, 
2021/9/28, 66, 40, 22, 16, 5, 
2021/9/29, 73, 35, 51, 14, 6, 
2021/9/30, 68, 47, 57, 14, 6, 
2021/10/1, 71, 61, 75, 11, 7, 
2021/8/2, 78, , , , , 
2021/8/4, 77, 39, 59, 8, 5, 
2021/8/5, 80, 28, 38, 9, 8, 
2021/8/6, 62, 39, 74, 12, 6, 
2021/8/7, 68, 39, 71, 10, 7, 
2021/8/8, 76, 59, 111, 17, 5, 
2021/8/9, 128, 69, 84, 18, 5, 
2021/8/10, 132, 50, 68, 11, 5, 
2021/8/11, 96, 60, 104, 14, 5, 
2021/8/12, 132, 58, 74, 13, 5, 
2021/8/13, 108, 55, 57, 13, 5, 
2021/8/14, 115, 46, 79, 12, 5, 
2021/8/15, 86, 53, 86, 14, 7, 
2021/8/16, 94, 49, 74, 14, 4, 
2021/8/17, 97, 53, 83, 14, 5, 
2021/8/18, 103, 58, 75, 14, 5, 
2021/8/19, 97, 56, 81, 15, 6, 
2021/8/20, 99, 31, 47, 7, 4, 
2021/8/21, 71, 43, 77, 10, 5, 
2021/8/22, 87, 46, 54, 9, 6, 
2021/8/23, 90, 28, 39, 10, 3, 
2021/8/24, 58, 53, 75, 11, 4, 
2021/8/25, 86, 63, 71, 14, 5, 
2021/8/26, 83, 52, 32, 14, 4, 
2021/8/27, 74, 33, 43, 8, 3, 
2021/8/28, 59, 44, 39, 11, 4, 
2021/8/29, 83, 22, 28, 8, 3, 
2021/8/30, 59, 23, 18, 9, 3, 
2021/8/31, 55, 26, 24, 8, 3, 
2021/9/1, 54, 24, 25, 8, 3, 
2021/7/2, 67, 40, 68, 7, 5, 
2021/7/3, 79, 34, 74, 6, 5, 
2021/7/4, 63, 53, 83, 13, 6, 
2021/7/5, 97, 49, 80, 8, 4, 
2021/7/6, 93, 51, 70, 7, 6, 
2021/7/7, 101, 50, 50, 9, 6, 
2021/7/8, 98, 37, 64, 9, 5, 
2021/7/9, 59, 44, 67, 5, 4, 
2021/7/10, 65, 36, 57, 7, 4, 
2021/7/11, 64, 46, 57, 8, 5, 
2021/7/12, 80, 42, 46, 6, 4, 
2021/7/13, 74, 32, 48, 5, 5, 
2021/7/14, 65, 44, 68, 6, 5, 
2021/7/15, 76, 26, 60, 5, 5, 
2021/7/16, 52, 19, 29, 4, 4, 
2021/7/17, 38, 18, 30, 4, 4, 
2021/7/18, 27, 28, 36, 4, 4, 
2021/7/19, 47, 31, 53, 4, 4, 
2021/7/20, 49, 28, 30, 6, 4, 
2021/7/21, 46, 28, 28, 4, 4, 
2021/7/22, 40, 30, 38, 4, 3, 
2021/7/23, 60, 34, , 7, 3, 
2021/7/24, 59, 33, , 6, 4, 
2021/7/25, 53, 34, , 6, 4, 
2021/7/26, 49, 35, , 6, 4, 
2021/7/27, 44, 23, , 5, 3, 
2021/7/28, 32, 18, , 4, 3, 
2021/7/29, 30, 10, , 3, 3, 
2021/7/30, 16, 24, , 3, 4, 
2021/7/31, 49, 42, , 3, 3, 
2021/8/1, 83, 51, , 4, 3, 
