date, pm25, pm10, o3, no2, so2, co
2021/11/2, 142, 77, 11, 29, 4, 
2021/11/3, 154, 90, 8, 26, 1, 
2021/11/4, 169, 102, 9, 27, 1, 
2021/11/5, 169, 134, 9, 30, 1, 
2021/11/6, 210, 69, 18, 22, 1, 
2021/11/7, 131, 30, 24, 11, 1, 
2021/11/8, 46, 20, 42, 11, 1, 
2021/11/9, 42, 20, 28, 13, 1, 
2021/11/10, 36, 22, 29, 13, 1, 
2021/11/11, 38, 21, 26, 14, 1, 
2021/11/12, 39, 38, 22, 23, 1, 
2021/11/13, 58, 63, 17, 30, 6, 
2021/11/14, 93, 59, 18, 28, 2, 
2021/11/15, 81, 70, 16, 25, 4, 
2021/11/16, 113, 76, 16, 28, 3, 
2021/11/17, 129, 105, 15, 35, 3, 
2021/11/18, 174, 112, 43, 37, 13, 
2021/11/19, 188, 55, 48, 24, 2, 
2021/11/20, 97, 39, 4, 25, 2, 
2021/11/21, 74, , , , , 
2021/10/2, 97, 65, 54, 16, 1, 
2021/10/3, 112, 87, 23, 14, 1, 
2021/10/4, 153, 22, 19, 10, , 
2021/10/5, 48, 17, 17, 12, , 
2021/10/6, 47, 15, 15, 13, , 
2021/10/7, 38, 23, 26, 15, 1, 
2021/10/8, 47, 57, 43, 17, 1, 
2021/10/9, 80, 41, 33, 15, , 
2021/10/10, 79, 35, 26, 13, , 
2021/10/11, 58, 34, 27, 19, , 
2021/10/12, 54, 53, 28, 21, 1, 
2021/10/13, 78, 73, 44, 29, 3, 
2021/10/14, 125, 67, 18, 31, 20, 
2021/10/15, 105, 54, 26, 17, 1, 
2021/10/16, 77, 27, 47, 9, 5, 
2021/10/17, 41, 58, 24, 21, 2, 
2021/10/18, 82, 104, 20, 27, 7, 
2021/10/19, 147, 33, 28, 13, 1, 
2021/10/20, 55, 69, 18, 24, 4, 
2021/10/21, 120, 52, 26, 23, 1, 
2021/10/22, 84, 34, 29, 22, 1, 
2021/10/23, 55, 66, 33, 27, 4, 
2021/10/24, 125, 98, 39, 35, 10, 
2021/10/25, 169, 160, 34, 48, 5, 
2021/10/26, 220, 108, 30, 31, 2, 
2021/10/27, 160, 41, 27, 27, 1, 
2021/10/28, 54, 71, 15, 36, 2, 
2021/10/29, 104, 117, 5, 53, 5, 
2021/10/30, 177, 150, 30, 53, 5, 
2021/10/31, 220, 77, 30, 22, 2, 
2021/11/1, 122, 73, 17, 28, 3, 
2021/9/2, 78, 34, 57, 9, 1, 
2021/9/3, 61, 60, 85, 10, 1, 
2021/9/4, 122, 45, 41, 15, 1, 
2021/9/5, 98, 42, 32, 10, , 
2021/9/6, 94, 18, 29, 9, , 
2021/9/7, 46, 13, 6, 8, , 
2021/9/8, 22, 1, , , , 
2021/9/9, 1, 34, 53, 7, 2, 
2021/9/10, 58, 68, 105, 18, 7, 
2021/9/11, 129, 85, 85, 20, , 
2021/9/12, 160, 67, 37, 12, 1, 
2021/9/13, 111, 43, 56, 13, , 
2021/9/14, 83, 49, 43, 14, 1, 
2021/9/15, 84, 51, 56, 18, 4, 
2021/9/16, 69, 53, 20, 19, 6, 
2021/9/17, 79, 48, 43, 17, 1, 
2021/9/18, 73, 70, 37, 25, 1, 
2021/9/19, 109, 37, 32, 10, 3, 
2021/9/20, 85, 18, 54, 8, , 
2021/9/21, 41, 38, 42, 13, , 
2021/9/22, 42, 32, 51, 16, 1, 
2021/9/23, 55, 54, 43, 24, 5, 
2021/9/24, 87, 41, 26, 14, , 
2021/9/25, 90, 44, 34, 14, , 
2021/9/26, 84, 41, 14, 17, , 
2021/9/27, 82, 32, 40, 16, , 
2021/9/28, 64, 56, 43, 16, 1, 
2021/9/29, 92, 17, 41, 5, , 
2021/9/30, 28, 69, 27, 18, 1, 
2021/10/1, 127, 56, 35, 14, 2, 
2021/8/2, 48, 30, 56, 11, 3, 
2021/8/3, 39, 47, 86, 10, 4, 
2021/8/4, 75, 56, 84, 8, 3, 
2021/8/5, 104, 57, 64, 10, 3, 
2021/8/6, 106, 44, 89, 10, 2, 
2021/8/7, 73, 61, 103, 15, 3, 
2021/8/8, 114, 23, 49, 3, 1, 
2021/8/9, 42, 17, 76, 2, 1, 
2021/8/10, 34, 30, 87, 8, 2, 
2021/8/11, 47, 64, 85, 13, 4, 
2021/8/12, 116, 54, 92, 11, 3, 
2021/8/13, 91, 51, 69, 12, 4, 
2021/8/14, 81, 53, 63, 11, 2, 
2021/8/15, 83, 45, 64, 11, 3, 
2021/8/16, 74, 54, 64, 10, 3, 
2021/8/17, 93, 35, 58, 11, 3, 
2021/8/18, 64, 66, 66, 17, 4, 
2021/8/19, 70, 37, 37, 12, 3, 
2021/8/20, 54, 33, 63, 9, 3, 
2021/8/21, 56, 34, 55, 11, 2, 
2021/8/22, 52, 59, 63, 8, 3, 
2021/8/23, 89, 47, 64, 5, 2, 
2021/8/24, 81, 35, 49, 9, 3, 
2021/8/25, 53, 30, 43, 14, 2, 
2021/8/26, 48, 28, 45, 10, 8, 
2021/8/27, 42, 33, 55, 12, 1, 
2021/8/28, 44, 47, 28, 17, 1, 
2021/8/29, 63, 57, 62, 14, 1, 
2021/8/30, 79, 56, 78, 16, , 
2021/8/31, 103, 42, 50, 17, , 
2021/9/1, 85, 45, 76, 14, 2, 
2021/7/2, 77, 37, 95, 7, 5, 3
2021/7/3, 58, 38, 69, 7, 4, 3
2021/7/4, 103, 40, 76, 8, 4, 3
2021/7/5, 77, 56, 111, 17, 4, 4
2021/7/6, 92, 33, 88, 8, 3, 4
2021/7/7, 65, 382, 500, 177, 169, 7
2021/7/8, 428, 879, 500, 438, 429, 3
2021/7/9, 881, 960, 500, 479, 479, 5
2021/7/10, 963, 59, 127, 16, 5, 
2021/7/11, 100, 38, 59, 8, 3, 
2021/7/12, 63, 26, 33, 5, 3, 
2021/7/13, 57, 39, 61, 11, 3, 
2021/7/14, 65, 36, 72, 7, 2, 
2021/7/15, 58, 56, 73, 7, 3, 
2021/7/16, 104, 54, 48, 7, 3, 
2021/7/17, 91, 38, 36, 5, 3, 
2021/7/18, 61, 41, 40, 11, 3, 
2021/7/19, 71, 39, 48, 10, 3, 
2021/7/20, 83, 44, 61, 10, 4, 
2021/7/21, 83, 44, 22, 10, 4, 
2021/7/22, 67, 26, 14, 7, 2, 
2021/7/23, 37, 45, 70, 12, 3, 
2021/7/24, 62, 56, 68, 9, 3, 
2021/7/25, 96, 63, 78, 8, 4, 
2021/7/26, 100, 53, 78, 11, 4, 
2021/7/27, 97, 40, 36, 11, 8, 
2021/7/28, 62, 30, 45, 11, 3, 
2021/7/29, 50, 35, 29, 13, 3, 
2021/7/30, 61, 24, 30, 7, 3, 
2021/7/31, 42, 52, 94, 12, 3, 
2021/8/1, 81, 33, 53, 6, 3, 
2021/6/2, 103, 73, 40, 17, 4, 7
2021/6/3, 128, 38, 39, 13, 2, 1
2021/6/4, 56, 48, 44, 12, 3, 2
2021/6/5, 61, 41, 52, 16, 3, 2
2021/6/6, 57, 54, 78, 17, 6, 5
2021/6/7, 71, 58, 71, 12, 6, 8
2021/6/8, 91, 66, 88, 10, 4, 6
2021/6/9, 115, 110, 68, 13, 6, 9
2021/6/10, 126, 36, 88, 11, 3, 3
2021/6/11, 58, 51, 87, 15, 4, 3
2021/6/12, 68, 74, 137, 18, 8, 6
2021/6/13, 102, 85, 115, 13, 7, 9
2021/6/14, 138, 51, 45, 9, 4, 3
2021/6/15, 102, 51, 86, 7, 5, 2
2021/6/16, 88, 51, 25, 14, 4, 3
2021/6/17, 94, 42, 50, 9, 3, 1
2021/6/18, 66, 43, 42, 13, 4, 2
2021/6/19, 59, 42, 54, 17, 4, 2
2021/6/20, 55, 41, 65, 15, 5, 2
2021/6/21, 58, 66, 118, 15, 9, 7
2021/6/22, 85, 48, 91, 10, 7, 5
2021/6/23, 75, 48, 56, 15, 6, 4
2021/6/24, 84, 58, 90, 16, 6, 4
2021/6/25, 97, 86, 92, 16, 4, 8
2021/6/26, 154, 59, 58, 11, 4, 5
2021/6/27, 90, 60, 119, 11, 4, 7
2021/6/28, 117, 71, 106, 12, 6, 6
2021/6/29, 126, 60, 46, 9, 4, 3
2021/6/30, 111, 53, 100, 7, 4, 4
2021/7/1, 103, 45, 84, 8, 4, 3
2021/5/2, 81, 43, 48, 13, 3, 
2021/5/3, 66, 59, 64, 11, 6, 
2021/5/4, 100, 62, 43, 9, 3, 
2021/5/5, 82, 63, 56, 10, 4, 1
2021/5/6, 78, 232, 48, 9, 5, 2
2021/5/7, 126, 99, 45, 8, 3, 1
2021/5/8, 109, 122, 43, 11, 4, 2
2021/5/9, 104, 64, 60, 20, 6, 3
2021/5/10, 82, 47, 48, 13, 4, 3
2021/5/11, 72, 55, 72, 15, 4, 4
2021/5/12, 90, 56, 86, 16, 5, 5
2021/5/13, 87, 64, 59, 13, 4, 4
2021/5/14, 121, 65, 44, 11, 3, 
2021/5/15, 133, 49, 29, 6, 2, 
2021/5/16, 89, 26, 41, 11, 3, 1
2021/5/17, 54, 47, 54, 12, 3, 2
2021/5/18, 62, 60, 92, 12, 6, 4
2021/5/19, 88, 60, 90, 9, 7, 4
2021/5/20, 91, 71, 71, 8, 5, 5
2021/5/21, 124, 81, 97, 11, 4, 6
2021/5/22, 145, 75, 99, 10, 5, 5
2021/5/23, 116, 143, 35, 8, 3, 2
2021/5/24, 133, 70, 38, 12, 3, 2
2021/5/25, 90, 62, 65, 11, 3, 2
2021/5/26, 67, 57, 51, 14, 4, 4
2021/5/27, 69, 58, 50, 14, 3, 2
2021/5/28, 75, 32, 46, 8, 3, 1
2021/5/29, 52, 44, 59, 14, 4, 2
2021/5/30, 65, 44, 72, 12, 4, 3
2021/5/31, 71, 66, 37, 15, 3, 8
2021/6/1, 120, 59, 71, 13, 4, 8
2021/4/2, 134, 67, 36, 30, 4, 3
2021/4/3, 114, 53, 38, 13, 2, 2
2021/4/4, 93, 76, 41, 16, 3, 1
2021/4/5, 84, 62, 33, 13, 4, 2
2021/4/6, 107, 62, 53, 18, 3, 2
2021/4/7, 109, 84, 34, 26, 5, 4
2021/4/8, 126, 62, 58, 19, 4, 3
2021/4/9, 99, 68, 48, 18, 5, 5
2021/4/10, 116, 83, 72, 20, 6, 7
2021/4/11, 151, 81, 58, 16, 6, 2
2021/4/12, 146, 82, 32, 23, 4, 4
2021/4/13, 128, 39, 36, 11, 3, 1
2021/4/14, 56, 65, 43, 14, 4, 3
2021/4/15, 89, 216, 39, 11, 4, 2
2021/4/16, 152, 141, 35, 11, 3, 
2021/4/17, 116, 44, 38, 13, 3, 
2021/4/18, 57, 69, 50, 17, 5, 
2021/4/19, 93, 85, 83, 16, 5, 
2021/4/20, 133, 85, 90, 15, 6, 2
2021/4/21, 132, 66, 50, 21, 4, 3
2021/4/22, 94, 52, 46, 15, 3, 3
2021/4/23, 99, 46, 44, 13, 3, 3
2021/4/24, 92, 55, 45, 16, 3, 3
2021/4/25, 101, 67, 49, 16, 4, 4
2021/4/26, 142, 64, 67, 17, 6, 4
2021/4/27, 121, 131, 39, 13, 3, 2
2021/4/28, 99, 54, 44, 11, 3, 1
2021/4/29, 65, 68, 43, 16, 3, 1
2021/4/30, 80, 41, 30, 17, 3, 
2021/5/1, 76, 48, 35, 15, 3, 
2021/3/2, 87, 71, 22, 13, 3, 7
2021/3/3, 154, 86, 11, 24, 3, 9
2021/3/4, 169, 119, 25, 28, 5, 15
2021/3/5, 196, 97, 23, 22, 5, 11
2021/3/6, 162, 51, 25, 14, 6, 6
2021/3/7, 83, 64, 31, 16, 4, 5
2021/3/8, 132, 89, 36, 27, 8, 8
2021/3/9, 167, 127, 42, 37, 6, 10
2021/3/10, 203, 106, 41, 28, 5, 6
2021/3/11, 186, 78, 50, 16, 5, 6
2021/3/12, 163, 90, 23, 18, 4, 7
2021/3/13, 176, 84, 41, 17, 3, 8
2021/3/14, 172, 97, 39, 21, 4, 6
2021/3/15, 179, 525, 33, 10, 3, 4
2021/3/16, 238, 81, 35, 12, 3, 3
2021/3/17, 89, 164, 23, 27, 6, 4
2021/3/18, 138, 80, 25, 24, 5, 7
2021/3/19, 135, 79, 28, 18, 4, 6
2021/3/20, 153, 69, 35, 12, 3, 6
2021/3/21, 126, , , , , 
2021/2/2, 92, 40, 27, 11, 3, 2
2021/2/3, 68, 63, 31, 21, 5, 5
2021/2/4, 114, 64, 30, 18, 7, 5
2021/2/5, 109, 90, 31, 29, 7, 10
2021/2/6, 150, 91, 36, 24, 5, 7
2021/2/7, 132, 57, 33, 14, 5, 5
2021/2/8, 103, 64, 35, 20, 5, 6
2021/2/9, 131, 83, 39, 19, 7, 8
2021/2/10, 162, 101, 46, 28, 7, 13
2021/2/11, 178, 139, 48, 21, 8, 13
2021/2/12, 233, 179, 39, 18, 9, 16
2021/2/13, 283, 118, 18, 19, 4, 16
2021/2/14, 204, 73, 24, 12, 3, 8
2021/2/15, 147, 35, 35, 8, 3, 2
2021/2/16, 68, 52, 35, 7, 3, 2
2021/2/17, 74, 27, 33, 9, 3, 2
2021/2/18, 69, 56, 34, 25, 6, 7
2021/2/19, 113, 85, 24, 38, 7, 12
2021/2/20, 163, 221, 30, 28, 7, 10
2021/2/21, 142, 120, 26, 30, 6, 8
2021/2/22, 159, 74, 34, 15, 5, 5
2021/2/23, 118, 54, 24, 12, 4, 3
2021/2/24, 91, 59, 28, 16, 5, 6
2021/2/25, 113, 88, 35, 24, 6, 10
2021/2/26, 171, 106, 49, 23, 7, 12
2021/2/27, 186, 93, 52, 25, 8, 9
2021/2/28, 175, 84, 24, 27, 5, 8
2021/3/1, 172, 34, 35, 8, 3, 3
2021/1/5, 100, 32, 25, 12, 3, 2
2021/1/6, 64, 128, 26, 10, 4, 1
2021/1/7, 87, 40, 25, 11, 4, 2
2021/1/8, 69, 44, 25, 19, 4, 4
2021/1/9, 76, 51, 24, 22, 4, 4
2021/1/10, 86, 33, 28, 13, 3, 3
2021/1/11, 65, 66, 26, 19, 4, 5
2021/1/12, 85, 129, 20, 18, 5, 1
2021/1/13, 128, 177, 33, 17, 4, 3
2021/1/14, 138, 79, 21, 19, 6, 8
2021/1/15, 130, 96, 31, 13, 3, 4
2021/1/16, 123, 33, 30, 9, 3, 3
2021/1/17, 65, 47, 27, 12, 4, 4
2021/1/18, 75, 58, 28, 19, 4, 6
2021/1/19, 102, 52, 23, 12, 4, 10
2021/1/20, 100, 72, 21, 25, 5, 11
2021/1/21, 148, 91, 22, 31, 6, 9
2021/1/22, 167, 94, 24, 31, 7, 12
2021/1/23, 164, 67, 29, 28, 6, 9
2021/1/24, 133, 98, 20, 38, 8, 12
2021/1/25, 175, 115, 18, 38, 6, 15
2021/1/26, 192, 90, 20, 33, 3, 11
2021/1/27, 176, 100, 30, 32, 7, 12
2021/1/28, 163, 56, 33, 10, 3, 1
2021/1/29, 67, 65, 22, 27, 6, 5
2021/1/30, 107, 80, 24, 29, 6, 7
2021/1/31, 144, 80, 22, 21, 6, 10
2021/2/1, 148, 60, 32, 12, 3, 3
2020/10/2, 114, 30, 25, 10, 3, 3
2020/10/3, 58, 52, 34, 20, 4, 3
2020/10/4, 85, 27, 23, 7, 2, 2
2020/10/5, 54, 24, 25, 12, 3, 2
2020/10/6, 51, 66, 28, 27, 5, 2
2020/10/7, 106, 79, 36, 27, 5, 3
2020/10/8, 143, 92, 20, 38, 7, 4
2020/10/9, 165, 111, 58, 36, 7, 6
2020/10/10, 181, 113, 64, 33, 6, 4
2020/10/11, 184, 69, 28, 18, 4, 1
2020/10/12, 113, 27, 26, 18, 2, 1
2020/10/13, 55, 49, 28, 20, 4, 2
2020/10/14, 76, 39, 15, 14, 4, 2
2020/10/15, 57, 84, 17, 20, 4, 3
2020/10/16, 132, 60, 34, 22, 3, 3
2020/10/17, 101, 53, 28, 24, 5, 2
2020/10/18, 81, 81, 18, 38, 8, 6
2020/10/19, 135, 113, 32, 39, 7, 9
2020/10/20, 184, 108, 35, 35, 6, 6
2020/10/21, 181, 102, 25, 20, 4, 3
2020/10/22, 115, 59, 28, 18, 4, 3
2020/10/23, 84, 33, 28, 18, 3, 2
2020/10/24, 67, 67, 31, 30, 6, 5
2020/10/25, 114, 110, 35, 38, 9, 9
2020/10/26, 172, 124, 35, 37, 7, 11
2020/10/27, 182, 46, 23, 16, 3, 
2020/10/28, 63, 51, 18, 27, 4, 3
2020/10/29, 79, 81, 19, 35, 8, 8
2020/10/30, 142, 74, 32, 31, 6, 7
2020/10/31, 141, 145, 18, 33, 6, 6
2020/11/1, 170, 67, 27, 19, 4, 3
2020/11/2, 91, 54, 25, 15, 2, 2
2020/11/3, 69, 50, 18, 22, 4, 4
2020/11/4, 75, 102, 15, 35, 9, 9
2020/11/5, 158, 123, 14, 44, 9, 8
2020/11/6, 180, 104, 17, 34, 6, 6
2020/11/7, 157, 83, 26, 15, 4, 2
2020/11/8, 90, 39, 22, 15, 3, 2
