date, pm25, pm10, o3, no2, so2, co
2021/11/2, 131, 65, 30, 23, 7, 
2021/11/3, 120, 109, 45, 34, 9, 
2021/11/4, 173, 135, 63, 36, 8, 
2021/11/5, 199, 62, 42, 15, 4, 
2021/11/6, 107, 45, 42, 13, 3, 
2021/11/7, 75, 35, 32, 13, 4, 
2021/11/8, 73, 36, 29, 10, 5, 
2021/11/9, 75, 55, 30, 20, 8, 
2021/11/10, 100, 61, 28, 23, 9, 
2021/11/11, 105, 57, 31, 22, 6, 
2021/11/12, 91, 76, 32, 30, 10, 
2021/11/13, 139, 110, 32, 31, 14, 
2021/11/14, 169, 118, 5, 39, 13, 
2021/11/15, 174, 135, , 48, 15, 
2021/11/16, 197, 123, 32, 38, 7, 
2021/11/17, 194, 134, 56, 33, 9, 
2021/11/18, 201, 121, 65, 28, 11, 
2021/11/19, 199, 103, 48, 35, 7, 
2021/11/20, 178, 93, 13, 28, 5, 
2021/11/21, 171, , , , , 
2021/10/2, 94, 71, 96, 12, 7, 
2021/10/3, 122, 62, 78, 9, 6, 
2021/10/4, 118, 60, 73, 10, 5, 
2021/10/5, 107, 25, 32, 6, 2, 
2021/10/6, 50, 47, 37, 8, 3, 
2021/10/7, 90, 23, 26, 8, 2, 
2021/10/8, 50, 32, 27, 10, 3, 
2021/10/9, 68, 57, 31, 19, 3, 
2021/10/10, 98, 41, 29, 10, 3, 
2021/10/11, 78, 33, 40, 11, 3, 
2021/10/12, 80, 37, 44, 13, 4, 
2021/10/13, 59, 47, 58, 13, 4, 
2021/10/14, 79, 72, 82, 19, 6, 
2021/10/15, 121, 55, 34, 11, 3, 
2021/10/16, 97, 43, 30, 8, 3, 
2021/10/17, 50, 40, 35, 13, 4, 
2021/10/18, 59, 60, 38, 23, 10, 
2021/10/19, 113, 66, 30, 20, 4, 
2021/10/20, 106, 50, 24, 21, 4, 
2021/10/21, 81, 88, 28, 26, 7, 
2021/10/22, 170, 88, 44, 23, 6, 
2021/10/23, 147, 60, 51, 27, 5, 
2021/10/24, 113, 93, 59, 36, 9, 
2021/10/25, 166, 101, 76, 37, 8, 
2021/10/26, 174, 115, 65, 46, 10, 
2021/10/27, 175, 105, 71, 26, 9, 
2021/10/28, 167, 76, 49, 25, 15, 
2021/10/29, 135, 100, 64, 33, 11, 
2021/10/30, 168, 108, 76, 37, 12, 
2021/10/31, 175, 105, 74, 21, 8, 
2021/11/1, 169, 68, 36, 15, 4, 
2021/9/2, 42, 30, 59, 12, 3, 
2021/9/3, 70, 50, 78, 17, 4, 
2021/9/4, 96, 29, 45, 9, 3, 
2021/9/5, 56, 8, 39, 6, 1, 
2021/9/6, 26, 25, 31, 10, 3, 
2021/9/7, 37, 44, 55, 13, 4, 
2021/9/8, 80, 53, 82, 17, 6, 
2021/9/9, 95, 59, 80, 19, 5, 
2021/9/10, 117, 65, 86, 19, 5, 
2021/9/11, 129, 58, 91, 12, 3, 
2021/9/12, 109, 46, 88, 7, 3, 
2021/9/13, 79, 40, 65, 10, 3, 
2021/9/14, 64, 53, 76, 11, 3, 
2021/9/15, 81, 42, 80, 8, 3, 
2021/9/16, 72, 55, 95, 14, 5, 
2021/9/17, 99, 47, 60, 10, 2, 
2021/9/18, 84, 42, 47, 11, 3, 
2021/9/19, 65, 46, 57, 9, 3, 
2021/9/20, 71, 19, 29, 7, 2, 
2021/9/21, 59, 45, 70, 9, 5, 
2021/9/22, 74, 65, 92, 21, 6, 
2021/9/23, 119, 55, 79, 10, 3, 
2021/9/24, 98, 37, 70, 7, 3, 
2021/9/25, 59, 20, 40, 7, 2, 
2021/9/26, 47, 18, 36, 7, 2, 
2021/9/27, 48, 37, 35, 11, 2, 
2021/9/28, 68, 30, 29, 12, 3, 
2021/9/29, 67, 45, 79, 17, 4, 
2021/9/30, 88, 59, 84, 17, 8, 
2021/10/1, 103, 58, 81, 16, 14, 
2021/8/2, 81, 39, , 8, 4, 
2021/8/3, 74, 43, 87, 8, 5, 
2021/8/4, 82, 25, 36, 6, 4, 
2021/8/5, 52, 27, 34, 7, 8, 
2021/8/6, 53, 30, 44, 7, 4, 
2021/8/7, 58, 32, 60, 9, 6, 
2021/8/8, 62, 51, 97, 11, 4, 
2021/8/9, 106, 78, 99, 23, 6, 
2021/8/10, 132, 60, 84, 12, 8, 
2021/8/11, 114, 48, 75, 10, 5, 
2021/8/12, 96, 45, 64, 11, 4, 
2021/8/13, 90, 50, 44, 13, 3, 
2021/8/14, 98, 42, 74, 10, 3, 
2021/8/15, 73, 42, 77, 12, 4, 
2021/8/16, 77, 40, 76, 8, 4, 
2021/8/17, 75, 49, 98, 14, 3, 
2021/8/18, 91, 33, 74, 9, 2, 
2021/8/19, 69, 58, 97, 18, 5, 
2021/8/20, 111, 35, 63, 9, 2, 
2021/8/21, 86, 44, 103, 10, 4, 
2021/8/22, 82, 50, 50, 12, 6, 
2021/8/23, 92, 24, 42, 7, 3, 
2021/8/24, 51, 41, 72, 8, 3, 
2021/8/25, 77, 63, 70, 10, 5, 
2021/8/26, 101, 56, 37, 17, 5, 
2021/8/27, 85, 26, 49, 10, 2, 
2021/8/28, 62, 28, 43, 10, 3, 
2021/8/29, 90, 25, 31, 10, 2, 
2021/8/30, 76, 18, 29, 10, 2, 
2021/8/31, 52, 42, 52, 8, 2, 
2021/9/1, 81, 15, 30, 8, 1, 
2021/7/2, 70, 27, 40, 4, 3, 
2021/7/3, 61, 24, 50, 8, 3, 
2021/7/4, 59, 56, 107, 15, 7, 
2021/7/5, 109, 59, 75, 9, 5, 
2021/7/6, 120, 39, 51, 7, 4, 
2021/7/7, 75, 38, 31, 9, 4, 
2021/7/8, 75, 43, 80, 7, 4, 
2021/7/9, 81, 41, 78, 8, 5, 
2021/7/10, 77, 45, 83, 7, 5, 
2021/7/11, 76, 45, 56, 8, 6, 
2021/7/12, 89, 47, 54, 6, 4, 
2021/7/13, 85, 31, 35, 7, 5, 
2021/7/14, 71, 40, 54, 8, 5, 
2021/7/15, 77, 23, 51, 7, 4, 
2021/7/16, 62, 14, 29, 6, 3, 
2021/7/17, 43, 21, 43, 5, 4, 
2021/7/18, 49, 27, 40, 4, 3, 
2021/7/19, 67, 25, 43, 6, 4, 
2021/7/20, 58, 25, 26, 6, 3, 
2021/7/21, 58, 25, 39, 3, 3, 
2021/7/22, 51, 24, 53, 5, 3, 
2021/7/23, 61, 23, , 5, 3, 
2021/7/24, 67, 39, , 9, 4, 
2021/7/25, 70, 38, , 10, 5, 
2021/7/26, 68, 26, , 7, 4, 
2021/7/27, 53, 14, , 4, 3, 
2021/7/28, 37, 7, , 3, 3, 
2021/7/29, 22, 9, , 4, 3, 
2021/7/30, 35, 22, , 5, 4, 
2021/7/31, 59, 50, , 13, 6, 
2021/8/1, 104, 42, , 9, 6, 
2021/6/2, 121, 51, 52, 8, 6, 
2021/6/3, 92, 40, 41, 13, 3, 
2021/6/4, 87, 81, 93, 18, 6, 
2021/6/5, 108, 74, 129, 14, 7, 
2021/6/6, 99, 82, 109, 18, 8, 
2021/6/7, 114, 63, 107, 12, 10, 
2021/6/8, 87, 59, 104, 12, 8, 
2021/6/9, 91, 28, 39, 7, 2, 
2021/6/10, 67, 57, 104, 14, 5, 
2021/6/11, 89, 72, 115, 12, 7, 
2021/6/12, 119, 60, 100, 10, 4, 
2021/6/13, 97, 72, 106, 12, 5, 
2021/6/14, 112, 56, 24, 13, 6, 
2021/6/15, 101, 15, 40, 5, 2, 
2021/6/16, 46, 25, 41, 6, 3, 
2021/6/17, 63, 41, 31, 11, 3, 
2021/6/18, 99, 48, 70, 12, 3, 
2021/6/19, 82, 55, 88, 14, 5, 
2021/6/20, 69, 58, 107, 13, 6, 
2021/6/21, 81, 80, 123, 19, 7, 
2021/6/22, 111, 70, 143, 11, 5, 
2021/6/23, 123, 60, 103, 9, 5, 
2021/6/24, 113, 42, 96, 9, 5, 
2021/6/25, 74, 55, 65, 12, 5, 
2021/6/26, 98, 42, 83, 8, 4, 
2021/6/27, 95, 50, 79, 7, 3, 
2021/6/28, 107, 35, 88, 5, 2, 
2021/6/29, 78, 46, 47, 11, 4, 
2021/6/30, 110, 54, 102, 8, 4, 
2021/7/1, 104, 42, 87, 9, 4, 
2021/5/2, 109, 48, 41, 13, 3, 
2021/5/3, 96, 54, 40, 12, 5, 
2021/5/4, 92, 80, 56, 14, 2, 
2021/5/5, 113, 109, 63, 21, 9, 
2021/5/6, 132, 110, 73, 14, 9, 
2021/5/7, 141, 514, 40, 11, 4, 
2021/5/8, 215, 377, 67, 15, 7, 
2021/5/9, 217, 87, 65, 10, 5, 
2021/5/10, 133, 80, 43, 11, 6, 
2021/5/11, 115, 57, 35, 10, 2, 
2021/5/12, 80, 64, 50, 15, 4, 
2021/5/13, 101, 61, 52, 11, 2, 
2021/5/14, 101, 27, 30, 11, 2, 
2021/5/15, 65, 39, 26, 11, 2, 
2021/5/16, 76, 24, 31, 10, 3, 
2021/5/17, 39, 51, 70, 14, 5, 
2021/5/18, 71, 69, 77, 18, 6, 
2021/5/19, 92, 74, 84, 17, 10, 
2021/5/20, 133, 35, 71, 10, 4, 
2021/5/21, 66, 59, 87, 15, 7, 
2021/5/22, 96, 65, 101, 16, 18, 
2021/5/23, 129, 71, 52, 15, 12, 
2021/5/24, 118, 102, 76, 17, 7, 
2021/5/25, 127, 95, 71, 12, 5, 
2021/5/26, 132, 71, 54, 11, 5, 
2021/5/27, 99, 74, 76, 14, 4, 
2021/5/28, 96, 57, 54, 11, 3, 
2021/5/29, 84, 81, 97, 13, 7, 
2021/5/30, 117, 74, 97, 10, 5, 
2021/5/31, 114, 75, 97, 12, 7, 
2021/6/1, 115, 83, 90, 13, 7, 
2021/4/2, 97, 27, 34, 11, 2, 
2021/4/3, 67, 18, 31, 9, 2, 
2021/4/4, 55, 66, 47, 15, 6, 
2021/4/5, 69, 66, 48, 20, 5, 
2021/4/6, 106, 81, 64, 25, 12, 
2021/4/7, 146, 78, 47, 29, 21, 
2021/4/8, 141, 88, 66, 24, 15, 
2021/4/9, 144, 91, 85, 24, 15, 
2021/4/10, 164, 70, 60, 15, 10, 
2021/4/11, 114, 51, 40, 10, 2, 
2021/4/12, 77, 48, 55, 14, 2, 
2021/4/13, 103, 67, 37, 15, 3, 
2021/4/14, 95, 59, 47, 14, 9, 
2021/4/15, 100, 72, 66, 13, 6, 
2021/4/16, 147, 411, 40, 13, 4, 
2021/4/17, 165, 127, 39, 13, 3, 
2021/4/18, 129, 79, 53, 22, 8, 
2021/4/19, 128, 79, 82, 19, 12, 
2021/4/20, 146, 98, 44, 27, 11, 
2021/4/21, 154, 50, 42, 10, 3, 
2021/4/22, 78, 34, 33, 13, 1, 
2021/4/23, 71, 55, 33, 14, 2, 
2021/4/24, 112, 43, 37, 9, 1, 
2021/4/25, 81, 62, 46, 12, 3, 
2021/4/26, 121, 79, 24, 22, 4, 
2021/4/27, 144, 86, 59, 17, 5, 
2021/4/28, 145, 120, 61, 24, 8, 
2021/4/29, 130, 114, 42, 16, 7, 
2021/4/30, 120, 90, 45, 21, 8, 
2021/5/1, 126, 70, 48, 16, 5, 
2021/3/2, 71, 66, 37, 20, 7, 
2021/3/3, 139, 70, 38, 21, 9, 
2021/3/4, 131, 84, 46, 23, 9, 
2021/3/5, 164, 102, 50, 30, 9, 
2021/3/6, 174, 63, 33, 9, 2, 
2021/3/7, 95, 55, 32, 17, 5, 
2021/3/8, 99, 86, 34, 25, 10, 
2021/3/9, 156, 76, 46, 22, 6, 
2021/3/10, 165, 109, 58, 29, 9, 
2021/3/11, 178, 66, 37, 22, 5, 
2021/3/12, 144, 65, 54, 18, 4, 
2021/3/13, 146, 89, 55, 26, 5, 
2021/3/14, 167, 101, 72, 27, 8, 
2021/3/15, 182, 97, 29, 20, 8, 
2021/3/16, 178, 623, 38, 13, 4, 
2021/3/17, 157, 96, 40, 23, 11, 
2021/3/18, 117, 68, 33, 23, 9, 
2021/3/19, 107, 72, 35, 19, 6, 
2021/3/20, 138, 83, 34, 24, 4, 
2021/3/21, 162, 86, 36, 14, 3, 
2021/3/22, 79, 86, 39, 21, 9, 
2021/3/23, 97, 79, 47, 16, 7, 
2021/3/24, 125, 92, 46, 23, 10, 
2021/3/25, 135, 112, 81, 22, 10, 
2021/3/26, 163, 98, 77, 19, 9, 
2021/3/27, 164, 77, 44, 16, 2, 
2021/3/28, 155, 223, 57, 16, 5, 
2021/3/29, 160, 576, 32, 17, 6, 
2021/3/30, 175, 165, 42, 20, 7, 
2021/3/31, 141, 109, 36, 22, 9, 
2021/4/1, 115, 61, 40, 13, 5, 
2021/2/2, 151, 77, 31, 18, 7, 
2021/2/3, 138, 98, 33, 22, 11, 
2021/2/4, 162, 89, 33, 23, 10, 
2021/2/5, 150, 88, 45, 23, 12, 
