date, pm25, pm10, o3, no2, so2, co
2021/11/2, 55, 19, 26, 10, 11, 9
2021/11/3, 62, 30, 23, 9, 7, 8
2021/11/4, 80, 46, 14, 16, 5, 11
2021/11/5, 102, 47, 25, 11, 4, 9
2021/11/6, 95, 38, 27, 10, 3, 6
2021/11/7, 74, 39, 18, 12, 8, 7
2021/11/8, 79, 36, 28, 8, 13, 4
2021/11/9, 65, 35, 27, 8, 12, 5
2021/11/10, 69, 52, 33, 15, 20, 7
2021/11/11, 96, 65, 38, 18, 16, 6
2021/11/12, 118, 46, 35, 11, 13, 6
2021/11/13, 97, 51, 37, 13, 15, 7
2021/11/14, 104, 59, 42, 14, 21, 7
2021/11/15, 129, 52, 30, 11, 10, 7
2021/11/16, 122, 50, 24, 10, 9, 6
2021/11/17, 120, 34, 24, 11, 11, 9
2021/11/18, 75, 60, 44, 17, 12, 11
2021/11/19, 136, 67, 19, 20, 12, 10
2021/11/20, 143, 36, 15, 10, 5, 7
2021/11/21, 88, , , , , 
2021/10/2, 122, 57, 58, 10, 9, 7
2021/10/3, 118, 48, 37, 6, 3, 6
2021/10/4, 95, 47, 44, 10, 4, 6
2021/10/5, 84, 58, 68, 16, 8, 7
2021/10/6, 100, 61, 66, 15, 8, 8
2021/10/7, 110, 48, 57, 7, 5, 6
2021/10/8, 90, 43, 40, 10, 12, 13
2021/10/9, 92, 47, 23, 17, 26, 28
2021/10/10, 112, 25, 25, 10, 12, 11
2021/10/11, 65, 31, 25, 12, 16, 19
2021/10/12, 72, 42, 30, 13, 27, 20
2021/10/13, 84, 45, 35, 16, 27, 19
2021/10/14, 93, 46, 28, 19, 19, 20
2021/10/15, 101, 35, 32, 15, 19, 18
2021/10/16, 83, 32, 22, 15, 16, 18
2021/10/17, 79, 32, 25, 14, 27, 17
2021/10/18, 80, 44, 30, 11, 25, 9
2021/10/19, 98, 57, 37, 13, 16, 9
2021/10/20, 126, 62, 17, 15, 10, 12
2021/10/21, 139, 36, 26, 11, 19, 17
2021/10/22, 123, 23, 30, 9, 17, 11
2021/10/23, 87, 38, 32, 11, 20, 12
2021/10/24, 92, 50, 41, 11, 18, 9
2021/10/25, 105, 58, 56, 15, 15, 9
2021/10/26, 127, 63, 53, 15, 16, 10
2021/10/27, 141, 57, 41, 10, 18, 10
2021/10/28, 128, 66, 54, 10, 10, 8
2021/10/29, 153, 55, 40, 13, 17, 12
2021/10/30, 130, 41, 35, 12, 14, 10
2021/10/31, 89, 40, 29, 8, 10, 9
2021/11/1, 82, 24, 31, 8, 8, 9
2021/9/2, 81, 41, 37, 8, 4, 6
2021/9/3, 65, 38, 38, 10, 4, 6
2021/9/4, 64, 37, 33, 6, 3, 6
2021/9/5, 60, 33, 39, 7, 4, 6
2021/9/6, 60, 41, 49, 7, 4, 7
2021/9/7, 65, 39, 40, 8, 8, 9
2021/9/8, 79, 51, 57, 10, 15, 12
2021/9/9, 100, 52, 59, 11, 11, 10
2021/9/10, 102, 56, 56, 12, 6, 7
2021/9/11, 108, 60, 60, 11, 10, 10
2021/9/12, 113, 64, 70, 10, 7, 9
2021/9/13, 112, 61, 69, 8, 10, 9
2021/9/14, 119, 62, 69, 7, 7, 8
2021/9/15, 120, 40, 61, 8, 8, 9
2021/9/16, 90, 31, 30, 8, 4, 6
2021/9/17, 56, 35, 35, 10, 3, 6
2021/9/18, 62, 34, 33, 8, 3, 6
2021/9/19, 59, 40, 39, 7, 9, 6
2021/9/20, 73, 36, 43, 8, 10, 11
2021/9/21, 73, 48, 64, 10, 17, 10
2021/9/22, 90, 30, 42, 5, 8, 6
2021/9/23, 61, 34, 36, 7, 7, 6
2021/9/24, 59, 132, 32, 7, 6, 5
2021/9/25, 188, 42, 48, 12, 10, 6
2021/9/26, 77, 57, 82, 17, 7, 8
2021/9/27, 101, 65, 77, 17, 5, 8
2021/9/28, 112, 56, 66, 15, 14, 6
2021/9/29, 98, 51, 70, 13, 7, 7
2021/9/30, 86, 62, 54, 13, 15, 9
2021/10/1, 111, 64, 60, 13, 11, 7
2021/8/2, 98, 51, 59, 8, 5, 9
2021/8/3, 100, 54, 65, 12, 6, 11
2021/8/4, 106, 60, 57, 12, 8, 9
2021/8/5, 114, 54, 51, 9, 7, 8
2021/8/6, 96, 45, 53, 10, 9, 11
2021/8/7, 78, 47, 59, 9, 4, 7
2021/8/8, 78, 46, 50, 7, 3, 7
2021/8/9, 79, 46, 42, 9, 4, 7
2021/8/10, 81, 32, 32, 5, 3, 7
2021/8/11, 61, 34, 33, 9, 2, 7
2021/8/12, 57, 36, 35, 6, 2, 6
2021/8/13, 64, 34, 32, 5, 2, 5
2021/8/14, 58, 27, 27, 6, 3, 5
2021/8/15, 53, 29, 34, 9, 7, 6
2021/8/16, 59, 38, 30, 6, 1, 6
2021/8/17, 67, 37, 34, 7, 2, 6
2021/8/18, 64, 43, 48, 10, 3, 6
2021/8/19, 76, 60, 56, 11, 8, 7
2021/8/20, 108, 43, 37, 8, 3, 6
2021/8/21, 74, 37, 36, 6, 3, 6
2021/8/22, 73, 32, 33, 4, 2, 5
2021/8/23, 60, 35, 40, 5, 2, 4
2021/8/24, 65, 39, 38, 6, 2, 5
2021/8/25, 69, 43, 39, 8, 2, 6
2021/8/26, 77, 34, 32, 6, 3, 5
