date, pm25, pm10, o3, no2, so2, co
2021/11/2, 122, 58, , 7, 6, 7
2021/11/3, 122, 56, , 8, 9, 7
2021/11/4, 119, 45, , 6, 5, 6
2021/11/5, 91, 36, , 6, 4, 5
2021/11/6, 68, 36, , 6, 4, 6
2021/11/7, 73, 35, , 7, 7, 5
2021/11/8, 67, 28, , 5, 8, 5
2021/11/9, 52, 42, , 9, 16, 6
2021/11/10, 72, 49, , 12, 15, 6
2021/11/11, 90, 52, , 12, 12, 6
2021/11/12, 98, 52, , 10, 13, 6
2021/11/13, 98, 56, , 11, 15, 7
2021/11/14, 111, 56, , 12, 17, 7
2021/11/15, 115, 60, , 10, 9, 7
2021/11/16, 118, 71, , 11, 8, 7
2021/11/17, 146, 73, , 13, 16, 8
2021/11/18, 154, 48, , 8, 13, 8
2021/11/19, 106, 53, , 11, 8, 8
2021/11/20, 111, 46, , 9, 9, 8
2021/11/21, 106, , , , , 
2021/10/2, 103, 35, , 5, 6, 4
2021/10/3, 68, 29, , 5, 8, 4
2021/10/4, 61, 41, , 4, 4, 5
2021/10/5, 69, 41, , 5, 7, 5
2021/10/6, 70, 48, , 5, 8, 5
2021/10/7, 78, 55, , 7, 11, 5
2021/10/8, 88, 26, , 6, 7, 5
2021/10/9, 46, 8, , 3, 5, 7
2021/10/10, 22, 15, , 3, 5, 6
2021/10/11, 35, 24, , 3, 6, 7
2021/10/12, 58, 24, , 3, 9, 5
2021/10/13, 44, 21, , 3, 7, 4
2021/10/14, 39, 13, , 4, 5, 5
2021/10/15, 31, 29, , 4, 9, 6
2021/10/16, 68, 14, , 3, 6, 6
2021/10/17, 38, 19, , 3, 7, 6
2021/10/18, 47, 27, , 5, 8, 7
2021/10/19, 62, 41, , 7, 8, 6
2021/10/20, 81, 38, , 7, 6, 4
2021/10/21, 68, 23, , 7, 6, 5
2021/10/22, 46, 14, , 6, 10, 6
2021/10/23, 37, 32, , 7, 14, 6
2021/10/24, 74, 40, , 7, 11, 7
2021/10/25, 88, 45, , 9, 9, 6
2021/10/26, 92, 42, , 9, 10, 6
2021/10/27, 87, 49, , 10, 16, 7
2021/10/28, 106, 52, , 10, 13, 7
2021/10/29, 119, 60, , 9, 9, 7
2021/10/30, 128, 55, , 7, 10, 8
2021/10/31, 127, 40, , 7, 6, 8
2021/11/1, 90, 58, , 6, 6, 7
2021/9/2, 56, 23, , 4, 5, 5
2021/9/3, 36, 18, , 4, 4, 5
2021/9/4, 21, 16, , 5, 4, 4
2021/9/5, 18, 21, , 5, 4, 4
2021/9/6, 23, 36, , 7, 7, 5
2021/9/7, 43, 34, , 5, 8, 5
2021/9/8, 59, 29, , 5, 7, 5
2021/9/9, 42, 34, , 6, 9, 5
2021/9/10, 56, 47, , 11, 14, 7
2021/9/11, 80, 46, , 7, 9, 5
