date, pm25, pm10, o3, no2, so2, co
2021/11/2, 155, 46, , 13, 3, 6
2021/11/3, 95, 51, , 23, 5, 6
2021/11/4, 109, 47, , 24, 5, 5
2021/11/5, 112, 24, , 9, 3, 4
2021/11/6, 81, 28, , 10, 3, 4
2021/11/7, 65, 26, , 11, 3, 5
2021/11/8, 51, 30, , 12, 4, 5
2021/11/9, 67, 43, , 19, 7, 9
2021/11/10, 81, 49, , 25, 9, 10
2021/11/11, 91, 46, , 25, 7, 8
2021/11/12, 94, 47, , 27, 6, 8
2021/11/13, 103, 59, , 37, 8, 11
2021/11/14, 149, 66, , 43, 8, 13
2021/11/15, 139, 69, , 42, 8, 11
2021/11/16, 150, 71, , 36, 6, 10
2021/11/17, 152, 60, , 24, 4, 9
2021/11/18, 134, 53, 39, 26, 5, 8
2021/11/19, 122, 45, 52, 16, 9, 10
2021/11/20, 99, 52, 35, 14, 4, 8
2021/11/21, 111, , , , , 
2021/10/2, 78, 41, , 16, 4, 5
2021/10/3, 91, 37, , 11, 4, 3
2021/10/4, 64, 42, , 12, 2, 3
2021/10/5, 75, 42, , 9, 3, 3
2021/10/6, 68, 36, , 7, 2, 3
2021/10/7, 68, 25, , 6, 3, 4
2021/10/8, 60, 34, , 6, 3, 4
2021/10/9, 66, 24, , 5, 2, 4
2021/10/10, 54, 25, , 6, 3, 5
2021/10/11, 50, 22, , 3, 2, 4
2021/10/12, 32, 28, , 4, 3, 4
2021/10/13, 53, 23, , 5, 3, 5
2021/10/14, 60, 31, , 7, 3, 4
2021/10/15, 67, 18, , 5, 3, 6
2021/10/16, 41, 19, , 5, 2, 4
2021/10/17, 31, 24, , 14, 4, 3
2021/10/18, 35, 30, , 15, 4, 5
2021/10/19, 52, 45, , 19, 5, 7
2021/10/20, 106, 27, , 11, 3, 2
2021/10/21, 55, 36, , 13, 3, 2
2021/10/22, 93, 57, , 19, 3, 4
2021/10/23, 156, 47, , 18, 3, 4
2021/10/24, 86, 32, , 18, 2, 3
2021/10/25, 67, 40, , 16, 2, 3
2021/10/26, 88, 45, , 24, 3, 4
2021/10/27, 107, 48, , 20, 3, 6
2021/10/28, 125, 36, , 14, 3, 4
2021/10/29, 50, 42, , 17, 3, 4
2021/10/30, 88, 40, , 16, 4, 4
2021/10/31, 85, 38, , 20, 3, 5
2021/11/1, 86, 53, , 40, 3, 7
2021/9/2, 87, 32, , 12, 2, 6
2021/9/3, 63, 20, , 4, 3, 4
2021/9/4, 30, 26, , 4, 3, 5
2021/9/5, 48, 37, , 12, 3, 5
2021/9/6, 86, 38, , 16, 3, 5
2021/9/7, 84, 27, , 6, 3, 4
2021/9/8, 41, 28, , 6, 3, 3
2021/9/9, 48, 30, , 9, 3, 5
2021/9/10, 65, 34, , 12, 4, 7
2021/9/11, 89, 24, , 7, 3, 4
2021/9/12, 51, 23, , 3, 3, 4
2021/9/13, 39, 15, , 1, 3, 3
2021/9/14, 23, 23, , 1, 3, 4
2021/9/15, 46, 29, , 2, 4, 4
2021/9/16, 52, 22, , 3, 3, 3
2021/9/17, 40, 27, , 5, 4, 3
2021/9/18, 53, 37, , 10, 3, 3
2021/9/19, 68, 39, , 6, 4, 4
2021/9/20, 95, 38, , 20, 4, 7
2021/9/21, 76, 35, , 12, 4, 8
2021/9/22, 72, 53, , 25, 6, 9
2021/9/23, 88, 61, , 22, 5, 8
2021/9/24, 122, 41, , 5, 3, 4
2021/9/25, 91, 27, , 5, 3, 4
2021/9/26, 49, 30, , 6, 4, 3
2021/9/27, 68, 49, , 12, 5, 6
2021/9/28, 120, 57, , 10, 4, 8
2021/9/29, 139, 35, , 16, 4, 6
2021/9/30, 68, 19, , 8, 3, 3
2021/10/1, 45, 32, , 13, 3, 5
2021/8/2, 103, 23, , 3, 2, 3
2021/8/3, 51, 23, , 3, 2, 4
2021/8/4, 57, 23, , 3, 1, 2
2021/8/5, 46, 23, , 2, 1, 3
2021/8/6, 51, 26, , 3, 2, 3
2021/8/7, 55, 21, , 3, 1, 4
2021/8/8, 57, 20, , 2, 1, 4
2021/8/9, 54, 36, , 8, 1, 8
2021/8/10, 87, , , , , 
2021/8/21, 91, 42, , 13, 2, 8
2021/8/22, 99, 38, , 5, 2, 6
2021/8/23, 83, 34, , 11, , 5
2021/8/24, 62, 47, , 21, 3, 9
2021/8/25, 99, 43, , 15, 3, 9
2021/8/26, 84, 62, , 21, 3, 8
2021/8/27, 121, 38, , 10, 2, 7
2021/8/28, 76, 51, , 9, 2, 7
2021/8/29, 104, 43, , 7, 2, 5
2021/8/30, 84, 34, , 8, 2, 5
2021/8/31, 49, 40, , 16, 2, 4
2021/9/1, 76, 42, , 12, 4, 6
2021/7/2, 75, 28, , 8, 3, 4
2021/7/3, 81, 31, , 17, 3, 5
2021/7/4, 87, 28, , 10, 2, 5
2021/7/5, 79, 66, , 11, 3, 8
2021/7/6, 120, 40, , 15, 4, 5
2021/7/7, 77, 45, , 16, 4, 7
2021/7/8, 87, 36, , 20, 3, 8
2021/7/9, 87, 30, , 12, 4, 6
2021/7/10, 72, 27, , 13, 3, 5
2021/7/11, 70, 53, , 19, 5, 5
2021/7/12, 121, 55, , 17, 7, 5
2021/7/13, 102, 55, , 14, 4, 5
2021/7/14, 105, 47, , 11, 3, 4
2021/7/15, 89, 40, , 11, 3, 4
2021/7/16, 74, 24, , 7, 3, 3
2021/7/17, 47, 24, , 1, 3, 3
2021/7/18, 50, 23, , 3, 3, 3
2021/7/19, 69, 19, , 5, 4, 3
2021/7/20, 53, 21, , 1, 3, 2
2021/7/21, 52, 26, , 1, 3, 3
2021/7/22, 48, 37, , 3, 3, 3
2021/7/23, 62, 27, , 11, 2, 3
2021/7/24, 56, 28, , 1, 3, 3
2021/7/25, 49, 27, , 1, 5, 2
2021/7/26, 49, 14, , 1, 1, 3
2021/7/27, 51, 12, , 2, 1, 4
2021/7/28, 48, 23, , 3, 1, 4
2021/7/29, 54, 35, , 16, 1, 6
2021/7/30, 76, 40, , 17, 2, 9
2021/7/31, 108, 46, , 14, 3, 6
2021/8/1, 124, 38, , 7, 4, 6
2021/6/2, 66, 24, , 4, 3, 4
2021/6/3, 54, 46, , 11, 6, 7
2021/6/4, 95, 50, , 20, 8, 9
2021/6/5, 130, 60, , 20, 8, 8
2021/6/6, 120, 60, , 22, 11, 9
2021/6/7, 115, 51, , 21, 7, 5
2021/6/8, 77, 26, , 8, 12, 5
