date, pm25, pm10, o3, no2, so2, co
2021/11/2, 205, 132, , 16, 3, 11
2021/11/3, 209, 116, , 22, 3, 10
2021/11/4, 193, 110, , 25, 3, 11
2021/11/5, 186, 89, , 14, 3, 9
2021/11/6, 169, 86, , 11, 3, 9
2021/11/7, 160, 30, , 7, 2, 4
2021/11/8, 48, 50, , 13, 3, 5
2021/11/9, 66, 56, , 18, 4, 6
2021/11/10, 98, 38, , 12, 4, 4
2021/11/11, 62, 71, , 22, 4, 7
2021/11/12, 116, 72, , 18, 3, 6
2021/11/13, 110, 66, , 19, 4, 6
2021/11/14, 105, 69, , 22, 4, 8
2021/11/15, 119, 93, , 28, 7, 9
2021/11/16, 159, 127, , 18, 9, 10
2021/11/17, 191, 105, , 21, 6, 9
2021/11/18, 167, 71, , 20, 4, 8
2021/11/19, 140, 89, , 19, 5, 8
2021/11/20, 169, 144, , 14, 6, 10
2021/11/21, 238, , , , , 
2021/10/2, 94, 64, , 7, 5, 9
2021/10/3, 109, 64, , 8, 5, 8
2021/10/4, 110, 69, , 5, 4, 10
2021/10/5, 95, 16, , 5, 3, 5
2021/10/6, 35, 14, , 7, 3, 6
2021/10/7, 38, 15, , 6, 2, 5
2021/10/8, 46, 26, , 7, 3, 5
2021/10/9, 67, 40, , 12, 3, 7
2021/10/10, 88, 55, , 12, 3, 7
2021/10/11, 82, 32, , 7, 3, 5
2021/10/12, 57, 39, , 7, 4, 4
2021/10/13, 73, 60, , 12, 5, 6
2021/10/14, 113, 47, , 12, 3, 7
2021/10/15, 101, 26, , 9, 2, 5
2021/10/16, 61, 35, , 8, 3, 4
2021/10/17, 58, 45, , 10, 3, 1
2021/10/18, 69, 55, , 10, 3, 4
2021/10/19, 97, 72, , 20, 4, 7
2021/10/20, 145, 36, , 10, 2, 6
2021/10/21, 107, 44, , 16, 3, 8
2021/10/22, 97, 58, , 18, 3, 9
2021/10/23, 114, 71, , 15, 3, 8
2021/10/24, 159, 68, , 19, 3, 7
2021/10/25, 150, 80, , 25, 3, 10
2021/10/26, 158, 75, , 21, 3, 11
2021/10/27, 140, 87, , 17, 5, 11
2021/10/28, 161, 95, , 24, 4, 10
2021/10/29, 172, 95, , 26, 4, 12
2021/10/30, 171, 68, , 20, 4, 11
2021/10/31, 139, 75, , 20, 4, 11
2021/11/1, 143, 129, , 14, 5, 11
2021/9/2, 52, 32, , 9, 3, 7
2021/9/3, 68, 36, , 7, 3, 7
2021/9/4, 69, 18, , 3, 3, 7
2021/9/5, 43, 23, , 4, 4, 5
2021/9/6, 55, 21, , 6, 4, 6
2021/9/7, 54, 37, , 9, 4, 7
2021/9/8, 65, 48, , 10, 4, 5
2021/9/9, 69, 67, , 10, 4, 6
2021/9/10, 81, 61, , 9, 5, 6
2021/9/11, 85, 70, , 14, 4, 7
2021/9/12, 109, 64, , 7, 4, 6
2021/9/13, 96, 57, , 5, 4, 5
2021/9/14, 88, 57, , 6, 4, 5
2021/9/15, 87, 59, , 8, 4, 5
2021/9/16, 92, 62, , 7, 4, 5
2021/9/17, 107, 53, , 5, 4, 7
2021/9/18, 103, 43, , 5, 3, 8
2021/9/19, 110, 16, , 4, 3, 7
2021/9/20, 35, 34, , 7, 4, 6
2021/9/21, 63, 49, , 8, 6, 7
2021/9/22, 69, 63, , 10, 4, 6
2021/9/23, 92, 63, , 10, 4, 6
2021/9/24, 93, 31, , 4, 3, 6
2021/9/25, 74, 19, , 3, 3, 7
2021/9/26, 43, 18, , 4, 4, 7
2021/9/27, 45, 31, , 8, 4, 9
2021/9/28, 67, 19, , 5, 3, 7
2021/9/29, 49, 36, , 11, 4, 9
2021/9/30, 60, 51, , 14, 5, 8
2021/10/1, 76, 56, , 14, 5, 8
2021/8/2, 92, 35, , 4, 3, 6
2021/8/3, 69, 38, , 4, 4, 6
2021/8/4, 76, 49, , 4, 4, 7
2021/8/5, 92, 42, , 3, 3, 6
2021/8/6, 79, 38, , 5, 4, 6
2021/8/7, 77, 42, , 4, 4, 6
2021/8/8, 78, 41, , 4, 3, 5
2021/8/9, 79, 18, , 2, 3, 4
2021/8/10, 62, , , , , 
2021/8/21, 71, 40, , 8, 4, 7
2021/8/22, 78, 27, , 4, 3, 7
2021/8/23, 65, 19, , 6, 4, 5
2021/8/24, 51, 43, , 11, 5, 6
2021/8/25, 70, 62, , 10, 5, 6
2021/8/26, 88, 22, , 6, 3, 5
2021/8/27, 52, 25, , 8, 3, 6
2021/8/28, 59, 23, , 8, 3, 5
2021/8/29, 53, 13, , 4, 3, 8
2021/8/30, 34, 13, , 4, 3, 7
2021/8/31, 30, 24, , 3, 3, 8
2021/9/1, 52, 20, , 3, 3, 6
