date, pm25, pm10, o3, no2, so2, co
2021/11/2, 52, 36, 43, 7, 3, 4
2021/11/3, 64, 49, 39, 9, 3, 5
2021/11/4, 86, 38, 39, 8, 3, 4
2021/11/5, 65, 50, 68, 15, 3, 5
2021/11/6, 98, 62, 67, 14, 4, 6
2021/11/7, 127, 29, 43, 7, 3, 4
2021/11/8, 46, 26, 21, 8, 2, 4
2021/11/9, 39, 33, 32, 8, 3, 3
2021/11/10, 60, 43, 40, 12, 3, 4
2021/11/11, 67, 44, 51, 12, 3, 4
2021/11/12, 73, 43, 60, 9, 2, 4
2021/11/13, 70, 37, 41, 10, 2, 4
2021/11/14, 72, 39, 45, 10, 2, 5
2021/11/15, 68, 44, 43, 10, 3, 5
2021/11/16, 73, 46, 35, 10, 3, 4
2021/11/17, 92, 25, 28, 9, 3, 5
2021/11/18, 57, 32, 17, 14, 5, 5
2021/11/19, 71, 35, 37, 11, 4, 3
2021/11/20, 63, 28, 30, 9, 4, 3
2021/11/21, 55, , , , , 
2021/10/2, 82, 33, 57, 6, 2, 5
2021/10/3, 63, 29, 54, 6, 3, 4
2021/10/4, 55, 40, 36, 4, 2, 4
2021/10/5, 53, 40, 39, 3, 3, 3
2021/10/6, 54, 29, 28, 3, 2, 4
2021/10/7, 44, 23, 29, 4, 2, 3
2021/10/8, 40, 24, 21, 4, 2, 3
2021/10/9, 37, 35, 29, 3, 2, 3
2021/10/10, 46, 23, 30, 2, 2, 3
2021/10/11, 32, 34, 27, 2, 2, 2
2021/10/12, 41, 29, 22, 2, 2, 
2021/10/13, 28, 24, 27, 3, 2, 4
2021/10/14, 46, 18, 17, 5, 2, 3
2021/10/15, 33, 29, 32, 4, 3, 5
2021/10/16, 40, 30, 36, 5, 3, 4
2021/10/17, 42, 28, 39, 5, 3, 3
2021/10/18, 50, 32, 40, 7, 3, 4
2021/10/19, 61, 39, 55, 9, 4, 4
2021/10/20, 68, 33, 39, 10, 4, 4
2021/10/21, 84, 24, 17, 11, 4, 6
2021/10/22, 70, 13, 31, 6, 3, 4
2021/10/23, 28, 31, 33, 9, 3, 5
2021/10/24, 66, 29, 34, 9, 4, 5
2021/10/25, 56, 29, 47, 8, 4, 4
2021/10/26, 53, 30, 45, 7, 4, 3
2021/10/27, 50, 33, 46, 7, 3, 4
2021/10/28, 55, 42, 59, 8, 3, 4
2021/10/29, 82, 46, 60, 10, 4, 3
2021/10/30, 89, 36, 47, 11, 3, 3
2021/10/31, 74, 53, 79, 12, 4, 4
2021/11/1, 109, 23, 40, 6, 3, 3
2021/9/2, 55, 32, 47, 6, 3, 3
2021/9/3, 55, 53, 54, 12, 5, 4
2021/9/4, 81, 38, 58, 7, 2, 4
2021/9/5, 65, 30, 37, 5, 1, 3
2021/9/6, 51, 24, 29, 4, 2, 3
2021/9/7, 35, 36, 71, 6, 2, 4
2021/9/8, 68, 30, 46, 5, 1, 4
2021/9/9, 52, 25, 32, 4, 1, 4
2021/9/10, 39, 27, 36, 5, 2, 4
2021/9/11, 40, 19, 17, 2, 2, 3
2021/9/12, 31, 19, 27, 4, 1, 4
2021/9/13, 25, 34, 54, 8, 3, 4
2021/9/14, 66, 46, 83, 10, 3, 5
2021/9/15, 89, 37, 61, 7, 2, 5
2021/9/16, 73, 27, 57, 5, 2, 4
2021/9/17, 60, 32, 54, 5, 2, 4
2021/9/18, 64, 29, 48, 4, 2, 4
2021/9/19, 60, 32, 61, 4, 2, 4
2021/9/20, 65, 40, 43, 10, 7, 4
2021/9/21, 64, 35, 46, 8, 4, 4
2021/9/22, 65, 28, 46, 6, 3, 4
2021/9/23, 47, 32, 49, 8, 3, 4
2021/9/24, 61, 27, 44, 5, 2, 4
2021/9/25, 46, 38, 53, 4, 2, 4
2021/9/26, 58, 35, 63, 6, 3, 4
2021/9/27, 64, 42, 49, 8, 3, 4
2021/9/28, 66, 38, 48, 7, 3, 4
2021/9/29, 69, 47, 75, 9, 4, 5
2021/9/30, 78, 47, 72, 11, 5, 5
2021/10/1, 87, 36, 60, 8, 4, 4
2021/8/2, 68, 19, 51, 6, 1, 5
2021/8/3, 48, 27, 56, 5, 2, 4
2021/8/4, 54, 16, 35, 3, 1, 3
2021/8/5, 37, 12, 38, 2, 1, 3
2021/8/6, 30, 10, 32, 4, 1, 4
2021/8/7, 23, 21, 38, 6, 1, 5
2021/8/8, 35, 34, 66, 8, 2, 5
2021/8/9, 78, 33, 45, 7, 1, 5
2021/8/10, 68, , , , , 
2021/8/21, 59, 37, 53, 10, 2, 2
2021/8/22, 70, 40, 52, 7, 2, 2
2021/8/23, 67, 25, 44, 6, 2, 2
2021/8/24, 45, 19, 32, 6, 2, 1
2021/8/25, 29, 27, 36, 8, 2, 2
2021/8/26, 49, 32, 37, 7, 5, 3
2021/8/27, 62, 39, 47, 7, 2, 3
2021/8/28, 69, 38, 46, 6, 2, 4
2021/8/29, 61, 30, 32, 4, 1, 3
2021/8/30, 42, 25, 27, 3, 2, 4
2021/8/31, 41, 24, 23, 4, 2, 3
2021/9/1, 43, 32, 36, 5, 2, 3
2021/7/2, 57, 34, 38, 5, 1, 1
2021/7/3, 59, 33, 41, 4, 1, 1
2021/7/4, 60, 30, 37, 6, 2, 1
2021/7/5, 52, 50, 73, 8, 6, 2
2021/7/6, 72, 37, 49, 5, 2, 2
2021/7/7, 67, 19, 25, 4, 1, 1
2021/7/8, 34, 30, 44, 7, 3, 1
2021/7/9, 47, 35, 48, 9, 4, 2
2021/7/10, 58, 31, 36, 8, 4, 2
2021/7/11, 48, 32, 21, 7, 5, 2
2021/7/12, 47, 29, 20, 6, 5, 1
2021/7/13, 41, 22, 20, 4, 2, 1
2021/7/14, 37, 24, 31, 5, 1, 2
2021/7/15, 40, 29, 33, 4, 2, 3
2021/7/16, 49, 24, 29, 3, 1, 2
2021/7/17, 41, 21, 30, 3, 1, 2
2021/7/18, 33, 26, 41, 3, 1, 1
2021/7/19, 41, 25, 35, 3, 2, 1
2021/7/20, 43, 23, 21, 2, 1, 2
2021/7/21, 36, 34, 30, 2, 1, 1
2021/7/22, 48, 39, 26, 5, 1, 2
2021/7/23, 68, 23, 25, 5, 1, 2
2021/7/24, 46, 27, 40, 7, 2, 3
2021/7/25, 51, 34, 50, 7, 2, 3
2021/7/26, 71, 40, 44, 9, 4, 3
2021/7/27, 82, 54, 80, 11, 5, 3
2021/7/28, 105, 55, 83, 8, 2, 5
2021/7/29, 119, 45, 57, 7, 2, 5
2021/7/30, 89, 31, 66, 8, 1, 5
2021/7/31, 67, 22, 36, 8, 2, 3
2021/8/1, 60, 29, 78, 6, 1, 6
2021/6/2, 70, 27, 26, 11, 3, 5
2021/6/3, 59, 39, 39, 11, 7, 4
2021/6/4, 63, 34, 41, 8, 3, 3
2021/6/5, 53, 17, 36, 7, 1, 5
2021/6/6, 50, 14, 71, 5, 1, 4
2021/6/7, 30, 28, 43, 7, 2, 3
2021/6/8, 54, 26, 50, 6, 1, 4
2021/6/9, 65, 27, 43, 7, 2, 3
2021/6/10, 57, 38, 63, 8, 2, 3
2021/6/11, 74, 41, 46, 10, 3, 3
2021/6/12, 63, 37, 51, 7, 2, 3
2021/6/13, 64, 30, 39, 6, 2, 3
2021/6/14, 56, 34, 40, 8, 5, 2
2021/6/15, 55, 31, 43, 5, 3, 2
2021/6/16, 49, 40, 51, 7, 2, 3
2021/6/17, 68, 41, 49, 7, 2, 3
2021/6/18, 68, 46, 63, 10, 3, 4
2021/6/19, 65, 55, 70, 13, 4, 4
2021/6/20, 86, 52, 57, 13, 4, 4
2021/6/21, 81, 39, 48, 7, 2, 5
2021/6/22, 81, 19, 39, 4, 1, 5
2021/6/23, 47, 20, 35, 4, 1, 2
2021/6/24, 32, 17, 32, 4, 1, 2
2021/6/25, 38, 24, 40, 5, 1, 2
2021/6/26, 55, 32, 33, 8, 1, 3
2021/6/27, 67, 39, 50, 8, 2, 2
2021/6/28, 65, 37, 28, 10, 3, 2
2021/6/29, 59, 36, 21, 12, 4, 3
2021/6/30, 60, 41, 33, 9, 4, 2
2021/7/1, 64, 32, 26, 4, 1, 1
2021/5/2, 133, 54, 78, 10, 2, 7
2021/5/3, 115, 38, 37, 9, 2, 5
2021/5/4, 66, 37, 22, 16, 4, 6
2021/5/5, 96, 43, 51, 10, 2, 5
2021/5/6, 81, 54, 77, 10, 2, 4
2021/5/7, 80, 61, 77, 16, 7, 4
2021/5/8, 106, 45, 43, 15, 6, 3
2021/5/9, 81, 35, 43, 10, 2, 3
2021/5/10, 80, 33, 51, 10, 2, 3
2021/5/11, 75, 31, 36, 8, 2, 2
2021/5/12, 53, 33, 37, 8, 2, 2
2021/5/13, 66, 40, 36, 10, 3, 2
2021/5/14, 79, 30, 31, 7, 2, 2
2021/5/15, 54, 28, 33, 5, 1, 2
2021/5/16, 48, 33, 37, 6, 1, 2
2021/5/17, 56, 41, 50, 8, 2, 2
2021/5/18, 81, 43, 26, 10, 1, 4
2021/5/19, 94, 31, 26, 6, 1, 5
2021/5/20, 57, 25, 22, 6, 2, 1
2021/5/21, 44, 32, 31, 6, 1, 2
2021/5/22, 60, 50, 34, 7, 1, 3
2021/5/23, 87, 40, 50, 6, 2, 3
2021/5/24, 69, 26, 43, 7, 2, 4
2021/5/25, 53, 30, 78, 6, 2, 4
2021/5/26, 63, 36, 77, 8, 3, 3
2021/5/27, 66, 34, 58, 7, 2, 3
2021/5/28, 61, 36, 67, 8, 3, 3
2021/5/29, 68, 28, 33, 8, 2, 4
2021/5/30, 67, 21, 30, 7, 1, 5
2021/5/31, 61, 19, 35, 6, 1, 4
2021/6/1, 50, 33, 56, 8, 1, 6
2021/4/2, 97, 51, 61, 14, 2, 5
2021/4/3, 107, 45, 48, 12, 2, 6
2021/4/4, 102, 38, 31, 10, 2, 8
2021/4/5, 136, 43, 69, 10, 2, 5
2021/4/6, 79, 42, 82, 9, 3, 4
2021/4/7, 60, 41, 72, 10, 3, 4
2021/4/8, 58, 32, 48, 9, 2, 3
2021/4/9, 69, 37, 70, 7, 2, 4
2021/4/10, 73, 39, 63, 7, 2, 3
2021/4/11, 53, 42, 55, 9, 2, 4
2021/4/12, 73, 53, 53, 17, 4, 5
2021/4/13, 109, 49, 57, 15, 5, 6
2021/4/14, 99, 33, 44, 7, 2, 4
2021/4/15, 88, 28, 40, 10, 2, 4
2021/4/16, 72, 49, 61, 13, 2, 6
2021/4/17, 120, 44, 74, 9, 2, 5
2021/4/18, 83, 103, 75, 6, 2, 4
2021/4/19, 118, 57, 57, 6, 2, 3
2021/4/20, 67, 47, 55, 5, 2, 2
2021/4/21, 62, 49, 50, 4, 2, 2
2021/4/22, 67, 45, 53, 7, 2, 3
2021/4/23, 66, 38, 54, 8, 2, 4
2021/4/24, 75, 41, 76, 8, 2, 5
2021/4/25, 95, 23, 33, 5, 2, 2
2021/4/26, 43, 37, 46, 5, 2, 2
2021/4/27, 63, 45, 30, 15, 2, 4
2021/4/28, 102, 16, 25, 13, 1, 4
2021/4/29, 68, 27, 55, 12, 2, 6
2021/4/30, 72, 58, 83, 17, 4, 7
2021/5/1, 114, 72, 100, 21, 10, 9
2021/3/2, 121, 28, 48, 12, 3, 5
2021/3/3, 75, 44, 35, 8, 2, 3
2021/3/4, 78, 58, 32, 20, 4, 6
2021/3/5, 129, 28, 36, 15, 2, 6
2021/3/6, 119, 26, 33, 12, 2, 5
2021/3/7, 114, 25, 32, 9, 2, 4
2021/3/8, 60, 44, 52, 8, 2, 4
2021/3/9, 78, 47, 64, 9, 2, 4
2021/3/10, 83, 36, 49, 7, 3, 4
2021/3/11, 69, 40, 71, 9, 3, 4
2021/3/12, 86, 57, 67, 13, 3, 5
2021/3/13, 123, 40, 70, 10, 3, 5
2021/3/14, 102, 39, 79, 9, 3, 5
2021/3/15, 94, 47, 68, 8, 3, 4
2021/3/16, 101, 66, 87, 18, 7, 5
2021/3/17, 137, 51, 96, 13, 3, 5
2021/3/18, 126, 48, 51, 11, 2, 5
2021/3/19, 94, 50, 65, 14, 3, 5
2021/3/20, 127, 59, 71, 11, 3, 4
2021/3/21, 142, 35, 39, 10, 2, 5
