date, pm25, pm10, o3, no2, so2, co
2021/11/2, 125, 63, 32, 24, 3, 6
2021/11/3, 142, 34, 34, 15, 2, 4
2021/11/4, 76, 40, 20, 18, 2, 4
2021/11/5, 82, 37, 13, 20, 2, 6
2021/11/6, 83, 23, , 11, 2, 3
2021/11/7, 51, 26, 15, 11, 3, 3
2021/11/8, 53, 32, 24, 10, 3, 5
2021/11/9, 87, 43, 27, 18, 2, 4
2021/11/10, 80, 48, 33, 19, 4, 3
2021/11/11, 80, 53, 31, 22, 3, 5
2021/11/12, 82, 59, 24, 26, 5, 5
2021/11/13, 97, 54, 31, 23, 3, 4
2021/11/14, 98, 51, 40, 19, 3, 5
2021/11/15, 97, 60, 47, 23, 3, 6
2021/11/16, 108, 83, 26, 37, 5, 8
2021/11/17, 147, 65, 12, 27, 3, 7
2021/11/18, 127, 35, 19, 20, 2, 4
2021/11/19, 73, 40, 33, 19, 3, 4
2021/11/20, 74, 45, 2, 15, 2, 4
2021/11/21, 75, , , , , 
2021/10/2, 90, 45, 85, 11, 3, 5
2021/10/3, 87, 25, 48, 2, 2, 2
2021/10/4, 62, 34, 38, 3, 4, 2
2021/10/5, 55, 42, 52, 7, 4, 4
2021/10/6, 74, 44, 28, 13, 4, 5
2021/10/7, 77, 35, 36, 8, 3, 5
2021/10/8, 69, 41, 26, 15, 5, 7
2021/10/9, 90, 22, 32, 7, 3, 5
2021/10/10, 43, 35, 22, 12, 4, 7
2021/10/11, 71, 10, 23, 8, 3, 7
2021/10/12, 25, 27, 21, 13, 3, 6
2021/10/13, 46, 34, 16, 17, 3, 7
2021/10/14, 68, 40, 23, 16, 4, 6
2021/10/15, 76, 29, 29, 13, 4, 5
2021/10/16, 56, 12, 25, 7, 3, 4
2021/10/17, 33, 22, 29, 9, 4, 4
2021/10/18, 55, 46, , 16, 3, 4
2021/10/19, 63, 47, , 16, 5, 6
2021/10/20, 85, 30, , 17, 3, 4
2021/10/21, 62, 21, , 15, 3, 4
2021/10/22, 51, 67, , 20, 3, 7
2021/10/23, 132, 51, , 24, 4, 7
2021/10/24, 104, 40, , 23, 4, 4
2021/10/25, 71, 49, , 21, 3, 4
2021/10/26, 84, 44, 17, 18, 3, 3
2021/10/27, 90, 58, 45, 24, 4, 4
2021/10/28, 122, 54, 39, 24, 4, 4
2021/10/29, 108, 52, 47, 23, 4, 3
2021/10/30, 94, 72, 68, 26, 4, 6
2021/10/31, 133, 66, 46, 23, 5, 6
2021/11/1, 133, 59, 50, 18, 4, 4
2021/9/2, 80, 49, 53, 14, 3, 5
2021/9/3, 97, 51, 65, 12, 3, 7
2021/9/4, 106, 31, 47, 8, 3, 4
2021/9/5, 75, 39, 50, 11, 3, 5
2021/9/6, 86, 70, 87, 14, 4, 8
2021/9/7, 149, 33, 45, 10, 3, 6
2021/9/8, 72, 35, 31, 14, 3, 6
2021/9/9, 83, 24, 31, 10, 3, 5
2021/9/10, 54, 23, 38, 9, 3, 5
2021/9/11, 52, 29, 29, 9, 3, 4
2021/9/12, 63, 15, 26, 7, 4, 3
2021/9/13, 30, 7, 12, 5, 3, 4
2021/9/14, 16, 25, 32, 8, 3, 5
2021/9/15, 58, 44, 34, 11, 3, 5
2021/9/16, 78, 31, 30, 15, 3, 5
2021/9/17, 66, 48, 92, 17, 4, 5
2021/9/18, 89, 48, 81, 15, 4, 5
2021/9/19, 91, 54, 72, 14, 3, 5
2021/9/20, 113, 35, 45, 8, 4, 5
2021/9/21, 75, 31, 61, 10, 4, 5
2021/9/22, 72, 39, 56, 13, 4, 5
2021/9/23, 74, 48, 67, 15, 3, 5
2021/9/24, 86, 35, 51, 15, 3, 4
2021/9/25, 72, 37, 57, 8, 4, 4
2021/9/26, 76, 53, 74, 15, 4, 5
2021/9/27, 91, 55, 92, 19, 4, 6
2021/9/28, 104, 73, 113, 17, 4, 7
2021/9/29, 148, 52, 105, 14, 3, 6
2021/9/30, 109, 28, 69, 9, 3, 4
2021/10/1, 65, 42, 86, 13, 3, 4
2021/8/2, 79, 29, 30, 7, 2, 4
2021/8/3, 64, 18, 34, 6, 3, 2
2021/8/4, 43, 18, 20, 7, 2, 3
2021/8/5, 40, 24, 31, 8, 3, 2
2021/8/6, 46, 28, 40, 8, 2, 2
2021/8/7, 55, 27, 37, 6, 3, 2
2021/8/8, 59, 45, 72, 9, 3, 4
2021/8/9, 93, 45, 102, 8, 2, 4
2021/8/10, 98, , , , , 
2021/8/14, 67, 16, 33, 11, 2, 4
2021/8/15, 45, 35, 42, 9, 2, 5
2021/8/16, 88, 27, 32, 13, 2, 6
2021/8/17, 65, 21, 63, 8, 2, 5
2021/8/18, 52, 26, 68, 8, 3, 4
2021/8/19, 67, 44, 63, 7, 2, 4
2021/8/20, 107, 31, 36, 7, 2, 4
2021/8/21, 73, 24, 41, 8, 3, 4
2021/8/22, 60, 22, 37, 6, 2, 4
2021/8/23, 60, 31, 49, 7, 3, 5
2021/8/24, 70, 34, 48, 9, 3, 3
2021/8/25, 79, 47, 62, 14, 3, 4
2021/8/26, 93, 47, 48, 11, 3, 4
2021/8/27, 95, 30, 53, 7, 3, 3
2021/8/28, 73, 49, 47, 9, 3, 4
2021/8/29, 93, 35, 40, 8, 3, 3
2021/8/30, 78, 27, 32, 6, 3, 2
2021/8/31, 60, 28, 40, 7, 3, 3
2021/9/1, 63, 37, 62, 10, 3, 3
2021/7/2, 63, 16, 10, 9, , 5
2021/7/3, 46, 27, 37, 10, 1, 5
2021/7/4, 67, 37, 61, 9, 1, 4
2021/7/5, 90, 24, 39, 6, 1, 4
2021/7/6, 57, 5, , 3, 1, 2
2021/7/7, 11, 27, , 7, 1, 4
2021/7/8, 51, 27, , 8, 1, 4
2021/7/9, 53, 17, , 8, 2, 4
2021/7/10, 38, 25, , 7, 2, 5
