date, pm25, pm10, o3, no2, so2, co
2021/11/2, 137, 69, 27, 20, 8, 
2021/11/3, 142, 116, 39, 26, 8, 
2021/11/4, 188, 125, 55, 27, 7, 
2021/11/5, 193, 92, 45, 13, 8, 
2021/11/6, 157, 36, 31, 12, 3, 
2021/11/7, 87, 20, 27, 10, 3, 
2021/11/8, 46, 32, 31, 12, 5, 
2021/11/9, 59, 44, 27, 20, 7, 
2021/11/10, 79, 50, 25, 22, 5, 
2021/11/11, 76, 38, 29, 21, 4, 
2021/11/12, 55, 60, 24, 26, 7, 
2021/11/13, 108, 95, 23, 30, 11, 
2021/11/14, 164, 101, 5, 28, 11, 
2021/11/15, 169, 120, , 35, 10, 
2021/11/16, 190, 118, 35, 31, 9, 
2021/11/17, 190, 131, 62, 29, 8, 
2021/11/18, 203, 108, 58, 20, 7, 
2021/11/19, 194, 108, 53, 29, 9, 
2021/11/20, 184, 104, 32, 26, 9, 
2021/11/21, 181, , , , , 
2021/10/2, 114, 78, 84, 12, 8, 
2021/10/3, 137, 68, 71, 13, 9, 
2021/10/4, 137, 19, 27, 8, 6, 
2021/10/5, 52, 13, 30, 7, 3, 
2021/10/6, 39, 20, 24, 9, 2, 
2021/10/7, 51, 21, 22, 10, 4, 
2021/10/8, 52, 29, 25, 13, 7, 
2021/10/9, 70, 40, 23, 17, 5, 
2021/10/10, 79, 29, 30, 9, 4, 
2021/10/11, 50, 23, 35, 9, 5, 
2021/10/12, 39, 43, 49, 18, 8, 
2021/10/13, 68, 60, 60, 26, 9, 
2021/10/14, 103, 74, 47, 29, 8, 
2021/10/15, 132, 60, 30, 19, 6, 
2021/10/16, 103, 34, 28, 8, 4, 
2021/10/17, 43, 41, 28, 17, 8, 
2021/10/18, 63, 53, 34, 20, 6, 
2021/10/19, 95, 59, 28, 19, 6, 
2021/10/20, 110, 58, 20, 22, 8, 
2021/10/21, 117, 84, 35, 23, 4, 
2021/10/22, 163, 71, 31, 23, 4, 
2021/10/23, 124, 53, 42, 23, 6, 
