date, pm25, pm10, o3, no2, so2, co
2021/11/2, 114, 67, 50, 14, 4, 7
2021/11/3, 146, 66, 49, 26, 5, 6
2021/11/4, 133, 61, 36, 22, 5, 5
2021/11/5, 121, 37, 9, 20, 4, 8
2021/11/6, 76, 30, 20, 14, 3, 6
2021/11/7, 52, 23, 24, 14, 3, 5
2021/11/8, 40, 36, 27, 12, 5, 3
2021/11/9, 63, 47, 32, 16, 7, 5
2021/11/10, 75, 49, 32, 21, 7, 7
2021/11/11, 77, 53, 32, 24, 6, 5
2021/11/12, 86, 54, 26, 29, 7, 6
2021/11/13, 104, 66, 35, 32, 6, 6
2021/11/14, 129, 67, 36, 35, 8, 8
2021/11/15, 116, 64, 39, 30, 5, 7
2021/11/16, 112, 70, 62, 32, 7, 8
2021/11/17, 153, 65, 43, 26, 6, 7
2021/11/18, 134, 63, 38, 26, 6, 7
2021/11/19, 117, 56, 32, 26, 5, 7
2021/11/20, 111, 46, 20, 19, 6, 5
2021/11/21, 97, , , , , 
2021/10/2, 85, 54, 62, 17, 4, 7
2021/10/3, 104, 53, 66, 8, 4, 5
2021/10/4, 94, 51, 68, 11, 4, 5
2021/10/5, 89, 68, 50, 17, 4, 7
2021/10/6, 130, 68, 47, 15, 4, 7
2021/10/7, 116, 53, 8, 15, 4, 7
2021/10/8, 100, 35, 5, 13, 2, 6
2021/10/9, 61, 57, 38, 16, 3, 7
2021/10/10, 90, 44, 19, 14, 3, 8
2021/10/11, 75, 35, 26, 14, 3, 6
2021/10/12, 46, 40, 48, 12, 5, 5
2021/10/13, 46, 44, 24, 21, 4, 8
2021/10/14, 79, 36, 16, 16, 3, 8
2021/10/15, 67, 12, 34, 12, 3, 6
2021/10/16, 21, 25, 25, 13, 3, 5
2021/10/17, 53, 31, 31, 13, 3, 3
2021/10/18, 45, 42, 27, 17, 6, 5
2021/10/19, 74, 52, 22, 23, 7, 6
2021/10/20, 100, 29, 24, 14, 4, 4
2021/10/21, 59, 49, 33, 19, 6, 4
2021/10/22, 120, 62, 35, 28, 7, 6
2021/10/23, 156, 60, 58, 26, 5, 7
2021/10/24, 129, 58, 51, 26, 6, 6
2021/10/25, 109, 56, 53, 25, 5, 6
2021/10/26, 110, 58, 43, 30, 6, 19
2021/10/27, 104, 71, 65, 35, 5, 10
2021/10/28, 144, 67, 61, 25, 5, 7
2021/10/29, 134, 67, 50, 36, 6, 7
2021/10/30, 126, 79, 55, 50, 6, 8
2021/10/31, 157, 74, 73, 29, 6, 8
