date, pm25, pm10, o3, no2, so2, co
2021/11/2, 159, 59, 39, 20, 2, 6
2021/11/3, 154, 59, 39, 22, 5, 7
2021/11/4, 143, 42, 20, 19, 3, 9
2021/11/5, 130, 41, 7, 16, 3, 8
2021/11/6, 116, 54, 11, 15, 3, 7
2021/11/7, 158, 24, 27, 9, 3, 4
2021/11/8, 67, 38, 33, 13, 3, 4
2021/11/9, 70, 45, 33, 23, 4, 6
2021/11/10, 92, 65, 36, 25, 11, 12
2021/11/11, 122, 58, 35, 23, 4, 7
2021/11/12, 123, 52, 40, 20, 4, 5
2021/11/13, 92, 53, 44, 26, 4, 7
2021/11/14, 105, 63, 45, 28, 6, 8
2021/11/15, 139, 72, 39, 30, 7, 8
2021/11/16, 147, 100, 21, 34, 7, 10
2021/11/17, 180, 101, 35, 21, 4, 8
2021/11/18, 202, 96, 63, 28, 9, 11
2021/11/19, 187, 72, 48, 24, 4, 9
2021/11/20, 162, 56, 24, 24, 7, 7
2021/11/21, 151, 73, 23, 12, 3, 8
2021/11/22, 179, , , , , 
2021/10/2, 115, 56, 72, 21, 10, 8
2021/10/3, 118, 53, 74, 12, 13, 8
2021/10/4, 119, 43, 54, 14, 10, 7
2021/10/5, 90, 57, 77, 12, 5, 5
2021/10/6, 105, 60, 25, 8, 3, 5
2021/10/7, 128, 52, 20, 8, 2, 5
2021/10/8, 115, 63, 20, 9, 4, 5
2021/10/9, 140, 57, 15, 11, 3, 7
2021/10/10, 154, 31, 20, 7, 3, 7
2021/10/11, 106, 39, 23, 8, 3, 4
2021/10/12, 62, 45, 54, 9, 3, 4
2021/10/13, 94, 57, 42, 10, 4, 5
2021/10/14, 131, 59, 47, 12, 3, 6
2021/10/15, 158, 24, 35, 8, 7, 6
2021/10/16, 92, 11, 29, 7, 2, 4
2021/10/17, 47, 33, 26, 8, 3, 4
2021/10/18, 94, 46, 23, 16, 5, 8
2021/10/19, 115, 29, 19, 15, 3, 5
2021/10/20, 93, 11, 22, 10, 3, 5
2021/10/21, 46, 20, 29, 10, 3, 4
2021/10/22, 64, 40, 28, 19, 6, 6
2021/10/23, 124, 48, 51, 17, 3, 6
2021/10/24, 113, 60, 62, 20, 4, 8
2021/10/25, 146, 65, 61, 24, 4, 8
2021/10/26, 142, 74, 42, 27, 8, 10
2021/10/27, 157, 82, 68, 18, 5, 7
2021/10/28, 176, 81, 45, 24, 5, 8
2021/10/29, 179, 63, 34, 16, 3, 8
2021/10/30, 208, 81, 57, 19, 3, 8
2021/10/31, 189, 76, 31, 29, 4, 9
2021/11/1, 181, 60, 38, 20, 3, 6
2021/9/2, 95, 57, 69, 12, 3, 7
2021/9/3, 120, 50, 59, 14, 6, 8
2021/9/4, 100, 47, 50, 15, 10, 9
2021/9/5, 96, 53, 68, 14, 9, 10
2021/9/6, 121, 51, 36, 8, 3, 7
2021/9/7, 107, 32, 52, 8, 3, 6
2021/9/8, 67, 44, 69, 13, 3, 5
2021/9/9, 98, 61, 104, 23, 8, 10
2021/9/10, 134, 57, 98, 23, 7, 8
2021/9/11, 105, 58, 87, 19, 7, 7
2021/9/12, 108, 59, 82, 17, 2, 7
2021/9/13, 119, 43, 78, 11, 3, 5
2021/9/14, 78, 48, 77, 14, 2, 6
2021/9/15, 92, 48, 79, 17, 6, 6
2021/9/16, 87, 56, 105, 18, 6, 7
2021/9/17, 100, 52, 98, 12, 4, 6
2021/9/18, 109, 53, 73, 15, 7, 8
2021/9/19, 118, 47, 46, 13, 17, 11
2021/9/20, 108, 28, 53, 12, 6, 10
2021/9/21, 65, 35, 66, 16, 8, 9
2021/9/22, 83, 45, 75, 20, 8, 8
2021/9/23, 86, 44, 51, 15, 5, 6
2021/9/24, 94, 31, 42, 12, 11, 8
2021/9/25, 85, 47, 61, 17, 15, 10
2021/9/26, 96, 50, 67, 20, 8, 9
2021/9/27, 105, 58, 47, 12, 3, 6
2021/9/28, 130, 77, 83, 17, 10, 12
2021/9/29, 164, 38, 33, 11, 2, 6
2021/9/30, 75, 44, 72, 20, 5, 12
2021/10/1, 97, 56, 78, 21, 8, 9
2021/8/2, 119, 55, 81, 12, 4, 9
2021/8/3, 115, 58, 91, 8, 5, 9
2021/8/4, 122, 51, 63, 8, 3, 9
2021/8/5, 92, 31, 35, 10, 5, 7
2021/8/6, 59, 31, 46, 8, 3, 7
2021/8/7, 60, 42, 55, 13, 5, 7
2021/8/8, 82, 49, 91, 12, 6, 7
2021/8/9, 85, 44, 56, 11, 9, 8
2021/8/10, 89, , , , , 
2021/8/21, 84, 40, 42, 11, 6, 5
2021/8/22, 83, 44, 41, 10, 9, 9
2021/8/23, 85, 46, 39, 12, 19, 12
2021/8/24, 80, 25, 25, 7, 3, 6
2021/8/25, 55, 34, 40, 10, 3, 7
2021/8/26, 62, 42, 32, 8, 3, 5
2021/8/27, 78, 25, 33, 7, 2, 4
2021/8/28, 69, 54, 62, 13, 7, 9
2021/8/29, 113, 42, 42, 12, 7, 8
2021/8/30, 76, 40, 44, 13, 9, 9
2021/8/31, 70, 50, 45, 14, 9, 6
2021/9/1, 98, 44, 53, 12, 10, 8
2021/7/2, 70, 39, 25, 14, 8, 10
2021/7/3, 73, 35, 30, 10, 3, 7
2021/7/4, 71, 31, 29, 12, 5, 8
2021/7/5, 68, 41, 44, 14, 6, 6
2021/7/6, 90, 39, 41, 16, 9, 7
2021/7/7, 83, 40, 53, 15, 10, 5
2021/7/8, 79, 26, 31, 14, 23, 10
2021/7/9, 60, 32, 34, 13, 22, 7
2021/7/10, 70, 40, 48, 10, 21, 8
2021/7/11, 71, 48, 56, 16, 23, 14
2021/7/12, 93, 44, 45, 17, 23, 16
2021/7/13, 73, 43, 41, 17, 26, 13
2021/7/14, 75, 40, 45, 13, 17, 8
2021/7/15, 87, 43, 48, 15, 14, 10
2021/7/16, 90, 42, 52, 13, 9, 9
2021/7/17, 88, 51, 86, 12, 8, 9
2021/7/18, 108, 37, 34, 12, 4, 7
2021/7/19, 80, 42, 89, 12, 7, 8
2021/7/20, 94, 43, 49, 14, 6, 5
2021/7/21, 82, 35, 43, 11, 5, 5
2021/7/22, 74, 43, 65, 10, 7, 6
2021/7/23, 88, 35, 64, 11, 3, 4
2021/7/24, 76, 40, 65, 12, 3, 5
2021/7/25, 82, 31, 47, 8, 3, 4
2021/7/26, 70, 33, 44, 8, 3, 5
2021/7/27, 68, 43, 50, 10, 3, 5
2021/7/28, 77, 36, 42, 6, 3, 5
2021/7/29, 81, 37, 77, 11, 3, 5
2021/7/30, 59, 47, 74, 18, 5, 8
2021/7/31, 86, 41, 94, 16, 12, 12
2021/8/1, 90, 59, 118, 16, 5, 10
2021/6/2, 105, 44, 39, 11, 5, 10
2021/6/3, 110, 29, 44, 9, 4, 8
2021/6/4, 103, 40, 62, 12, 3, 6
2021/6/5, 73, 54, 81, 20, 12, 12
2021/6/6, 104, 56, 81, 21, 12, 10
2021/6/7, 109, 54, 80, 22, 9, 8
