date, pm25, pm10, o3, no2, so2, co
2021/11/2, 225, 120, , 20, 4, 10
2021/11/3, 241, 112, , 21, 8, 9
2021/11/4, 225, 93, , 18, 6, 8
2021/11/5, 199, 72, , 14, 4, 8
2021/11/6, 181, 79, , 11, 4, 7
2021/11/7, 167, 30, , 4, 2, 4
2021/11/8, 69, 27, , 11, 4, 3
2021/11/9, 64, 31, , 15, 5, 3
2021/11/10, 70, 27, , 16, 4, 3
2021/11/11, 58, 30, , 19, 6, 3
2021/11/12, 62, 45, , 20, 6, 4
2021/11/13, 75, 51, , 19, 8, 5
2021/11/14, 92, 49, , 21, 7, 5
2021/11/15, 115, 57, , 26, 6, 6
2021/11/16, 131, 99, , 25, 9, 9
2021/11/17, 211, 82, , 19, 7, 8
2021/11/18, 164, 60, , 18, 8, 6
2021/11/19, 146, 77, , 22, 7, 9
2021/11/20, 179, 108, , 32, 8, 10
2021/11/21, 221, , , , , 
2021/10/2, 116, 48, , 5, 5, 7
2021/10/3, 114, 56, , 2, 6, 8
2021/10/4, 131, 49, , 4, 5, 5
2021/10/5, 100, 33, , 3, 3, 5
2021/10/6, 64, 15, , 5, 3, 6
2021/10/7, 45, 15, , 5, 3, 5
2021/10/8, 50, 21, , 6, 3, 6
2021/10/9, 89, 29, , 6, 3, 7
2021/10/10, 109, 25, , 7, 3, 5
2021/10/11, 60, 31, , 9, 5, 4
2021/10/12, 58, 35, , 10, 5, 3
2021/10/13, 74, 48, , 12, 7, 4
2021/10/14, 109, 47, , 11, 6, 5
2021/10/15, 111, 19, , 6, 3, 3
2021/10/16, 58, 27, , 10, 3, 3
2021/10/17, 64, 35, , 13, 3, 3
2021/10/18, 76, 34, , 11, 6, 4
2021/10/19, 107, 52, , 15, 5, 5
2021/10/20, 164, , , 11, 2, 6
2021/10/21, 156, 29, , 13, 4, 6
2021/10/22, 95, 48, , 20, 6, 7
2021/10/23, 146, 59, , 16, 4, 7
2021/10/24, 159, 58, , 18, 6, 6
2021/10/25, 159, 56, , 20, 6, 6
2021/10/26, 149, 66, , 21, 6, 6
2021/10/27, 166, 70, , 19, 6, 8
2021/10/28, 182, 83, , 19, 6, 8
2021/10/29, 185, 81, , 20, 7, 8
2021/10/30, 196, 68, , 15, 5, 7
2021/10/31, 158, 62, , 18, 8, 7
2021/11/1, 165, 101, , 18, 6, 9
2021/9/2, 72, 19, , 8, 3, 6
2021/9/3, 59, 37, , 11, 6, 8
2021/9/4, 95, 40, , 6, 3, 7
2021/9/5, 96, 17, , 4, 2, 5
2021/9/6, 57, 17, , 5, 2, 6
2021/9/7, 60, 15, , 9, 2, 5
2021/9/8, 49, 25, , 9, 4, 6
2021/9/9, 60, 37, , 7, 5, 6
2021/9/10, 88, 45, , 7, 5, 6
2021/9/11, 98, 50, , 9, 6, 6
2021/9/12, 91, 52, , 8, 4, 8
2021/9/13, 99, 49, , 9, 4, 6
2021/9/14, 87, 48, , 10, 5, 5
2021/9/15, 85, 42, , 11, 4, 5
2021/9/16, 87, 51, , 9, 5, 5
2021/9/17, 105, 66, , 5, 4, 6
2021/9/18, 148, 65, , 5, 3, 8
2021/9/19, 147, 29, , 5, 3, 6
2021/9/20, 81, 30, , 5, 4, 6
2021/9/21, 73, 39, , 6, 4, 5
2021/9/22, 87, 44, , 6, 6, 5
2021/9/23, 85, 48, , 8, 6, 5
2021/9/24, 96, 40, , 4, 3, 5
2021/9/25, 86, 41, , 6, 3, 6
2021/9/26, 100, 23, , 5, 3, 5
2021/9/27, 69, 26, , 5, 4, 7
2021/9/28, 67, 30, , 5, 3, 7
2021/9/29, 70, 20, , 6, 3, 7
2021/9/30, 50, 37, , 8, 5, 7
2021/10/1, 80, 46, , 7, 5, 7
2021/8/2, 102, 32, , 5, 2, 7
2021/8/3, 87, 39, , 4, 2, 6
2021/8/4, 104, 41, , 6, 2, 6
2021/8/5, 123, 40, , 6, 3, 6
2021/8/6, 98, 32, , 6, 3, 6
2021/8/7, 82, 40, , 10, 3, 6
2021/8/8, 98, 31, , 7, 3, 6
2021/8/9, 89, 16, , 4, 2, 4
2021/8/10, 52, , , , , 
2021/8/21, 77, 21, , 4, 2, 6
2021/8/22, 64, 30, , 3, 3, 5
2021/8/23, 72, 16, , 5, 3, 5
2021/8/24, 47, 30, , 11, 4, 5
2021/8/25, 62, 47, , 9, 4, 5
2021/8/26, 109, 12, , 6, 2, 4
2021/8/27, 43, 13, , 7, 4, 4
2021/8/28, 50, 27, , 7, 4, 4
2021/8/29, 79, 27, , 6, 3, 5
2021/8/30, 64, 22, , 8, 3, 7
2021/8/31, 63, 22, , 6, 3, 7
2021/9/1, 65, 23, , 6, 2, 6
2021/7/2, 124, 39, , 7, 2, 6
2021/7/3, 151, 30, , 4, 2, 5
2021/7/4, 95, 35, , 4, 3, 5
2021/7/5, 110, 14, , 6, 2, 4
2021/7/6, 55, 19, , 6, 2, 5
2021/7/7, 89, 14, , 4, 2, 5
2021/7/8, 69, 24, , 2, 2, 5
2021/7/9, 90, 32, , 1, 2, 4
2021/7/10, 109, 28, , 2, 2, 6
2021/7/11, 86, 28, , 1, 3, 5
2021/7/12, 83, 25, , 2, 2, 6
2021/7/13, 80, 27, , 3, 2, 4
2021/7/14, 80, 35, , 2, 2, 4
2021/7/15, 94, 31, , 3, 2, 5
2021/7/16, 88, 15, , 7, 1, 5
2021/7/17, 51, 27, , 5, 1, 6
2021/7/18, 84, 26, , 5, 1, 6
2021/7/19, 78, 16, , 4, 1, 6
2021/7/20, 53, 17, , 5, 1, 6
2021/7/21, 66, 26, , 5, 1, 5
2021/7/22, 84, 20, , 6, 1, 4
2021/7/23, 65, 33, , 5, 1, 5
2021/7/24, 117, 29, , 6, 1, 6
2021/7/25, 93, 29, , 8, 2, 5
2021/7/26, 81, 30, , 8, 3, 7
2021/7/27, 84, 30, , 7, 3, 6
2021/7/28, 87, 25, , 6, 2, 8
2021/7/29, 90, 24, , 5, 3, 8
2021/7/30, 70, 31, , 7, 3, 6
2021/7/31, 81, 41, , 5, 2, 7
2021/8/1, 116, 39, , 6, 3, 7
2021/6/2, 143, 52, , 8, 5, 6
2021/6/3, 135, 34, , 7, 4, 3
