date, pm25, pm10, o3, no2, so2, co
2021/11/2, 134, 45, , 16, 3, 5
2021/11/3, 73, 55, , 13, 3, 6
2021/11/4, 98, 59, , 14, 3, 6
2021/11/5, 105, 21, , 8, , 4
2021/11/6, 50, 23, , 5, , 4
2021/11/7, 44, 25, , 6, , 5
2021/11/8, 45, 29, , 5, 1, 5
2021/11/9, 56, 45, , 9, 4, 5
2021/11/10, 76, 51, , 12, 4, 5
2021/11/11, 87, 50, , 15, 6, 6
2021/11/12, 85, 52, , 18, 4, 6
2021/11/13, 87, 73, , 21, 4, 7
2021/11/14, 132, 75, , 21, 4, 8
2021/11/15, 130, 82, , 28, 5, 9
2021/11/16, 147, 77, , 24, 2, 8
2021/11/17, 161, 62, , 22, 2, 7
2021/11/18, 144, 61, , 23, 3, 8
2021/11/19, 139, 47, , 15, 2, 6
2021/11/20, 111, 35, , 8, 1, 6
2021/11/21, 70, , , , , 
2021/10/2, 57, 47, , 5, 4, 7
2021/10/3, 96, 43, , 5, 5, 5
2021/10/4, 73, 46, , 6, 4, 6
2021/10/5, 71, 41, , 3, 1, 3
2021/10/6, 65, 25, , 4, 2, 3
2021/10/7, 51, 21, , 2, 3, 3
2021/10/8, 45, 13, , 2, 4, 3
2021/10/9, 44, 27, , 3, 1, 3
2021/10/10, 52, 24, , 2, , 5
2021/10/11, 47, 23, , 2, , 3
2021/10/12, 42, 20, , 3, 1, 4
2021/10/13, 43, 19, , 3, , 3
2021/10/14, 43, 16, , 2, , 3
2021/10/15, 41, 14, , 1, 1, 4
2021/10/16, 41, 25, , 3, 1, 3
2021/10/17, 49, 21, , 6, 1, 3
2021/10/18, 42, 39, , 14, 2, 5
2021/10/19, 56, 51, , 15, 3, 6
2021/10/20, 84, 34, , 11, 1, 6
2021/10/21, 61, 54, , 12, 4, 6
2021/10/22, 103, 69, , 16, 4, 7
2021/10/23, 153, 50, , 18, 2, 6
2021/10/24, 102, 37, , 17, 2, 4
2021/10/25, 71, 51, , 20, 2, 6
2021/10/26, 101, 47, , 17, 2, 5
2021/10/27, 118, 46, , 16, 2, 6
2021/10/28, 137, 49, , 22, 2, 5
2021/10/29, 87, 51, , 19, 7, 5
2021/10/30, 119, 57, , 21, 3, 6
2021/10/31, 128, 56, , 16, 2, 7
2021/9/2, 63, 11, , 3, , 4
2021/9/3, 35, 12, , 4, , 3
2021/9/4, 41, 14, , 3, , 3
2021/9/5, 35, 20, , 4, , 4
2021/9/6, 49, 25, , 4, , 4
2021/9/7, 63, 20, , 3, , 3
2021/9/8, 50, 35, , 9, , 4
2021/9/9, 62, 26, , 6, , 4
2021/9/10, 53, 35, , 10, , 4
2021/9/11, 67, 28, , 5, , 4
2021/9/12, 61, 26, , 6, , 3
2021/9/13, 45, 28, , 2, , 3
2021/9/14, 48, 36, , 2, , 4
2021/9/15, 62, 32, , 3, , 3
2021/9/16, 63, 23, , 2, 1, 3
2021/9/17, 50, 29, , 4, , 3
2021/9/18, 57, 39, , 9, , 4
2021/9/19, 54, 30, , 4, , 4
2021/9/20, 60, 27, , 3, , 5
2021/9/21, 59, 35, , 2, 1, 6
2021/9/22, 57, 49, , 5, 2, 7
2021/9/23, 83, 51, , 4, 1, 6
2021/9/24, 86, 30, , 2, , 4
2021/9/25, 65, 22, , 2, 1, 3
2021/9/26, 44, 26, , 1, 1, 3
2021/9/27, 48, 47, , 4, 2, 5
2021/9/28, 87, 28, , 3, 2, 5
2021/9/29, 70, 17, , 3, 2, 4
2021/9/30, 45, 30, , 6, 2, 4
2021/10/1, 58, 26, , 6, 3, 6
2021/8/2, 61, 17, , 3, , 3
2021/8/3, 47, 12, , 2, , 2
2021/8/4, 36, 16, , 3, , 2
2021/8/5, 35, 17, , 3, , 2
2021/8/6, 37, 17, , 3, , 2
2021/8/7, 35, 16, , 3, 1, 2
2021/8/8, 37, 17, , 3, 1, 2
2021/8/9, 45, 40, , 10, 1, 4
2021/8/10, 70, , , , , 
2021/8/21, 72, 26, , 3, 1, 6
2021/8/22, 64, 24, , 4, 1, 5
2021/8/23, 55, 24, , 6, 1, 4
2021/8/24, 51, 33, , 4, 1, 5
2021/8/25, 71, 52, , 7, 2, 5
2021/8/26, 83, 58, , 8, 2, 5
2021/8/27, 86, 20, , 4, 1, 3
2021/8/28, 53, 15, , 4, , 3
2021/8/29, 38, 18, , 2, 1, 3
2021/8/30, 41, 25, , 6, 1, 4
2021/8/31, 53, 36, , 9, 2, 5
2021/9/1, 66, 28, , 4, 1, 4
2021/7/2, 49, 23, , 1, 1, 2
2021/7/3, 58, 18, , 4, 1, 3
2021/7/4, 50, 27, , 4, 1, 3
2021/7/5, 66, 9, , 3, , 2
2021/7/6, 37, 13, , 8, , 3
2021/7/7, 30, 20, , 3, , 3
2021/7/8, 40, 19, , 4, , 3
2021/7/9, 45, 22, , 3, , 4
2021/7/10, 54, 24, , 4, 1, 4
2021/7/11, 56, 40, , 8, 1, 6
2021/7/12, 81, 43, , 6, 1, 5
2021/7/13, 106, 40, , 8, 2, 4
2021/7/14, 82, 42, , 6, 2, 4
2021/7/15, 84, 34, , 6, 1, 3
2021/7/16, 63, 15, , 6, 2, 2
2021/7/17, 45, 15, , 3, 2, 2
2021/7/18, 35, 17, , 2, 2, 2
2021/7/19, 45, 16, , 3, 2, 2
2021/7/20, 41, 17, , 2, 2, 2
2021/7/21, 34, 17, , 2, 2, 3
2021/7/22, 36, 21, , 2, 2, 2
2021/7/23, 48, 19, , 1, 2, 2
2021/7/24, 48, 19, , 1, 2, 2
2021/7/25, 45, 19, , 1, 2, 2
2021/7/26, 37, 14, , 1, 2, 
2021/7/27, 33, 13, , 1, 2, 2
2021/7/28, 33, 14, , 1, , 
2021/7/29, 31, 15, , 2, 2, 3
2021/7/30, 39, 16, , 3, 1, 4
2021/7/31, 41, , , , , 
2021/6/2, 53, 28, , 3, 1, 
2021/6/3, 48, 27, , 4, , 2
2021/6/4, 60, 24, , 5, , 4
2021/6/5, 51, 56, , 7, 2, 3
2021/6/6, 66, 54, , 8, 2, 3
2021/6/7, 71, 55, , 9, 3, 4
2021/6/8, 88, 24, , 3, 2, 1
2021/6/9, 65, 29, , 2, 2, 2
2021/6/10, 51, 30, , 6, 1, 2
2021/6/11, 60, 40, , 7, 1, 3
2021/6/12, 84, 33, , 4, , 3
2021/6/13, 66, 40, , 4, 1, 3
2021/6/14, 82, 28, , 7, 2, 4
2021/6/15, 77, 20, , 3, 3, 4
2021/6/16, 58, 12, , 1, 3, 2
2021/6/17, 26, 14, , 3, 2, 2
2021/6/18, 32, 23, , 6, 1, 3
