date, pm25, pm10, o3, no2, so2, co
2021/11/2, 56, 50, 36, 21, 2, 
2021/11/3, 84, 89, 46, 27, 4, 
2021/11/4, 153, 97, 60, 21, 5, 
2021/11/5, 171, 75, 58, 18, 4, 
2021/11/6, 141, 75, 50, 24, 3, 
2021/11/7, 139, 61, 39, 19, 3, 
2021/11/8, 124, 13, 27, 8, 3, 
2021/11/9, 29, 25, 26, 10, 3, 
2021/11/10, 41, 25, 29, 14, 8, 
2021/11/11, 41, 24, 28, 12, 4, 
2021/11/12, 40, 34, 27, 17, 5, 
2021/11/13, 53, 64, 31, 23, 6, 
2021/11/14, 108, 84, 16, 30, 8, 
2021/11/15, 153, 51, , 20, 4, 
2021/11/16, 89, 59, 28, 24, 4, 
2021/11/17, 92, 90, 52, 28, 5, 
2021/11/18, 146, 114, 69, 27, 7, 
2021/11/19, 188, 72, 41, 19, 4, 
2021/11/20, 113, , , , , 
2021/10/2, 74, 47, 79, 11, 3, 
2021/10/3, 78, 45, 78, 6, 2, 
2021/10/4, 82, 31, 34, 9, 2, 
2021/10/5, 61, 20, 33, 12, 2, 
2021/10/6, 46, 22, 29, 10, 2, 
2021/10/7, 38, 21, 42, 11, 2, 
2021/10/8, 42, 44, 37, 17, 3, 
2021/10/9, 72, 29, 38, 12, 3, 
2021/10/10, 60, 33, 34, 9, 2, 
2021/10/11, 53, 25, 37, 8, 2, 
2021/10/12, 23, 36, 41, 17, 3, 
2021/10/13, 57, 48, 43, 21, 3, 
2021/10/14, 71, 55, 64, 17, 5, 
2021/10/15, 99, 60, 40, 18, 9, 
2021/10/16, 114, 47, 30, 7, 2, 
2021/10/17, 27, 32, 27, 13, 4, 
2021/10/18, 42, 56, 40, 21, 6, 
2021/10/19, 93, 36, 29, 11, 3, 
2021/10/20, 47, 33, 32, 15, 4, 
2021/10/21, 58, 55, 41, 23, 6, 
2021/10/22, 100, 39, 38, 17, 4, 
2021/10/23, 74, 47, 38, 21, 4, 
2021/10/24, 77, 66, 47, 26, 5, 
2021/10/25, 117, 85, 72, 29, 6, 
2021/10/26, 159, 105, 75, 27, 7, 
2021/10/27, 174, 66, 35, 25, 5, 
2021/10/28, 104, 85, 51, 29, 6, 
2021/10/29, 148, 85, 66, 29, 5, 
2021/10/30, 157, 91, 57, 29, 5, 
2021/10/31, 154, 85, 53, 20, 4, 
2021/11/1, 157, 29, 31, 11, 2, 
2021/9/2, 62, 52, 79, 13, 2, 
2021/9/3, 108, 41, 68, 14, 2, 
2021/9/4, 66, 33, 45, 10, 2, 
2021/9/5, 63, 15, 48, 7, 1, 
2021/9/6, 39, 5, 45, 6, 1, 
2021/9/7, 22, 16, 46, 7, 1, 
2021/9/8, 40, 33, 81, 10, 2, 
2021/9/9, 61, 37, 64, 8, 2, 
2021/9/10, 74, 36, 69, 7, 3, 
2021/9/11, 70, 34, 78, 7, 2, 
2021/9/12, 67, 41, 52, 8, 3, 
2021/9/13, 74, 36, 53, 11, 2, 
2021/9/14, 72, 39, 70, 8, 2, 
2021/9/15, 67, 39, 52, 11, 2, 
2021/9/16, 67, 35, 57, 12, 3, 
2021/9/17, 51, 33, 58, 11, 2, 
2021/9/18, 57, 48, 78, 12, 3, 
2021/9/19, 86, 33, 38, 13, 3, 
2021/9/20, 66, 16, 37, 6, 2, 
2021/9/21, 33, 26, 56, 8, 3, 
2021/9/22, 50, 25, 50, 13, 4, 
2021/9/23, 43, 35, 51, 16, 3, 
2021/9/24, 57, 39, 49, 15, 4, 
2021/9/25, 69, 28, 43, 12, 3, 
2021/9/26, 53, 21, 31, 12, 3, 
2021/9/27, 38, 9, 37, 6, 2, 
2021/9/28, 20, 9, 35, 11, 2, 
2021/9/29, 30, 31, 55, 13, 3, 
2021/9/30, 66, 57, 89, 17, 4, 
2021/10/1, 103, 40, 58, 10, 3, 
2021/8/2, 59, 23, , 6, 4, 
2021/8/3, 56, 28, 54, 8, 4, 
2021/8/4, 61, 29, 52, 8, 4, 
2021/8/5, 53, 19, 36, 6, 3, 
2021/8/6, 44, 16, 46, 6, 4, 
2021/8/7, 44, 30, 49, 9, 4, 
2021/8/8, 47, 40, 67, 10, 4, 
2021/8/9, 78, 61, 84, 15, 4, 
2021/8/10, 112, 52, 96, 10, 4, 
2021/8/11, 110, 41, 97, 9, 3, 
2021/8/12, 86, 40, 58, 9, 2, 
2021/8/13, 81, 34, 53, 11, 2, 
2021/8/14, 67, 39, 77, 10, 2, 
2021/8/15, 67, 44, 75, 10, 2, 
2021/8/16, 71, 37, 54, 12, 2, 
2021/8/17, 62, 34, 62, 10, 2, 
2021/8/18, 65, 23, 65, 7, 2, 
2021/8/19, 45, 26, 58, 9, 3, 
2021/8/20, 49, 23, 45, 11, 2, 
2021/8/21, 53, 30, 81, 7, 2, 
2021/8/22, 78, 51, 56, 11, 3, 
2021/8/23, 98, 27, 47, 7, 2, 
2021/8/24, 47, 20, 61, 9, 2, 
2021/8/25, 41, 52, 84, 11, 2, 
2021/8/26, 82, 51, 72, 11, 3, 
2021/8/27, 75, 41, 60, 10, 2, 
2021/8/28, 69, 45, 87, 10, 3, 
2021/8/29, 74, 29, 60, 10, 2, 
2021/8/30, 66, 35, 57, 11, 2, 
2021/8/31, 65, 14, 49, 5, 2, 
2021/9/1, 41, 26, 82, 8, 2, 
2021/7/2, 57, 27, 44, 5, 5, 
2021/7/3, 62, 20, 42, 7, 3, 
2021/7/4, 53, 22, 53, 9, 4, 
2021/7/5, 44, 40, 64, 7, 4, 
2021/7/6, 80, 34, 51, 8, 4, 
2021/7/7, 61, 30, 48, 9, 5, 
2021/7/8, 49, 41, 54, 10, 4, 
2021/7/9, 77, 37, 59, 11, 5, 
2021/7/10, 60, 36, 62, 8, 3, 
2021/7/11, 65, 36, 56, 7, 4, 
2021/7/12, 80, 42, 61, 6, 4, 
2021/7/13, 81, 24, 45, 6, 2, 
2021/7/14, 46, 33, 52, 7, 2, 
2021/7/15, 62, 21, 43, 5, 2, 
2021/7/16, 37, 7, 29, 1, 1, 
2021/7/17, 11, 17, 25, 4, 2, 
2021/7/18, 40, 26, 35, 6, 2, 
2021/7/19, 63, 19, 37, 6, 3, 
2021/7/20, 55, 20, 19, 5, 2, 
2021/7/21, 34, 17, 39, 6, 3, 
2021/7/22, 42, 21, 27, 10, 4, 
2021/7/23, 50, 29, , 8, 3, 
2021/7/24, 65, 33, , 10, 4, 
2021/7/25, 64, 35, , 11, 5, 
2021/7/26, 78, 25, , 5, 4, 
2021/7/27, 54, 23, , 6, 4, 
2021/7/28, 45, 24, , 7, 4, 
2021/7/29, 55, 18, , 3, 3, 
2021/7/30, 37, 14, , 4, 3, 
2021/7/31, 32, 17, , 5, 4, 
2021/8/1, 45, 27, , 6, 4, 
2021/6/2, 72, 35, 46, 3, 3, 
2021/6/3, 61, 35, 41, 12, 4, 
2021/6/4, 64, 53, 96, 13, 7, 
2021/6/5, 72, 54, 79, 16, 7, 
2021/6/6, 80, 55, 110, 16, 7, 
2021/6/7, 86, 62, 95, 12, 6, 
2021/6/8, 98, 52, 84, 10, 5, 
2021/6/9, 75, 14, 29, 7, 3, 
2021/6/10, 27, 17, 31, 7, 4, 
2021/6/11, 45, 49, 81, 13, 6, 
2021/6/12, 91, 46, 64, 8, 4, 
2021/6/13, 90, 38, 64, 9, 5, 
2021/6/14, 65, 29, 44, 7, 5, 
2021/6/15, 60, 19, 47, 6, 4, 
2021/6/16, 50, 28, 46, 9, 4, 
2021/6/17, 64, 19, 33, 9, 4, 
2021/6/18, 45, 53, 91, 14, 6, 
2021/6/19, 102, 57, 89, 16, 6, 
2021/6/20, 71, 56, 89, 13, 5, 
2021/6/21, 80, 53, 96, 13, 5, 
2021/6/22, 76, 53, 63, 13, 6, 
2021/6/23, 110, 56, 72, 17, 5, 
2021/6/24, 100, 36, 67, 9, 3, 
2021/6/25, 70, 35, 43, 7, 3, 
2021/6/26, 77, 32, 48, 5, 3, 
2021/6/27, 66, 26, 38, 5, 3, 
2021/6/28, 57, 28, 50, 8, 4, 
2021/6/29, 56, 35, 37, 7, 4, 
2021/6/30, 72, 25, 46, 5, 3, 
2021/7/1, 63, 24, 41, 6, 4, 
2021/5/2, 82, 37, 39, 13, 5, 
2021/5/3, 49, 45, 48, 9, 4, 
2021/5/4, 66, 55, 59, 13, 3, 
2021/5/5, 114, 76, 58, 12, 1, 
2021/5/6, 79, 94, 90, 11, 6, 
2021/5/7, 127, 304, 44, 9, 8, 
2021/5/8, 167, 252, 49, 14, 6, 
2021/5/9, 144, 54, 48, 16, 5, 
2021/5/10, 58, 25, 40, 9, 3, 
2021/5/11, 34, 34, 47, 12, 4, 
2021/5/12, 52, 26, 47, 7, 4, 
2021/5/13, 58, 43, 63, 10, 5, 
2021/5/14, 70, 34, 50, 9, 5, 
2021/5/15, 59, 19, 33, 13, 4, 
2021/5/16, 53, 42, 29, 17, 6, 
2021/5/17, 69, 53, 73, 21, 11, 
2021/5/18, 75, 59, 100, 18, 8, 
2021/5/19, 91, 53, 99, 11, 7, 
2021/5/20, 94, 35, 69, 13, 5, 
2021/5/21, 67, 46, 82, 12, 6, 
2021/5/22, 71, 51, 95, 10, 6, 
2021/5/23, 89, 70, 58, 14, 6, 
2021/5/24, 113, 127, 53, 13, 6, 
2021/5/25, 149, 54, 60, 9, 3, 
2021/5/26, 63, 70, 64, 7, 5, 
2021/5/27, 76, 62, 86, 11, 7, 
2021/5/28, 103, 39, 49, 10, 7, 
2021/5/29, 61, 39, 41, 11, 5, 
2021/5/30, 48, 47, 52, 12, 4, 
2021/5/31, 76, 55, 76, 9, 4, 
2021/6/1, 99, 31, 37, 8, 3, 
2021/4/2, 105, 65, 40, 30, 6, 
2021/4/3, 110, 51, 37, 12, 3, 
2021/4/4, 71, 52, 44, 12, 7, 
2021/4/5, 73, 65, 70, 22, 8, 
2021/4/6, 113, 80, 61, 27, 4, 
2021/4/7, 131, 83, 51, 25, 6, 
2021/4/8, 144, 64, 40, 27, 7, 
2021/4/9, 96, 76, 48, 27, 7, 
2021/4/10, 126, 62, 70, 12, 6, 
2021/4/11, 100, 42, 55, 9, 3, 
2021/4/12, 62, 26, 45, 12, 3, 
2021/4/13, 64, 30, 39, 10, 3, 
