date, pm25, pm10, o3, no2, so2, co
2021/11/2, 116, 59, , 17, 3, 6
2021/11/3, 138, 81, , 23, 2, 6
2021/11/4, 169, 72, , 20, 2, 7
2021/11/5, 167, 66, , 19, 2, 7
2021/11/6, 158, 53, , 17, 2, 6
2021/11/7, 122, 32, , 10, 2, 4
2021/11/8, 58, 42, , 11, 3, 4
2021/11/9, 70, 42, , 15, 2, 5
2021/11/10, 73, 40, , 15, 3, 5
2021/11/11, 72, 40, , 17, 2, 5
2021/11/12, 68, 28, , 15, 2, 4
2021/11/13, 54, 42, , 16, 2, 5
2021/11/14, 80, 46, , 17, 3, 5
2021/11/15, 95, 61, , 24, 4, 7
2021/11/16, 130, 66, , 22, 3, 7
2021/11/17, 146, 48, , 18, 3, 6
2021/11/18, 98, 46, , 15, 4, 6
2021/11/19, 93, 63, , 19, 4, 7
2021/11/20, 144, 77, , 16, 3, 8
2021/11/21, 168, , , , , 
2021/10/2, 67, 45, , 13, 5, 6
2021/10/3, 84, 49, , 12, 4, 7
2021/10/4, 107, 45, , 14, 5, 5
2021/10/5, 79, 45, , 9, 5, 4
2021/10/6, 87, 34, , 9, 5, 4
2021/10/7, 65, 24, , 8, 3, 5
2021/10/8, 48, 25, , 11, 4, 4
2021/10/9, 41, 41, , 10, 5, 5
2021/10/10, 81, 26, , 7, 2, 5
2021/10/11, 57, 30, , 9, 2, 3
2021/10/12, 41, 31, , 11, 3, 3
2021/10/13, 46, 39, , 13, 3, 4
2021/10/14, 66, 31, , 12, 2, 5
2021/10/15, 64, 21, , 8, 2, 4
2021/10/16, 44, 21, , 10, 2, 4
2021/10/17, 44, 30, , 12, 2, 4
2021/10/18, 50, 27, , 13, 3, 4
2021/10/19, 58, 44, , 14, 4, 5
2021/10/20, 105, 23, , 10, 2, 5
2021/10/21, 70, 27, , 12, 3, 5
2021/10/22, 67, 39, , 15, 3, 5
2021/10/23, 81, 52, , 16, 3, 6
2021/10/24, 110, 54, , 18, 3, 5
2021/10/25, 125, 57, , 17, 3, 6
2021/10/26, 133, 57, , 21, 3, 5
2021/10/27, 139, 44, , 17, 3, 6
2021/10/28, 95, 64, , 21, 3, 8
2021/10/29, 144, 70, , 22, 2, 7
2021/10/30, 161, 52, , 16, 3, 6
2021/10/31, 124, 54, , 19, 2, 5
2021/11/1, 120, 53, , 17, 2, 6
2021/9/2, 89, 46, , 10, 4, 7
2021/9/3, 97, 58, , 13, 2, 7
2021/9/4, 124, 50, , 9, 3, 6
2021/9/5, 100, 24, , 8, 3, 5
2021/9/6, 43, 25, , 10, 3, 4
2021/9/7, 52, 22, , 9, 2, 4
2021/9/8, 32, 23, , 11, 3, 5
2021/9/9, 42, 36, , 14, 3, 5
2021/9/10, 66, 37, , 14, 3, 4
2021/9/11, 64, 42, , 14, 3, 4
2021/9/12, 74, 46, , 15, 3, 5
2021/9/13, 87, 41, , 10, 3, 4
2021/9/14, 75, 39, , 11, 3, 4
2021/9/15, 75, 44, , 16, 3, 4
2021/9/16, 83, 49, , 12, 4, 5
2021/9/17, 97, 61, , 17, 4, 6
2021/9/18, 129, 61, , 9, 3, 6
2021/9/19, 136, 50, , 11, 3, 7
2021/9/20, 120, 25, , 9, 3, 6
2021/9/21, 60, 30, , 13, 3, 5
2021/9/22, 54, 36, , 13, 4, 4
2021/9/23, 65, 54, , 15, 4, 5
2021/9/24, 104, 50, , 16, 5, 6
2021/9/25, 108, 29, , 11, 4, 3
2021/9/26, 58, 44, , 11, 5, 6
2021/9/27, 86, 31, , 9, 6, 6
2021/9/28, 63, 42, , 11, 5, 7
2021/9/29, 82, 17, , 9, 4, 7
2021/9/30, 36, 29, , 13, 4, 6
2021/10/1, 53, 34, , 14, 4, 6
2021/8/2, 79, 47, , 10, 4, 5
2021/8/3, 86, 46, , 11, 4, 5
2021/8/4, 91, 45, , 12, 3, 6
2021/8/5, 92, 38, , 9, 3, 5
2021/8/6, 75, 36, , 11, 3, 4
2021/8/7, 67, 31, , 8, 3, 4
2021/8/8, 65, 36, , 9, 4, 7
2021/8/9, 72, 29, , 9, 3, 6
2021/8/10, 71, , , , , 
2021/8/21, 62, 27, , 8, 1, 4
2021/8/22, 48, 52, , 11, 2, 5
2021/8/23, 111, 22, , 9, 2, 4
2021/8/24, 40, 24, , 10, 3, 4
2021/8/25, 31, 45, , 13, 3, 4
