date, pm25, pm10, o3, no2, so2, co
2021/11/2, 167, 94, 69, 22, 7, 10
2021/11/3, 173, 70, 55, 23, 8, 8
2021/11/4, 154, 64, 34, 17, 5, 9
2021/11/5, 155, 45, 19, 13, 7, 7
2021/11/6, 120, 55, 21, 13, 5, 8
2021/11/7, 126, 27, 26, 6, 4, 5
2021/11/8, 73, 39, 32, 12, 6, 5
2021/11/9, 68, 42, 34, 16, 5, 5
2021/11/10, 78, 52, 30, 18, 5, 6
2021/11/11, 101, 56, 36, 19, 6, 5
2021/11/12, 109, 48, 36, 18, 5, 5
2021/11/13, 92, 58, 35, 21, 5, 4
2021/11/14, 108, 53, 37, 24, 5, 5
2021/11/15, 111, 55, 38, 27, 6, 6
2021/11/16, 117, 72, 39, 25, 6, 9
2021/11/17, 151, 99, 37, 21, 7, 10
2021/11/18, 181, 102, 65, 31, 6, 10
2021/11/19, 183, 77, 51, 29, 8, 8
2021/11/20, 157, 74, 18, 25, 9, 9
2021/11/21, 162, , , , , 
2021/10/2, 97, 53, 89, 24, 4, 9
2021/10/3, 119, 52, 79, 9, 4, 7
2021/10/4, 117, 44, 68, 18, 4, 7
2021/10/5, 99, 57, 64, 13, 6, 8
2021/10/6, 111, 44, 22, 8, 5, 9
2021/10/7, 92, 43, 28, 8, 4, 7
2021/10/8, 94, 43, 22, 9, 5, 8
2021/10/9, 105, 51, 26, 12, 5, 9
2021/10/10, 124, 37, 23, 6, 5, 9
2021/10/11, 95, 40, 28, 7, 4, 5
2021/10/12, 73, 44, 53, 8, 5, 6
2021/10/13, 85, 52, 44, 9, 5, 7
2021/10/14, 110, 59, 49, 9, 4, 8
2021/10/15, 141, 38, 36, 6, 3, 8
2021/10/16, 86, 22, 30, 6, 3, 6
2021/10/17, 60, 42, 18, 9, 4, 6
2021/10/18, 79, 34, 27, 11, 3, 6
2021/10/19, 76, 41, 28, 16, 5, 7
2021/10/20, 91, 26, 26, 7, 3, 8
2021/10/21, 74, 27, 34, 10, 4, 7
2021/10/22, 76, 44, 42, 16, 7, 8
2021/10/23, 96, 56, 57, 15, 10, 8
2021/10/24, 124, 59, 57, 21, 12, 8
2021/10/25, 145, 65, 74, 24, 7, 9
2021/10/26, 144, 70, 61, 22, 7, 9
2021/10/27, 152, 66, 53, 17, 9, 9
2021/10/28, 149, 74, 67, 23, 9, 11
2021/10/29, 161, 87, 32, 25, 8, 10
2021/10/30, 174, 75, 81, 20, 9, 8
2021/10/31, 168, 79, 55, 25, 9, 9
2021/11/1, 167, 74, 41, 24, 5, 9
2021/9/2, 117, 50, 48, 7, 4, 9
2021/9/3, 114, 53, 69, 9, 5, 9
2021/9/4, 130, 43, 69, 12, 6, 7
2021/9/5, 96, 46, 54, 8, 5, 9
2021/9/6, 104, 34, 35, 6, 4, 8
2021/9/7, 78, 28, 49, 6, 5, 9
2021/9/8, 71, 41, 65, 14, 7, 10
2021/9/9, 95, 50, 68, 19, 6, 10
2021/9/10, 96, 57, 102, 20, 7, 10
2021/9/11, 111, 53, 94, 22, 8, 10
2021/9/12, 112, 58, 98, 15, 9, 9
2021/9/13, 123, 46, 67, 16, 6, 9
2021/9/14, 89, 46, 56, 11, 7, 8
2021/9/15, 86, 44, 75, 12, 6, 7
2021/9/16, 95, 50, 92, 18, 6, 7
2021/9/17, 93, 57, 87, 18, 7, 9
2021/9/18, 108, 56, 92, 16, 7, 9
2021/9/19, 117, 50, 60, 7, 6, 9
2021/9/20, 106, 12, 45, 7, 5, 9
2021/9/21, 51, 24, 71, 8, 6, 9
2021/9/22, 64, 32, 71, 12, 6, 8
2021/9/23, 78, 37, 62, 10, 5, 9
2021/9/24, 82, 35, 59, 14, 5, 7
2021/9/25, 79, 40, 70, 14, 6, 6
2021/9/26, 81, 43, 68, 14, 7, 7
2021/9/27, 98, 44, 44, 7, 5, 9
2021/9/28, 105, 61, 77, 12, 5, 11
2021/9/29, 147, 32, 44, 8, 4, 9
2021/9/30, 58, 38, 78, 16, 5, 10
2021/10/1, 78, 44, 80, 19, 4, 8
2021/8/2, 115, 53, 105, 11, 5, 8
2021/8/3, 114, 46, 93, 6, 5, 8
2021/8/4, 108, 38, 54, 5, 5, 8
2021/8/5, 85, 31, 58, 6, 5, 6
2021/8/6, 68, 28, 50, 6, 5, 6
2021/8/7, 69, 37, 67, 7, 4, 6
2021/8/8, 84, 38, 51, 10, 4, 6
2021/8/9, 87, 41, 51, 12, 4, 7
2021/8/10, 86, , , , , 
2021/8/21, 95, 27, 68, 9, 4, 6
2021/8/22, 71, 39, 63, 6, 5, 5
2021/8/23, 92, 37, 43, 6, 5, 7
2021/8/24, 90, 19, 37, 6, 4, 8
2021/8/25, 60, 28, 30, 6, 3, 7
2021/8/26, 63, 36, 31, 7, 6, 7
2021/8/27, 77, 22, 30, 6, 4, 5
2021/8/28, 57, 28, 47, 10, 4, 6
2021/8/29, 78, 45, 70, 16, 6, 8
2021/8/30, 101, 36, 65, 15, 6, 7
2021/8/31, 84, 43, 78, 13, 5, 6
2021/9/1, 98, 55, 77, 14, 6, 9
2021/7/2, 58, 19, 35, 7, 4, 4
2021/7/3, 64, 25, 39, 8, 5, 4
2021/7/4, 79, 37, 42, 10, 5, 6
2021/7/5, 91, 37, 51, 14, 3, 6
2021/7/6, 93, 43, 57, 11, 3, 5
2021/7/7, 109, 49, 79, 11, 4, 5
2021/7/8, 119, 26, 40, 7, 4, 4
2021/7/9, 66, 31, 42, 7, 4, 4
2021/7/10, 78, 29, 50, 5, 3, 4
2021/7/11, 71, 39, 63, 5, 6, 4
2021/7/12, 87, 37, 48, 5, 5, 3
2021/7/13, 81, 32, 47, 6, 4, 4
2021/7/14, 80, 33, 60, 6, 4, 3
2021/7/15, 82, 37, 61, 6, 5, 4
2021/7/16, 88, 42, 72, 10, 5, 5
2021/7/17, 99, 26, 29, 10, 6, 4
2021/7/18, 64, 30, 55, 12, 4, 5
2021/7/19, 74, 29, 60, 10, 3, 6
2021/7/20, 77, 33, 58, 9, 4, 5
2021/7/21, 80, 31, 49, 14, 6, 5
2021/7/22, 71, 33, 56, 11, 6, 6
2021/7/23, 77, 37, 61, 7, 5, 5
2021/7/24, 76, 36, 64, 7, 6, 5
2021/7/25, 77, 27, 42, 7, 5, 5
2021/7/26, 67, 25, 39, 8, 5, 4
2021/7/27, 66, 30, 39, 9, 5, 4
2021/7/28, 74, 26, 35, 7, 4, 5
2021/7/29, 67, 27, 60, 9, 5, 5
2021/7/30, 71, 42, 71, 15, 3, 6
2021/7/31, 81, 38, 75, 10, 4, 7
2021/8/1, 89, 52, 108, 12, 4, 7
2021/6/2, 129, 53, 47, 14, 5, 6
2021/6/3, 127, 38, 47, 11, 6, 5
2021/6/4, 92, 35, 51, 10, 6, 5
2021/6/5, 66, 49, 79, 17, 9, 6
2021/6/6, 88, 57, 97, 12, 10, 7
2021/6/7, 93, 42, 70, 12, 7, 6
2021/6/8, 89, 54, 82, 16, 7, 7
2021/6/9, 107, 60, 84, 16, 4, 7
2021/6/10, 132, 47, 48, 16, 3, 7
2021/6/11, 116, 49, 69, 14, 3, 8
2021/6/12, 124, 48, 63, 15, 3, 8
2021/6/13, 124, 24, 47, 13, 4, 5
2021/6/14, 59, 20, 35, 7, 4, 4
2021/6/15, 53, 24, 41, 4, 5, 5
2021/6/16, 69, 27, 45, 6, 5, 4
2021/6/17, 73, 44, 35, 7, 7, 5
2021/6/18, 84, 34, 33, 6, 4, 5
2021/6/19, 79, 29, 32, 6, 5, 4
2021/6/20, 76, 27, 39, 8, 5, 5
2021/6/21, 77, 39, 51, 12, 7, 6
2021/6/22, 96, 55, 76, 13, 4, 7
2021/6/23, 124, 52, 91, 15, 5, 7
2021/6/24, 115, 47, 66, 13, 5, 6
2021/6/25, 92, 38, 80, 8, 3, 6
2021/6/26, 92, 42, 55, 9, 6, 7
2021/6/27, 105, 32, 37, 10, 4, 6
2021/6/28, 86, 27, 46, 6, 4, 8
2021/6/29, 78, 29, 58, 7, 4, 7
2021/6/30, 73, 26, 35, 6, 4, 5
2021/7/1, 73, 15, 31, 5, 4, 4
2021/5/2, 111, 78, 110, 24, 8, 8
2021/5/3, 139, 53, 47, 15, 7, 6
2021/5/4, 108, 51, 67, 10, 6, 6
2021/5/5, 104, 88, 83, 24, 8, 8
2021/5/6, 138, 80, 60, 19, 6, 6
2021/5/7, 128, 55, 45, 14, 6, 7
2021/5/8, 107, 43, 54, 8, 5, 7
2021/5/9, 96, 31, 59, 14, 7, 7
2021/5/10, 86, 38, 40, 10, 5, 6
2021/5/11, 93, 45, 52, 9, 4, 6
2021/5/12, 109, 53, 48, 13, 6, 6
2021/5/13, 132, 48, 26, 19, 7, 8
2021/5/14, 117, 32, 45, 7, 6, 5
2021/5/15, 78, 29, 40, 7, 5, 4
2021/5/16, 72, 22, 35, 7, 4, 4
2021/5/17, 59, 29, 40, 9, 4, 4
2021/5/18, 78, 39, 38, 9, 5, 5
2021/5/19, 105, 32, 42, 12, 5, 4
2021/5/20, 97, 36, 47, 14, 6, 5
2021/5/21, 87, 35, 35, 14, 3, 6
2021/5/22, 87, 27, 33, 17, 5, 5
2021/5/23, 74, 29, 35, 11, 3, 4
2021/5/24, 68, 45, 52, 16, 6, 5
2021/5/25, 79, 68, 37, 24, 8, 7
2021/5/26, 113, 42, 33, 15, 6, 6
2021/5/27, 104, 26, 43, 10, 5, 6
2021/5/28, 67, 32, 28, 10, 4, 6
2021/5/29, 75, 28, 37, 7, 5, 5
2021/5/30, 66, 29, 52, 11, 7, 7
2021/5/31, 75, 49, 72, 16, 7, 7
2021/6/1, 112, 59, 69, 20, 6, 7
2021/4/2, 68, 20, 23, 9, 3, 6
2021/4/3, 65, 47, 41, 8, 4, 7
2021/4/4, 124, 41, 30, 10, 5, 7
2021/4/5, 105, 54, 31, 14, 8, 7
2021/4/6, 130, 52, 35, 16, 7, 6
2021/4/7, 122, 33, 48, 12, 4, 7
2021/4/8, 94, 43, 47, 14, 3, 7
2021/4/9, 117, 51, 64, 21, 9, 7
2021/4/10, 116, 60, 43, 26, 8, 10
2021/4/11, 133, 44, 39, 20, 6, 8
2021/4/12, 113, 48, 46, 13, 5, 8
2021/4/13, 130, 60, 44, 20, 5, 8
2021/4/14, 138, 59, 41, 15, 4, 8
2021/4/15, 141, 63, 46, 19, 5, 6
2021/4/16, 134, 62, 40, 26, 5, 9
2021/4/17, 143, 92, 62, 17, 7, 7
