date, pm25, pm10, o3, no2, so2, co
2021/11/2, 103, 42, , 5, 3, 4
2021/11/3, 90, 49, , 5, 5, 5
2021/11/4, 104, 38, , 4, 2, 4
2021/11/5, 74, 36, , 4, 2, 4
2021/11/6, 64, 33, , 7, 3, 4
2021/11/7, 53, 30, , 6, 3, 4
2021/11/8, 61, 35, , 5, 9, 3
2021/11/9, 41, 54, , 9, 18, 3
2021/11/10, 86, 51, , 11, 22, 4
2021/11/11, 99, 60, , 13, 14, 4
2021/11/12, 113, 61, , 10, 19, 4
2021/11/13, 119, 53, , 11, 17, 5
2021/11/14, 121, 57, , 11, 16, 5
2021/11/15, 126, 51, , 7, 4, 5
2021/11/16, 98, 56, , 8, 4, 5
2021/11/17, 110, 64, , 10, 8, 6
2021/11/18, 144, 52, , 11, 11, 6
2021/11/19, 118, 58, , 13, 13, 7
2021/11/20, 143, 40, , 6, 2, 5
2021/11/21, 91, , , , , 
2021/10/2, 108, 34, , 5, 6, 5
2021/10/3, 71, 28, , 6, 5, 5
2021/10/4, 69, 34, , 4, 2, 4
2021/10/5, 60, 41, , 5, 7, 5
2021/10/6, 68, 44, , 4, 3, 4
2021/10/7, 71, 57, , 7, 9, 5
2021/10/8, 95, 37, , 5, 8, 5
2021/10/9, 91, 18, , 2, 4, 4
2021/10/10, 50, 22, , 2, 1, 5
2021/10/11, 42, 24, , 4, 5, 5
2021/10/12, 45, 25, , 4, 5, 4
2021/10/13, 33, 27, , 3, 3, 4
2021/10/14, 55, 21, , 3, 2, 5
2021/10/15, 69, 32, , 5, 7, 5
2021/10/16, 74, 19, , 5, 6, 6
2021/10/17, 35, 23, , 5, 7, 5
2021/10/18, 43, 33, , 6, 6, 5
2021/10/19, 69, 43, , 7, 5, 5
2021/10/20, 99, 28, , 4, 2, 4
2021/10/21, 68, 24, , 8, 4, 5
2021/10/22, 53, 21, , 5, 8, 5
2021/10/23, 33, 37, , 7, 14, 6
2021/10/24, 86, 48, , 8, 18, 6
2021/10/25, 106, 54, , 11, 16, 7
2021/10/26, 121, 52, , 12, 10, 6
2021/10/27, 110, 51, , 8, 15, 5
2021/10/28, 120, 52, , 8, 9, 5
2021/10/29, 126, 55, , 7, 4, 5
2021/10/30, 124, 51, , 6, 9, 6
2021/10/31, 119, 43, , 7, 3, 5
2021/11/1, 97, 51, , 6, 2, 4
2021/9/2, 58, 18, , 3, 2, 3
2021/9/3, 37, 20, , 6, 2, 4
2021/9/4, 39, 20, , 4, 2, 5
2021/9/5, 31, 23, , 5, 3, 5
2021/9/6, 38, 33, , 8, 5, 4
2021/9/7, 63, 32, , 5, 5, 4
2021/9/8, 66, 19, , 3, 2, 3
2021/9/9, 34, 29, , 6, 3, 3
2021/9/10, 52, 40, , 8, 9, 4
2021/9/11, 74, 31, , 4, 4, 3
2021/9/12, 68, 41, , 7, 7, 4
2021/9/13, 80, 30, , 4, 2, 3
2021/9/14, 53, 23, , 4, 2, 3
2021/9/15, 44, 18, , 5, 3, 3
2021/9/16, 37, 41, , 10, 15, 5
2021/9/17, 69, 42, , 12, 8, 5
2021/9/18, 82, 34, , 8, 3, 4
2021/9/19, 73, 23, , 3, 2, 4
2021/9/20, 53, 29, , 6, 6, 3
2021/9/21, 55, 24, , 5, 4, 3
2021/9/22, 59, 21, , 4, 5, 3
2021/9/23, 53, 22, , 5, 3, 3
2021/9/24, 41, 19, , 3, 2, 3
2021/9/25, 37, 23, , 3, 2, 3
